और	és
से	től
से	tól
से	from
है	hai
एक	egy
श्रेणी	kategória
श्रेणी	sorozat
श्रेणी	kategória
श्रेणी	kategóriák
भी	még
भी	szintén
भी	egyben
भी	úgyszintén
भी	is
भी	túl
यह	ezt
यह	ez
किया	tette
किया	kész
इस	ezt
इस	ez
कि	ez
भारत	india
जो	joe
जो	ki
जो	aki
ही	hee
रूप	űrlap
रूप	forma
रूप	formájában
रूप	nyomtatvány
रूप	megjelenés
रूप	megjelenése
कर	adó
कर	adózás
कर	adók
कर	adók
कर	adó
नहीं	nem
उत्तराखण्ड	uttarakhand
गया	ment
साथ	mentén
साथ	with
साथ	együtt
पूर्व	keletre
पूर्व	keleti
पूर्व	kelet
पूर्व	korábbi
होता	volna
होता	lenne
बाद	később
बाद	után
बाद	after
बाद	miután
बाद	utána
तक	tak
अपने	saját
जिले	körzetek
था	volt
था	volt
राज्य	államok
राज्य	államokat
राज्य	állapot
राज्य	állami
राज्य	állam
बाहरी	szabadtéri
बाहरी	kültéri
बाहरी	szabadban
बाहरी	külső
बाहरी	külső
कुछ	néhány
कुछ	valami
कुछ	valamit
ईसा	jézus
गाँव	település
गाँव	falusi
गाँव	falu
सरकार	kormány
सरकार	kormányzat
कड़ियाँ	láncok
कड़ियाँ	lánc
कड़ियाँ	linkek
कड़ियाँ	hivatkozások
कड़ियाँ	kapcsolatok
प्रदेश	régió
प्रदेश	régiók
दिया	megadott
दिया	adva
दिया	megadva
दिया	adott
दिया	adta
दिया	adott
अन्य	egyéb
अन्य	más
अन्य	másoknak
अन्य	egyéb
अन्य	mások
अन्य	egyebek
वर्ष	évek
वर्ष	év
वर्ष	évjárat
वर्ष	éve
वर्ष	évi
वर्ष	év
समय	időzítés
समय	ideje
समय	időpont
समय	idő
नाम	neve
नाम	név
वे	ők
प्रकार	típus
प्रकार	típusa
प्रकार	típusok
प्रकार	típusai
भारतीय	indián
भारतीय	indiai
किसी	valaki
किसी	valakit
क्षेत्र	terület
क्षेत्र	környék
क्षेत्र	régió
क्षेत्र	régiók
क्षेत्र	térségek
क्षेत्र	területek
अधिक	több
अधिक	more
अधिक	további
अधिक	tobb
कई	sok
कई	sokan
कई	számos
स्थित	található
मण्डल	övezet
मण्डल	zóna
आधिकारिक	hivatalos
आधिकारिक	tisztviselő
कारण	okok
कारण	oka
कारण	okok
कारण	okozza
कारण	okoz
होने	lenni
जैसे	mint
जैसे	like
जैसे	tetszik
करता	zsarnokok
उनके	ők
उनके	őket
सबसे	legtöbb
हिन्दी	hindi
बहुत	nagyon
पहले	előtte
पहले	előtt
पहले	mielőtt
पहले	korábban
पहले	korábbi
पहले	először
पहले	első
अपनी	saját
दो	kettő
जिला	körzet
जिला	járás
जिला	kerület
जब	mikor
जब	amikor
उन्होंने	ők
उन्होंने	egyiptomiak
जन्म	született
जन्म	megszületett
जन्म	születés
जन्म	születési
जन्म	szülés
कोई	koi
कोई	bármelyik
कोई	bármely
कोई	bármilyen
इन	fogadó
इन	inn
इन	szálló
लेकिन	de
ये	ezt
ये	ez
ये	ezek
ये	ezeket
कम	alacsonyan
कम	alacsony
कम	kevesebben
कम	kevesebb
कम	kevesebbet
कम	kevesebb
कम	kevésbé
कहा	said
कहा	mondta
लोग	emberek
आदि	stb
आदि	több
आदि	more
आदि	további
आदि	tobb
आदि	adi
प्राचीन	primitív
प्राचीन	ősi
प्राचीन	ős
प्राचीन	ókori
प्राचीन	praetor
देखें	óra
देखें	vigyázz
देखें	lásd
देखें	megtekintés
देखें	kilátás
देखें	nézet
उत्तर	válasz
उत्तर	észak
उत्तर	északi
उत्तर	északra
उत्तर	válaszokat
उत्तर	válaszok
भाषा	nyelveket
भाषा	nyelvek
भाषा	nyelveken
भाषा	nyelv
लिये	for
सभी	mindegyik
सभी	mind
सभी	minden
प्राप्त	kapott
प्राप्त	fogadott
प्राप्त	beérkezett
प्राप्त	kapni
प्रयोग	kísérletek
प्रयोग	használat
प्रयोग	kísérlet
शामिल	érintett
शामिल	tartalmazza
उन्हें	ők
उन्हें	őket
उस	ez
स्थान	helyszínek
स्थान	helyek
स्थान	helyszín
स्थान	helyszínek
स्थान	helyek
स्थान	hely
स्थान	helyszín
स्थान	hely
स्थान	elhelyezkedés
प्रमुख	főnök
प्रमुख	őrnagy
प्रमुख	fő
प्रमुख	main
प्रमुख	főbb
हुई	hui
बीच	beach
बीच	part
बीच	tengerpart
बीच	tengerparton
बीच	strand
बीच	középre
बीच	központ
बीच	center
गए	elment
गए	eltűnt
गए	ment
मुख्य	főnök
मुख्य	fő
मुख्य	main
मुख्य	főbb
थी	volt
बिहार	bihar
उसे	őt
उसे	neki
कार्य	feladatai
कार्य	feladatok
कार्य	állás
कार्य	meló
कार्य	munka
कार्य	munkahelyi
कार्य	munka
कार्य	állás
कार्य	állások
कार्य	munkahelyek
कार्य	feladat
आंध्र	andra
नगर	városban
नगर	town
नगर	város
नगर	city
नगर	városi
नगर	város
नगर	nagar
उपयोग	használat
उपयोग	használat
उपयोग	használata
उपयोग	felhasználás
उपयोग	használni
लोगों	emberek
आधार	alap
आधार	bázis
काम	munkahelyi
काम	munka
जीवन	élet
जीवन	életem
जीवन	life
विश्व	világ
विश्व	world
विश्व	vilag
भाग	szakaszok
भाग	szelvény
भाग	részben
भाग	rész
भाग	része
भाग	alkatrész
भाग	alkatrészek
भाग	részek
निर्माण	létrehozása
निर्माण	alkotás
निर्माण	teremtés
निर्माण	építkezés
निर्माण	építési
निर्माण	építés
निर्माण	építsünk
निर्माण	építeni
निर्माण	előállítás
निर्माण	gyártási
निर्माण	gyártás
गई	ment
दोनों	mindkettő
दोनों	mindketten
राष्ट्रीय	nemzeti
राष्ट्रीय	országos
राष्ट्रीय	national
जानकारी	info
जानकारी	infó
जानकारी	információ
जानकारी	infók
जानकारी	információk
जानकारी	információ
जानकारी	tájékoztatás
जानकारी	információk
पोर्टल	portál
पोर्टल	átjáró
शहर	belváros
शहर	belvárosban
शहर	belvárosi
शहर	city
शहर	városi
शहर	város
शहर	városok
शहर	városokat
बार	bárok
बार	rácsok
बार	rúd
बार	rács
बार	bar
बार	bár
बार	idők
बार	időpontok
बार	times
वाली	wali
लगभग	majdnem
लगभग	megközelítőleg
लगभग	hozzávetőleg
लगभग	körülbelül
फिल्म	filmet
फिल्म	mozi
फिल्म	film
फिल्म	fólia
फिल्म	film
यहाँ	itt
प्रसिद्ध	híres
प्रसिद्ध	híresség
प्रसिद्ध	neves
विकास	fejlesztés
विकास	fejlődés
विकास	fejlesztési
विकास	növekedés
केवल	csak
केवल	kizárólag
देश	ország
देश	országban
देश	nemzet
देश	országokban
देश	országok
वेबसाइट	weboldal
वेबसाइट	honlap
वेबसाइट	webhely
अलग	külön
अलग	más
अलग	különböző
अलग	eltérő
अलग	különálló
अलग	elkülönített
अलग	külön
विशेष	zártkörű
विशेष	exkluzív
विशेष	kizárólagos
विशेष	különleges
विशेष	speciális
कभी	valaha
दी	megadott
दी	adva
दी	megadva
दी	adott
दी	adta
दी	adott
पृष्ठ	oldalt
पृष्ठ	oldal
पृष्ठ	lapok
पृष्ठ	oldalakon
पृष्ठ	oldalak
माना	mana
माना	állítólag
माना	elvileg
शब्द	szó
शब्द	szava
शब्द	szavakat
शब्द	szavak
फिर	akkor
फिर	aztán
तीन	három
पुरस्कार	jutalmat
पुरस्कार	jutalom
पुरस्कार	díj
पुरस्कार	jutalom
पुरस्कार	nyeremény
पुरस्कार	díj
पुरस्कार	díjat
पुरस्कार	díjak
पुरस्कार	gála
