strategia	estratexia
witam	benvida
witam	benvido
witam	benvidos
witam	a
witam	nada
witam	ola
hiszpanie	español
hiszpanie	española
instalacja	aparello
instalacja	instalación
cecha	característica
cecha	a
cecha	trazo
zdolny	quen
zdolny	de
zdolny	capaz
zdolny	capaces
zdolny	poder
zdolny	con
zdolny	talento
zdolny	talentosa
zdolny	capaz
tylna	última
tylna	fila
tylna	parte
tylna	traseira
wskazał	recomendáronme
białko	proteína
otwory	hidrotérmicos
otwory	buratos
otwory	buracos
zużycie	consumo
konsorcjum	sindicato
skórę	pel
skórę	ósos
rezydencja	mansión
domenico	domenico
słoneczne	solar
słoneczne	noso
krewnych	parentes
krewnych	familiares
siódmej	sétimo
politycy	política
politycy	a
politycy	políticas
politycy	políticos
katherine	katherine
stalin	stalin
interfejs	interface
interfejs	usuario
zagranicą	estranxeiro
zagranicą	fóra
poprawiony	mellorou
kliniki	clínica
dzikie	salvaxe
dzikie	salvaxes
minerałów	minerais
magazynie	almacén
atomowej	atómicos
atomowej	núcleo
atomowej	atómica
bogata	ricos
bogata	rica
bogata	rico
humoru	humor
zajęty	moi
zajęty	ocupado
zajęty	ocupados
zajęty	negocios
zajęty	ocupada
zajęty	ocupada
publiczność	audiencia
publiczność	público
publiczność	auditorio
trzydzieści	trinta
kompletny	total
kompletny	completa
kompletny	completar
kompletny	completo
buduje	acumúlase
singer	cantante
fizjologii	fisioloxía
przód	diante
przód	fronte
horn	corno
odmianę	variedade
odmianę	de
princeton	princeton
zemsta	vinganza
zemsta	vingar
wesele	de
wesele	voda
wesele	matrimonio
wesele	noiva
nauczył	ensináronnos
nauczył	que
nauczył	ensinou
ocen	cualificacións
ocen	as
ocen	avaliacións
zamieszek	antidisturbios
przeszłość	pasado
przeszłość	últimos
teleskop	telescopio
scotta	scott
peace	paz
peace	a
szacunek	respectar
szacunek	respeto
szacunek	respecto
szacunek	respéctanme
pomieszczenie	sala
pomieszczenie	habitación
pomieszczenie	cuarto
przygotowany	preparada
przygotowany	listo
przygotowany	preparado
umów	contratos
oddziaływanie	impacto
oddziaływanie	un
oddziaływanie	na
oddziaływanie	prazo
oddziaływanie	efecto
oddziaływanie	mellora
burns	queimaduras
burns	arde
kształtowanie	a
kształtowanie	modelando
ostateczne	final
ostateczne	derradeira
ostateczne	último
ostateczne	axuntémonos
ostateczne	todos
ostateczne	definitivo
kochanka	a
kochanka	señora
kochanka	patroa
dziesięciolecia	décadas
walt	walt
edukacyjne	educativo
edukacyjne	educativas
noszenia	vestidos
noszenia	con
noszenia	pantalóns
noszenia	levas
konieczna	necesario
konieczna	necesaria
konieczna	necesarios
konieczna	necesarias
konieczna	preciso
konieczna	é
ciągłe	continuo
ciągłe	continua
nieustannie	constantemente
gospodarza	anfitrión
pasek	de
pasek	correa
pasek	os
pasek	libros
pasek	cinto
arsenal	arsenal
arsenal	o
kawałek	peza
kawałek	anaco
kawałek	unha
kawałek	rebándenme
kawałek	rebanda
kawałek	faise
wyborców	votantes
ekspansji	expansión
ideologii	ideoloxía
łotwa	cimbabue
łotwa	zimbawe
łotwa	zimbabwe
triumf	triunfo
umożliwić	permitir
umożliwić	permitirán
umożliwić	permiten
umożliwić	permitiría
umożliwić	permitídeme
umożliwić	permitimos
umożliwić	permítame
dokładna	exacto
dokładna	preciso
dokładna	precisa
dokładna	exacto
dokładna	exacta
dokładna	mesmas
dokładna	exactamente
dokładna	mesma
haven	aínda
haven	non
haven	teño
wymarły	extinguiron
kandydaci	candidatos
faith	fe
faith	confiar
wanna	bañeira
wanna	baño
zróżnicowane	diverso
kosmiczna	cósmico
fbi	fbi
wystawiony	exposto
wystawiony	á
oskarżonych	dos
oskarżonych	acusados
oskarżonych	acusado
oskarżonych	os
oskarżonych	imputados
indianie	indios
edyta	edith
strachu	medo
today	hoxe
today	día
elvis	elvis
ekonomia	economía
ekonomia	a
ekonomia	da
rywali	rivais
oddzielne	separar
raju	paraíso
raju	o
zamki	castelos
schronienie	refuxio
schronienie	refuxio
puste	baleira
puste	baleiro
puste	baleiras
puste	valeiro
etapach	fases
emocje	emoción
emocje	emocional
emocje	emocionais
emocje	emotivo
emocje	sentimentais
emocje	a
emocje	emocións
kuzyn	primo
kuzyn	curmán
shirley	shirley
skuteczne	efectivas
skuteczne	efectiva
skuteczne	efectivo
skuteczne	efectivos
skuteczne	eficaces
skuteczne	eficaz
skuteczne	a
columbus	columbus
dawać	dar
dawać	dáme
skóra	coiro
skóra	o
skóra	pel
skóra	ósos
pada	chove
pada	a
pada	chover
kielich	cunca
kielich	café
andrews	andrews
kupić	mercar
kupić	comprar
wykazać	demostrar
wykazać	amosan
wykazać	demostraron
komórka	móbil
clay	clay
rozmaite	varias
rozmaite	varios
rozmaite	con
jardów	metros
ścieżkę	camiño
ścieżkę	senda
ścieżkę	seu
woods	bosque
woods	bosques
woods	árbores
woods	monte
eksperymenty	experimentos
wydajności	produtividade
wydajności	productividade
różnie	distinta
różnie	diferente
stroje	vestiario
stroje	disfraces
hmm	hmm
