تعاریف	определения
دامن	юбка
دامن	юбку
دامن	юбки
گیلمور	гилмор
مفصلی	артрит
گیتاریست	гитарист
گوینده	диктора
حرام	незаконными
حرام	незаконное
حرام	незаконный
حرام	запрещена
حرام	запрещенные
حرام	запретный
حرام	запрещается
حرام	запрещено
حرام	запрещенные
حرام	запрещается
حرام	запрещена
حرام	запрещено
محراب	алтарь
محراب	святилище
محراب	убежище
اقیانوسی	океанических
اقیانوسی	океан
اقیانوسی	океана
وظیفهٔ	интуитивно
گیتی	вселенная
گیتی	вселенной
گیتی	космос
رید	рейд
رید	рид
رید	рид
عموی	дядя
عموی	дядюшка
جودو	дзюдо
پژو	peugeot
مسائلی	проблемы
مسائلی	проблем
بالاتری	выше
تامیل	тамил
نوسنگی	неолита
کورت	курт
کورت	курт
خطبه	проповедь
خطبه	проповеди
نزاع	спор
نزاع	споры
نزاع	спора
نزاع	конфликт
نزاع	конфликты
نزاع	коллизия
نزاع	ссора
داروین	дарвин
غواصی	погружение
غواصی	дайвинг
غواصی	dive
غواصی	погружение
بلوط	каштан
بلوط	каштаны
بلوط	дуба
بلوط	дуб
دستورات	заказы
دستورات	приказы
دستورات	приказ
تقارن	симметрия
اسراییل	израиль
اسراییل	израильский
اسراییل	израильские
اسراییل	израильских
اسراییل	израильская
اشباع	насыщения
اشباع	насыщенный
اشباع	насыщенных
کوئین	куинн
کوئین	квинн
کوئین	куин
کوئین	квин
پلاتین	platinum
پشتیبان	поддержки
پشتیبان	поддержка
پشتیبان	поддержку
پشتیبان	поддерживаю
پشتیبان	подкрепление
پشتیبان	резервный
اسکندریه	александрии
مرکوری	ртути
مرکوری	ртуть
مرکوری	меркурий
پخت	приготовление
پخت	печь
موری	мори
موری	мюррей
تضعیف	подрывает
تضعیف	подрыв
تضعیف	ослабления
تضعیف	ослабление
خزانه	казначейство
خزانه	казначейства
شهروندی	гражданство
شهروندی	гражданин
شهروندی	гражданина
فین	финн
فین	фин
زانو	колено
زانو	колена
زانو	колени
آرنا	арена
آرنا	арене
فلش	флеш
فلش	вспышка
فلش	flash
فلش	флэш
ناتمام	неполный
ناتمام	неполной
ورنر	вернер
تنبیه	наказан
تنبیه	наказал
تنبیه	наказаны
تنبیه	наказание
