категорія	categorie
від	van
від	uit
від	vanaf
від	vid
для	voor
також	ook
про	ongeveer
про	over
його	zijn
його	its
його	hem
був	was
населення	demografie
населення	bevolking
населення	populatie
було	was
він	wien
під	eronder
під	onder
під	under
після	na
після	after
або	hetzij
або	ofwel
час	tijden
час	times
час	tijd
але	maar
області	oppervlakten
області	gebieden
які	welke
при	pri
який	welke
була	was
були	waren
осіб	personen
міста	steden
міста	gril
див	zien
див	zie
село	selo
село	dorpje
село	dorp
район	district
через	via
через	verschuldigd
через	verschuldigde
села	dorpen
села	dorpjes
села	sela
так	ja
так	ja
тому	geleden
тому	daarom
рік	rick
рік	jaar
відстань	afstand
ради	raad
має	heeft
має	moeten
має	moet
область	oblast
область	gebied
область	oppervlakte
того	togo
яка	wat
яка	welke
вони	ze
вони	zij
сайті	website
близько	close
близько	afsluiten
близько	sluiten
близько	sluit
близько	dichtbij
війни	oorlog
війни	oorlogen
файл	dossier
файл	bestand
між	tussen
роки	jaar
роки	jaren
обговорення	discussie
обговорення	discussies
обговорення	discussies
обговорення	besprekingen
обговорення	bespreken
обговорення	bespreek
коли	wanneer
вона	ze
вона	zij
лише	alleen
лише	enkel
лише	slechts
список	lijstje
список	lijst
вересня	september
цей	dit
цей	deze
березня	maart
березня	marcheren
місце	spot
місце	plaats
місце	lokatie
місце	locatie
місце	ligging
місце	seat
місце	zitplaats
місце	stoel
місце	zetel
україні	oekraïne
серпня	august
серпня	augustus
січня	januari
став	werden
став	werd
травня	mogen
травня	may
травня	mei
травня	mag
травня	moge
грудня	december
інших	overige
інших	andere
інших	ander
інших	overig
інших	overige
інших	andere
інших	overigen
інших	anderen
жовтня	oktober
жовтня	october
жовтня	lgo
один	one
один	één
один	een
один	eén
липня	juli
участь	deelnemende
участь	betrokkenheid
участь	deelneming
участь	participatie
участь	deelname
участь	deelnemen
вид	soort
вид	diersoort
вид	diersoorten
вид	soorten
вид	soort
вид	weergave
вид	uitzicht
вид	bekijk
вид	bekijken
можна	kan
можна	kunt
можна	kunnen
червня	juni
червня	june
місто	stad
місто	stad
вже	al
вже	reeds
життя	life
життя	leven
життя	leefwijze
життя	levensstijl
життя	lifestyle
життя	levenswijze
срср	ussr
квітня	april
листопада	november
лютого	februari
лютого	feb
опис	beschrijving
опис	signalement
опис	omschrijving
центр	ops
центр	centrum
центр	centreren
центр	centrum
центр	centreren
захід	west
захід	westen
захід	westelijk
тільки	alleen
тільки	enkel
тільки	slechts
франції	frankrijk
століття	eeuwenlang
століття	eeuwen
століття	eeuw
рада	raad
рада	rada
відстані	afstanden
схід	oosten
схід	oost
статті	artikelen
статті	artikels
склад	lettergreep
склад	entrepot
склад	warenhuis
склад	magazijn
склад	pakhuis
міні	mini
особи	personen
особи	persoon
особи	person
над	over
історія	verhaal
історія	story
