gana	ghana
express	expressi
express	express
express	expressar
sane	sane
pozicijama	posicions
divlji	wild
divlji	salvatge
polazi	fulls
polazi	fulles
skali	scully
bratstvo	fraternitat
bratstvo	germandat
bratstvo	germanor
bratstvo	hermandad
plamen	flama
sna	somia
sna	somiar
sna	somni
jarac	capricorn
čudo	miracle
krk	krk
doyle	doyle
dobit	lucre
jadrana	adriatic
rommel	rommel
napadača	atacants
duboka	deep
duboka	profunds
duboka	profund
weber	weber
ustavni	constitucional
ustavni	constitucionals
thomson	thomson
režnja	lòbuls
zatvaranje	tancament
zaštitnik	protector
zaštitnik	protectora
étienne	étienne
profesionalna	professional
profesionalna	professionals
mjuzikl	musical
mačke	gats
campbell	campbell
azijski	asiàtics
romeo	romeu
dometa	interval
sirija	síria
egipatska	egipci
pijeska	sorra
wta	wta
ward	ward
arhipelag	arxipèlag
coli	coli
pozadina	antecedents
pozadina	fons
pogubljen	executat
pogubljen	executada
razdvajanje	separació
pečat	segell
pečat	foca
pečat	segell
programima	programes
programima	programes
franco	franco
celtic	celta
celtic	celtic
grešku	error
inspiracija	inspiració
odobrenje	aprovació
palata	palaus
koristan	útil
primati	primats
fleming	fleming
izborni	electius
mol	talp
mol	mol
staklo	vidre
povreda	perjudici
povreda	lesió
sisari	mamífers
sisari	mamífer
barthel	barthel
uređajima	dispositius
specifičan	diferenciades
automobili	cars
automobili	cotxes
automobili	automòbils
distribuciju	distribució
obilježena	marcat
brennan	brennan
resursi	recursos
davies	davies
zastupnik	representant
vezir	visir
bonus	bonus
bonus	gratificació
bonus	bonificació
plaža	platja
lucy	lucy
lokacijama	ubicacions
lokacijama	localitzacions
specijalno	especial
specijalno	especials
ateizam	ateisme
parma	parma
rejting	qualificació
rejting	puntuació
rejting	habilitació
rejting	qualificacions
lipa	lipa
konji	cavalls
babić	babić
mhz	mhz
peći	forns
peći	estufa
phillips	phillips
lars	lars
peto	cinquè
peto	cinquena
označeni	etiquetat
označeni	etiquetada
označeni	etiquetats
lazar	lazar
kupiti	compra
kupiti	buy
kupiti	comprar
foto	foto
minimum	mínim
shu	shu
nadzor	vigilància
kora	escorça
kora	cora
norma	norma
norma	norma
kuka	ganxo
kuka	garfi
hana	hannah
uspona	altes
piero	piero
hitchcock	hitchcock
tokio	tòquio
tokio	tokyo
himne	himne
kepler	kepler
primaju	rebre
ole	ole
vjerovatnoća	probabilitat
concat	concat
krilima	wings
krilima	ales
uništava	destrueix
rado	rado
disney	disney
poglavlja	capítols
geobox	geobox
napulj	nàpols
napetosti	acumulació
bonaparte	bonaparte
ahmet	ahmet
prijem	admissió
prijem	recepció
gilles	gilles
pravna	jurídic
pravna	legal
pravna	legals
radoslav	radoslav
detektiv	detectiu
norme	norma
obnovljen	renovades
obnovljen	renovada
obnovljen	renovats
obnovljen	renovat
administrator	administrador
javier	javier
proizvoditi	produeixin
proizvoditi	produeixen
povod	ocasió
društava	societats
bek	beck
bek	bek
aljehin	alekhin
depresija	depressió
uzorka	mostra
senna	senna
nih	nih
španci	espanyols
maksimum	màxim
mok	mok
dec	dec
pješak	peó
hronološki	cronològic
imajući	tenint
imajući	mantenint
zubi	dents
ted	ted
opticaju	circulació
brad	brad
obroncima	talussos
tunela	túnels
posmatra	rellotges
posmatra	veient
posmatra	mirant
laurie	laurie
zabrana	veta
zabrana	ban
komunistička	comunista
srb	srb
ukr	ukr
markus	markus
nezadovoljstvo	descontentament
nezadovoljstvo	disconformitat
talas	ona
sierra	sierra
bush	bush
upada	raid
slab	dèbil
slab	feble
alexis	alexis
banda	colla
krista	krista
jelo	plat
pilota	pilots
hiv	vih
koplja	llances
koplja	javelin
bra	sostenidor
lakers	lakers
pušenje	fumar
pušenje	fumant
churchill	churchill
direktan	directe
direktan	directa
direktan	direct
direktan	directes
mergedrow	mergedrow
okoliša	ambientals
okoliša	ambiental
allahu	déu
théâtre	théâtre
sdp	sdp
otkrije	revelar
otkrije	revelen
otkrije	descobreix
kum	padrí
papua	papua
kriterij	criteri
hamza	hamza
stepa	estepa
pijanist	pianista
misty	misty
iznose	imports
administracija	administració
čarobnjak	assistent
suđenja	judicis
tragovima	passos
theodor	theodor
udp	udp
ikona	icona
glad	fam
planirana	planificat
planirana	planejat
access	accés
stalnih	persistent
stalnih	persistents
stalnih	nonstop
principi	principis
izgubi	perd
homer	homer
republikanska	republicà
gan	gunn
bruto	bruta
bruto	bruts
classic	classic
classic	clàssic
gandhi	gandhi
hubble	hubble
einstein	einstein
civilna	civil
civilna	civil
teritorijalna	territorial
teritorijalna	territorials
schalke	schalke
mine	mines
stabilan	estable
ferenc	ferenc
nosača	portadora
nosača	transportista
kuna	kuna
dođu	vine
attr	attr
operacijama	operacions
drina	drina
hepburn	hepburn
ribolov	pesca
naboj	càrrec
siva	gray
siva	gris
siva	grey
kane	kane
šupljina	cavitat
pokrivaju	portada
pokrivaju	caràtula
osmi	vuitè
osmi	vuitena
hamlet	hamlet
bekr	bakr
wimbledon	wimbledon
udata	casats
udata	casat
skladištenje	emmagatzematge
skladištenje	emmagatzemament
idejama	idees
idejama	ideas
obnovio	renovades
obnovio	renovada
obnovio	renovats
obnovio	renovat
ponuda	oferta
ekspedicija	expedició
rumunski	romanès
tvorac	creador
studijama	estudis
upravnik	alcaid
budizam	budisme
čovječnosti	humanitat
potpuna	completa
potpuna	complet
kasiopeja	cassiopea
logos	logotips
princeton	princeton
izdavačke	edició
izdavačke	publicant
arheološka	arqueològic
levi	levi
mečeva	mistos
mečeva	partits
mečeva	coincidències
mečeva	coincideix
brz	ràpid
javi	javi
leslie	leslie
uzorak	mostra
melbourne	melbourne
vjerskim	religiós
govornika	altaveus
govornika	parlants
odabran	seleccionat
odabran	seleccionats
izvrši	executa
izloženi	exposat
izloženi	exposats
basic	bàsic
basic	bàsics
basic	bàsiques
basic	basic
wallis	wallis
držala	celebrat
ograničeni	confinat
gómez	gómez
kornjača	tortuga
čeljusti	urpes
jabuke	pomes
jedinstveno	singularment
jedinstveno	úniques
jedinstveno	únic
uzimajući	tenint
tajno	secretament
ravnoteža	equilibri
jutro	matí
ostvaruju	perseguir
roosevelt	roosevelt
deutsche	deutsche
auguste	auguste
roberts	roberts
jednakost	igualtat
advokat	advocat
shell	shell
fer	fira
ltd	ltd
gradonačelnika	mayoral
carlsen	carlsen
nazvane	anomenat
objavljivanje	publicació
sony	sony
avanture	aventures
bros	fermall
bros	bros
organska	organic
organska	orgànic
organska	orgànica
trend	tendència
bogovima	déus
pažljivo	atentament
uništenja	destrucció
ramos	ramos
baka	baka
josy	josy
vjerska	religiós
zagradi	parèntesis
dominantni	dominant
logika	lògica
wesley	wesley
proizvedena	fabricat
proizvedena	fabricats
ubijena	matat
vene	veins
vene	venes
relacija	equivalència
misle	pensa
olympique	olympique
vlažnost	humitat
šalju	envia
alge	alga
hebrejski	hebreu
rect	rect
augustin	augustin
pivo	cervesa
granate	projectils
granate	closques
šerif	sheriff
šerif	xèrif
smallville	smallville
ograničenje	límit
boško	bosko
iupac	iupac
turner	turner
psihologija	psicologia
geometrija	geometria
pravno	legalment
alfons	alfons
alfons	alfonso
libija	líbia
klarinet	clarinet
prebačen	transferit
zadatke	assignacions
zadatke	cessions
ostavi	excedència
einar	einar
sistematski	sistemàticament
jamie	jamie
izložena	exposat
izložena	exposats
nafta	petroleum
nafta	petroli
željeznički	ferrocarril
luz	luz
šesnaest	setze
sarađivao	cooperar
bomba	bomba
lloyd	lloyd
stop	atura
stop	stop
kuba	cuba
elektronska	electronic
dole	down
instrumente	instruments
poručnik	tinent
zaustavlja	atura
zaustavlja	stop
nestala	desaparegut
nestala	falta
nestala	desapareguda
odsustvo	absència
slobodi	soltes
slobodi	solta
okružena	rodejats
okružena	envoltades
okružena	rodejat
spomenut	esmentat
ponedjeljak	dilluns
arhitektonski	arquitectòniques
zvonimir	zvonimir
px}}	px}}
ofanziva	ofensiu
ofanziva	ofensiva
geometrijski	geomètric
geometrijski	geomètrica
postotak	percentatge
panama	panamà
datumi	dates
interese	interessos
tajvan	taiwan
panzer	panzer
izložen	exposat
izložen	exposats
kenneth	kenneth
izdavača	editorials
carska	imperial
tame	foscor
tame	tenebres
tame	tame
počast	homenatge
ozbiljne	greus
ozbiljne	seriós
vice	vici
vice	vice
nuklearni	nuclear
prisiljeni	forçada
prisiljeni	forçat
hronika	cròniques
hronika	crònica
prezentacija	presentació
metan	metà
dubai	dubai
friends	amics
friends	amistats
kancelar	canceller
britannica	britannica
born	nascut
born	born
poplave	inundacions
ukrajinci	ucraïnesos
demokratija	democràcia
vivo	vivo
schmidt	schmidt
reforma	reforma
usmjeren	dirigit
usmjeren	dirigida
profesionalne	professional
profesionalne	professionals
andersson	andersson
doors	portes
znajući	coneixent
znajući	sabent
talasi	ones
talasi	onades
pobunjenika	rebels
pobunjenika	rebel
hronologija	cronologia
lane	carril
nowrap	nowrap
sljedbenici	seguidors
zalihe	subministraments
baterije	bateries
baterije	piles
delfin	dofí
crtež	croquis
crtež	esbós
crtež	dibuix
grah	mongetes
darwin	darwin
hassan	hassan
memorija	memòria
dizel	gasoil
dizel	diesel
dizel	dièsel
strategije	estratègies
koalicije	coalicions
trave	herba
sirius	sírius
sirius	sirius
karbonat	carbonat
unix	unix
ključanja	bullint
ključanja	ebullició
planova	plans
dem	dem
