ve	at
bir	isa
bir	one
bu	ito
bu	nito
bu	na
bu	yan
ile	kay
en	paborito
daha	pa
daha	pang
sonra	then
sonra	pagkatapos
sonra	mamaya
ilk	unang
ilk	muna
utc	utc
çok	napaka
çok	magkano
çok	marami
yer	lugar
yer	venue
yer	lugar
yer	pook
yer	kinalalagyan
yer	lokasyon
gibi	parang
gibi	like
gibi	gustuhin
dış	dis
büyük	large
büyük	malaki
büyük	malaking
büyük	big
büyük	malaking
büyük	malaki
büyük	napakalaki
bağlantılar	links
türkiye	turkey
türkiye	turkiya
iki	dalawang
iki	dalawa
iki	two
ancak	subalit
ancak	gayunman
ancak	gayunpaman
center	center
center	sentro
arasında	pagitan
ayrıca	rin
ayrıca	din
istanbul	istanbul
türk	turk
türk	turko
yeni	new
yeni	bago
yeni	bagong
un	harina
her	kada
her	tuwing
her	bawat
aynı	parehong
aynı	same
kulüp	club
kulüp	samahan
bağlı	kalakip
bağlı	nakatali
bağlı	depends
bağlı	depende
bağlı	nakakonekta
bağlı	konektado
iyi	mabait
iyi	mabuti
iyi	fine
ne	anong
ne	anu
ne	anung
ne	ano
ilgili	interesado
ilgili	kaugnayan
ilgili	kaugnay
son	huling
son	huli
son	last
son	matatapos
son	katapusan
son	pagtatapos
son	tapusin
son	dulo
alan	patlang
alan	field
alan	larangan
alan	domain
alan	alan
alan	lugar
alan	area
alan	lawak
dünya	mundo
dünya	daigdig
dünya	lupa
abd	usa
birlikte	sama
birlikte	magkasama
bulunan	matatagpuan
eski	matanda
eski	luma
önemli	highlight
önemli	highlights
önemli	kahalaga
önemli	mahalaga
önemli	makabuluhang
madde	sangkap
madde	clause
madde	materyal
madde	materyales
madde	matter
madde	artikulo
sağlık	kaayusan
sağlık	medikal
sağlık	medical
sağlık	kalusugan
genel	pangkalahatan
genel	pangkalahatan
genel	heneral
genel	pangkalahatang
genel	general
mart	mart
mart	marso
adı	pangalan
adı	pong
film	films
film	pelikula
film	sine
film	movie
film	movies
haziran	june
haziran	hunyo
mayıs	mayo
mayıs	maaaring
dosya	files
dosya	file
dosya	tipunan
dosya	magsampa
dosya	talaksan
dosya	file
ocak	jan
ocak	january
ocak	enero
ocak	kalan
ocak	kusinilya
yıl	taon
dan	dan
kasım	nobyembre
kasım	november
kasım	nobyembre
avrupa	europa
avrupa	gresya
avrupa	europeo
avrupa	european
ama	ngunit
ama	pero
karşı	kontra
karşı	counter
toplam	habambuhay
toplam	lifetime
toplam	sum
toplam	kabuuan
toplam	kabuuang
toplam	kabuuan
toplam	pangkalahatan
jpg	jpg
ikinci	pangalawa
eylül	setyembre
ağustos	august
ağustos	agosto
içinde	inside
içinde	loob
temmuz	hulyo
önce	noon
önce	dati
önce	bago
önce	unang
önce	muna
tüm	whole
tüm	buo
tüm	buong
den	den
nisan	april
nisan	abril
resim	picture
resim	larawan
resim	larawan
resim	imahe
resim	painting
resim	pinta
resim	pagguhit
resim	drawing
üniversitesi	university
üniversitesi	unibersidad
üniversitesi	pamantasan
ye	kumain
ekim	oktubre
ekim	oktubre
şehir	bayan
şehir	lungsod
şehir	siyudad
şehir	city
şehir	urbano
zaman	panahon
zaman	oras
zaman	time
bazı	ilang
bazı	ilan
üzerine	upon
aralık	december
aralık	disyembre
aralık	dis
aralık	pagitan
aralık	interval
köy	nayon
yüksek	high
yüksek	mataas
birçok	maraming
birçok	marami
şubat	february
şubat	pebrero
sadece	lang
sadece	lamang
sadece	lng
sadece	nalang
sadece	basta
yol	landas
yol	path
yol	ruta
yol	route
yol	paraang
yol	paraan
yol	way
yol	daan
fakat	ngunit
fakat	pero
grup	banda
grup	grupo
grup	pangkat
grup	group
takım	squad
takım	team
kendi	sarili
kendi	sariling
şekilde	paraang
şekilde	paraan
şekilde	way
tek	singles
tek	single
tek	solong
bilgi	info
bilgi	impormasyon
bilgi	kaalaman
bilgi	knowledge
kez	times
kez	beses
hakkında	tungkol
latns	latns
longew	longew
latd	latd
osmanlı	imperyong
longd	longd
longm	longm
latm	latm
devlet	state
devlet	estado
devlet	governmental
devlet	pamahalaan
devlet	gobyerno
ankara	ankara
lats	lats
colspan	colspan
üç	tatlong
üç	tatlo
tarihi	date
tarihi	petsa
tarihi	makasaysayang
tarihi	kasaysayan
tarihi	history
başladı	nagsimula
başladı	inumpisahan
başladı	sinimulan
başladı	sinimulan
küçük	liit
küçük	maliit
küçük	lil
küçük	kaunti
küçük	maliit
müzik	sinauna
müzik	tugtog
müzik	musika
müzik	tugtugin
müzik	music
gelen	papasok
resmi	pormal
resmi	picture
resmi	larawan
resmi	official
resmi	opisyal
kabul	pumayag
kabul	acceptance
kabul	pagtanggap
kabul	tinatanggap
kabul	tumatanggap
kabul	tanggapin
kabul	accept
kabul	tinanggap
kabul	agree
devam	magpatuloy
devam	ipagpatuloy
devam	panatilihin
kupası	tasa
kupası	kopa
fazla	sobra
fazla	labis
okulu	paaralan
aldı	taken
aldı	natanggap
em	lamunin
sahip	dominus
sahip	sahib
farklı	ibang
futbol	soccer
futbol	football
ileti	mensahe
ileti	message
doğru	tumpak
doğru	tama
doğru	diba
doğru	kanang
doğru	totoo
doğru	true
doğru	tama
doğru	correct
doğru	itama
tarım	agrikultura
tarım	pagsasaka
tarım	agrikultura
on	sampung
on	sampu
özel	exclusive
özel	eksklusibo
özel	eksklusibong
özel	pribado
özel	pribadong
özel	espesyal
özel	special
özel	custom
biri	somebody
biri	isa
biri	one
alanı	patlang
alanı	field
alanı	larangan
alanı	lugar
alanı	area
alanı	lawak
vikipedi	wikipedia
uzun	tangkad
uzun	matangkad
uzun	pinahabang
uzun	pinahaba
uzun	karugtong
uzun	extended
uzun	mahaba
uzun	matagal
uzun	haba
şarkı	kumakanta
şarkı	kantahan
şarkı	pagkanta
şarkı	kanta
şarkı	songs
şarkı	awitin
şarkı	kanta
şarkı	awit
eden	eden
lig	league
lig	liga
orta	gitnang
orta	gitna
orta	katamtaman
orta	mid
orta	center
orta	sentro
orta	sentro
orta	centre
oyuncu	player
oyuncu	manlalaro
oyuncu	artista
oyuncu	actor
oyuncu	aktor
oyuncu	aktres
oyuncu	artista
oyuncu	actress
geri	backward
geri	likod
geri	bumalik
geri	balikan
geri	balik
geri	paurong
geri	umatras
#ccf	#ccf
mesaj	text
mesaj	txt
mesaj	teksto
mesaj	mensahe
mesaj	message
elektrik	elektrisidad
elektrik	kuryente
elektrik	electrical
elektrik	electric
merkezi	central
merkezi	gitnang
merkezi	center
merkezi	sentro
merkezi	sentro
merkezi	centre
kısa	shorter
kısa	maiksi
kısa	maikli
kısa	short
kısa	pandak
kısa	maikling
kısa	maikli
kısa	maikling
güney	katimugang
güney	southern
güney	timog
almanya	germany
almanya	alemanya
almanya	mikrobyo
kişi	taong
kişi	person
kişi	tao
değil	hinde
değil	hindi
kuzey	north
kuzey	hilagang
kuzey	hilaga
kuzey	hilagang
çeşitli	naiba
