attribuée	omistatud
hôte	peremees
hôte	võõrustaja
hôte	vastuvõtva
hôte	saatejuht
revers	tagasilöök
sergio	sergio
calme	rahulik
calme	vaikne
organe	keha
organe	organi
organe	elundite
organe	organ
signification	tähendus
signification	olulisus
todd	todd
duel	duell
panama	panama
poétique	poeetiline
enregistrements	records
enregistrements	salvestisi
enregistrements	salvestused
épaisseur	paksus
globale	üldine
globale	üldiselt
#aaaaaa	#aaaaaa
hunter	kütt
hunter	hunter
hunter	jahimees
heureux	õnnelik
alaska	alaska
entreprend	kohustub
perdues	eksinud
perdues	kaotas
perdues	kadunud
perdues	kaotatud
bébé	kallis
bébé	beebi
entré	kantud
entré	sisestatud
moments	hetki
moments	hetked
illustrateur	illustraator
dépendant	sõltuv
dépendant	sõltuvad
perse	pärsia
perse	pärsia
diesel	diisel
phoenix	phoenix
valley	org
valley	oru
valley	valley
lópez	lópez
lópez	lopez
comprennent	kaasamine
délai	viivitus
délai	tähtpäev
délai	tähtaeg
magic	maagiline
magic	võlu
magic	magic
magic	maagia
solidarité	solidaarsus
piémont	piemonte
successifs	järjestikused
successifs	järjestikuste
chapeau	mütsid
chapeau	müts
chapeau	mütsi
chapeau	kaabu
chapeau	kübar
vénus	veenus
portait	kandis
comptant	sularaha
comptant	cash
ted	ted
uniforme	ühtlane
uniforme	ühtsed
uniforme	munder
serment	vanne
libéraux	liberaalide
libéraux	liberaalne
disciplines	distsipliinide
portugaise	portugali
edition	väljaanne
supérieurs	ülemused
scandale	skandaal
scandale	skandaali
débarquement	maandumine
festivals	festivalid
jésuites	jesuiit
échoue	ebaõnnestub
sebastian	sebastian
ducs	dukes
alphabétique	tähestikulises
alphabétique	tähestikuline
juliette	juliette
juliette	juliet
attribution	jaotamine
attribution	eraldamine
harmattan	harmattan
protestants	protestantide
protestants	protestantide
arrestation	arreteerida
arrestation	vahistamine
daté	kuupäevaga
cristal	crystal
cristal	kristall
cristal	cristal
combinaison	kombineerimine
combinaison	kombinatsioon
combinaison	kombo
taxe	maks
radar	radar
jouée	mängis
jouée	mänginud
jouée	mängitud
malaisie	malaisia
malaisie	malaisias
terminée	lõpetatud
terminée	lõpetatud
insurrection	ülestõus
repas	sööki
repas	eine
repas	jahu
éthique	eetiline
éthique	eetika
hesse	hesseni
hesse	hesse
bâti	ehitatud
halle	halle
luxe	deluxe
luxe	luksus
estimée	hinnanguline
estimée	hinnanguliselt
maîtresse	armuke
maîtresse	perenaine
lorenzo	lorenzo
grenade	grenada
grenade	granaatõuna
grenade	granada
grenade	granaat
rob	rob
casablanca	casablanca
dennis	dennis
mail	mail
mail	post
mail	kirjad
mail	posti
qualifier	kvalifitseeruvad
mobilier	mööbel
compositeurs	heliloojate
artisans	käsitööliste
cat	kass
cat	cat
strictement	rangelt
tâches	ülesanded
impératrice	keisrinna
soccer	jalgpall
ressort	kevad
gère	haldab
marquer	märgi
marquer	märk
marquer	mark
marquer	skoor
marquer	punktisumma
chartres	chartres
décoré	autasustatud
décoré	kaunistatud
humides	niiske
humides	niiske
humides	niiske
humides	märg
humides	märjad
humides	märjaks
léo	leo
hof	hof
condé	conde
contraintes	piirangud
détective	uurija
détective	detektiiv
cohen	cohen
conçue	kujundatud
conçue	disainitud
conçue	projekteeritud
conçue	kavandatud
sarkozy	sarkozy
wagner	wagner
devenus	sai
wurtemberg	württemberg
truc	asi
salomon	salomon
salomon	solomon
salomon	saalomoni
barbe	barbe
barbe	habe
allié	liitlaste
allié	legeeritud
allié	liitlane
allié	ally
prouver	tõestada
prouver	tõestada
prouver	tõesta
dette	võlg
dette	võla
dream	unistus
dream	dream
dream	unenägu
moyennes	keskmine
moyennes	keskmise
moyennes	keskmine
moyennes	keskmised
moyennes	andmekandja
moyennes	keskmised
meurthe	meurthe
bibliothèques	raamatukogude
cru	toores
cru	toor
cru	toorelt
cru	cru
dessert	magustoit
blake	blake
nationaliste	natsionalistlik
nationaliste	natsionalistlik
peuplée	asustatud
expert	eksperdi
expert	asjatundja
expert	ekspert
normand	norman
lourde	rasked
lourde	raske
holmes	holmes
renard	renard
renard	rebane
renard	rebase
renard	fox
esclavage	orjus
video	video
magnétique	magnet
mississippi	mississippi
collègues	kolleegid
attire	meelitada
graines	seemned
graines	seeme
graines	seeme
rébellion	mäss
rébellion	ülestõus
républicaine	vabariiklaste
rtl	rtl
nova	nova
isolées	isoleeritud
isolées	isoleeritud
isolées	eraldatud
percussions	löök
fixé	fikseeritud
tueur	tapja
tueur	killer
tueur	mõrvar
envoyés	saadetud
galeries	galeriis
galeries	galerii
apparente	ilmne
évident	ilmselge
évident	ilmne
évident	ilmne
coûts	kulud
coûts	kulu
coûts	maksumus
coûts	kulud
auxerre	auxerre
munitions	laskemoon
munitions	laskemoona
munitions	laskemoon
munitions	laskemoona
divine	jumalik
warren	warren
bouddhisme	budism
fraction	murdosa
fraction	fraktsioon
présentés	esitletud
présentés	esitatud
aidé	aitasid
aidé	aitas
aidé	aidanud
harmonie	harmoonia
magnus	magnus
révélé	paljastatud
révélé	avalikustatud
parlementaires	mps
renseignements	teave
renseignements	info
renseignements	informatsioon
collins	collins
blocs	plokid
blocs	plokkide
blocs	kvartalit
voulant	tahtmine
acheté	ostetud
acheté	ostetud
acheté	ostsid
acheté	ostis
bolivie	boliivia
bolivie	boliivia
coupé	lõika
coupé	lõigatud
coupé	kupee
#aaa	#aaa
législation	õigusaktid
législation	seadusandlus
législation	õigusakt
immeubles	ehitised
immeubles	hooned
localement	kohalikult
localement	lokaalselt
localement	kohapeal
cerf	cerf
cerf	hirv
cerf	hirve
courtes	lühike
courtes	lühikesed
révolutionnaires	revolutsiooniline
révolutionnaires	revolutsionäärid
oblige	kohustab
proportion	osakaal
noces	pulm
noces	laulatus
noces	pulma
noces	pulmad
poméranie	pomorze
sylvie	sylvia
sylvie	david
sylvie	sylvie
sylvie	susan
posthume	postuumne
wolfgang	wolfgang
bal	bal
bal	balli
bal	ballile
câble	kaabel
mers	merede
lost	eksinud
lost	kaotas
lost	kadunud
lost	kaotatud
johan	johan
cbs	cbs
reconstruit	rekonstrueeritud
canaux	kanalid
canaux	kanalid
figaro	figaro
exercer	harjutab
brièvement	lühidalt
implantation	implantatsiooni
irlandaise	iiri
irlandaise	iirlased
boucle	luku
boucle	lukk
boucle	silmus
boucle	loop
escadre	eskadrill
escadre	tiiva
escadre	tiib
slovénie	sloveenia
correctement	korralikult
correctement	korrektselt
correctement	õigesti
piliers	sammas
piliers	samba
coordination	koordineerimine
coordination	kooskõlastamine
talents	anded
talents	andeid
talents	talent
talents	ande
talents	annet
diplomatique	diplomaatiline
doux	magusa
doux	magus
doux	magusad
doux	hell
doux	õrn
doux	kerged
doux	kerge
doux	pehme
doux	pehmed
pères	isad
pères	isad
capables	võimeline
partagé	jagatud
romaines	roman
achevé	lõpetatud
joint	ühine
joint	ühise
syndicats	ametiühingud
syndicats	liidud
immédiate	vahetu
immédiate	kohene
nigeria	nigeeria
lou	lou
gaulois	gallia
gaulois	gallia
gaulois	gallid
émilie	emilie
émilie	emily
convaincu	veendunud
nacional	nacional
malades	haige
malades	haiged
malades	haige
malades	haigeks
leonard	leonard
concession	kontsessiooni
hainaut	hainaut
inspirée	inspireeritud
dérive	triivi
dérive	triivib
eurovision	eurovisiooni
égyptien	egiptuse
tort	väär
tort	vale
tort	valesti
juges	kohtunikud
hms	hms
avantages	eeliseid
avantages	eelised
avantages	kasu
prévention	ennetamine
prévention	profülaktika
prévention	ennetamise
prévention	vältimine
keith	keith
dommages	kahjustus
dommages	kahju
dommages	kahjustused
dommages	kahjutasu
prononce	hääldada
eglise	kiriku
eglise	kirik
organique	orgaaniline
organique	orgaanilised
organique	orgaaniliste
impôt	maks
impôt	maksud
vengeance	kättemaks
vengeance	kättemaks
vengeance	kättemaks
bombardement	pommitamist
bombardement	pommitamine
guadeloupe	guadeloupe
violoncelle	tšello
impliqué	kaasatud
memorial	memorial
stage	praktika
bros	bros
bros	vennad
demain	homme
nasa	nasa
mensuel	igakuine
équipée	paigaldatud
équipée	varustatud
dakar	dakar
souveraineté	suveräänsust
souveraineté	suveräänsuse
profond	sügav
profond	deep
profond	sügavale
spécialisés	spetsialiseerunud
spécialisés	spetsialiseerunud
continuité	järjepidevus
systématiquement	süstemaatiliselt
systématiquement	süstemaatiline
intensité	osatähtsus
intensité	intensiivsus
intensité	valgustugevus
protéines	valk
protéines	proteiin
protéines	valgud
protéines	valke
récent	hiljuti
récent	hiljutine
récent	hiljutised
hollandais	hollandi
attentats	rünnakud
intéressé	huvilistel
intéressé	huvitatud
décrire	kirjelda
décrire	kirjeldada
sauveur	päästja
éclairage	valgustus
éclairage	valgustus
betty	betty
haye	haagi
rochefort	rochefort
assurée	kindlustatud
martinique	martinique
esp	pil
esp	esp
mathématique	matemaatiline
