atletas	atlete
sonic	sonic
asumir	assume
espectro	spectra
espectro	spektrum
espectro	spectre
serio	ernstige
serio	ernstig
conducción	bestuur
conducción	driving
capacidades	vermoëns
inteligente	hefboom
inteligente	clever
inteligente	intelligente
inteligente	luukse
inteligente	slim
inteligente	smart
introducido	ingevoer
introducido	ingevoerde
introducido	ingestel
ficticio	fiktiewe
manhattan	manhattan
concursos	kompetisies
partió	departed
cia	cia
cia	cla
dosis	hoeveelhede
dosis	dose
conocía	knew
conocía	geweet
cubrir	toemaak
cubrir	omslag
cubrir	omhulsel
antártida	antarktika
citas	aanhalings
citas	aanhalings
citas	afsprake
citas	dating
aprobada	goedgekeur
libreto	libretto
filadelfia	philadelphia
decidido	besluit
decidido	vasbeslote
decidido	vasberade
decidido	bepaal
falso	vals
falso	valse
falso	fake
humedad	humiditeit
atracción	aantrekkingskrag
atracción	aantreklikheid
jurídico	wettig
jurídico	legal
tabasco	tabasco
formaciones	formasies
destruida	vernietig
testigo	getuienis
seguida	gevolg
bros	bros
kilómetro	myl
kilómetro	kilometer
bobby	bobby
lugo	lugo
reptiles	reptiel
reptiles	reptiele
logo	logo
logo	kenteken
turística	toeriste
holandés	hollander
holandés	hollandse
holandés	nederlands
estocolmo	stockholm
nasa	nasa
masiva	massiewe
masiva	massive
viendo	sien
viendo	kyk
mercurio	mercury
mercurio	kwik
gilbert	gilbert
escobar	escobar
moléculas	molekules
regulación	regulering
regulación	regulasie
sargento	sersant
alturas	hoogtes
alturas	heights
creencia	belief
creencia	gewete
campbell	campbell
danny	danny
ventajas	voordele
ventajas	voordele
martes	dinsdag
martes	dinsdae
pretendía	bedoel
arsenal	arsenal
sociología	sosiologie
nigeria	nigeriese
nigeria	nigerië
nigeria	nigeria
constantinopla	konstantinopel
extrema	uiters
extrema	extreme
gibraltar	gibraltar
sentimiento	voel
sentimiento	sentiment
cargas	kostes
suficientes	genoeg
suficientes	voldoende
when	wanneer
márquez	marquez
flash	flits
flash	flash
place	plek
reality	realiteit
reality	werklikheid
fuga	ontsnap
cleveland	cleveland
dorada	goue
dorada	golden
dorada	goud
abuela	ouma
abuela	granny
abuela	ouma
experto	kundige
experto	expert
experto	ervare
frontal	voorkant
frontal	voor
frontal	front
frontal	frontale
borgoña	boergondië
huevo	eiers
huevo	eier
tragedia	tragic
tragedia	tragedie
beta	beta
contaminación	besoedeling
