algeriet	algeria
mus	soareci
mus	mouse
virkelighed	realitate
virkelighed	realitatea
über	über
grundloven	constituţia
grundloven	constitutie
grundloven	constituție
grundloven	constituția
cleveland	cleveland
kemiker	chimist
beretninger	rapoarte
beretninger	rapoartele
planerne	planurile
planerne	planuri
juventus	juventus
gravsted	mormant
gravsted	mormânt
ingrid	ingrid
vanskelig	dificil
vanskelig	dificile
vanskelig	dificilă
holmes	holmes
anbefalede	recomandat
anbefalede	recomandate
anbefalede	recomandată
skyldig	vinovat
skyldig	vinovată
teknikker	tehnici
marker	domenii
marker	câmpuri
marker	câmpurile
marker	colete
marker	parcele
marker	marcu
marker	marchează
marker	marca
marker	mark
baseball	baseball
fabrikant	producator
fabrikant	producătorul
fabrikant	producător
fabrikant	producătorului
boldklubben	boldklubben
ted	ted
tree	pom
tree	arbore
tree	copac
tree	copacul
tree	arborele
tree	tre
reducere	reduce
porto	timbre
porto	porto
porto	oporto
enkel	simplu
enkel	simple
enkel	simplă
balkan	balcani
balkan	balcanii
balkan	balcani
balkan	balcanic
balkan	balcanică
balkan	balcanice
tilbagevendende	recurente
tilbagevendende	recurente
svaret	răspuns
svaret	răspunde
svaret	raspunde
edgar	edgar
angels	ingeri
angels	ingerii
angels	angels
angels	îngeri
angels	îngerii
dæk	anvelope
dæk	pneuri
dæk	cauciucuri
dæk	punte
dæk	puntea
dæk	acoperi
dæk	acoperă
dæk	coperta
dæk	copertă
dæk	cover
dæk	acoperire
dæk	anvelope
dæk	pneuri
dæk	cauciucuri
dæk	pneu
dæk	anvelopă
nhl	nhl
metropolitan	metropolitană
metropolitan	metropolitan
drømme	visul
drømme	vis
drømme	visează
drømme	viseaza
drømme	visele
drømme	dreams
drømme	visuri
drømme	vise
drømme	visând
drømme	visez
kanten	marginea
kanten	edge
kanten	margine
kanten	muchie
neil	neil
discipliner	discipline
duo	duo
hjulpet	ajutat
hjulpet	ajutată
hjulpet	ajutat
opdeling	detaliere
opdeling	divizia
opdeling	divizare
opdeling	diviziunea
opdeling	diviziune
opdeling	divizie
kansler	cancelarul
kansler	cancelar
kaffe	cafea
kaffe	cafeaua
registrerede	înregistrate
