और	وال
से	من
से	from
है	هال
है	هاي
एक	احد
एक	واحدة
एक	واحد
एक	واحده
श्रेणी	الفئة
श्रेणी	فئة
श्रेणी	مسلسل
श्रेणी	سلسلة
श्रेणी	السلسلة
श्रेणी	مسلسلات
श्रेणी	الفئات
श्रेणी	الاصناف
श्रेणी	فئات
भी	حتى
भी	حتي
भी	ايضا
भी	كمان
भी	ايضا
यह	هذا
यह	هذه
किया	معمول
किया	فعلت
किया	تمت
किया	تم
किया	انتهيت
इस	هذا
इस	هذه
कि	هذا
कि	ذلك
भारत	انديا
भारत	الهند
भारत	بالهند
जो	جو
जो	من
जो	اللي
रूप	شكل
रूप	الشكل
रूप	استمارة
रूप	النموذج
रूप	الظهور
रूप	ظهور
रूप	مظهر
रूप	المظهر
कर	ضريبي
कर	ضرائب
कर	الضرائب
कर	الضريبة
कर	ضريبة
कर	ضرائب
कर	الضرائب
नहीं	ليس
नहीं	لا
नहीं	وليس
नहीं	مش
गया	رحت
साथ	with
साथ	مع
साथ	سويا
साथ	سوية
साथ	معا
पूर्व	شرقي
पूर्व	ايست
पूर्व	شرق
पूर्व	الشرق
पूर्व	شرقا
पूर्व	الشرقية
पूर्व	سابق
पूर्व	السابق
बाद	لاحقا
बाद	لاحق
बाद	بعدما
बाद	بعد
तक	حتى
अपने	امتلك
अपने	تك
जिले	المناطق
जिले	المقاطعات
जिले	مقاطعات
था	كانت
था	كان
राज्य	دول
राज्य	الولايات
राज्य	الدول
राज्य	الولاية
राज्य	دولة
राज्य	ولاية
राज्य	الحالة
राज्य	الدولة
बाहरी	خارجية
बाहरी	الخارجية
बाहरी	خارجي
बाहरी	خارجية
बाहरी	النزهات
कुछ	البعض
कुछ	بعض
कुछ	شيء
कुछ	شئ
कुछ	حاجه
कुछ	شي
ईसा	يسوع
गाँव	قرية
गाँव	القرية
सरकार	تزحف
सरकार	الحكومة
सरकार	الحكومات
सरकार	حكومة
कड़ियाँ	سلاسل
कड़ियाँ	السلاسل
कड़ियाँ	الوصلات
कड़ियाँ	الصلات
कड़ियाँ	روابط
कड़ियाँ	الروابط
कड़ियाँ	وصلات
प्रदेश	الاقليم
प्रदेश	اقليم
प्रदेश	منطقة
प्रदेश	المنطقة
दिया	نظرا
दिया	اعطى
दिया	وهب
दिया	اعطيت
अन्य	اخرى
अन्य	اخرون
अन्य	اخرين
अन्य	الاخرون
जा	jaa
वर्ष	السنين
वर्ष	اعوام
वर्ष	سنين
वर्ष	السنوات
वर्ष	سنوات
वर्ष	عام
वर्ष	العام
वर्ष	السنه
वर्ष	سنة
वर्ष	سنه
वर्ष	السنة
समय	توقيت
समय	التوقيت
समय	وقت
समय	الزمن
समय	الوقت
समय	زمن
समय	الزمان
नाम	اسم
नाम	الاسم
वे	هم
वे	انهم
प्रकार	نوع
प्रकार	النوع
प्रकार	نوع
प्रकार	انواع
प्रकार	الانواع
भारतीय	هندية
भारतीय	هندي
भारतीय	الهندية
भारतीय	الهندي
किसी	شخص
किसी	احد
क्षेत्र	مساحة
क्षेत्र	المساحة
क्षेत्र	منطقة
क्षेत्र	المنطقة
क्षेत्र	الاقليم
क्षेत्र	اقليم
क्षेत्र	منطقة
क्षेत्र	المنطقة
क्षेत्र	المجالات
क्षेत्र	مجالات
क्षेत्र	مناطق
क्षेत्र	المناطق
अधिक	المزيد
अधिक	اكتر
अधिक	اكثر
अधिक	مزيد
कई	كثير
कई	العديد
कई	الكثيرون
कई	كثيرون
कई	الكثير
कई	عدة
मण्डल	منطقة
मण्डल	المنطقة
आधिकारिक	رسمي
आधिकारिक	الرسمي
आधिकारिक	رسمية
आधिकारिक	مسؤول
कारण	دواعي
कारण	اسباب
कारण	الاسباب
कारण	سبب
कारण	السبب
कारण	السبب
कारण	سبب
कारण	اسباب
कारण	الاسباب
होने	كونك
जैसे	مثل
जैसे	لايك
उनके	هم
सबसे	معظم
सबसे	الاكثر
सबसे	اغلب
हिन्दी	هندية
हिन्दी	هندي
हिन्दी	الهندية
बहुत	جدا
पहले	قبل
पहले	اول
पहले	اولا
पहले	الاول
पहले	الاولى
अपनी	امتلك
दो	اثنين
दो	اثنان
दो	اثنتان
जिला	المنطقة
जिला	المقاطعة
जिला	منطقة
जब	حين
जब	عندما
जब	متى
उन्होंने	هم
उन्होंने	انهم
उन्होंने	المصريين
जन्म	ولد
जन्म	تولد
जन्म	مولود
जन्म	يولد
जन्म	ولدت
जन्म	ميلاد
जन्म	الميلاد
जन्म	الولادة
जन्म	ولادة
कोई	كوي
कोई	اي
कोई	اية
इन	نزل
लेकिन	لكن
लेकिन	بس
लेकिन	ولكن
ये	هذا
ये	هذه
ये	هؤلاء
ये	هذه
कम	منخفض
कम	منخفضة
कम	تدني
कम	انخفاض
कम	اقل
कहा	قالت
कहा	قال
कहा	قالو
लोग	اشخاص
लोग	اناس
लोग	الاشخاص
लोग	الناس
लोग	ناس
आदि	الخ
आदि	المزيد
आदि	اكتر
आदि	اكثر
आदि	مزيد
आदि	ادى
आदि	عدي
उसके	ده
उसके	لها
उसके	هي
प्राचीन	قديم
प्राचीन	القدماء
देखें	شاهد
देखें	ساعة
देखें	راقب
देखें	مشاهدة
देखें	شاهد
देखें	ترى
देखें	عرض
देखें	منظر
देखें	اعرض
उत्तर	اجابة
उत्तर	الاجابة
उत्तर	جواب
उत्तर	الجواب
उत्तर	نورث
उत्तर	شمالي
उत्तर	شمال
उत्तर	شمالا
उत्तर	الشمال
उत्तर	الاجابات
उत्तर	اجابات
भाषा	لغات
भाषा	اللغات
भाषा	لغة
भाषा	اللغة
लिये	لاجل
सभी	كلهم
सभी	كله
सभी	جميع
सभी	كل
सभी	الكل
प्राप्त	استقبل
प्राप्त	تلقت
प्राप्त	استلام
प्राप्त	وردت
प्राप्त	ورد
प्राप्त	تستلم
प्राप्त	استلام
प्राप्त	تلقي
प्राप्त	تستقبل
प्रयोग	التجارب
प्रयोग	تجارب
प्रयोग	الاستعمال
प्रयोग	الاستخدام
प्रयोग	استعمال
प्रयोग	التجربة
प्रयोग	تجربة
शामिल	يشمل
शामिल	يتضمن
शामिल	تتضمن
शामिल	تشمل
शामिल	شملت
शामिल	المدرجة
शामिल	شمل
शामिल	مدرج
शामिल	تشمل
शामिल	تضمين
उन्हें	هم
उस	هذا
उस	ذلك
स्थान	اماكن
स्थान	الاماكن
स्थान	المكان
स्थान	مواقع
स्थान	المواقع
स्थान	مكان
स्थान	المكان
स्थान	موقع
स्थान	الموقع
स्थान	المكان
प्रमुख	رئيس
प्रमुख	الرئيس
प्रमुख	الزعيم
प्रमुख	رائد
प्रमुख	ماجور
प्रमुख	الرائد
प्रमुख	رئيسية
प्रमुख	الرئيسية
हुई	هوي
बीच	شاطئ
बीच	شاطيء
बीच	الشاطئ
बीच	بيتش
बीच	الشاطيء
बीच	سنتر
बीच	المركز
बीच	المنتصف
बीच	الوسط
बीच	مركز
गए	رحلت
गए	رحل
गए	ذهب
गए	ذهبت
गए	رحت
मुख्य	رئيس
मुख्य	الرئيس
मुख्य	الزعيم
मुख्य	رئيسية
मुख्य	الرئيسية
थी	كانت
थी	كان
उसे	له
उसे	هو
उसे	لها
उसे	هي
कार्य	المهام
कार्य	مهام
कार्य	الوظيفة
कार्य	وظيفة
कार्य	الشغل
कार्य	شغل
कार्य	عمل
कार्य	العمل
कार्य	اعمل
कार्य	عمل
कार्य	الوظائف
कार्य	وظائف
कार्य	المهمة
नगर	تاون
नगर	بلدة
नगर	المدينة
नगर	البلدة
नगर	المدينه
नगर	مدينة
नगर	المدينة
नगर	سيتي
नगर	ناجر
उपयोग	الاستعمال
उपयोग	الاستخدام
उपयोग	استعمال
उपयोग	استعمل
उपयोग	الاستعمال
उपयोग	استخدام
उपयोग	الاستخدام
उपयोग	استخدم
उपयोग	الاستخدامات
उपयोग	استخدامات
लोगों	اشخاص
लोगों	اناس
लोगों	الاشخاص
लोगों	الناس
लोगों	ناس
आधार	القاعدة
आधार	قاعدة
आधार	اساس
आधार	الاساس
काम	العمل
काम	اعمل
काम	عمل
जीवन	الحياة
जीवन	الحياه
जीवन	حياة
जीवन	life
विश्व	عالم
विश्व	العالمي
विश्व	الدنيا
विश्व	العالم
विश्व	world
भाग	الاقسام
भाग	اقسام
भाग	جزء
भाग	الجزء
भाग	اجزاء
भाग	الاجزاء
निर्माण	خلق
निर्माण	انشاء
निर्माण	الانشاء
निर्माण	الخلق
निर्माण	البناء
निर्माण	التشييد
निर्माण	تشييد
निर्माण	بناء
निर्माण	الانشاءات
निर्माण	الانشاء
निर्माण	بناء
निर्माण	تبني
निर्माण	نبني
निर्माण	تصنيع
निर्माण	التصنيع
गई	رحت
दोनों	كلاهما
राष्ट्रीय	الوطنية
राष्ट्रीय	ناشيونال
राष्ट्रीय	وطنية
राष्ट्रीय	وطني
जानकारी	info
जानकारी	المعلومات
जानकारी	معلومات
जानकारी	الاعلام
जानकारी	المعلومات
जानकारी	معلومات
पोर्टल	البوابة
पोर्टल	بوابة
शहर	المدينه
शहर	مدينة
शहर	المدينة
शहर	سيتي
शहर	المدن
शहर	مدن
बार	حانات
बार	الحانات
बार	قضبان
बार	القضبان
बार	الحانة
बार	حانة
बार	شريط
बार	البار
बार	بار
बार	تايمز
बार	اوقات
बार	المرات
बार	التايمز
बार	مرات
बार	الاوقات
वाली	والي
लगभग	تقريبا
फिल्म	الفيلم
फिल्म	فيلم
फिल्म	الفلم
फिल्म	الفيلم
फिल्म	فيلم
यहाँ	هنا
प्रसिद्ध	شهيرة
प्रसिद्ध	مشهور
प्रसिद्ध	شهير
प्रसिद्ध	مشهورة
प्रसिद्ध	الشهيرة
विकास	التنمية
विकास	تنمية
विकास	التطوير
विकास	النمو
विकास	نمو
केवल	فقط
देश	بلد
देश	البلاد
देश	بلاد
देश	البلد
देश	امة
देश	الامة
देश	بلدان
देश	البلدان
देश	الدول
अलग	منفصل
अलग	مختلف
अलग	مختلفة
अलग	مختلفا
अलग	مختلفين
अलग	منفصل
अलग	منفصلة
विशेष	الحصري
विशेष	حصرية
विशेष	حصري
विशेष	حصريا
विशेष	الخاص
विशेष	خاص
विशेष	مميز
विशेष	خاصة
दी	نظرا
दी	اعطى
दी	وهب
दी	اعطيت
पृष्ठ	صفحة
पृष्ठ	الصفحة
पृष्ठ	صفحات
पृष्ठ	الصفحات
माना	نظر
माना	مانا
शब्द	كلمة
शब्द	الكلمة
शब्द	الكلمات
शब्द	كلمات
फिर	اذن
फिर	بعدها
फिर	ثم
फिर	اذا
तीन	three
तीन	ثلاثة
तीन	ثلاث
तीन	ثلاثه
पुरस्कार	الجائزة
पुरस्कार	جائزة
पुरस्कार	الجائزة
