lyoni	lyon
võtmine	braní
kultuuriline	kulturní
kultuuriline	kulturních
kohtumised	setkání
kohtumised	schůze
kohtumised	zasedání
kohtumised	schůzky
vastupidine	inverzní
vastupidine	reverzní
vastupidine	obrátit
vastupidine	zvrátit
vastupidine	zpětný
vastupidine	opak
vastupidine	naproti
bois	bois
kilp	štít
kilp	shield
miami	miami
sidemeid	obvazy
sidemeid	obvazy
tähelepanuväärne	nevšední
tähelepanuväärne	pozoruhodný
tähelepanuväärne	pozoruhodná
tähelepanuväärne	pozoruhodné
abu	abú
abu	abu
olof	olof
magic	magie
magic	magic
magic	čáry
magic	kouzlo
magic	kouzelné
vali	vyberte
vali	vybrat
vali	vyberte
vali	vybrat
vali	zvolte
hubble	hubble
osalus	participativní
osalus	účast
osalus	účasti
modifitseeritud	upravený
modifitseeritud	změněno
modifitseeritud	modifikované
modifitseeritud	upraveno
modifitseeritud	upravené
modifitseeritud	upravená
gregorio	gregorio
glasgow	glasgow
patricia	patricie
patricia	patricia
quercus	quercus
quercus	dub
vahemaa	vzdálenosti
vahemaa	vzdálenost
vahemaa	odstup
karm	drsná
karm	hrubý
karm	drsné
karm	drsný
karm	tvrdý
karm	tvrdá
karm	drsné
kauplus	shop
kauplus	obchod
kauplus	prodejna
lähemale	bližší
lähemale	blíž
lähemale	blíže
koore	kůra
koore	kůry
marja	bobule
marja	berry
sektsioon	sekci
sektsioon	úsek
sektsioon	oddíl
sektsioon	sekce
huvid	zájmy
huvid	úroky
huvid	zájem
huvid	úrok
mõõk	meč
ensüüm	enzymu
ensüüm	enzymy
ensüüm	enzym
retseptorid	receptoru
retseptorid	receptorů
retseptorid	receptory
ülemineku	přechod
föderatsioon	federaci
föderatsioon	federace
pronks	bronz
laager	kemp
laager	camp
laager	tábor
saatja	vysílač
saatja	odesílatel
price	ceny
price	price
price	cena
price	cenu
sõltuv	závislé
sõltuv	závislý
sõltuv	závislá
tunnistab	uznává
tunnistab	přiznává
tunnistab	přizná
tunnistab	připouští
tunnistab	uznává
index	index
index	rejstřík
tarbija	spotřebitele
tarbija	spotřebitel
kolmkümmend	třicet
kolmkümmend	thirty
mündid	mince
mündid	mincí
vastutus	ručení
vastutus	odpovědnost
vastutus	odpovědnosti
vastutus	zodpovědnost
vastutus	povinnosti
vastutus	odpovědnost
vastutus	zodpovědnost
vastutus	odpovědnost
arusaadav	pochopil
arusaadav	pochopitelné
lõpmatu	nekonečná
lõpmatu	nekonečné
lõpmatu	nekonečný
lõpmatu	nekonečno
struve	struve
osatähtsus	intenzita
osatähtsus	intenzitu
osatähtsus	intenzity
osatähtsus	intenzity
dean	deane
dean	děkan
dean	dean
seisukohad	výhledy
seisukohad	zobrazení
seisukohad	zhlédnutí
seisukohad	pohledy
seisukohad	názory
britid	britů
britid	britové
britid	brity
sakslane	německý
sakslane	německy
sakslane	německá
sakslane	němčina
sakslane	němec
sakslane	německé
sergio	sergio
liikuva	mobil
liikuva	mobilní
põõsas	křoví
põõsas	bush
põõsas	bushe
põõsas	keř
põõsas	bushova
põõsas	keř
mozart	mozart
puudel	pudla
presley	presley
raad	raad
vaidlused	spory
lugemine	přečíst
lugemine	čtěte
lugemine	číst
lugemine	čtení
lugemine	čtu
