dhe	e
një	una
një	one
një	uno
nga	dal
nga	dalla
nga	from
nga	da
për	per
edhe	even
edhe	perfino
edhe	persino
edhe	anche
tij	suo
tij	his
nuk	non
ishte	era
ishte	fu
janë	sono
duke	avendo
shumë	molto
por	ma
pas	dopo
pas	after
këtë	this
këtë	questo
këtë	questa
parë	visto
tyre	loro
tyre	loro
mund	potrebbe
mund	potrebbero
mund	possono
mund	can
mund	può
gjatë	lungo
gjatë	lunghe
gjatë	lunga
gjatë	long
gjatë	lunghi
disa	alcune
disa	some
disa	alcuni
lidhje	collegamenti
lidhje	link
lidhje	links
lidhje	relazione
lidhje	connessione
lidhje	collegamento
lidhje	link
lidhje	collegamento
kjo	this
kjo	questo
kjo	questa
kjo	che
kur	quando
kur	when
mbi	over
mbi	oltre
mbi	sopra
deri	fino
jashtme	esterno
jashtme	esterni
jashtme	esterna
jashtme	esterno
jashtme	esterni
saj	her
kishte	aveva
kishte	avevano
ajo	lei
ajo	she
vetëm	alone
vetëm	solo
vetëm	only
vetëm	soltanto
vetëm	solo
vetëm	just
ata	loro
ata	quelli
ata	quelle
ata	loro
tjera	altro
tjera	altre
tjera	altri
pjesë	parti
pjesë	ricambi
pjesë	part
pjesë	parte
atë	lui
shqiptare	albanese
madhe	grosso
madhe	grandi
madhe	grande
madhe	big
rreth	circa
rreth	intorno
rreth	attorno
rreth	around
para	denaro
para	soldi
para	money
para	contanti
para	contante
para	cash
para	prima
para	before
ishin	erano
per	circa
per	per
këto	queste
këto	questi
banorë	abitanti
banorë	residenti
komuna	municipi
komuna	municipalità
komuna	comuni
komuna	municipalità
cila	che
nje	una
nje	one
nje	uno
kundër	contatore
kundër	bancone
kundër	contrari
kundër	against
kundër	contro
madh	immense
madh	immenso
madh	immensa
madh	immensi
lista	lista
lista	elenco
lista	liste
lista	elenchi
kantoni	cantone
kantoni	canton
gjithashtu	inoltre
gjithashtu	anche
ndërsa	mentre
cilat	che
ndryshme	differenti
ndryshme	differente
ndryshme	diverse
ndryshme	diversa
ndryshme	diverso
ndryshme	diversi
ndryshme	divergenti
ndryshme	divergente
duhet	bisogno
duhet	necessità
duhet	devono
duhet	mosto
duhet	deve
duhet	must
sipërfaqe	superfici
sipërfaqe	superficie
ato	loro
ato	loro
ato	quelli
ato	quelle
përgjithshëm	generali
përgjithshëm	general
përgjithshëm	generale
përgjithshëm	generalità
tjetër	altro
tjetër	altre
tjetër	altri
tjetër	prossimo
tjetër	prossimi
tjetër	prossima
njohur	familiarità
njohur	familiare
njohur	riconosciuto
njohur	riconosciuti
njohur	riconosciuta
njohur	riconosciuto
njohur	riconosciuta
njohur	riconosciuti
njohur	conosciuto
njohur	conosciuta
njohur	noto
njohur	noti
shqiptar	albanese
style	stile
style	style
dytë	seconda
dytë	secondo
dytë	secondi
mirë	buona
mirë	brava
mirë	bravo
mirë	buono
mirë	bravi
mirë	bene
fundit	ultima
fundit	ultimo
fundit	ultimi
fundit	ultime
fundit	ultimi
fundit	ultime
pasi	dopo
pasi	after
shiko	vedere
shiko	vedi
shiko	guarda
nën	sotto
nën	sub
nën	sotto
nën	under
jpg	jpg
herë	piegare
herë	piega
herë	tempi
herë	times
herë	volte
viti	anno
sot	today
sot	oggi
çdo	ogni
çdo	qualsiasi
çdo	qualunque
lartë	alto
lartë	alte
lartë	alta
lartë	high
lartë	elevata
lartë	elevato
popullsi	popolazione
kosovës	kosovo
komunë	municipalità
jetë	vita
jetë	life
president	presidenti
president	presidente
bërë	fatto
mes	middle
mes	medio
mes	mid
mes	tra
mes	fra
vonë	ritardo
vonë	late
vonë	tardo
vonë	tardi
vend	nazione
vend	paese
vend	posto
vend	luogo
vend	place
shqipëri	albania
pak	piccolo
pak	piccola
pak	little
pak	leggermente
francë	francia
fshat	campagna
fshat	village
fshat	villaggio
zyrtare	funzionario
zyrtare	ufficiali
zyrtare	official
zyrtare	ufficiale
kryetari	altoparlante
kryetari	speaker
kryetari	oratore
kryetari	presidente
vendosur	localizzato
pasur	aveva
pasur	avevano
pasur	ricco
pasur	rich
pasur	ricchi
pasur	ricca
sepse	perchè
sepse	perché
kishin	aveva
kishin	avevano
vitet	anni
tre	tre
tre	three
fund	gonna
fund	finale
fund	end
fund	fine
marrë	scattata
marrë	presa
marrë	preso
marrë	prese
tjerë	altre
tjerë	altri
harta	mappa
harta	cartina
harta	mappe
mbreti	re
mbreti	king
midis	tra
midis	fra
vogël	minuscolo
vogël	tiny
kosovë	kosovo
vjet	anni
përbëhet	consistono
pastaj	allora
pastaj	poi
shtetit	stato
tiranë	tirana
kombëtare	nazionale
kombëtare	national
emrin	denominazione
emrin	nome
mori	ricevuta
mori	ricevute
mori	ricevuti
mori	ricevuto
filloi	iniziato
filloi	iniziati
filloi	avviato
ish	ex
mars	march
mars	marzo
mars	marcia
mars	marte
mars	mars
file	file
presidenti	presidenti
presidenti	presidente
lindur	born
lindur	nati
lindur	nato
lindur	nata
lindur	nasce
lindi	lindi
lindi	lindy
lindi	nascita
lindi	parto
kryesore	principali
kryesore	main
kryesore	principale
aktualisht	attualmente
qyteti	città
qyteti	città
politike	politico
qershor	june
qershor	giugno
pse	perchè
pse	perché
pse	why
maj	may
maj	maggio
maj	può
vetë	self
