waardevol	valioso
gestreepte	raias
registreren	rexistro
beken	confesar
wol	la
cloud	nube
socrates	sócrates
timmerman	carpinteiro
schuilplaats	refuxio
keek	mirei
keek	parecía
keek	cara
keek	miraba
keek	ollos
keek	puña
keek	mirei
interpreteren	interpretar
interpreteren	a
alfabetisch	alfabética
waarschijnlijkheid	probabilidade
draai	a
frankie	frankie
lerares	profesor
lerares	mestra
lerares	mestre
consumenten	consumidores
authentieke	auténtica
authentieke	é
twist	xiro
definiëren	definir
bevroren	xeado
telling	contan
telling	contar
telling	conde
telling	con
telling	conta
pisa	pisa
care	importa
care	igual
care	me
roses	rosas
gecombineerde	combinados
gecombineerde	combinadas
gecombineerde	deben
gecombineerde	as
lelijk	fea
lelijk	feo
salaris	soldo
salaris	salario
beschermt	protexe
beschermt	a
hoofden	cabezas
rampen	desastre
borden	pratos
borden	sinais
vergeven	perdoar
vergeven	perdoamos
vergeven	perdóame
vergeven	desculpe
vergeven	perdoa
vergeven	perdóeme
vergeven	perdoe
leroy	leroy
tests	exames
tests	probas
tests	tests
tests	probas
tests	probando
consument	consumidores
zielen	almas
led	levou
led	leva
led	levoume
led	á
aantekeningen	notas
publiekelijk	publicamente
bekijk	vista
bekijk	opinión
bekijk	punto
bekijk	visión
meewerken	cooperar
suggereren	suxerir
suggereren	que
suggereren	suxiro
suggereren	propoñen
suggereren	suxiren
onschuldig	inocente
onschuldig	inocentes
onschuldig	inocencia
gooide	lanzoume
gooide	tiraron
gooide	tirou
gooide	o
kostuums	vestiario
kostuums	disfraces
kostuums	traxes
zeeën	mares
zeeën	alta
zeeën	mar
solomon	solomon
schouder	ombro
schouder	ombreiro
voorraad	subministración
voorraad	depósito
moor	páramo
duisternis	escuridade
laser	láser
afsluiten	preto
afsluiten	deixa
afsluiten	de
afsluiten	deixar
afsluiten	non
afsluiten	deixaches
afsluiten	deixe
afsluiten	deixou
onverwachte	inesperado
klagen	queixarse
plicht	deber
plicht	obriga
plicht	de
plicht	servizo
plicht	co
forces	as
forces	forzas
trail	rastro
trail	pista
blijvende	permanente
werelden	mundos
gratie	perdón
gratie	indulto
gratie	desculpe
gratie	perdoe
roots	as
roots	raíces
gezichten	rostros
gezichten	caras
zieken	enfermo
zieken	enfermos
zieken	enferma
ingrediënten	ingredientes
kluis	salvo
kluis	segura
kluis	seguro
kluis	seguros
kluis	a
speelgoed	xoguete
speelgoed	xoguetes
alsjeblieft	por
alsjeblieft	favor
marta	marta
opereren	cirurxía
opereren	de
opereren	operar
dosis	dose
flessen	botellas
modder	lama
rabbijn	rabino
oak	oak
oak	carballo
dichtstbijzijnde	máis
mccarthy	mccarthy
stikstof	nitróxeno
ontevreden	infeliz
aids	sida
uitgekozen	escollida
uitgekozen	collín
uitgekozen	atoparon
criminelen	delincuentes
criminelen	criminais
handige	conveniente
handige	útil
achterhaald	obsoleto
ziektes	enfermidades
ziektes	enfermedades
ziektes	doenzas
conditie	condición
conditie	situación
conditie	doenza
conditie	estado
highland	altas
plotselinge	súpeto
plotselinge	de
plotselinge	repentino
afname	diminución
afname	diminúe
zonden	pecados
zonden	agarimosa
zonden	pecado
zonden	pecado
verrast	abraiado
verrast	sorprendidos
verrast	sorprendeuse
verrast	sorprendeume
verrast	sorprende
verrast	sorprendido
palestijnen	palestinos
support	apoio
support	apoiar
support	de
screen	pantalla
screen	da
screen	ecrán
ontvoering	secuestro
machtig	poderosa
machtig	poderosos
machtig	poderoso
vreugde	ledicia
vreugde	alegría
vreugde	desfrute
vreugde	da
cell	célula
cell	cela
bevelen	ordes
bevelen	orde
bevelen	as
bevelen	encargos
inspectie	inspección
knap	guapos
knap	guapo
knap	guapa
knap	moi
voorspellen	predicir
voorspellen	predín
kogels	balas
kogels	as
rennen	correr
rennen	correndo
rennen	a
rennen	correr
rennen	corre
inschrijving	rexistro
inschrijving	tarxeta
voedt	de
barrett	barrett
barrett	barret
identificatie	identificación
identificatie	documento
identificatie	identidade
identificatie	de
identificatie	identidade
innovatie	innovación
penny	a
penny	penique
penny	penny
processie	desfile
oefeningen	exercicios
oefeningen	dirixe
oefeningen	un
verwijt	culpa
verwijt	a
verwijt	non
intelligent	intelixente
intelligent	intelixentes
bidden	rezar
bidden	rezan
bidden	rezo
bidden	oración
worp	ton
molecuul	molécula
molecuul	molecular
luisteraars	quen
luisteraars	escoita
luisteraars	ouvintes
dekken	a
dekken	cubrir
dekken	cuberto
dekken	cuberta
ira	ira
richel	cresta
salomon	solomon
schattingen	estima
schattingen	que
terrorisme	terrorismo
hands	mans
hands	man
hands	as
tactiek	táctica
consequenties	consecuencias
ursula	ursula
zittend	sentada
zittend	sentados
zittend	sentado
ongewoon	estraño
troost	felicidade
kool	carbón
arresteren	deter
arresteren	arresto
treffer	éxito
spion	espía
enthousiasme	entusiasmo
invullen	total
invullen	completa
invullen	completar
invullen	completo
hekel	odio
hekel	os
hekel	o
hekel	a
variëteiten	variedades
haltes	paradas
haltes	frea
haltes	detén
haltes	deixa
haltes	se
mass	foxas
mass	masa
mass	masiva
mass	masas
mass	de
mass	misa
beeldje	estatua
klassieker	clásico
verdedigers	defensores
gift	regalo
gift	agasallo
informeren	informar
duurzaam	sostible
mechanisch	mecánica
mechanisch	mecánico
lab	laboratorio
lab	no
geslaagde	éxito
geslaagde	exitosos
gans	oca
gans	branca
advanced	avanzado
advanced	avanzada
secretaresse	de
secretaresse	secretaria
secretaresse	secretario
