teste	proves
aventuri	aventures
aventuri	aventura
autoritati	autoritats
estimare	estimació
estimare	estimació
comparativ	comparatiu
comparativ	comparativament
islamice	islàmic
islamice	islàmica
salt	salta
salt	salt
salt	sal
tensiune	tensió
tensiune	tensió
lycosa	lycosa
batman	batman
traiasca	viure
traiasca	live
exprimate	elenc
exprimate	repartiment
exprimate	expressats
exprimate	expressada
exprimate	expressat
romeo	romeu
concomitent	concomitant
conservare	conservació
conservare	preservació
matilda	matilde
matilda	matilda
recenta	recents
recenta	recent
recenta	recents
recenta	recent
accentul	accent
trenul	tren
philodromus	philodromus
bate	beat
bate	batecs
bate	batega
bate	ratpenats
propuse	proposat
propuse	proposats
manuscris	manuscrit
tanc	tanc
veliko	veliko
bolnav	malalts
bolnav	malalt
prix	prix
afecteaza	afecta
afecteaza	afecten
afecteaza	afectar
afecteaza	afecta
fiice	filles
nigeria	nigèria
gust	gust
gilbert	gilbert
minnesota	minnesota
allah	allah
joan	joan
dysdera	dysdera
vila	vila
vila	villa
vila	villa
bor	bor
muncitori	obrers
muncitori	treballadors
györgy	györgy
gabrovo	gàbrovo
strategic	estratègiques
strategic	estratègic
strategic	estratègica
strategic	estratègics
privit	mirava
privit	vigilat
dennis	dennis
geografia	geografia
miami	miami
lang	lang
bugetul	pressupost
matthew	matthew
matthew	mateu
intervalul	interval
intervalul	interval
strazile	carrers
sunete	sons
cablu	cable
barajul	presa
autonom	autònoma
lucas	lucas
justin	justin
laurent	laurent
northern	northern
astea	aquestes
astea	aquests
procedura	procediment
procedura	procediment
caussols	caussols
marx	marx
aprox	aprox
gandirea	pensant
esential	imprescindibles
esential	imprescindible
esential	essencial
esential	essencials
esential	imprescindibles
esential	imprescindible
esential	essencial
esential	essencials
consecutive	consecutives
consecutive	consecutius
consecutive	consecutiva
navarra	navarra
asimov	asimov
carnivore	carnívors
carnivore	carnívora
repere	destaca
repere	destacats
repere	ressaltats
repere	fites
singapore	singapur
singapore	singapore
interpreta	antuvi
interpreta	interpretar
interpreta	interpreten
acoperire	recobriment
acoperire	revestiment
acoperire	portada
acoperire	caràtula
acoperire	cobertura
wells	pous
pasare	ocell
pasare	ocell
ocazional	ocasional
ocazional	ocasionalment
atei	militants
fundul	cul
stadiul	etapa
stadiul	escenari
springs	springs
detaliate	detallat
detaliate	detallats
derivate	derivades
derivate	derivats
derivate	derivat
derivate	derivada
liban	líban
scaune	presideix
scaune	cadires
scaune	seients
scaune	assentaments
gov	gov
béla	béla
regii	kings
regii	reis
aparand	defensant
emma	emma
persana	persa
doyle	doyle
efectuarea	fent
efectuarea	making
efectuarea	realitzant
efectuarea	escèniques
organe	òrgans
organe	orgue
organe	òrgan
surori	germanes
goethe	goethe
cazimir	casimir
aug	ago
eforturi	gestions
eforturi	esforços
bobby	bobby
ring	anell
faze	fases
pielea	pell
abordare	plantejament
abordare	enfocament
vorbind	parlant
bretagne	bretagne
mina	mina
mina	mà
cameron	cameron
revistele	revistes
decisiv	decisiu
salbatice	wild
salbatice	salvatge
noroc	ànims
definitia	definició
stins	extingit
averea	riquesa
practicat	practicat
practicat	practicada
practicat	practicades
dati	donar
comunitatile	comunitats
nenumarate	innombrables
nenumarate	innombrables
vanzare	sale
vanzare	venda
vanzare	sale
vanzare	venda
cunostinta	conegut
cunostinta	conegut
varul	prima
varul	cosí
varul	cosina
mer	mer
automata	automàtic
automata	automàtica
refugiati	refugiats
refugiati	refugiats
fereastra	finestra
fereastra	finestra
rector	rector
propaganda	propaganda
propaganda	propaganda
dominat	dominada
rebel	rebel
ccd	ccd
lantul	cadena
uruguay	uruguai
pascal	pascal
abbasid	abbasid
iugoslaviei	iugoslàvia
damian	damià
damian	damian
roll	rotllo
roll	roll
roll	rotlle
judecator	jutge
judecator	jutjar
judecator	jutge
judecator	jutjar
semneaza	signe
semneaza	signa
semneaza	signar
semneaza	signe
semneaza	signa
semneaza	signar
palermo	palerm
hugh	hug
hugh	hugh
termica	tèrmic
termica	tèrmica
laos	laos
argumentele	arguments
alexandrescu	alexandrescu
uesac	uesac
fir	filferro
fir	cable
fir	fil
legiunea	legió
chip	xip
chip	chip
prefect	prefecte
localizata	localitzat
triburile	tribus
mon	mon
lisa	lisa
platoul	altiplà
pasarile	aus
pasarile	ocells
pasarile	aus
pasarile	ocells
arcul	proa
square	quadrat
square	plaça
