ослободителната	išlaisvinimo
грегориј	gregory
опколен	apsupti
клер	clare
клер	kler
пинјин	pinyin
ментални	psichikos
какао	kakavos
какао	kakava
бејл	bale
суринам	surinamas
вулф	woolf
трофеи	trofėjai
филолошки	filologija
преведено	išversti
дрејк	drake
гамбит	gambitas
монк	vienuolis
теба	tebe
раде	rade
бес	pyktis
бес	bess
бес	fury
бес	rūstybė
бес	pykčio
импулси	impulsus
морава	morava
младинска	jaunimo
младинска	jaunimas
ушите	ausis
ушите	ausys
осетија	osetijos
батерии	baterijų
батерии	akumuliatoriai
батерии	baterijos
ефикасен	veiksmingai
кобејн	cobain
спарта	spartos
спарта	spartą
спарта	sparta
препознатливи	identifikuojami
адмирал	adm
адмирал	admirolas
застој	aklavietės
кордоба	kordobos
пилоти	pilotai
ови	ovi
линда	linda
кристи	cristi
кристи	christy
ореви	riešutai
твојот	tavo
твојот	savo
твојот	jūsų
лариса	larisa
труење	apsinuodijimo
специјализирана	specializuotų
специјализирана	specializuotos
специјализирана	specializuota
специјализирана	specializuotas
омажена	vedęs
омажена	ištekėjusi
интеракции	sąveika
икс	higso
стручен	ekspertas
тези	disertaciją
неутрален	neutralus
фотографска	fotografijos
истражуваат	nagrinėti
истражуваат	tyrinėti
хајдук	hajduk
трансплантација	transplantacija
трансплантација	transplantacijos
трансплантација	transplantacija
достоинство	orumą
достоинство	orumo
достоинство	orumas
јуниор	junior
јуниор	jaunesnysis
индукција	indukcijos
генерира	sukuria
хеликоптери	sraigtasparnių
хеликоптери	sraigtasparniai
шалке	schalke
стратешка	strateginiai
наш	mūsų
дивизии	skyriai
дивизии	kvadratai
бабата	močiute
бабата	močiutė
вмрежување	tinklų
живеалиштето	hab
исмаил	ismail
чувари	sergėtojai
чувари	prižiūrėtojai
кланот	klano
украдени	pavogtas
интервенции	intervencija
опатија	abi
монопол	monopolijos
монопол	monopolija
монопол	monopolis
продавање	parduodama
лава	lava
патки	antis
патки	antys
локомотива	lokomotyvų
ромите	roma
ромите	romai
ромите	romų
авантура	nuotykiai
авантура	nuotykis
авантура	nuotykių
модификации	pakeitimai
троши	praleidžia
арапи	arabai
фреди	fredi
фреди	fredi
пакт	paktas
пакт	pakto
солидарност	solidarumo
солидарност	solidarumas
купувањето	įsigijimų
купувањето	įsigijimo
купувањето	įsigijimas
купувањето	įgijimas
купувањето	pirkti
изолиран	izoliuoti
изолиран	izoliacija
изолиран	izoliuota
изолиран	izoliuotas
изолиран	izoliuota
керол	kerol
керол	carroll
керол	carole
вето	veto
рударски	kasyba
рударски	kasybos
вечен	amžina
крави	karvės
крави	karvė
крави	karvių
лојалност	lojalumo
поволна	palankios
вреди	verta
најстари	seniausias
бродски	brodskis
даф	duff
андите	andai
палас	pilies
подлабоко	giliau
академици	akademikų
ветерот	akių
ветерот	vėjas
триполи	tripolis
фатени	pagavo
иницијативи	iniciatyvas
