kategória	категория
roku	година
roku	годината
ako	как
ako	като
ako	like
bol	bol
bol	бе
pozri	видя
pozri	вижте
pozri	виж
pozri	виж
obce	комуни
obce	общините
obce	общини
obce	селата
obce	селища
obce	села
mba	mba
obyvateľov	обитатели
obyvateľov	жители
obyvateľov	пребиваващи
obyvateľov	обитатели
obyvateľov	жители
obec	комуна
obec	община
obec	село
pre	за
jeho	неговият
jeho	неговата
jeho	му
jeho	неговия
ktorá	което
ktorá	която
bod	точка
bola	бе
ktoré	което
ktoré	която
ktorý	което
ktorý	която
zoznam	списък
odkazy	препратки
odkazy	препоръки
odkazy	позовавания
odkazy	връзки
socorro	сокоро
externé	външна
externé	външно
externé	външни
externé	външен
ale	но
iné	друго
iné	друг
iné	други
iné	другите
iné	други
the	на
počet	брой
počet	число
počet	номер
boli	бяха
podľa	под
miesto	спот
miesto	петно
miesto	място
miesto	местоположение
miesto	място
miesto	местонахождение
miesto	локация
miesto	сайт
bolo	бе
obcí	комуни
obcí	общините
obcí	общини
obci	комуна
jej	нея
ich	тяхното
ich	тяхната
ich	техните
ich	техният
ich	ги
ich	тях
ich	ich
medzi	между
projekty	проекти
team	тийм
team	отбор
team	отбора
team	екип
team	team
francúzska	френско
francúzska	французи
francúzska	френска
francúzska	френски
francúzska	французин
francúzska	франция
najvyšší	върховен
najvyšší	върховния
najvyšší	върховна
najvyšší	върховно
pod	долу
pod	отдолу
pod	под
pred	пре
pred	предварително
pred	преди
vývoj	развитие
vývoj	разработване
vývoj	разработка
vývoj	еволюция
vývoj	еволюцията
vývoj	развития
graf	графика
graf	графиката
graf	диаграма
graf	картона
kde	kde
kde	къде
môže	май
môže	могат
môže	can
nasledujúci	следващо
nasledujúci	следващ
nasledujúci	следваща
zobrazuje	показва
keď	когато
keď	кога
len	само
len	единствено
len	просто
len	само
mesto	град
mesto	градът
mesto	градче
mesto	град
mesto	градът
mesto	сити
mesto	city
tiež	също
usa	сащ
usa	usa
rokov	години
rokov	годините
nie	не
september	септември
úmrtia	смърт
úmrtia	смъртта
slovenský	словашки
aby	направи
storočia	вековете
storočia	столетия
storočia	векове
storočia	век
storočia	вековен
storočia	века
nad	nad
nad	над
nad	отгоре
utc	utc
jpg	jpg
časti	части
stránka	страница
stránka	страницата
stránka	page
stránka	сайт
skupiny	група
skupiny	групово
skupiny	групиране
skupiny	групова
skupiny	групи
html	html
roka	година
roka	годината
ktorú	което
ktorú	която
časť	сечение
časť	секция
časť	раздел
časť	част
ngc	ngc
október	октомври
október	ост
október	октомври
mesta	град
mesta	градът
mesta	градче
mesta	град
mesta	градът
mesta	сити
mesta	city
marec	март
august	август
august	аугуст
august	август
skupina	група
skupina	групово
skupina	групиране
skupina	групова
veľmi	много
potom	тогава
oficiálna	официален
oficiálna	официално
oficiálna	официална
narodenia	раждането
narodenia	раждане
narodenia	рождение
tento	това
osobnosti	личности
osobnosti	характер
osobnosti	личността
