antologia	антологія
historia	historia
ritardo	затримка
ritardo	запізнюється
ritardo	пізно
ritardo	запізно
ritardo	затримується
ritardo	затримано
fauna	фауна
cancro	рак
louise	луїза
lima	ліма
bande	гурти
bande	чисельністю
bande	банди
beata	блаженні
beata	благословив
beata	милостивий
beata	blessed
bis	encore
werner	вернер
perfetta	perfect
perfetta	ідеально
perfetta	ідеальні
perfetta	ідеальне
perfetta	ідеальна
perfetta	досконало
perfetta	бездоганний
pontefice	понтифік
autrice	автор
autrice	автора
autrice	автором
marsiglia	марсель
into	into
prete	священик
marcos	маркос
cadavere	туші
cadavere	труп
cadavere	труп
periferia	передмісті
periferia	околиці
periferia	передмістя
periferia	околиці
cranio	череп
cranio	черепа
nono	ninth
iscritto	потрапив
que	que
sguardo	погляд
borgogna	бургундія
orizzontale	горизонтальний
orizzontale	горизонтальна
orizzontale	горизонтальне
orizzontale	горизонтально
catturare	захоплення
catturare	захопити
catturare	захоплення
assisi	ассізі
strati	шари
strati	шарів
strati	шаром
strati	шар
campana	кампана
campana	дзвінка
campana	bell
campana	белл
campana	дзвін
campana	дзвінок
hart	гарт
frederick	фредерік
tombe	могили
studia	вивчення
studia	навчання
ricostruita	перебудовано
ricostruita	відбудувати
gambe	ніжки
gambe	ноги
puro	чисте
puro	чисті
puro	чиста
puro	чистих
miles	кілометрів
connessione	підключення
olandesi	нідерландська
olandesi	голландська
var	вар
marcus	маркус
rappresentanza	представлення
anziani	старих
predecessore	попередник
intellettuale	інтелектуальна
intellettuale	інтелектуальної
marittima	морський
full	повна
full	повний
full	повне
classiche	класика
classiche	класику
classiche	класична
classiche	класичні
classiche	класичний
classiche	класика
classiche	класичне
efficacia	ефективність
efficacia	результативність
efficacia	віддача
spot	місце
spot	пляма
batterie	батареї
batterie	акумулятор
batterie	акумулятори
batterie	батарея
batterie	батарейки
minnesota	міннесота
collezioni	збірок
collezioni	колекції
collezioni	collection
collezioni	збірки
manoscritto	грамоти
manoscritto	рукопис
jake	джейка
jake	джейк
completamento	завершення
completamento	доповнення
acronimo	абревіатура
acronimo	акронім
murphy	мерфі
armatura	обладунки
armatura	броні
armatura	обладунки
armatura	броня
buio	темні
buio	темна
buio	темний
buio	темне
buio	темно
buio	темряву
buio	темрява
buio	темряви
dono	подарунку
dono	подарунок
allevamento	розмноження
statistica	статистика
statistica	статистикою
statistica	статистику
statistica	статистики
statistica	статистичні
statistica	статистичних
aaron	аарон
aaron	арон
jules	жуль
johannes	йоганнес
prestigio	авторитет
main	головний
main	основне
main	головна
main	головні
main	головне
munizioni	снаряд
munizioni	боєприпаси
munizioni	боєприпасів
munizioni	боєприпаси
munizioni	боєприпаси
votato	проголосували
votato	голосував
votato	проголосував
esisteva	існував
esisteva	існували
esisteva	існувало
trionfo	тріумф
identificato	визначена
identificato	визначено
english	англійською
english	англійська
lettori	reader
lettori	читач
lettori	читачам
lettori	читачі
ohio	огайо
approvato	підтверджено
approvato	затверджено
organizzatore	організатор
organizzatore	організатора
organizzatore	організатор
organizzatore	організатора
glenn	гленн
vertici	вершин
industrie	industries
industrie	галузі
industrie	індустрії
gemelli	близнюк
gemelli	близнюки
invitato	запрошує
invitato	запросив
invitato	запрошено
invitato	запрошують
invitato	запрошені
presumibilmente	імовірно
presumibilmente	вірогідно
presumibilmente	ніби
presumibilmente	імовірно
meccanico	механік
meccanico	механічна
meccanico	механічний
lane	вуличка
trilogia	трилогія
servire	порцію
servire	виступає
servire	обслуговувати
servire	служити
servire	подаємо
servire	подавати
abile	адепт
torres	торрес
ampliato	збільшено
ampliato	широкий
incluse	включено
incluse	включені
temporaneamente	тимчасово
temporaneamente	тимчасове
temporaneamente	тимчасові
temporaneamente	тимчасова
temporaneamente	тимчасово
temporaneamente	тимчасовий
dame	дам
virgilio	вірджил
grassi	грассі
grassi	жирний
grassi	жиру
grassi	жирна
grassi	жири
contenuta	містяться
contenuta	міститься
panzer	panzer
marziali	бойові
sopravvissuti	survivors
sopravvissuti	вижили
sopravvissuti	вижив
sopravvissuti	пережив
sopravvissuti	вижила
sopravvissuti	вижили
acquisizione	збору
morris	морріс
depressione	депресія
dirigenti	керівники
javier	javier
spessore	товщина
identificazione	ідентифікація
operativa	кооперативів
operativa	оперативного
operativa	оперативна
operativa	готовності
inviata	надіслано
inviata	надіслані
petto	груди
petto	грудне
petto	груди
petto	грудей
circostanze	обставин
circostanze	обставини
igor	ігор
igor	ігоре
descrivere	описати
devil	диявол
devil	біс
interpretazioni	інтерпретації
terrestri	землян
biografie	biographies
biografie	біографія
biografie	біографію
repubblicano	республіканська
pavimento	підлога
pavimento	поверх
legali	правові
