spektra	spectre
subtropu	subtropicales
vectēvs	pépé
vectēvs	papi
vectēvs	papy
patlaban	actuellement
patlaban	présentement
kancelejas	papeterie
margarita	marguerite
margarita	margarita
bite	bouchée
bite	mordant
bite	morsure
bite	mordre
bite	abeille
bite	bee
labot	modifier
labot	édition
labot	éditer
mehmeds	mehmed
zeppelin	zeppelin
debesis	cieux
debesis	paradis
debesis	heaven
debesis	cieux
debesis	ciel
debesis	sky
debesis	ciels
debesis	ciel
debesis	ciels
debesis	cieux
ģimenēm	familles
krāteris	cratère
krāteris	cratères
padarīt	faites
padarīt	faire
ieslodzīto	prisonnière
ieslodzīto	prisonnier
ieslodzīto	détenu
ieslodzīto	prisonnières
ieslodzīto	prisonniers
ieslodzīto	détenus
riks	rick
taisni	hétéro
saistība	relation
saistība	relation
zaudējums	perte
zaudējums	pertes
bēgt	fuir
bēgt	fuis
patiešām	effectivement
patiešām	vraiment
patiešām	réellement
patiešām	véritablement
patiešām	vraiment
patiešām	réellement
noslēgt	conclure
dace	dace
divstāvu	superposés
divstāvu	couchette
poters	potter
molekulā	molécule
gali	gali
gaida	attente
gaida	attendre
gaida	attendant
kokus	arbres
borussia	borussia
kristālu	cristal
kristālu	cristalline
kristālu	cristaux
kristālu	crystal
zebras	zèbres
plātnes	assiettes
plātnes	plaques
plātnes	dalles
eiropieši	européens
sarkanie	rouges
ieslodzīts	incarcérées
ieslodzīts	incarcérés
ieslodzīts	incarcéré
ieslodzīts	incarcérés
ieslodzīts	emprisonnés
ieslodzīts	emprisonné
skan	sons
skan	bruits
zarnas	boyaux
zarnas	tripes
zarnas	intestin
zarnas	intestins
zarnas	douilles
zarnas	boyaux
zarnas	intestin
zarnas	intestins
zarnas	intestin
zarnas	intestins
zarnas	boyaux
pārvietoja	réinstallés
rakstot	ecrire
rakstot	rédaction
rakstot	écriture
rakstot	écrire
produkta	produit
produkta	produits
ārsti	médecins
ārsti	docteurs
ārsti	médecins
indivīdi	particuliers
indivīdi	individus
indivīdi	individuels
bruņu	blindé
bruņu	blindée
bruņu	blindés
kāpuru	larvaire
kāpuru	larve
plāni	plans
valentīna	valentina
valentīna	valentin
valentīna	valentine
dimanta	losange
dimanta	diamond
dimanta	diamant
dimanta	diamants
debesīm	paradis
debesīm	heaven
debesīm	cieux
debesīm	ciel
reģistrā	enregistrer
reģistrā	enregistrez
reģistrā	registre
pieņemti	acceptées
pieņemti	acceptés
pieņemti	acceptée
pieņemti	accepté
kolumbija	colombie
kolumbija	columbia
kolumbija	colombie
zemā	basses
zemā	basse
zemā	faible
zemā	faibles
zemā	bas
nometņu	camps
nometņu	campements
vāja	pauvre
vāja	médiocre
vāja	pauvres
vāja	faiblesse
vāja	faible
vāja	faibles
radinieks	relatif
radinieks	relative
radinieks	parent
saīsinājums	abréviation
vairojas	multiplie
nosūta	envoie
mērija	marie
mērija	mary
mērija	myriam
monarhijas	monarchies
motorola	motorola
govs	vaches
govs	vache
lokomotīves	locomotives
versaļas	versailles
nozaru	sectoriel
nozaru	sectorielle
nozaru	sectorielles
nightwish	nightwish
tuvojoties	approchant
tuvojoties	approcher
saglabāšanu	préservation
saglabāšanu	conservation
pretrunā	probabilités
pretrunā	chances
pretrunā	cotes
palielināts	augmentées
palielināts	augmenté
palielināts	augmentation
palielināts	augmentée
definīcijas	définitions
santjago	santiago
konvenciju	convention
turciju	turquie
turciju	dinde
saprata	compris
saprata	réalisée
saprata	réalisé
renē	rené
renē	renee
renē	renée
renē	rené
renē	rene
pjotrs	piotr
pozitīvas	positive
pozitīvas	positives
pozitīvas	positif
pozitīvas	positifs
komunikāciju	communications
palielinot	croissante
sekcijas	autopsie
sekcijas	autopsies
sekcijas	baies
sekcijas	sections
ievērojot	observer
ievērojot	observant
emīlija	emilie
emīlija	emilia
emīlija	émilie
emīlija	emilie
emīlija	émilie
