எழுதவும்	write
உயர்த்த	raise
தூண்டியது	pushing
ஊற்றி	pour
வாக்காளர்கள்	voters
நேர்த்தியான	elegant
முகவர்	agent
புரி	puri
அமோனியா	ammonia
தத்	dutt
அய்யா	sir
அல்பிரட்	alfred
உயரும்	rise
நிர்ணய	establishment
இரைப்பை	stomach
கோபேன்	cobain
பூட்டோ	bhutto
விசிறி	fan
மூடப்பட்டது	closed
ஈஸ்டர்	easter
உணர்வுகளை	feelings
வெளியேறு	exit
வெளியேறு	eject
அனில்	anil
பிரேசிலிய	brazilian
போராடிய	fought
தக்காளி	tomato
தக்காளி	tomatoes
குடை	umbrella
போல்ட்	bolt
கிரான்ட்	grant
தொப்புள்	navel
துரிதமாக	quickly
பழம்பெரும்	legendary
பதினோரு	eleven
வெடிகுண்டு	bomb
கிளைவ்	clive
கட்டடக்கலை	architecture
அளக்க	measure
உதவியாளர்	assistant
உதவியாளர்	helper
வல்லுனர்	expert
சுவாசம்	breath
வறட்சி	drought
மக்களே	people
சிறுபான்மையினர்	minority
எமிலி	emily
இருமல்	cough
மேசை	table
மேசை	desktop
லூதர்	luther
கருங்கல்	granite
கம்பளி	wool
நிர்வகித்தல்	managing
காரணத்தை	reason
வூ	woo
மார்க்சியம்	marxism
டென்	den
கூ	koo
சொற்பொழிவு	lecture
சொற்பொழிவு	speech
சொற்பொழிவு	implants
எளிது	easy
மோசே	moses
வாய்ப்புகளை	chances
பிரம்மம்	brahman
வளையங்கள்	loops
வளையங்கள்	rings
பொடி	powder
சட்டமன்றத்தின்	legislators
மங்களூர்	mangalore
தாரை	jet
போர்னியோ	borneo
ஸ்டார்க்	starc
ஸ்டார்க்	stark
நரி	fox
ஜானி	jani
ஜானி	johnny
பாட்	pat
தூங்கும்	sleeping
போன்றவற்றிற்கு	ect
கண்ணாடிகள்	glasses
சிங்கை	singh
ஒளிப்பதிவாளர்	cinematographer
பிரிக்கிறது	separates
மகாராணி	queen
கடமைகள்	duties
யேல்	yale
லாவோஸ்	laos
மால்	mall
மால்	mal
மால்கம்	malcolm
நார்	fibre
நார்	fiber
சுன்னி	sunni
புதிர்	mystery
புதிர்	puzzle
பிராந்தியம்	region
சந்திரா	chandra
ரகசியம்	secret
ரகசியம்	secrecy
ஜோஷி	joshi
பசுமையான	evergreen
பெர்னார்ட்	bernard
மேகம்	cloud
கெல்வின்	kelvin
பேக்கர்	baker
ஓமோ	omo
அபராதம்	crossing
வைணவம்	vaishnavism
அளவியல்	measurements
இல்ல	home
சம்பா	samba
கோவிந்த	govinda
மன்ஹாட்டன்	manhattan
றோயல்	royal
நைட்ரேட்டு	nitrate
நபியின்	prophet
லிசா	lisa
கோன்	gon
கோன்	kone
கோன்	kon
சைகை	signal
சைகை	gesture
தாழ்வு	low
தாழ்வு	inferiority
பிரபஞ்ச	cosmic
கம்போங்	kampung
மொரிசியசு	mauritius
மொழிபெயர்ப்பாளர்	translator
விற்கப்பட்டது	sold
ஹில்டன்	hilton
சீசியம்	caesium
உடலுறவு	sex
நேர்மையான	sincere
நேர்மையான	honest
தோற்றார்	predators
சீன்	sean
பன்னிரெண்டு	twelve
செனான்	xenon
மோடி	modi
முறையீடு	appeal
அதிகாரமும்	authority
பெட்ரோலியம்	petroleum
நெஞ்சு	chest
அமர்	ammar
அமர்	amar
திவான்	dewan
அயோத்தி	ayodhya
பிணையம்	network
மாமன்	uncle
போட	put
சிதைந்த	corrupted
அன்வர்	anwar
ஏப்	apr
நுண்கணிதம்	calculus
வரையறுக்க	define
மாநாட்டு	conference
சேவல்	cock
சேவல்	rooster
யூன்	yoon
லின்	lynn
லின்	lyn
லின்	lin
தன்னிச்சையான	spontaneous
எறும்பு	ant
அல்லாஹ்	god
அல்லாஹ்	allah
ஒப்லாஸ்து	oblast
ஜேசன்	jason
செபம்	liturgy
பாட்னா	patna
திருப்தி	satisfy
திருப்தி	satisfied
கன்	gan
இமாம்	imam
பாம்	bam
பாம்	palm
பட்டறைகள்	workshops
இறங்கும்	landing
இணக்கம்	compliance
ஹதீஸ்	hadith
நிரந்தரமான	everlasting
வருகிறேன்	bye
மரணத்தை	death
காசா	gaza
பயிற்சியை	training
அருணா	aruna
மாயை	delusion
மாயை	illusion
விற்பனையாளர்கள்	sellers
அமைப்பாளர்	organizer
அமைப்பாளர்	composer
கண்களை	eyes
செர்பியா	serbia
வேண்டுதல்	request
ஓய்வுபெற்ற	retired
நம்ப	believe
பியானோ	piano
தட்டை	flat
வெல்லும்	vellum
மறுசுழற்சி	recycle
மறுசுழற்சி	recycled
கலந்துரையாடல்	discussion
விரிவுரை	lecture
வென்	wen
பாதுகாப்பில்	custody
சங்கீதம்	psalm
ஹிந்து	hindu
உறவுமுறை	relationship
சூரத்	surat
சேர்க்கப்பட்டார்	added
அரக்கன்	monster
சமுத்திரம்	ocean
முக்கோணங்கள்	triangles
பாராட்டு	appreciation
பாராட்டு	applause
அச்சிட்டு	prints
துத்தநாகம்	galvanized
பின்பும்	after
தோழர்	comrade
தோழர்	companion
போராடும்	fighting
விலகல்	deviation
அர்ஜென்டினா	argentina
அர்ஜென்டினா	argentine
ரத்தம்	blood
தாமான்	taman
வெடி	explosion
வெடி	explosions
பழமொழி	proverb
நர்மதா	narmada
உறிஞ்சி	sucker
கற்பனைக்	fantasy
கம்	gum
மெசியா	messiah
ஹெப்பர்ன்	hepburn
குட்டை	short
காதலர்	lover
யூரியா	urea
மீறல்	violation
குப்தா	gupta
மாணவன்	student
டானியல்	daniel
கனரக	heavy
சந்தா	subscribe
சந்தா	subscription
தொங்கும்	hanging
ஒருமை	singular
கொண்டாடுகின்றனர்	celebrating
வாங்குதல்	purchase
வாங்குதல்	purchasing
வாங்குதல்	buying
நதிகள்	rivers
ஊடுருவல்	transparent
ஊடுருவல்	transparency
ஏர்பஸ்	airbus
தவளை	frog
கரம்	karam
பிரடெரிக்	frederick
வேலைவாய்ப்பின்மை	unemployment
டில்லி	delhi
ராதாகிருஷ்ணன்	radhakrishnan
துளு	tulu
நான்சி	nancy
இரண்டரை	eliminating
ஹார்மோன்	hormonal
ஆறுதல்	comfort
பாகவத	bhagavata
சுங்	chung
பலவீனமான	weak
தகடுகள்	plates
வலியை	pain
விதிமுறைகளை	terms
தாள்கள்	sheets
கல்வியாளர்கள்	academics
கல்வியாளர்கள்	educators
நாத்	nath
கிரீஸ்	greece
சீக்கியம்	sikhism
உதயம்	sunrise
மேத்தா	mehta
கரீபியன்	caribbean
ஹோலி	holly
ஹோலி	holi
ஏற்கவில்லை	disagree
சண்டைகள்	fights
வராக	varaha
பானம்	drink
நித்திய	eternity
நித்திய	eternal
