perdono	odpuštění
progettata	navrženo
progettata	navržený
progettata	konstruované
progettata	navrhl
progettata	navržené
julian	julian
julian	juliana
julian	juliane
partigiani	stranické
partigiani	partyzáni
collaboratore	spolupracovník
collaboratore	kolega
collaboratore	kolegyně
collaboratore	kolaborant
collaboratore	přispěvatelem
edgar	edgara
edgar	edgar
raffaello	raphael
raffaello	rafael
raffaello	raffaello
memorial	pomník
memorial	památník
memorial	memorial
memorial	pamětní
berlusconi	berlusconi
aurelio	aurelio
aurelio	aurelius
difficili	obtížné
difficili	obtížná
difficili	obtížně
difficili	obtížný
tifosi	fanoušci
tifosi	fanoušky
tifosi	ventilátory
tifosi	příznivci
tifosi	stoupenci
ucraino	ukrajinské
ucraino	ukrajinský
giù	down
giù	dolů
giù	dolu
giù	dole
tessuti	tkáň
tessuti	tkáně
tessuti	látky
tessuti	textilie
tessuti	tkaniny
tessuti	textilie
tessuti	látka
tessuti	tkaniny
josef	josef
martínez	martínez
finalisti	finalista
finalisti	finalistů
allan	allan
mina	mina
mina	minu
mina	mino
incrociatore	křižník
nacional	nacional
antonino	antonino
essenziale	zásadní
essenziale	nezbytné
essenziale	podstatné
essenziale	essentials
duello	souboj
duello	duel
immediato	okamžité
immediato	bezprostřední
immediato	okamžitá
immediato	okamžitý
leggeri	světle
leggeri	lehké
leggeri	světlo
leggeri	lehké
coinvolti	zapojen
coinvolti	zapojena
suicidio	sebevražda
suicidio	sebevraždu
suicidio	sebevraždy
local	lokální
local	místní
carbone	uhlí
carbone	uhlí
carbone	uhlíku
carbone	uhlík
carbone	uhlíkové
credito	kredit
credito	úvěrové
credito	kreditní
credito	úvěr
adriatico	jadranu
adriatico	adriatico
adrian	adriano
adrian	adriana
adrian	adrian
regolari	pravidelně
regolari	pravidelné
regolari	pravidelná
regolari	pravidelný
famose	slavná
famose	slavní
famose	slavný
famose	slavné
fiamme	plamen
fiamme	plameny
august	srpen
august	srpna
august	august
comunisti	komunisty
comunisti	komunisti
comunisti	komunisté
comunisti	komunista
comunisti	komunistická
comunisti	komunistické
organismi	organismů
organismi	organismy
pienamente	plně
terribile	strašné
terribile	hrozný
terribile	strašné
terribile	strašný
hell	peklo
kiss	pusa
kiss	pusu
kiss	kiss
kiss	polibek
gestita	spravované
gestita	řízené
gestita	podařilo
seattle	seattle
seattle	seattlu
nathan	nathana
nathan	nathan
topolino	mickey
topolino	mickeyho
topolino	myš
topolino	myší
topolino	myška
topolino	myši
wang	wang
sedici	sixteen
sedici	šestnáct
anticipo	záloha
anticipo	předem
anticipo	zálohu
philadelphia	philadelphie
philadelphia	filadelfie
philadelphia	philadelphii
levi	levi
crimine	zločin
crimine	kriminalita
ispirata	inspirovala
ispirata	inspiroval
empire	říše
empire	empire
empire	impérium
iscritti	zapsaný
iscritti	zapsaná
iscritti	zapsané
teatri	divadla
teatri	divadla
teatri	kina
taglia	řez
taglia	střih
taglia	velikost
taglia	velikosti
orange	oranžová
orange	pomeranč
orange	orange
orange	oranžový
orange	oranžové
rettangolare	obdélník
rettangolare	obdélníkové
riposo	odpočívá
riposo	odpočinku
riposo	odpočinek
riposo	odpočívej
intensa	intenzivní
laser	laserem
laser	laser
laser	laserové
laser	lasery
mentale	mentální
mentale	duševní
allenamento	trénink
allenamento	posilování
allenamento	cvičení
allenamento	trénink
allenamento	praxe
allenamento	praxi
allenamento	tréninky
ritratti	portréty
sergente	seržant
sergente	seržant
invenzione	vynález
invenzione	vymyšlená
invenzione	vynalezl
invenzione	smyšlený
invenzione	vymyšlený
ristorante	restaurace
porti	přístavů
porti	přístavy
marchi	značek
marchi	značky
marchi	marek
marchi	marks
marchi	značky
borghese	borghese
borghese	buržoazní
channel	kanál
indipendentemente	nezávisle
polemiche	kontroverze
tentare	pokoušet
antologia	antologie
historia	historia
ritardo	zpoždění
ritardo	zdržení
ritardo	prodlení
ritardo	zpoždění
ritardo	pozdní
ritardo	pozdě
ritardo	zpoždění
ritardo	opožděné
fauna	fauna
cancro	rakovina
cancro	rakovinu
cancro	rakoviny
louise	louisa
louise	louise
lima	lima
bande	kapel
bande	pásma
bande	kapely
bande	gangy
beata	požehnané
beata	požehnaný
bis	přídavek
werner	werner
perfetta	dokonalá
perfetta	perfektní
perfetta	dokonalý
perfetta	bezchybné
autrice	autor
autrice	autorka
autrice	autora
marsiglia	marseille
marsiglia	marseille
into	do
prete	knězi
prete	kněz
marcos	marcos
cadavere	mrtvola
cadavere	mrtvolu
cadavere	mrtvola
periferia	předměstí
periferia	předměstí
periferia	okraj
periferia	periferii
cranio	lebka
cranio	lebku
cranio	lebky
cranio	lebka
nono	devátý
nono	devátá
nono	deváté
iscritto	zapsaný
iscritto	zapsaná
iscritto	zapsané
cosenza	cosenza
sguardo	gaze
borgogna	bourgogne
borgogna	burgundy
orizzontale	horizontální
orizzontale	vodorovné
orizzontale	vodorovně
catturare	zachytit
catturare	zajmout
catturare	zachycení
catturare	zachycování
catturare	zajetí
catturare	zachycení
assisi	assisi
strati	vrstvy
strati	vrstev
strati	vrstvu
strati	vrstvy
strati	vrstva
strati	vrstvy
campana	campana
campana	zvonek
campana	zvon
campana	bell
hart	hart
hart	hartová
frederick	frederick
tombe	hroby
tombe	hrobky
studia	studium
studia	studijní
studia	studovat
studia	studie
ricostruita	rekonstruované
ricostruita	přestavěl
gambe	nohy
gambe	nožičky
gambe	nožky
puro	čistá
puro	čistý
puro	čisté
miles	miles
miles	kilometry
miles	mil
miles	míle
connessione	spojení
connessione	připojení
connessione	souvislost
connessione	propojení
connessione	připojuji
connessione	připojení
olandesi	nizozemský
olandesi	dutch
var	var
marcus	marcus
marcus	marcuse
rappresentanza	zastupování
rappresentanza	reprezentace
rappresentanza	zastoupení
anziani	seniory
anziani	senioři
anziani	důchodci
anziani	starší
predecessore	předchůdce
canne	rákosí
intellettuale	duševní
intellettuale	intelektuální
marittima	námořní
full	plné
full	plný
full	plná
classiche	klasika
classiche	klasiku
classiche	klasiky
classiche	klasika
classiche	classic
classiche	klasické
classiche	klasická
classiche	klasický
efficacia	efektivita
efficacia	účelnost
efficacia	účinnost
efficacia	efektivnost
efficacia	účinnost
efficacia	účinnosti
spot	spot
batterie	baterie
batterie	baterie
batterie	baterky
minnesota	minnesotě
collezioni	kolekce
collezioni	sbírky
gigi	gigi
riservato	vyhrazeno
riservato	vyhrazené
riservato	vyhrazena
riservato	důvěrný
riservato	důvěrné
manoscritto	rukopis
jake	jake
jake	jaka
completamento	dokončení
acronimo	zkratka
murphy	murphyho
murphy	murphy
premiato	odměněn
armatura	brnění
armatura	zbroj
armatura	brnění
armatura	zbroj
buio	tmavá
buio	tmavé
buio	dark
buio	temné
buio	tmavý
buio	tmavě
buio	temnota
buio	tma
buio	temnoty
buio	temnotu
buio	tmy
dono	dárek
dono	dar
allevamento	chovu
allevamento	chov
allevamento	chovné
statistica	statistiky
statistica	statistika
statistica	statistické
statistica	statistický
aaron	aaron
jules	jules
johannes	johannes
prestigio	prestiž
main	main
main	hlavní
munizioni	střeliva
munizioni	munici
munizioni	munice
munizioni	střelivo
munizioni	munici
munizioni	munice
munizioni	střelivo
munizioni	munice
votato	hlasoval
votato	hlasovala
votato	zvolen
esisteva	existovala
esisteva	existovalo
esisteva	existoval
esisteva	existovaly
trionfo	triumf
identificato	identifikovány
identificato	identifikován
identificato	identifikoval
identificato	zjištěná
identificato	identifikována
english	česky
english	anglické
english	angličtina
english	anglicky
lettori	čtenář
lettori	čtenáře
lettori	čtenáři
lettori	čtenářů
lettori	čtenáře
ohio	ohio
approvato	schváleno
approvato	schválené
approvato	schválen
approvato	schválená
approvato	schválený
approvato	schválena
organizzatore	organizátor
organizzatore	organizátor
glenn	glenn
gemelli	dvojče
gemelli	twin
gemelli	dvojčata
invitato	pozván
invitato	pozvaní
invitato	pozval
invitato	pozváni
presumibilmente	údajně
presumibilmente	údajně
treccani	treccani
pareri	stanoviska
pareri	posudky
pareri	názory
meccanico	mechanika
meccanico	mechanik
meccanico	mechanické
meccanico	mechanická
meccanico	mechanický
lane	lane
lane	pruh
trilogia	trilogii
servire	sloužit
servire	sloužící
servire	podávám
servire	podávat
servire	sloužit
abile	zručný
torres	torresová
ampliato	rozšířené
ampliato	rozšířená
incluse	zahrnut
incluse	zahrnuty
incluse	včetně
incluse	zahrnuto
incluse	zahrnuté
temporaneamente	dočasně
temporaneamente	dočasné
temporaneamente	dočasná
temporaneamente	dočasně
temporaneamente	dočasný
dame	dame
virgilio	virgil
virgilio	virgilio
grassi	tuky
grassi	grassi
grassi	tlustý
grassi	tuk
grassi	tučný
grassi	tuky
grassi	tlustá
contenuta	obsahovala
contenuta	obsahovaly
contenuta	obsažené
contenuta	obsažený
panzer	panzer
cecilia	cecilie
sopravvissuti	přeživší
sopravvissuti	přežili
sopravvissuti	přežily
