категорія	kategori
від	fra
від	vid
для	til
для	for
також	også
про	om
про	omkring
його	hans
його	dens
його	dets
його	its
його	ham
був	var
був	blev
був	blevet
був	været
населення	demografi
населення	befolkningen
населення	indbyggertal
населення	befolkning
населення	indbyggere
було	var
було	blev
було	blevet
було	været
він	wien
під	nedenunder
під	under
після	efter
або	enten
час	tidspunkter
час	gange
час	tiderne
час	tider
час	times
час	tid
час	tidspunkt
час	gang
час	klokkeslæt
час	tiden
але	men
області	områder
області	arealer
які	hvilket
які	hvilken
які	hvilke
при	pri
який	hvilket
який	hvilken
який	hvilke
була	var
була	blev
були	blevet
були	været
були	var
осіб	personer
осіб	personers
міста	byerne
міста	storbyer
міста	byer
міста	indfald
див	se
село	selo
село	village
село	landsbyen
село	landsby
район	rajon
район	distriktet
район	district
район	distrikt
через	gennem
через	via
через	termin
через	forfalder
через	forfaldne
через	gennem
через	igennem
села	landsbyer
села	landsbyerne
села	sela
так	ja
так	ja
тому	derfor
рік	rick
рік	aars
рік	året
рік	år
відстань	distance
відстань	afstand
ради	rådets
ради	rådet
сша	usa
має	har
має	må
має	skal
область	oblast
область	areal
область	område
того	togo
яка	hvad
яка	hvilket
яка	hvilken
яка	hvilke
вони	de
сайті	website
сайті	hjemmeside
сайті	webside
сайті	hjemmesiden
сайті	websted
близько	tæt
близько	luk
близько	nær
війни	krigene
війни	krige
війни	wars
файл	file
файл	filen
файл	fil
між	mellem
між	imellem
роки	år
обговорення	diskussioner
обговорення	diskussion
обговорення	drøftelser
обговорення	drøftelse
обговорення	debat
обговорення	drøftelserne
обговорення	diskussioner
обговорення	drøftelser
обговорення	drøfte
обговорення	diskutere
коли	da
коли	når
коли	hvornår
вона	hun
лише	kun
список	liste
список	list
вересня	september
цей	dette
цей	denne
березня	marts
березня	march
березня	marchere
місце	plet
місце	spot
місце	stedet
місце	place
місце	sted
місце	plads
місце	lokalisering
місце	beliggenhed
місце	sted
місце	placering
місце	lokation
місце	sæde
місце	plads
місце	hjemsted
місце	seat
муніципалітет	kommune
муніципалітет	kommunen
муніципалітет	kommun
україні	ukraine
серпня	august
січня	januar
став	blev
травня	may
травня	maj
травня	kan
грудня	december
інших	andre
інших	andet
інших	andre
жовтня	oktober
жовтня	olt
серед	blandt
серед	iblandt
серед	midte
серед	blandt
серед	iblandt
один	et
один	en
один	én
липня	juli
участь	deltager
участь	deltagende
участь	inddragelse
участь	involvering
участь	engagement
участь	deltagelse
участь	medindflydelse
участь	medbestemmelse
участь	deltager
участь	deltage
участь	deltag
вид	venlig
вид	dyrearter
вид	art
вид	dyreart
вид	arter
вид	vis
вид	udsigt
можна	kan
можна	can
червня	juni
червня	june
місто	town
місто	byen
місто	by
місто	city
місто	byen
місто	storby
місто	by
вже	allerede
життя	liv
життя	livet
життя	livstid
життя	life
життя	livsstil
життя	levevis
срср	ussr
срср	sovjetunionen
квітня	april
листопада	november
лютого	februar
лютого	feb
опис	beskrivelse
центр	ops
центр	centrum
центр	midtpunkt
центр	center
центр	midten
центр	centreret
центр	centret
центр	centrum
центр	centre
центр	center
центр	centreret
захід	west
захід	vest
захід	vestpå
тільки	kun
франції	frankrig
франції	france
століття	århundreder
століття	århundrede
століття	århundrede
рада	rådets
рада	rådet
рада	rada
відстані	afstande
відстані	afstandene
схід	east
схід	østpå
схід	øst
статті	artikler
статті	genstande
статті	artiklerne
склад	stavelse
склад	lager
склад	oplag
склад	pakhus
склад	lageret
міні	mini
особи	personer
особи	personers
особи	person
над	over
над	derover
над	slut
історія	historien
історія	story
історія	historie
історія	historik
історія	historie
зображення	billeder
зображення	billed
зображення	billede
зображення	image
зображення	billede
зображення	billedet
зображення	billeder
пункти	punkterne
пункти	poster
пункти	genstande
пункти	punkter
пункти	punkterne
пункти	points
пункти	pointer
пункти	punkter
пункти	point
пункти	tilvalg
пункти	muligheder
пункти	indstillinger
пункти	valgmuligheder
пункти	indgange
пункти	angivelser
код	koder
код	kode
код	koden
сайт	website
сайт	hjemmeside
сайт	webside
сайт	hjemmesiden
сайт	websted
сайт	site
разом	sammen
інші	andre
інші	andet
інші	andre
проти	versus
проти	kontra
проти	imod
проти	mod
тут	her
український	ukrainsk
український	ukrainske
початку	påbegyndelse
мова	sprog
мова	sproget
історії	fortællinger
історії	stories
історії	historier
історії	historik
історії	historie
всі	alle
всі	alt
багато	masser
багато	mange
багато	much
багато	meget
більше	større
більше	støre
більше	større
більше	mere
більше	flere
кількість	tælling
кількість	tæller
кількість	optælling
кількість	greve
кількість	tælle
кількість	tal
кількість	antal
кількість	nummer
кількість	kvantitet
кількість	mængde
шаблони	skabeloner
шаблони	mønstre
дуже	meget
два	to
перший	første
перший	først
площа	plaza
площа	firkant
площа	firkantet
площа	square
площа	kvadrat
площа	torv
