ponechání	aanhouding
bohatý	ryk
konflikty	teenstrydighede
konflikty	botsings
konflikty	konflik
main	hoof
růžové	pienk
růžové	rosé
creek	mus
saturn	saturnus
malba	skilder
malba	skildery
šedé	grys
šedé	grys
šedé	grey
graham	graham
atmosféru	atmosfeer
nalezena	gekry
nalezena	gevind
vánoce	kersfees
byliny	krui
byliny	kruie
dánské	deens
dánské	deense
kvartet	kwartet
pořádání	gasheer
sériové	serie
plavání	swem
výrazy	uitdrukkings
výrazy	bepalings
výrazy	voorwaardes
popsat	beskryf
stewart	stewart
těžká	swaar
voličů	stemmers
voličů	kiesers
mostů	bridges
mostů	brûe
svazky	volumes
předsednictva	bureau
stoupá	toeneem
kódování	coding
kódování	enkodeer
výměna	ruil
výměna	ruil
výměna	uitruil
výměna	swap
nesouhlasím	verskil
vyjednávání	onderhandeling
vyjednávání	onderhandelings
vyjednávání	waartoe
vyjednávání	onderhandelinge
smetana	room
smetana	cream
zachovat	handhaaf
zachovat	onderhou
zachovat	aanhou
zachovat	hou
zachovat	behou
zaměstnance	werknemer
zaměstnance	werknemers
alberto	alberta
alberto	alberto
slovesa	werkwoorde
příroda	aard
příroda	prent
příroda	natuur
příroda	nature
maďarská	hongaarse
zubů	tande
formulace	wording
experimenty	eksperimente
šířku	wydte
kultur	kulture
obtížně	moeilik
lidský	menslik
lidský	mens
thompson	thompson
svatyně	shrine
svatyně	tempel
svatyně	temple
fiat	fiat
ville	ville
magnetické	magnetiese
norské	no
potlačení	lyke
musica	musica
lou	lou
omezit	vashou
omezit	verminder
omezit	beperk
úředníků	departementele
úředníků	amptenare
hrobky	tombs
referendum	referendum
referendum	referendums
přepis	transkripsie
přepis	transcript
slabší	swakker
určeno	bedoel
reklamy	advertensies
reklamy	reklame
reklamy	advertering
reklamy	advertensies
vyhnout	vermy
vyhnout	ontwyk
tenis	tennis
bakterií	bakterie
uzel	node
uzel	knoop
hostinec	inn
hostinec	herberg
ahoj	hallo
ahoj	hello
léčby	behandeling
filharmonie	philharmoniker
ann	ann
obranné	verdedigende
bayern	bayern
návštěva	besoeker
návštěva	besoek
alpes	alpes
limit	beperk
pevný	soliede
pevný	solied
pevný	vas
magic	toor
magic	magic
přítomen	hede
přítomen	tans
přítomen	voordra
přítomen	teenwoordig
specifický	spesifiek
specifický	spesifieke
stáhnout	aflaai
stáhnout	ontrek
tennessee	tennessee
kolegové	kollegas
kolegové	kollegas
hluboká	diep
očekávání	expectations
očekávání	verwagting
nowrap	nowrap
vyrobené	gemaak
vyrobené	vervaardig
vyrobené	geproduseer
catherine	katharina
catherine	catharina
catherine	catherine
potřebují	nood
potřebují	benodig
víra	geloof
víra	belief
víra	gewete
harrison	harrison
joachim	joachim
okrsek	distrik
spáchal	begaan
specialista	specialist
specialista	deskundige
strachu	vrees
erupce	uitbarsting
masakr	knee
masakr	slagting
nezávislá	independent
nezávislá	onafhanklike
nezávislá	onafhanklik
nezávislá	selfstandige
bezprostřední	onmiddellike
pozdě	laat
bin	blik
kousek	stuk
kousek	stukkie
schéma	diagram
oblíbený	gewild
oblíbený	gewilde
oblíbený	gunsteling
bavorsko	bavaria
posouzení	beoordeling
obnova	restourasie
obnova	hernuwing
encyklopedické	encyclopaedic
epidemie	epidemie
satelitní	satelliet
mimořádné	extraordinary
mimořádné	uitsonderlik
přežití	oorlewing
řekové	grieke
aktivitu	aktiwiteit
novely	romans
herečky	aktrise
herečky	actress
auf	auf
morgan	morgan
reprezentativní	verteenwoordiger
flotily	fleet
arábie	arabia
arábie	arabië
těhotenství	swangerskap
občan	burger
občan	citizen
ohrožené	bedreigde
klára	klara
klára	clara
instrumentální	instrumenteel
alpy	alpe
kiss	kiss
kiss	soen
terry	terry
vajec	eiers
jakýkoliv	enige
rezervaci	bespreking
prodloužena	uitgebreide
spolky	bybelgenootskappe
tramvaj	tram
tramvaj	streetcar
odmítli	geweier
odmítli	verwerp
odmítli	afgewys
dáno	gegee
přijel	gearriveer
přijel	aangekom
specializované	specialized
daly	daly
provence	provence
parc	parc
beatles	beatles
parky	parke
michigan	michigan
kost	been
znalost	kennis
podvozek	chassis
klobouk	hoed
protesty	betoging
protesty	protes
skotska	skotland
daň	belasting
bohemia	boheme
soutěžní	kompetisie
soutěžní	mededingende
dodávky	aflewerings
dodávky	voorrade
oblouk	arc
oblouk	boog
oblouk	arch
rytíře	knights
trenéři	afrigters
konfliktů	teenstrydighede
konfliktů	botsings
pozic	standpunte
pozic	posisies
čtrnáct	veertien
reagoval	gereageer
reagoval	geantwoord
reagoval	gereageer
miluje	liefhet
miluje	lief
cestování	reis
cestování	reis
holub	pigeon
logické	logies
logické	logiese
logické	logika
železnici	spoorweg
pozvání	nooi
pozvání	uitnodiging
veronika	veronica
hrdinů	heroes
hrdinů	helde
vyrobeny	gemaak
myšlenek	gedagtes
bonaparte	bonaparte
minutu	minuut
živě	regstreekse
živě	lewendige
živě	gepubliseer
živě	regstreeks
mající	ondervind
mitchell	mitchell
výroční	jaarlikse
bytů	grepe
orange	orange
orange	gewysig
orange	lemoen
orange	oranje
náhorní	nagorno
chorvatské	kroatiese
hektarů	hektaar
parků	parke
psáno	geskryf
xml	xml
kate	kate
obrátil	omgedraai
obrátil	omgekeer
url	url
url	urls
okolnosti	omstandighede
okolnosti	omstandighede
liška	jakkals
liška	fox
peří	plumage
peří	feather
peří	vere
carter	carter
výhodu	voordeel
výhodu	advantage
silva	silva
pocity	feelings
pocity	gevoelens
patrik	patrick
sopka	vulkaan
produktu	produk
potraviny	kos
potraviny	voedsel
potraviny	limited
potraviny	foods
odstraněna	geskrap
odstraněna	uitgevee
kult	cult
kůry	bark
kůry	bas
kůry	blaf
silver	silwer
trubka	pyp
trubka	tube
trubka	buis
trubka	trompet
joan	johanna
joan	joan
reklama	reklame
reklama	advertering
reklama	advertensies
reklama	advertensie
matematika	wiskunde
matematika	wiskunde
návod	handleiding
návod	handmatige
návod	hand
návod	manual
návod	januarie
návod	instruksies
naši	ons
sierra	sierra
caesar	caesar
pohyby	skuiwe
pohyby	movement
pohyby	beweging
pohyby	bewegings
pohyby	movements
poškozen	beskadig
poškozen	korrupte
poškozen	korrup
výjimku	uitsondering
čelní	frontale
umožnila	geaktiveer
true	waar
true	true
orgánu	orrel
řidiče	drywers
řidiče	bestuurders
řidiče	aandrywer
řidiče	drywer
řidiče	aandrywer
oddělené	geskeide
oddělené	geskei
oddělené	afsonderlike
oddělené	aparte
neštěstí	ramp
neštěstí	disaster
wiener	wiener
aktivních	onaktiewe
aktivních	aktief
velvyslanectví	ambassade
velvyslanectví	embassy
ovlivnit	uitwerking
ovlivnit	affekteer
ovlivnit	beïnvloed
ovlivnit	invloed
ovlivnit	beïnvloed
svobodná	enkel
kovy	metaal
kovy	metale
sinclair	sinclair
předsedal	voorsitterskap
pilotní	pilot
zobrazí	vertonings
zobrazí	programme
nepřátel	vyande
inteligentní	intelligente
tyčinky	stokke
kyselin	acids
přímá	direk
přímá	rig
přímá	direkte
italia	italia
vkládá	ingesit
zimy	winters
dokonale	perfectly
larry	larry
rozložení	verspreiding
rozložení	uitleg
finance	finansieel
finance	finansies
norma	norma
norma	standaard
příkazy	opdragte
příkazy	orders
příkazy	bestellings
blake	blake
opakované	herhaalde
opakované	herhalend
čluny	boats
čluny	bote
dovnitř	binne
pravdy	waarhede
soukromí	privaatheid
podlaží	vloer
podlaží	floor
luk	luk
jednotlivců	individue
vzory	modelle
vzory	ontwerpe
podpořit	ondersteuning
podpořit	ondersteun
podpořit	steun
podpořit	bystand
olympic	olimpiese
zraněn	verwond
zraněn	slagting
volná	gratis
volná	vry
volná	free
temné	donker
stockholmu	stockholm
řádek	lyn
řádek	blaai
řádek	ry
řádek	row
jürgen	jürgen
jürgen	jurgens
pokorný	nederig
studuje	studying
studuje	opstaan
posun	verskuiwende
slabé	swak
tmavé	donker
germain	germain
texasu	texas
bull	bull
spektra	spectra
spektra	spektrum
rajón	turf
mann	mann
obdobné	soortgelyke
ana	ana
zvýšené	toegeneem
zvýšené	verhoogde
zvýšené	verhoogde
pokrok	vordering
ověření	bekragtiging
ověření	verifikasie
buk	buk
paulo	paulo
paulo	paula
vzestup	ascension
vzestup	opkoms
provedeno	voltooi
provedeno	gedoen
provedeno	klaar
potřeb	verlang
odvozené	afgelei
odměnu	beloning
grace	grace
oslavy	vieringe
oslavy	viering
poddruh	subspesie
dallas	dallas
zrychlení	versnelling
útočiště	refuge
čekat	gewag
organismy	organismes
leonardo	leonardo
začleňování	insluiting
mor	plaag
arabsky	arabies
arabsky	arabiese
arabsky	arabic
julian	julian
estonsko	estland
missouri	missouri
jedině	slegs
jedině	net
obrat	turnaround
doklady	papers
césar	caesar
césar	césar
atlantis	atlantis
zásahy	ingrypings
zásahy	intervensie
zásahy	broodnodige
plošiny	platforms
viru	virus
mlýny	mills
ramat	ramat
podvozku	chassis
hamburku	hamburg
kantonů	cantons
profilu	profiel
kanadská	kanadese
kanadská	kanadees
slam	slam
partner	vennoot
partner	maat
partner	lewensmaat
partner	metgesel
konkurenční	mededingende
konkurenční	meeding
transformace	transformasie
jonas	jonas
profesionál	professioneel
profesionál	professionele
inspiroval	besiel
inspiroval	geïnspireer
odpověděl	geantwoord
odpověděl	beantwoord
odpověděl	geantwoord
odpověděl	gereageer
gilles	gilles
zpravodaj	nuusbrief
zpravodaj	bulletin
přeložen	oorgedra
sdělení	kommunikasie
sdělení	kommunikasie
pruh	lane
pruh	streep
oldfield	oldfield
důlní	mining
důlní	myn
důlní	mynbou
důlní	mynwese
plavidel	vaartuie
deutscher	deutscher
muhammad	mohammed
hop	hop
ovce	skaap
superpohár	supercup
konfederace	confederacy
konfederace	konfederasie
účetní	boekhou
účetní	rekeningkundige
účetní	rekeningkunde
účetní	rekenmeester
účetní	boekhouer
účetní	rekeningkundige
náboženský	godsdienstige
náboženský	religieuse
náboženský	gelowige
hluboký	diep
synovec	neef
pokusů	pogings
marketing	bemarking
hymna	anthem
rozšířená	uitgebreide
potrubí	pyplyn
potrubí	pype
potrubí	pyp
zatčení	arrest
nutná	nodige
položek	items
frederick	frederik
frederick	frederick
odborníci	professionals
odborníci	deskundiges
odborníci	kundiges
odborníci	kenners
odborníci	experts
portugalské	portugese
portugalské	portugees
stanovena	daargestel
stanovena	vasgestel
stanovena	gevestig
stanovena	reggemaak
gov	gov
panorama	panorama
panorama	gekoppel
kancléř	chancellor
mercury	mercury
mercury	kwik
arménie	armenië
mozek	brain
mozek	brein
zločin	misdaad
kanálů	kanale
ničení	vernietiging
cache	kas
cache	cache
zveřejnil	geplaas
zveřejnil	posted
návštěvníky	besoekers
dosáhli	bereik
balet	ballet
porýní	ryn
porýní	rynland
systematicky	sistematies
systematicky	stelselmatig
unit	eenheid
virginia	virginia
virginia	virginië
bomby	bomme
chicagu	chicago
hdp	bbp
mořských	marine
normálně	gewoonlik
normálně	normaalweg
rfc	rfc
pozemek	grond
zúčastnit	bywoon
zúčastnit	bygewoon
kongo	kongo
připraven	herlaai
připraven	gereed
ostré	skerp
adrian	adrian
drak	draak
drak	dragon
dosah	gewysig
dosah	omvang
dosah	bereik
dosah	reikwydte
chemický	chemiese
sud	vat
sud	sud
astronomie	sterrekunde
přirozený	natuurlike
allmusic	allmusic
cokoliv	whatever
cokoliv	enigiets
citroën	citroën
kyjev	kyiv
uhlíku	koolstof
lyon	lyon
dělník	worker
dělník	werker
dělník	arbeider
zvuky	klink
zvuky	geluide
zvuky	klanke
alexandre	alexandre
bibli	bybel
reed	riet
reed	reed
palestině	palestina
holt	holt
výpočetní	computational
výpočetní	uitwerk
marshall	marshall
prezidentských	presidensiële
bankovní	banking
bankovní	bank
buňka	sel
gama	gambië
gama	gamma
duši	siel
zveřejnění	bekendmaking
zveřejnění	publisering
pat	pat
pat	patric
írán	iran
hitlera	hitler
držet	hou
porazit	beat
porazit	ritme
porazit	klop
porazit	oorwin
ukázky	voorbeelde
ukázky	samples
porucha	disorder
emma	emma
schválen	goedgekeur
léky	geneeskunde
léky	medisyne
léky	drugs
léky	dwelms
léky	medikasie
krajinu	landskap
pohřební	funeral
pohřební	begrafnis
drobná	petite
metr	meter
tón	skakering
tón	tone
slavík	nightingale
basketbal	basketball
basketbal	basketbal
zima	cold
zima	koue
zima	koud
zima	winter
nicole	nicole
frankfurtu	frankfurt
hnědý	bruin
mississippi	mississippi
sporné	betwis
extrémní	uiters
extrémní	extreme
vyvinutý	ontwikkel
éra	era
holý	bare
dokládá	illustreer
středa	woensdag
ideologie	ideologie
ideologie	ideologies
école	école
odhad	skatting
odhad	beraming
odhad	skat
odhad	skatting
odhad	geskatte
odhad	geraamde
odhad	beraamde
pacienta	geduldig
pacienta	patient
irské	ierse
irské	irish
irské	iers
prázdná	leeg
prázdná	leë
prázdná	egipte
vystupovat	presteer
osa	axis
dvojí	dual
převodovka	ratkas
převodovka	gearbox
chybějící	ontbreek
chybějící	vermis
chybějící	afwesig
schneider	schneider
habsburské	habsburg
paolo	paolo
strop	plafon
zemře	dies
údržbu	onderhoud
údržbu	instandhouding
portugalská	portugese
portugalská	portugees
rozcestí	crossroads
výdělek	profit
výdělek	winsgewende
výdělek	opbrengste
výdělek	verdienste
porozumění	verdraagsaamheid
porozumění	begrip
biblické	apokriewe
biblické	biblical
nabídka	tender
nabídka	aanbod
nabídka	bod
nabídka	bied
nabídka	aanbod
nadpis	headline
nadpis	opskrif
nadpis	lêername
bosna	bosnië
leon	leon
hole	klawer
hole	klubs
hole	stokke
klarinet	klarinet
heinz	heinz
vlčí	wolf
patent	patent
absence	absent
absence	afwesigheid
opus	opus
proveden	uitgevoerde
proveden	uitgevoer
army	weermag
army	leër
army	army
počítat	tel
počítat	counting
počítat	tel
benz	benz
biologické	biologiese
kapacity	kapasiteit
děla	cannon
děla	kanon
poklad	treasure
regiony	streke
povstalci	rebels
povstalci	rebelle
slonoviny	ivoor
vyvinut	ontwikkel
výuka	teaching
výuka	leer
fed	fed
miguel	miguel
vyrovnání	skikking
pistole	pistols
pistole	pistool
pistole	gun
vzácný	skaars
postupů	prosedures
složený	gevoude
sung	sung
kings	konings
kings	kings
empire	ryk
know	ken
know	weet
investice	belê
investice	belegging
investice	beleggings
investice	belegging
flash	flits
flash	flash
bližší	nader
collins	collins
navštívit	besoek
norem	norme
norem	standaarde
soares	soares
slavnost	fees
ronald	ronald
cti	honour
cti	gestand
cti	eer
cti	ere
cti	honor
hlasuje	stemme
soundtrack	klankbaan
justin	justin
rhône	rhône
čekal	verwag
poručík	luitenant
chung	chung
bojovali	gestry
ruka	arm
ruka	hand
kolekce	versamelings
kolekce	versameling
federaci	federasie
sólo	solo
křídy	kryt
jater	lewer
dílčí	gedeeltelik
dílčí	gedeeltelike
kritérií	kriteria
schváleno	goedgekeur
vyřazení	eliminasie
sie	sie
odstavec	paragraaf
nedávné	onlangse
sloučenin	samestellings
kansas	kansas
povoleno	gemagtigde
povoleno	gemagtig
povoleno	geaktiveer
povoleno	toegelaat
luftwaffe	luftwaffe
mitsubishi	mitsubishi
ráj	paradise
přeložit	vertaal
polák	pools
polák	polish
polák	poolse
polák	pool
esa	ase
esa	esa
nancy	nancy
protein	protein
protein	proteïen
nfl	nfl
kohout	cock
kohout	haan
vily	villas
vily	villa
chemická	chemiese
létající	vlieënde
létající	flying
důsledek	consequence
účetnictví	boekhou
účetnictví	rekeningkundige
účetnictví	rekeningkunde
anjou	anjou
čtenářů	lesers
působnost	tuis
karen	karen
mare	mare
sloučit	versmelt
sloučit	samevoeging
sloučit	saamsmelt
sloučit	saamvoeg
sloučit	saamgevoeg
reforma	hervorm
žádoucí	gewenste
proteiny	protein
proteiny	proteïen
england	engeland
england	england
hlášení	rapporteer
hlášení	rapporte
hlášení	verslae
odstraňování	beskikking
odstraňování	verwydering
paralelní	parallel
paralelní	parallelle
raketoplán	shuttle
přesnost	stiptelikheid
přesnost	presisie
přesnost	akkuraatheid
vertikální	vertikaal
podnět	klagte
podnět	stimulus
podnět	inisiatief
vytvořeno	geskep
ball	bal
popularitu	gewildheid
dramatické	dramatiese
příslušný	bevoegde
železná	yster
eleonora	eleonora
zabití	killing
mont	mont
ilegální	onwettig
ilegální	onwettige
deutschen	deutschen
čistá	skoon
čistá	suiwer
řekla	gesê
vydaný	uitgereik
sta	sta
dialog	dialoog
istanbulu	istanbul
istanbulu	istanboel
derby	derby
příkop	dump
tržní	markplein
tržní	mark
agresivní	aggressief
libuše	libuše
dean	dean
campbell	campbell
ulrich	ulrich
životnost	leeftyd
životnost	lewensduur
ger	ger
radar	radar
alain	alain
kabiny	hutte
mapování	mapping
expozici	blootstelling
expozici	exposure
tábory	kampe
mrtvý	dooie
mrtvý	dood
vysílat	uitgesaai
vysílat	uitsending
vysílat	uitsaai
týdnech	weke
phoenix	phoenix
konstantinopole	konstantinopel
řez	cut
vyhnanství	exile
boulevard	boulevard
pořádek	orde
pořádek	bestel
pořádek	volgorde
pořádek	bestelling
pořádek	rangskik
cruz	cruz
turci	turke
nesprávně	verkeerd
nesprávně	verkeerdelik
tepelné	termiese
