ワトソン	왓슨
値段	가격
値段	프라이스
足跡	발자국
足跡	발자국
ロベール	로버트
バスケ	농구
ヴァージン	버진
ヴァージン	처녀
帝政	엠파이어
帝政	제국
動揺	화나
タブレット	태블릿
神学校	신학교
麻酔	마취
麻酔	마취제
ジュエル	보석
サンチェス	산체스
サンチェス	산체스
文字通り	말그대로
目的地	목적지는
目的地	목적지
マルチメディア	멀티미디어
ディープ	깊은
ディープ	깊게
アマゾン	아마존
年数	수년
サイコロ	주사위
コロナ	코로나
コロナ	코로나
切符	티켓
切符	티켓
切符	항공권
ちひろ	치히로
教義	크리드
教義	교리
オメガ	오메가
富豪	백만장자
地雷	광산
地雷	지뢰
ホッケー	하키
かもめ	갈매기
マダガスカル	마다가스카
マダガスカル	마다가스카르
事績	성취
事績	달성
事績	업적
事績	기록
事績	업적
事績	성취
上告	항소
上告	호소
カートリッジ	카트리지
カートリッジ	카트리지
トレイル	흔적
トレイル	트레일
臓器	장기
臓器	장기
臓器	오르간
コロンボ	콜롬보
水銀	수성은
水銀	수성
水銀	머큐리
ニース	나이스
ホモ	호모
ユニーク	고유
ユニーク	독특한
ステアリング	스티어링
ステアリング	핸들링
浄化	정화
浄化	정화
音節	음절
炎症	염증
炎症	염증
ダンカン	덩컨
長江	양쯔강
摩擦	마찰
摩擦	마찰력
ドーン	새벽
芝生	잔디
エヴァンゲリオン	에반게리온
悪役	악당
実効	효율성
実効	효과적
アルマ	alma
アルマ	알마
オリオン	오리온자리
オリオン	오리온
ルーシー	루시
ウィリー	윌리
ステータス	상태
アロン	에런
アロン	아론
アロン	아론
四川省	쓰촨
柔軟	유연성
イングリッシュ	영어
イングリッシュ	잉글리시
浮気	부정행위
マッサージ	안마
マッサージ	안마사
マッサージ	안마
マッサージ	마사지
捕鯨	고래잡이
工具	공구
工具	도구
上海市	상하이
クイック	빠른
リニア	직선형
リニア	선형
ラーマ	라마
ラーマ	라마
卓也	타쿠야
サンプリング	표본
サンプリング	견본
サンプリング	샘플링
サンプリング	샘플
サンプリング	샘플링
必死	필사적으로
必死	절실한
失効	만료
失効	만기
ねずみ	생쥐
ねずみ	마우스
オセアニア	오세아니아
書体	글꼴
大気圏	대기
大気圏	분위기
不審	의심
不審	의심스러운
リサイクル	재활용
リサイクル	재활용
隠す	숨기기
グラフィックス	그래픽
グラフィックス	그래픽스
カモ	오리
無意味	무의미한
ビーズ	구슬
旋風	돌풍
旋風	회오리
守口	모리구치
精製	세련되게
精製	세련된
精製	세분화
責め	비난
スナック	스낵
スナック	간식
スナック	스낵
スナック	간식
グリップ	그립
ペダル	페달
アレクサンドロス	알렉산드르
アレクサンドロス	알렉산더르
アレクサンドロス	알렉산더
ビザ	비자
紀子	노리코
トレス	tres
スタック	스택
ヴァルター	월터
ヴァルター	발터
悪性	악성
満期	성숙
満期	성숙도
強要	충동
強要	강제
隙間	틈새
隙間	간격
ギャンブル	도박
ギャンブル	갬블
ギャンブル	도박
握手	악수
オリバー	올리버
ハリソン	해리슨
育児	육아
フリート	함대
フリート	플리트
風力	강풍
強姦	강간
センチュリー	세기
リカルド	히카르도
リカルド	리카르도
リカルド	히카르두
スルタン	술탄
バッグ	봉지
バッグ	가방
バッグ	가방
画質	품질
画質	퀄리티
画質	화질
画質	화질이
飽和	포화
飽和	포화
福音書	복음
福音書	복음주의
福音書	복음서
ユニバーシアード	유니버시아드
侮辱	모욕을
侮辱	모욕
さとみ	사토미
平衡	평형
平衡	균형
ダーウィン	다윈
乗馬	승마
乗馬	라이딩
粘土	클레이
占有	소지
モナ	모나
肝臓	간간
肝臓	간디
アンゴラ	앙골라
アンゴラ	앙골라
ノック	노크
ジェシカ	제시카
真ん中	중간
真ん中	가운데
ペイント	paint
ペイント	페인트
ペイント	페인팅
ピーチ	복숭아
ピーチ	피치
滑らか	부드럽게
ハイランド	하일랜드
完備	완료
完備	완성
白血病	백혈병
アングル	각도
アングル	앵글
アングル	앵글
冷たい	춥다
冷たい	감기
冷たい	추위
冷たい	차가운
ホノルル	호놀룰루
ハンプトン	햄프턴
ラウンジ	라운지
ラウンジ	라운지
ディーラー	딜러
デーモン	데몬
デーモン	데몬
除隊	방전
除隊	퇴원
除隊	분비물
ナイス	나이스
ケヴィン	케빈
信条	크리드
入札	입찰
入札	입찰
台帳	레저
シルエット	실루엣
エディンバラ	에든버러
中性子	중성자
処方	처방
パノラマ	파노라마
パノラマ	파노라마
クルト	커트
クルト	쿠르트
反復	반복
共存	공존
ネイティブ	네이티브
ヴィレッジ	빌리지
ヴィレッジ	마을
ロジャース	로저스
ロジャース	로저스
バレンタイン	밸런타인
バレンタイン	발렌타인
ボルドー	보르도
ヴァンパイア	뱀파이어
ヴァンパイア	흡혈귀
受け取り	받았습니다
受け取り	받은
受け取り	받음
風刺	풍자
仲裁	중재
顕微鏡	현미경
検察官	기소
神風	가미카제
クォーター	분기
クォーター	쿼터
グリッド	격자
グリッド	눈금
グリッド	그리드
リチウム	리튬
わがまま	이기적
ラバー	고무
便所	변기
インタラクティブ	인터랙티브
インタラクティブ	대화형
インタラクティブ	대화식
セール	판매
セール	세일
アグネス	아그네스
用紙	종이
用紙	페이퍼
用紙	용지
パラオ	팔라우
ミナ	미나
快楽	즐거움
快楽	기쁨
快楽	쾌락
ヒール	낫다
しみ	얼룩
しみ	얼룩
均衡	평형
均衡	균형
きれい	청소
きれい	깨끗한
きれい	깨끗하다
気球	풍선
百合子	유리코
ディラン	딜런
リンパ	림프
メンフィス	멤피스
フィルタ	필터링
フィルタ	필터
フィルタ	필터
ヴォルフガング	볼프강
チコ	치코
蒸発	증발
蒸発	증발
蒸発	증발
祈祷	기도
募金	기부
募金	기부금
募金	기증
募金	기부
募金	기부
募金	기부금
オリエント	오리엔트
オーランド	올랜도
作物	농작물이
作物	농작물
作物	곡물
パウンド	파운드
シャーロック	셜록
リッター	리터
古市	후루이치
トカゲ	도마뱀과
トカゲ	도마뱀
トカゲ	도마뱀과
トカゲ	도마뱀
参道	접근법
参道	접근
ピストル	권총
ピストル	피스톨
布教	전파
紳助	신스케
ブランチ	브런치
ブランチ	지점
ブランチ	분기
聖歌	찬송가
聖歌	찬송
漁師	어부
漁師	어부
ガーナ	가나
ミレニアム	밀레니엄
なぜなら	왜냐면
なぜなら	왜냐하면
塩素	염소
つぼみ	봉오리
ジェニファー	제니퍼
クレイグ	크레이그
パッチ	패치
パッチ	패치
アイザック	이삭
美学	미학
筆記	서면
筆記	쓰기
筆記	글쓰기
レコーダー	레코더
レコーダー	녹음기
ダイアナ	diana
リハビリ	재활
バーゼル	바젤
テリア	테리어
テリア	테리어
節子	세츠코
苦情	불평
苦情	불만이
苦情	불만
苦情	불만
二階	윗층
二階	위층
代名詞	대명사
代名詞	대명사
代名詞	성별
静脈	정맥
ノルマンディー	노르망디
ハウ	하우
合法	합법적인
信之	노부유키
エデン	이든
エデン	에덴
デザート	후식
デザート	디저트
デザート	사막
デザート	후식
デザート	디저트
動脈	동맥
動脈	동맥
動脈	동맥
大文字	대소문자
大文字	대문자
ツイッター	twitter
ツイッター	트위터
発熱	열이
リュック	배낭
織物	직물
織物	섬유
織物	직물
ペスト	전염병
ペスト	흑사병
ペスト	페스트
ペスト	해충
礼儀	예의
礼儀	예의
ボンド	채권
ボンド	결합
ボンド	본드
ヴィーナス	금성
ヴィーナス	비너스
ゴリラ	고릴라
ゴリラ	고릴라
リサイタル	연주회
ニトロ	니트로
竜巻	토네이도
健治	겐지
健治	켄지
苦悩	고통
ゴア	고아
ゴア	고어
ネブラスカ	네브라스카
ネブラスカ	네브래스카
ポロ	폴로
