vĺn	golven
expozícia	belichting
expozícia	blootstelling
tradičný	traditioneel
tradičný	traditionele
tommy	tommy
paulo	paulo
narodený	born
narodený	geboren
samo	self
samo	zelf
marta	marta
marta	martha
príspevok	bericht
príspevok	post
príspevok	bijdrage
kresťanských	christelijke
kresťanských	christen
kresťanských	christelijk
kresťanských	christian
kresťanských	christenen
vedu	wetenschap
vedu	wetenschappen
vykonať	uitvoeren
vykonať	executeren
technik	technicus
golden	golden
golden	gouden
golden	gulden
šiesty	sixth
šiesty	zesde
navrhnuté	voorgestelde
navrhnuté	voorgesteld
navrhnuté	gesuggereerd
navrhnuté	ontworpen
navrhnuté	voorgestelde
navrhnuté	voorgesteld
oni	ze
oni	zij
jelena	jelena
irán	iraanse
irán	iran
výkony	prestaties
výkony	optredens
výkony	uitvoeringen
výkony	voorstellingen
lepší	better
lepší	beter
záznamov	records
víťazstva	zege
víťazstva	overwinning
víťazstva	victorie
víťazstva	victory
zmienky	noemt
zmienky	vermeldingen
získané	verkregen
získané	behaald
získané	verkregen
získané	verworven
získané	teruggehaald
získané	opgehaald
žľazy	klieren
rozlišuje	onderscheidt
preložil	vertaald
sociológia	sociologie
vodík	waterstof
poškodenie	blessure
poškodenie	letsels
poškodenie	letsel
poškodenie	schade
poškodenie	verwonding
poškodenie	beschadiging
poškodenie	beschadigingen
poškodenie	schade
kňazov	priesters
spojiť	samenvoeging
spojiť	samenvoegen
spojiť	link
spojiť	koppeling
spojiť	verbind
spojiť	verbinden
spojiť	combineren
slnečné	zonnige
slnečné	sunny
slnečné	zonnig
slnečné	zonne
slnečné	solar
rovina	vliegtuig
hĺbky	diepten
hĺbky	diepte
hĺbky	diepgang
krku	hals
krku	nek
stanovené	instellen
stanovené	set
stanovené	ingesteld
stanovené	vaste
stanovené	gerepareerd
prezývka	alias
prezývka	schuilnaam
prezývka	bijnaam
prezývka	roepnaam
prezývka	nickname
zničil	verpest
zničil	geruïneerd
výpočet	berekening
výpočet	berekenen
výpočet	berekeningen
potomkovia	nakomelingen
potomkovia	nageslacht
potomkovia	nakomeling
potomkovia	kroost
