yang	янг
dan	дан
dengan	със
the	на
untuk	за
juga	също
terletak	разположена
terletak	разположен
terletak	разположено
terletak	лъжи
indonesia	индонезия
dari	от
daerah	окръг
daerah	област
daerah	район
tahun	години
tahun	годините
tahun	година
tahun	годината
adalah	са
wilayah	провинцията
wilayah	провинция
wilayah	район
wilayah	регион
wilayah	област
wilayah	териториите
wilayah	територии
wilayah	територия
wilayah	територии
wilayah	територията
lihat	видя
lihat	вижте
lihat	виж
kawasan	зона
kawasan	площ
kawasan	област
kawasan	район
kawasan	район
kawasan	регион
kawasan	област
kawasan	райони
kawasan	региони
kawasan	регионите
luar	отвън
luar	навън
sekolah	училища
sekolah	школи
sekolah	училищата
sekolah	училището
sekolah	школа
sekolah	училище
tidak	не
komun	комуна
komun	комуни
bahasa	езиците
bahasa	езици
bahasa	езикът
bahasa	езика
bahasa	език
orang	човек
orang	личност
orang	народ
orang	хора
orang	хората
pautan	връзка
pautan	линк
pautan	връзки
malaysia	малайзия
daripada	от
kampung	село
jabatan	отдел
jabatan	департамент
satu	една
satu	един
satu	едно
negara	държава
negara	страна
negara	щат
negara	държава
negara	държавно
negara	държави
negara	страни
mereka	ги
mereka	тях
mereka	те
kebangsaan	националност
kebangsaan	гражданство
kebangsaan	национална
kebangsaan	национални
kebangsaan	национален
kebangsaan	национално
bandar	град
bandar	градът
bandar	градче
bandar	град
bandar	градът
bandar	сити
bandar	city
bandar	градове
bandar	градовете
bandar	бандар
imperial	имперски
lelaki	човече
lelaki	човек
lelaki	мъж
negeri	щат
negeri	държава
negeri	държавно
barat	запад
barat	западно
barat	западна
barat	западен
barat	уест
barat	западна
barat	западни
barat	западен
barat	западните
barat	уестърн
barat	western
lain	друго
lain	друг
lain	други
lain	другите
lain	други
lebih	повече
lebih	още
etnik	етническа
etnik	етническо
etnik	етнически
etnik	етнос
perancis	френско
perancis	французи
perancis	френска
perancis	френски
perancis	французин
perancis	франция
akan	уил
nama	името
nama	наименование
nama	име
nama	наименования
nama	имената
nama	имена
perbandaran	община
perbandaran	общински
perbandaran	общинска
boleh	могат
boleh	can
filem	филми
filem	филмова
filem	филм
filem	филм
filem	лента
filem	филми
timur	източно
timur	изток
timur	тимур
timur	източна
timur	източно
timur	източни
timur	изток
timur	източен
digunakan	използвано
digunakan	използван
digunakan	използвани
digunakan	използвана
dua	дуа
dua	двама
dua	две
pertama	първи
pertama	първо
perempuan	жената
perempuan	жена
perempuan	женските
perempuan	женски
perempuan	жени
perempuan	жените
svg	svg
india	индианец
india	индиец
india	индийско
india	индийски
india	индийска
india	индия
senarai	списък
dia	диа
presiden	президентът
presiden	президент
presiden	председател
terbang	лети
terbang	полети
terbang	летене
terbang	летящи
terbang	лети
terbang	летял
dunia	свят
dunia	света
kerana	защото
bahawa	че
laut	море
laut	морето
selepas	след
selatan	южен
selatan	южни
selatan	южна
selatan	южно
selatan	южен
selatan	юг
