филологических	filologiczny
старших	senior
старших	starszy
юбилейная	jubilee
исаак	isaac
бесплатно	wolne
бесплатно	wolna
бесплатно	wolny
бесплатно	bezpłatne
бесплатно	free
стекла	szkła
стекла	szklanka
стекла	szkło
стекла	szklana
показания	zeznanie
показания	zeznania
янг	yang
янг	młoda
янг	młody
янг	młode
янг	młodzi
янг	young
кинотеатр	teatrze
кинотеатр	teatr
кинотеатр	kino
кинотеатр	kina
центральное	centralnego
центральное	central
центральное	centralny
центральное	środkowa
центральное	centralne
центральное	centralna
ушли	odszedł
эфиопии	etiopii
эфиопии	etiopii
важность	znaczenie
подробное	szczegółowy
подробное	szczegółowe
неудачно	niefortunne
разновидности	odmian
разновидности	odmiany
разновидности	odmiany
разновидности	odmianę
разновидности	odmiana
разновидности	różnorodność
венесуэлы	wenezuela
настоящая	real
настоящая	prawdziwy
настоящая	prawdziwe
пресса	prasa
пресса	prasie
пресса	naciśnij
пресса	prasy
гостиница	hotel
навигации	nawigacji
навигации	nawigacja
навигации	nawigacyjne
развиваться	ewoluować
хозяин	właścicielka
хозяин	właściciela
хозяин	właściciel
хозяин	mistrz
хозяин	mistrzu
ранг	stopień
ранг	rangi
дополнительное	dodatkowa
дополнительное	dodatkowe
дополнительное	dodatkowy
дополнительное	dodatkowa
дополнительное	ekstra
дополнительное	dodatkowe
дополнительное	dodatkowy
дополнительное	extra
колония	kolonia
колония	kolonii
колония	kolonię
носила	nosił
носила	nosiła
арнольд	arnold
борцы	zapaśnicy
боги	bogowie
боги	bogów
обложка	okładki
обложка	okładka
обложка	pokrycie
классическая	klasycznego
классическая	klasyka
классическая	klasyczna
классическая	klasyczny
классическая	klasyczne
классическая	klasyk
классическая	klasyka
классическая	klasyczny
классическая	classic
классическая	klasyczne
картинки	zdjęcia
картинки	obrazów
картинки	obrazy
картинки	obrazki
картинки	zdjęcia
картинки	obrazki
картинки	zdjecia
нынешней	prąd
нынешней	bieżące
нынешней	aktualne
нынешней	bieżący
нынешней	aktualny
принадлежали	należał
объяснения	wytłumaczenia
объяснения	wyjaśnienia
объяснения	wyjaśnień
швейцарский	szwajcarski
швейцарский	szwajcarską
швейцарский	szwajcaria
зубов	zęby
зубов	zębów
зубов	ząbki
грант	dotacja
грант	grant
постановления	orzeczeń
постановления	orzeczenia
дискуссия	dyskusja
дискуссия	omówienie
дискуссия	dyskusji
дискуссия	dyskusje
дискуссия	dyskusję
барабаны	beczki
барабаны	bębny
студент	studentka
студент	studenci
студент	uczeń
студент	uczennica
студент	student
историографии	historiografii
водорода	wodór
водорода	wodoru
шотландский	szkocka
шотландский	szkocki
охоты	polowania
охоты	polowanie
образы	zdjęcia
образы	obrazów
образы	obrazy
образы	obrazki
вон	vaughn
якутии	jakucji
домашние	domowy
дэн	dan
дэн	deng
приборы	oprzyrządowanie
приборы	instrumenty
приборы	przyrządy
квартиру	mieszkanie
арест	areszt
арест	aresztowanie
арест	aresztowany
рисунки	zdjęcia
рисунки	obrazki
рисунки	zdjecia
рисунки	rysunki
рисунки	szkice
заказ	porządek
заказ	zamówienie
заказ	kolejność
павлов	pawłow
социальный	społeczna
социальный	towarzyskie
социальный	społeczne
социальный	socjalna
социальный	społeczny
социальный	społecznego
обсуждается	omawia
обсуждается	omówiono
красноярск	krasnojarsk
выразил	wyrażono
выразил	wyrażony
выразил	wyrażona
выразил	wyraził
выразил	wyrażone
реальность	rzeczywistości
реальность	rzeczywistość
реальность	reality
хасан	hasan
хасан	hassan
намерения	intencje
намерения	zamiary
намерения	intencji
намерения	zamiarów
намерения	zamiar
намерения	zamiary
намерения	intencje
гонсалес	gonzalez
гонсалес	gonzales
гонсалес	gonzález
хоп	hop
юлий	julius
юлий	juliusz
мок	mkol
арбитр	arbitra
арбитр	sędzia
арбитр	arbiter
свадьба	ślub
свадьба	wesele
свадьба	weselny
вреда	skrzywdzić
вреда	szkodzić
журналистики	dziennikarstwo
преобразование	konwersja
преобразование	konwersji
преобразование	zamiana
преобразование	przekształcenie
преобразование	konwersja
преобразование	konwersje
преобразование	przemiana
преобразование	przemiana
преобразование	przemiany
преобразование	transformacji
преобразование	transformacja
преобразование	przekształcenie
преобразование	przemiana
преобразование	transformacja
ученый	naukowca
ученый	naukowiec
ученый	uczony
ученый	naukowcem
ученый	uczony
театры	teatrów
содружества	commonwealth
содружества	wspólnota
гитары	gitary
гитары	gitara
гитары	gitarze
гитары	gitary
крейсеров	krążowniki
неба	niebo
неба	niebie
неба	sky
неба	nieba
политехнический	politechniki
закрыто	zamknięty
закрыто	nieczynne
закрыто	zamknięte
закрыто	zamknięta
мельница	wiatrak
механик	mechanika
механик	mechanik
склад	magazyn
склад	magazynie
склад	składowanie
склад	magazyn
склад	przechowywanie
склад	magazynowanie
публично	publicznie
джейсон	jasona
джейсон	jason
чрезвычайный	nadzwyczajne
чрезвычайный	niezwykła
чрезвычайный	nadzwyczajny
чрезвычайный	niezwykłe
критическое	krytyczne
критическое	krytyczna
критическое	krytyczny
критическое	krytycznych
используемые	stosowane
используемые	wykorzystane
используемые	użyte
используемые	używana
используемые	używany
используемые	używane
прощения	przebaczenie
прощения	wybaczenie
прощения	przebaczenia
райан	ryana
райан	ryan
особняк	rezydencja
особняк	rezydencji
хлеб	chleba
хлеб	pieczywo
хлеб	chleb
ближайшее	najbliższy
ближайшее	najbliższa
ближайшее	najbliższej
ближайшее	najbliższe
ближайшее	najbliżej
сады	sadów
сады	ogrody
сады	ogrodów
слоя	warstwa
слоя	warstwy
движок	silnik
движок	silnika
движок	silniki
девочки	dziewczyny
девочки	dziewczynki
девочки	girls
девочки	dziewczęta
освободить	zwolnienie
освободить	uwolnienie
освободить	wyzwolić
гипотезы	hipotez
медицинская	medyczna
медицинская	medyczny
медицинская	medyczne
логично	logicznie
логично	logika
логично	logiczne
логично	logicznie
логично	logiczny
выпускников	absolwentów
выпускников	absolwentów
жаль	żal
жаль	szkoda
жаль	litości
месяцы	miesiące
месяцы	miesięcy
месяцы	miesiącach
стремится	dąży
стремится	poszukuje
индонезия	indonezja
дизайнер	projektant
стол	tabeli
стол	tabela
стол	stół
стол	stolik
стол	tablica
стол	biurko
луиджи	luigi
исчезли	zniknął
могилы	groby
могилы	grobów
могилы	graves
томми	tommy
королевская	królewska
королевская	królewski
королевская	królewskie
королевская	royal
белков	białek
белков	białka
чан	chang
чан	chana
чан	chan
чан	jang
улицах	ulice
улицах	ulic
казнь	realizacja
казнь	egzekucja
казнь	wykonanie
тольятти	togliatti
морис	maurice
совершает	zobowiązuje
совершает	popełnia
самцы	samców
самцы	mężczyzn
самцы	samce
самцы	mężczyźni
убедить	przekonać
убедить	przekonać
технику	techniki
технику	technika
частного	private
частного	prywatne
частного	szeregowy
частного	prywatna
частного	prywatny
оригинальные	oryginalna
оригинальные	pierwotnym
оригинальные	oryginalny
оригинальные	oryginał
оригинальные	oryginalne
цветы	kwiaty
цветы	kwiatki
рыцарь	rycerz
рыцарь	rycerze
рыцарь	skoczek
рыцарь	knight
прокат	wynajem
прокат	wypożyczalnia
прокат	wynajem
прокат	dzierżawa
прокат	czynsz
литве	litwy
литве	litwa
родригес	rodriguez
родригес	rodríguez
родригес	rodrigues
родригес	rodríguez
дам	tamy
дам	zapora
дам	tama
дам	dam
наблюдать	obserwować
наблюдать	obserwuj
кама	kama
печатных	drukowane
печатных	wydrukowane
северное	północ
северное	północna
северное	północne
северное	północnej
северное	północny
ценностей	wartości
квадратный	plac
квадратный	kwadrat
квадратный	kwadratowy
квадратный	square
квадратный	kwadratowe
малайзии	malezja
малайзии	malezji
малайзии	malezji
одежда	ubrania
одежда	odzież
одежда	ubranie
одежда	ubrania
одежда	odzież
одежда	ubranie
промышленные	przemysłowy
промышленные	przemysł
промышленные	przemysłowych
промышленные	przemysłowe
тяжёлая	heavy
тяжёлая	ciężkie
тяжёлая	ciężki
тяжёлая	ciężka
мкс	iss
мкс	irc
мкс	icm
мкс	cie
оппонентов	przeciwnicy
оппонентов	przeciwników
вдова	wdową
вдова	wdowa
вдова	wdowy
грибы	grzybów
грибы	grzyby
грибы	grzybki
грибы	grzyby
грибы	grzyb
грибы	grzyby
идеологии	ideologii
