les	на
est	източно
est	изток
une	една
une	един
une	едно
catégorie	категория
pour	за
qui	кой
que	че
avec	със
son	звук
son	звука
son	неговият
son	неговата
son	му
son	неговия
plus	плюс
plus	повече
plus	още
pas	не
sont	са
elle	тя
elle	ел
été	лятото
été	съмър
été	лято
été	лятно
été	самър
avancement	напредък
avancement	прогрес
avancement	напредък
comme	като
comme	like
mais	но
cette	това
pop	поп
pop	pop
deux	двама
deux	две
ses	неговият
ses	неговата
ses	му
ses	неговия
naissance	naissance
naissance	родени
naissance	роден
naissance	родена
naissance	раждането
naissance	раждане
naissance	рождение
aussi	също
france	франция
saint	свято
saint	свети
saint	свята
saint	сейнт
saint	свети
saint	светица
saint	светец
après	след
fait	направена
fait	направено
fait	направен
fait	направени
fait	готово
fait	направено
fait	сторено
notes	забележки
notes	записки
notes	бележки
notes	ноти
entre	между
sous	под
même	дори
même	даже
même	същият
même	същата
même	същото
nom	фамилия
nom	фамилно
nom	името
nom	наименование
nom	име
français	français
français	френско
français	французи
français	френска
français	френски
français	французин
paris	парис
paris	париж
lui	него
lieu	място
lieu	местоположение
lieu	място
lieu	местонахождение
lieu	локация
cet	това
autres	друго
autres	друг
autres	други
autres	другите
autres	други
décès	смърт
décès	смъртта
références	препратки
références	препоръки
références	позовавания
liens	връзки
était	бе
commune	комуна
commune	обща
commune	общ
commune	общи
commune	чести
ville	град
ville	градът
ville	градче
ville	град
ville	градът
ville	сити
ville	city
jean	жан
jean	джийн
jean	джон
jean	йоан
leur	тяхното
leur	тяхната
leur	техните
leur	техният
date	среща
date	дата
peut	май
peut	могат
peut	can
depuis	от
première	премиерата
première	премиера
première	първи
première	първо
ans	ans
ans	години
ans	годините
alors	тогава
externes	външна
externes	външно
externes	външни
externes	външен
site	уебсайт
site	сайт
site	сайт
premier	премиер
premier	премиера
premier	първи
premier	първо
ces	тези
fut	бе
http	http
film	филмова
film	филм
film	филм
film	лента
voir	видя
voir	вижте
voir	виж
voir	изглед
voir	гледка
voir	оглед
voir	преглед
pays	държава
pays	страна
pays	държави
pays	страни
source	източник
ils	те
grand	голямо
grand	големи
grand	голям
grand	голяма
grand	биг
grand	голямо
grand	големи
grand	голям
grand	голяма
grand	страхотно
grand	бона
grand	гранд
tout	всичко
tout	всички
