terapie	terapi
mnich	friar
mnich	biksu
mnich	rahib
mnich	biarawan
mnich	monk
zajat	direbut
zajat	tertangkap
zajat	ditangkap
soukromá	swasta
soukromá	privat
soukromá	private
soukromá	pribadi
rozpočtu	budget
rozpočtu	anggaran
úseky	bagian
ukrajinský	ukraina
brigády	brigade
brigády	brigade
veselí	keceriaan
veselí	cheer
veselí	bersorak
veselí	bergembiralah
květ	blossom
květ	mekar
květ	bunga
květ	flower
květ	bloom
květ	mekar
společenský	social
společenský	sosial
bohové	dewa
subjekt	entitas
subjekt	subyek
subjekt	subjek
subjekt	perihal
oka	oka
oka	eye
oka	mata
vazba	mengikat
vazba	pengikatan
vazba	binding
vazba	ikatan
dánská	denmark
albánie	albania
albánie	albania
řetězec	untaian
řetězec	string
řetězec	rantai
schválení	persetujuan
schválení	persetujuan
nabídky	tender
nabídky	promo
nabídky	penawaran
nabídky	menawarkan
nabídky	tawaran
jordan	jordan
jordan	yordania
symbolů	simbol
bot	bot
bot	sepatu
bot	shoe
weber	weber
vstoupit	masukkan
vstoupit	enter
čtvrtí	permukiman
střecha	atap
střecha	atap
střecha	roof
laura	laura
návštěvy	pengunjung
návštěvy	kunjungannya
návštěvy	kunjungan
návštěvy	berkunjung
harris	harris
bloky	blok
bloky	pemblokiran
bloky	blokir
detroit	detroit
součet	sum
součet	jumlah
jamie	jamie
psí	anjing
psí	dog
psí	taring
skotsko	scotland
skotsko	skotlandia
třebaže	though
třebaže	meskipun
třebaže	walaupun
třebaže	meski
třebaže	walau
amd	amd
fred	fred
rangers	rangers
rangers	ranger
regulace	peraturan
regulace	regulasi
rozměrů	proporsi
sektoru	sektor
špatný	buruk
špatný	jahat
špatný	bad
přesný	akurat
přesný	persis
masaryk	masaryk
organismů	organisme
příbuzných	kerabat
rezignaci	pengunduran
raymond	raymond
etapa	fase
etapa	kaki
etapa	tungkai
etapa	leg
etapa	pentas
etapa	tahap
etapa	panggung
etapa	stage
kolonií	koloni
kolonií	koloni
všiml	diperhatikan
naučil	dipelajari
naučil	diajarkan
naučil	diajari
naučil	diajar
bobby	bobby
plná	full
plná	kenyang
plná	penuh
efekty	efek
náboženská	religi
náboženská	keagamaan
náboženská	religius
náboženská	agama
zničil	hancur
stvoření	makhluk
stvoření	mahluk
stvoření	makhluk
stvoření	mahluk
arsenal	arsenal
mechanické	mekanik
mechanické	mechanical
mechanické	mekanis
mechanické	mekanika
zámky	gembok
bohatá	rich
bohatá	kaya
ubytování	akomodasi
ubytování	hostel
středem	berpusat
odpovědnost	tanggungjawab
odpovědnost	pertanggungjawaban
odpovědnost	akuntabilitas
rosa	rosa
rosa	embun
rosa	dew
mtv	mtv
rozvíjet	kembangkan
rozvíjet	mengembangkan
šestnáct	sixteen
notre	notre
sainte	sainte
implementace	implementasi
implementace	pelaksanaan
implementace	penerapan
head	head
head	kepala
rob	rampok
rob	rob
rob	merampok
podává	melayani
provádění	implementasi
provádění	pelaksanaan
provádění	penerapan
simona	simon
simona	simona
hluboce	mendalam
harold	harold
pohřeb	pemakaman
pohřeb	penguburan
pohřeb	pemakaman
pouště	gurun
pouště	desert
rusové	rusia
ferrer	ferrer
použité	digunakan
použité	terpakai
použité	used
použité	dipakai
mclaren	mclaren
luisa	luisa
nejnovější	terbaru
nejnovější	terkini
nejnovější	terbaru
žádá	tanya
žádá	bertanya
special	istimewa
special	spesial
special	special
special	khusus
stínu	bayangan
stínu	shadow
stínu	bayang
stínu	bayang
stínu	berbayang
stínu	teduh
stínu	shade
náročné	menantang
náročné	menuntut
kompatibilní	kompatibel
technologii	teknologi
lang	lang
clark	clark
ekonomický	perekonomian
ekonomický	ekonomi
ekonomický	ekonomis
ekonomický	hemat
hledal	dicari
porážka	jagal
porážka	pembantaian
porážka	mengalahkan
porážka	kalahkan
porážka	kekalahan
obojí	berdua
obojí	keduanya
nést	carry
lisa	lisa
jay	jay
blíží	mendekati
blíží	mendekat
eagle	elang
eagle	eagle
naznačuje	menyarankan
naznačuje	sarankan
naznačuje	mengindikasikan
