modernas	moderne
hab	hab
resolve	løs
resolve	løse
resolve	løser
resolve	løser
vilas	byer
vilas	landsbyer
vilas	landsbyerne
censura	mistillidsvotum
censura	censurere
censura	ucensureret
censura	censur
velhos	gammelt
velhos	old
velhos	gamle
velhos	gammel
assembléia	montage
assembléia	samling
assembléia	forsamling
assembléia	forsamlingen
movido	flyttede
movido	bevæget
movido	flyttet
agir	handle
agir	retsakt
agir	akt
agir	act
jersey	trøje
jersey	jersey
atlântica	atlantic
atlântica	atlanterhavet
atlântica	atlanterhav
atlântica	atlantisk
hell	helvede
chineses	kinesere
chineses	kineser
chineses	kinesiske
chineses	kinesisk
chineses	kineserne
supervisor	tilsynsførende
supervisor	projektlederen
supervisor	byrådsmedlem
renascimento	renæssance
renascimento	genoplivning
renascimento	genfødsel
colonos	kolonister
colonos	bosættere
campbell	campbell
cultivo	dyrkning
galo	pik
galo	hane
namorado	kæresten
namorado	kæreste
determinados	fastlagt
determinados	beslutsom
determinados	fastslået
determinados	bestemt
reuniões	møder
reuniões	samlinger
gerações	generationers
gerações	generationerne
gerações	generationer
sabendo	vidende
capitais	hovedstæderne
capitais	hovedstæder
capitais	hovedstaden
capitais	kapitalen
capitais	hovedstad
capitais	kapital
piso	gulvet
piso	etage
piso	gulv
minnesota	minnesota
pagina	siden
pagina	side
pagina	page
leme	ror
leme	roret
leme	helms
leme	ror
liberais	liberale
liberais	liberale
liberais	liberal
liberais	liberalt
selvagem	vildt
selvagem	vilde
selvagem	vildtlevende
selvagem	wild
selvagem	vild
selvagem	savage
selvagem	vild
transmitida	fremsendt
transmitida	videresendt
formatos	formater
aceitação	accept
recebem	modtager
recebem	modtag
recebem	modtage
sítios	sites
sítios	lokaliteter
sítios	pladser
sítios	steder
evans	evans
bandeiras	flag
bandeiras	bannere
túmulo	grav
túmulo	gravsted
túmulo	graven
túmulo	grav
leonor	eleanor
leonor	eleonora
causada	forårsaget
causada	forårsagede
acampamento	lejren
acampamento	camp
acampamento	lejr
acampamento	camping
graham	graham
publicar	offentliggørelse
publicar	udgivelse
publicar	offentliggør
publicar	udgiver
publicar	forlagsvirksomhed
publicar	offentliggør
publicar	offentliggøre
publicar	indlæg
publicar	opslag
publicar	post
publicar	udstationering
vencido	taber
vencido	taberen
vencido	slået
vencido	besejret
vencido	slået
vencido	besejrede
gera	genererer
gera	genererer
gera	generere
pedindo	spørger
pedindo	spørge
atribuída	tildelte
atribuída	tildelt
atribuída	anvist
atribuída	tilskrevet
atribuída	tildelt
atribuída	henført
imigração	indvandringen
imigração	immigration
imigração	indvandring
celso	celso
maurice	maurice
controvérsia	polemik
controvérsia	strid
controvérsia	kontrovers
controvérsia	kontroverser
controvérsia	uenighed
roman	romerske
roman	roman
roman	romer
roman	romersk
aumentando	tiltagende
aumentando	voksende
aumentando	stigende
coloração	farvestof
coloração	farvning
semelhança	ligheden
semelhança	lighed
semelhança	ligheder
semelhança	ligheden
semelhança	lighed
expressa	udtrykker
expressa	ekspres
expressa	express
expressa	udtrykke
expressa	udtrykt
mars	mars
proprietários	ejere
proprietários	ejerne
proprietários	husejere
proprietários	jordejere
ava	ava
actividades	aktiviteterne
actividades	virksomhed
actividades	aktiviteter
polaco	polak
polaco	polske
polaco	polsk
rapaz	boy
rapaz	dreng
rapaz	knægt
irlandês	irere
irlandês	irske
irlandês	irish
irlandês	irerne
irlandês	irsk
irlandês	irer
combates	slåskampe
combates	kampe
combates	slagsmål
enviados	afsendt
enviados	udsendinge
enviados	afsendt
enviados	sendes
enviados	sendte
enviados	sendt
saiba	ved
saiba	vide
saiba	kender
saiba	kend
divisa	valuta
divisa	møntenhed
reunir	samle
reunir	saml
reunir	genforenes
reunir	genforene
sonda	sonde
sonda	sonden
longd	longd
fiscal	skattemæssige
guatemala	guatemala
kent	kent
terrestres	jordbaseret
terrestres	jordbaserede
contínua	kontinuerlig
contínua	fortløbende
contínua	løbende
contínua	kontinuerligt
contínua	kontinuert
pleno	mæt
pleno	fuld
pleno	fuldt
pleno	fulde
pleno	full
ofensiva	offensiv
ofensiva	offensiven
ofensiva	stødende
ofensiva	krænkende
mancha	pletten
mancha	plet
mancha	pletter
mancha	plet
tokyo	tokyo
quartel	kaserne
mamíferos	pattedyr
mamíferos	pattedyr
fracasso	fejle
fracasso	fejler
fracasso	mislykkes
fracasso	svigt
fracasso	fiasko
solos	jordbund
solos	soloer
solos	jordbunden
solos	jord
solos	jordbund
armazenamento	oplagring
armazenamento	lagring
armazenamento	lager
armazenamento	opbevaring
got	fik
got	har
got	got
códigos	kodekser
códigos	koder
códigos	koderne
thompson	thompson
cidadania	borgerskab
cidadania	medborgerskab
cidadania	statsborgerskab
cidadania	unionsborgerskab
acompanhar	ledsage
acompanhar	medfølger
plena	mæt
plena	fuld
plena	fuldt
plena	fulde
plena	full
citados	citeret
citados	citerede
distribuído	fordelt
distribuído	uddelt
distribuído	distribueret
distribuído	omdelt
wolf	wolf
wolf	ulven
wolf	ulve
wolf	ulv
variam	varierer
danilo	danilo
ricos	rig
ricos	rich
ricos	rigt
ricos	rige
ricos	velhavende
tópicos	emne
tópicos	emnet
tópicos	emner
tópicos	emnerne
tópicos	tråde
colaboradores	samarbejdspartnere
colaboradores	bidragydere
colaboradores	bidragsydere
rotação	rotation
rotação	roterer
rotação	roterende
rotação	rotation
rotação	drejning
catolicismo	katolsk
catolicismo	katolske
catolicismo	katolik
catolicismo	katolicismen
destruída	udslettet
destruída	ødelagt
destruída	tilintetgjort
destruída	destrueret
ciclone	cyklonen
magno	magnus
terrenos	jord
terrenos	lander
terrenos	land
terrenos	terrænet
terrenos	terræn
exclusiva	eksklusive
exclusiva	eksklusivt
exclusiva	eneret
exclusiva	eksklusiv
mandatos	mandater
mandatos	mandaterne
júri	jury
júri	nævninge
júri	juryen
lançamentos	lancerer
lançamentos	lanceres
lançamentos	frigiver
lançamentos	udslip
caribe	vestindien
caribe	caribiske
caribe	caribien
roque	roque
giuseppe	giuseppe
dita	dikterer
internos	praktikanter
internos	intern
internos	interne
internos	internt
palestina	palæstina
palestina	palæstina
palestina	palæstinensiske
palestina	palæstinensisk
palestina	palæstinensere
taiwan	taiwans
taiwan	taiwan
taiwan	taiwanske
sara	sarah
sara	sara
aldeias	landsbyer
aldeias	landsbyerne
choque	chokere
choque	chok
choque	stød
choque	shock
restrições	begrænsninger
restrições	restriktioner
restrições	restriktioner
restrições	begrænsning
restrições	restriktion
restrições	begrænsninger
neil	neil
desfile	optog
desfile	paraden
desfile	parade
noronha	noronha
regularmente	jævnligt
regularmente	regelmæssigt
regularmente	regelmæssig
pesos	lodder
pesos	vægte
pesos	pesos
douro	douro
inserção	indsættelse
inserção	indføring
diminuir	nedgang
diminuir	fald
fischer	fischer
evil	ondskab
evil	ond
evil	onde
evil	evil
evil	ondt
premiado	tildelte
premiado	uddelt
premiado	tildelt
igualdade	ligestilling
igualdade	lighed
igualdade	ligebehandling
aonde	hvor
coleópteros	biller
reações	reaktioner
reações	reaktionerne
reações	tilbagemeldinger
rubens	rubens
visitar	besøg
visitar	visit
visitar	besøge
run	kør
run	løbe
run	run
run	løb
run	kørt
capturado	fanget
capturado	fangede
capturado	indfanget
reno	rhinen
reno	rhin
reno	reno
oposto	modsatte
oposto	modsat
edit	redigere
edit	rediger
edit	redigér
primário	primer
primário	primære
primário	primært
primário	primær
coberta	omfattet
coberta	dækket
coberta	overdækket
coberta	dækkede
coberta	afdækkede
coberta	afdækket
valley	dal
valley	valley
valley	dalen
traduções	oversat
traduções	oversættelse
traduções	oversættelser
neo	neo
defensores	forsvarere
defensores	fortalerne
defensores	fortalere
lar	hjem
lar	hjemme
lar	startside
lar	hjemad
lar	home
heitor	hector
completou	gennemført
completou	afsluttet
completou	udfyldt
completou	afsluttede
completou	fuldført
facilidade	lette
facilidade	lethed
facilidade	facilitet
facilidade	faciliteten
parabéns	tillykke
parabéns	tillykke
gases	benzin
gases	gas
gases	gasser
gases	luftarter
mecanismos	mekanismer
mecanismos	mekanismerne
acreditar	tro
concluída	gennemført
concluída	afsluttet
concluída	udfyldt
concluída	afsluttede
concluída	fuldført
eleitores	vælgere
eleitores	vælgerne
eleitores	vælgere
eleitores	vælgere
eleitores	vælgerne
australiana	australske
australiana	australsk
august	august
bizantinos	byzantinske
qualificação	kvalificerede
qualificação	kvalificerende
qualificação	kvalificeret
qualificação	kvalifikationer
qualificação	kvalifikation
qualificação	kvalificering
luke	luke
luke	lukas
deep	deep
deep	dybe
deep	dyb
deep	dybt
concluído	gennemført
concluído	afsluttet
concluído	udfyldt
concluído	afsluttede
concluído	fuldført
concluído	færdig
concluído	færdigt
concluído	afsluttet
concluído	færdige
concluído	afsluttede
robinson	robinson
pátio	gården
pátio	gårdspladsen
pátio	værftet
pátio	yard
pátio	værft
pátio	terrasse
pátio	terrassen
fortificações	befæstninger
western	vestlig
western	vest
western	western
western	vestligt
western	vestlige
culpa	skylden
culpa	skyld
culpa	skyld
culpa	skyldfølelse
holmes	holmes
kurt	kurt
falado	talt
falado	snakket
falado	talte
emancipação	frigørelse
mina	mina
mina	mit
mina	mine
mina	min
pietro	pietro
circunstâncias	omstændigheder
circunstâncias	omstændighed
circunstâncias	omstændighederne
circunstâncias	omstændigheder
orange	orange
orange	appelsin
xxi	xxi
abastecimento	sourcing
abastecimento	udlevering
abastecimento	levering
abastecimento	udbud
abastecimento	forsyning
residentes	resident
residentes	beboer
residentes	bosat
residentes	bosiddende
residentes	fastboende
residentes	bosiddende
residentes	residenter
residentes	indbyggere
residentes	beboere
derrotas	nederlag
derrotas	nederlaget
derrotas	besejre
derrotas	besejrer
mundialmente	verdensomspændende
tanque	kampvogn
tanque	tankes
tanque	tank
tito	tito
tito	titus
museus	museer
museus	museum
museus	museet
ferido	tilskadekomne
ferido	sårede
ferido	skadet
ferido	såret
ferido	kvæstede
ferido	sårede
ferido	såret
ferido	skadet
ferido	såre
ferido	såret
ferido	ondt
dallas	dallas
plástico	plastik
plástico	plast
plástico	plastic
plástico	plastic
plástico	plast
plástico	plastik
malásia	malaysia
malásia	malaysiske
card	kort
card	card
positivas	positivt
positivas	positive
positivas	positiv
cartão	pap
cartão	kort
cartão	card
violação	krænkelse
violação	overtrædelse
violação	raps
violação	voldtægter
violação	voldtægt
violação	overtrædelse
violação	tilsidesættelse
fort	fort
cargas	belastninger
cargas	byrder
diretores	instruktører
diretores	direktører
susan	susan
sex	fre
sex	køn
sex	sex
cerâmica	keramik
cerâmica	keramiske
cerâmica	keramik
cerâmica	keramisk
cerâmica	keramik
falsa	falsk
falsa	falske
falsa	falsk
falsa	falske
falsa	fake
idéias	ideer
idéias	forestillinger
idéias	idéer
manifestação	demonstration
manifestação	påvisning
manifestação	manifestation
pianista	pianist
postura	holdning
postura	holdning
melbourne	melbourne
edwards	edwards
prof	prof
melhorias	forbedringer
melhorias	bedring
melhorias	forbedringer
melhorias	forbedring
exige	kræver
exige	fordrer
referenciado	refereret
referenciado	refererede
java	java
controlo	kontrol
controlo	control
controlo	kontroller
eficiência	effektiviteten
eficiência	virkningsgrad
eficiência	effektivitet
eficiência	effektiviteten
eficiência	effektivitet
rebelde	rebel
rebelde	oprører
rebelde	oprørsk
proibido	forbudte
proibido	forbudt
proibido	forbudte
proibido	forbudt
proibido	forbudte
proibido	forbudt
marine	marinesoldat
marine	marine
grace	nåde
grace	grace
culinária	gastronomi
culinária	køkken
culinária	kogning
culinária	koge
culinária	madlavning
culinária	kulinariske
arizona	arizona
charlotte	charlotte
mito	mito
mito	myter
mito	myte
mito	myten
químicos	kemisk
químicos	kemikalie
químicos	kemikere
químicos	farmaceuter
químicos	kemikalier
uhf	uhf
avó	bedstemor
avó	farmor
avó	mormor
avó	bedstemor
avó	farmor
avó	mormor
