של	shel
את	vi
את	ti
את	you
את	te
על	oko
קטגוריה	kategoriju
קטגוריה	kategorija
עם	sa
גם	također
גם	takođe
גם	također
גם	takođe
גם	too
זה	ove
זה	toga
היא	ona
היה	bio
שיחה	razgovor
שיחה	call
שיחה	poziv
לאחר	nakon
בין	grah
בין	inter
בין	između
כל	all
כל	svi
כל	sve
כל	bilo
כי	jer
יותר	više
ישראל	izrael
אך	ali
עד	do
שם	tu
שם	tamo
שם	ime
בית	beit
בית	dom
בית	home
בית	kuća
הם	oni
הייתה	bio
אשר	asher
אשר	escher
אשר	kom
אשר	koja
אשר	koju
אשר	potvrdi
כמו	kao
כמו	like
אחד	jedan
אחד	jedna
שמאל	lijevo
קישורים	veza
חיצוניים	vanjska
חיצוניים	vanjski
הברית	savez
הברית	alijansa
מספר	broj
בו	ga
בו	njega
בו	bu
בו	boo
היו	bili
רק	samo
רק	samo
כאשר	kada
אותו	ga
אותו	njega
בן	benu
בן	bene
בן	ben
בן	sin
שלו	njegovo
שלו	njegov
שלו	njegova
שלו	its
שני	drugi
שני	dva
שני	ponedjeljak
לו	lew
לו	lu
לו	lou
מה	što
העולם	world
העולם	svjetski
העולם	svijet
העיר	grad
העיר	grad
במהלך	tokom
כן	jeste
כן	da
כן	da
שנים	godina
אף	nos
אף	eff
רבים	mnoge
רבים	mnogi
רבים	množina
אבל	ali
בה	njen
בה	njena
בה	joj
אין	nijedan
אין	nijedna
אביב	aviv
אביב	proljeće
אביב	proleće
במאי	maj
במאי	režiser
במאי	direktor
שנה	godina
שנה	godina
נולד	born
נולד	rođen
נולד	rođena
נולד	rođeni
הערות	note
הערות	nota
הערות	komentari
הערות	komentarima
חלק	dio
חלק	glatki
חלק	glatka
חלק	glatke
לפני	pre
לפני	prije
אחת	jedan
אחת	jedna
ביולי	jula
ביולי	juli
שוליים	fringe
באוקטובר	oktobar
באוקטובר	oct
בשם	nazvana
בשם	nazvane
בשם	nazvan
בשם	proglašen
במקום	umjesto
במקום	umesto
אותה	njen
אותה	njena
אותה	joj
החל	počeo
החל	počela
החל	počevši
החל	polazna
החל	počev
החל	počinje
החל	počinju
הרב	herb
ארצות	zemljama
ארצות	zemlje
מן	manna
בינואר	januar
במרץ	mart
ראש	glava
חיים	život
חיים	chaim
חיים	haim
המאה	vijek
בנובמבר	novembar
בדצמבר	decembar
לי	lee
תל	tel
בבית	dom
בבית	home
ערך	vrijednost
בפברואר	februar
אלו	ove
זמן	vrijeme
אחר	ostala
אחר	ostale
אחר	drugim
אחר	drugi
בני	beni
בני	sin
בעיקר	uglavnom
בעיקר	većinom
בעיקר	uglavnom
אתר	web
אתר	sajtu
אתר	sajt
ללא	bez
שונים	drugačija
שונים	drugačije
שונים	različita
שונים	različito
שונים	različiti
שונים	različitih
שונים	različite
שונים	različita
שונים	razni
שונים	razne
שונים	raznim
שונים	raznih
אדם	osoba
אדם	osobe
אדם	čovjek
אדם	muškarac
כלל	pravilo
עוד	više
דבר	stvar
דבר	pričaj
דבר	razgovara
דבר	talk
דבר	govoriti
דבר	govori
אחרים	ostala
אחרים	ostale
אחרים	drugim
אחרים	drugi
אחרים	ostali
אחרים	drugi
ספר	knjiga
ספר	barber
ספר	reci
ספר	tell
ספר	reći
נגד	protiv
לה	njen
לה	njena
לה	joj
זכה	osvojen
זכה	pobijedio
זכה	pobijedila
זכה	osvojena
זכה	pobjedio
אחרי	nakon
אולם	međutim
הן	oni
יום	dan
יום	hume
אלה	ove
אלה	ella
אלה	ela
אלה	božica
כבר	već
כיום	trenutno
ירושלים	jerusalem
המדינה	država
מקום	mjesto
מאוד	veoma
מאוד	vrlo
יהודים	jevrejska
יהודים	jevrejsko
יהודים	jevrej
יהודים	jevrejski
יהודים	jevreji
רבות	mnoge
רבות	mnogi
כמה	neki
מטר	stopala
מטר	stopa
מטר	metar
מטר	metara
מטר	metra
מטר	metara
דרך	putem
דרך	preko
דרך	kroz
דרך	način
שנת	godina
יכול	može
יכול	može
באמצעות	putem
באמצעות	preko
בעלי	muž
יחד	zajedno
בשל	zreli
בשל	zbog
פרס	nagrada
פרס	nagrada
פרס	nagrade
ראו	rao
דוד	dodd
דוד	amidže
דוד	ujka
דוד	amidža
בעל	baal
בעל	muž
שלה	njena
שלה	njen
שלה	njena
שלה	joj
בנוסף	plus
תחת	ass
תחת	tur
תחת	pod
תמונה	foto
תמונה	fotografija
תמונה	imidžu
תמונה	imidž
תמונה	slika
תמונה	slika
כתב	novinar
כתב	reporter
כתב	pisala
כתב	napisao
כתב	pisao
עצמו	lično
הקבוצה	grupa
הערך	vrijednost
היום	danas
רבי	rabbi
מי	ko
מי	koji
למרות	uprkos
למרות	iako
למרות	iako
אחרות	ostali
אחרות	drugi
אותם	ih
החברה	društvo
החברה	kompanija
המלחמה	rat
המלחמה	ratu
שונות	drugačija
שונות	drugačije
שונות	različita
שונות	različito
שונות	različiti
שונות	različitih
שונות	razni
הארץ	zemlja
מערכת	sistem
תאריך	datum
בלבד	samo
עבר	prošlost
עבר	preselio
עבר	usvojen
אפשר	omogućili
אפשר	omogući
אפשר	omogućiti
אפשר	dozvoliti
אפשר	omogućile
אפשר	dozvoljavaju
אפשר	dopusti
נוסף	dodaje
נוסף	dodali
נוסף	dodao
מרכז	central
מרכז	centralni
מרכז	centralna
מרכז	centar
מרכז	centar
שימוש	upotreba
שימוש	koristeći
שימוש	koristimo
שימוש	upotreba
שימוש	iskoristi
שימוש	koristi
שימוש	koriste
שיש	mramor
רוב	većina
רוב	rob
רוב	većina
כולל	obuhvaća
כולל	obuhvata
כולל	uključuje
כולל	uključujući
כולל	uključivala
כולל	uključena
גדול	velika
גדול	velikih
גדול	veliki
גדול	velikih
גדול	veliki
גדול	velikih
ישראלים	izraelski
ישראלים	izraelce
יהודי	jevrejska
יהודי	jevrejsko
יהודי	jevrej
יהודי	jevrejski
יהודי	jevrej
יהודי	jevrejka
סוג	vrsta
סוג	vrste
סוג	nekako
סוג	tip
סוג	type
ראשון	nedjelja
ראשון	rishon
ראשון	prvo
ראשון	prvi
מידע	info
מידע	informacija
מידע	podatak
ערכים	vrijednosti
ערכים	unose
אנשים	narod
קובץ	dosije
קובץ	datoteka
קובץ	arhiva
קובץ	file
דקות	minuta
חבר	prijatelj
חבר	drug
צריך	treba
ויקיפדיה	wikipedia
בת	ćerka
בת	kćerka
בת	bet
השם	ime
בתוך	unutrašnjost
בתוך	unutar
האדם	osoba
האדם	osobe
כאן	tu
כאן	ovde
כאן	ovdje
מול	mol
שלהם	njihov
שלהם	njihovi
שלהם	njihovo
שלהם	njihova
שלהם	njihove
לעתים	ponekad
הכנסת	kneset
הכנסת	sinagoga
וגם	također
וגם	takođe
הים	moru
הים	more
השיר	pjesma
בזמן	dok
חדש	novi
השלישי	iii
השלישי	treći
השלישי	treća
השלישי	treće
משה	musa
משה	moshe
גרמניה	njemački
גרמניה	njemačka
יורק	jork
יורק	york
יורק	yorka
הממשלה	vlast
חיל	korpusa
חיל	korpus
יהודה	yehuda
יהודה	judo
יהודה	judas
יהודה	judah
מעל	preko
מעל	iznad
ארץ	zemlja
ארץ	land
ארץ	kopnena
ארץ	zemlja
ארץ	zemlja
כלי	alat
צרפת	francuska
הרבה	mnogo
הרבה	mnoge
הרבה	mnogi
הרבה	mnogo
אתה	vi
אתה	ti
אתה	you
אתה	te
נמצא	našla
נמצא	pronađen
נמצא	pronađena
נמצא	pronašli
נמצא	pronašao
נמצא	utvrdila
טוב	dobro
טוב	dobar
טוב	dobre
אי	ostrvo
ילדים	deca
ילדים	djeca
ילדים	djece
ילדים	djecu
ילדים	djeca
שלושה	tri
לאורך	duž
לאורך	širom
הגיע	stigao
הגיע	stigli
הגיע	stigla
הגיע	došao
הגיע	došla
אירופה	evropa
אירופה	evropljanin
אירופה	evropski
המלך	king
המלך	kralj
כמעט	skoro
כמעט	skoro
מיליון	milion
יצחק	isak
יצחק	yitzhak
האלבום	album
יוסף	joseph
כוח	snage
כוח	snaga
כוח	sila
כוח	power
כוח	vlast
הלהקה	bend
מלך	king
מלך	kralj
מקור	porijekla
מקור	porijeklo
מקור	izvor
מקור	kljun
תוכנית	program
תוכנית	plan
תוכנית	program
בתי	ćerka
בתי	kćerka
נראה	izgleda
לגבי	oko
וב	webb
פעם	jednom
