plains	平原
nusa	nusa
lotte	樂天
civic	公民
basil	basil
inger	inger
marxist	馬克思主義
curran	curran
oleg	oleg
maori	毛利
maori	荒原
albifrons	albifrons
fips	fips
maki	maki
shuttle	太空梭
shuttle	穿梭
serge	serge
stdinchikey	stdinchikey
xịt	帽
xịt	帽子
roc	roc
bunker	碉堡
bunker	地堡
bunker	掩體
froese	froese
selen	硒
còng	手銬
còng	銬
còng	袖口
còng	手銬
cliff	懸崖
cliff	崖
eagles	老鷹
eagles	鷹
cullen	庫倫
dfb	dfb
duỗi	延伸
duỗi	拉伸
duỗi	伸展
rhinolophus	rhinolophus
accipiter	accipiter
beer	啤酒
federico	federico
winehouse	winehouse
boss	boss
boss	老大
boss	老闆
casno	casno
indi	銦
groove	槽
tráo	安裝
xắt	切片
guido	guido
philips	philips
philips	飛利浦
avg	平均
savo	savo
bangs	劉海
bir	bir
timbaland	timbaland
gateway	門戶
steph	steph
anastasia	anastasia
đỉa	水蛭
đỉa	水蛭
anatomy	解剖
anatomy	解剖學
siam	暹羅
willard	willard
tomb	墳墓
tomb	墓
tomb	墓穴
andromeda	仙女座
fritsch	fritsch
allah	真主
allah	阿拉
megumi	惠
shine	閃耀
shine	發光
macro	宏觀
gel	膠
hbo	hbo
caterpillar	毛蟲
dietrich	dietrich
zola	zola
grayson	grayson
crc	crc
alphonse	alphonse
crop	莊稼
crop	農作物
crop	作物
nme	nme
myth	神話
elder	前輩
elder	長輩
elder	長老
vittorio	vittorio
frameless	frameless
sands	金沙
sands	金砂
sands	sands
observer	觀察員
rei	憐
rei	rei
atv	atv
dolls	娃娃
dolls	洋娃娃
dolls	玩偶
augustin	augustin
ncbi	ncbi
directx	directx
marks	標記
kennel	狗窩
claudio	claudio
burm	burm
tenor	男高音
naomi	naomi
laxa	laxa
shakhtar	shakhtar
pei	裴
callisto	callisto
marty	marty
anatoly	anatoly
amino	氨基
amino	氨基酸
scilla	scilla
daejeon	大田
protoss	protoss
sởi	麻疹
emery	emery
howden	howden
torch	火把
torch	火炬
manteuffel	manteuffel
fernandes	fernandes
panda	熊貓
trachea	氣管
tribal	部落
parque	parque
frederic	frederic
khalifa	khalifa
asteroids	小行星
coco	可可
sếp	sir
sếp	先生
sếp	首席
sếp	科長
sếp	boss
sếp	老大
sếp	老闆
giầy	皮鞋
giầy	鞋
giầy	鞋子
ntv	ntv
matthews	matthews
channing	channing
stephan	stephan
beccarii	beccarii
mimi	咪咪
mor	mor
plastic	塑料
plastic	塑膠
lies	謊言
sango	sango
apink	apink
blackberry	黑莓
blackberry	blackberry
travis	travis
halogen	鹵
halogen	鹵素
glacier	冰川
ecw	ecw
rúp	盧布
botanischer	botanischer
wise	明智
wise	英明
trochilidae	trochilidae
burger	漢堡
lise	lise
steindachner	steindachner
dustin	dustin
schaeffer	schaeffer
deck	甲板
arctostaphylos	arctostaphylos
serial	串列
beth	beth
fagus	fagus
mos	mos
nia	nia
burmeister	burmeister
prelude	前奏曲
prelude	前奏
prelude	序幕
falling	墜落
rayment	rayment
unity	統一
unity	團結
rodrigo	rodrigo
artemis	artemis
nhòm	望遠鏡
abbott	abbott
bra	巴西
ibiza	ibiza
elf	精靈
aberrans	aberrans
pendula	pendula
rupee	盧比
rupee	盧比
enzo	enzo
armand	armand
middleton	middleton
bale	bale
shen	沈
pci	pci
nebulosa	nebulosa
poore	poore
frankie	frankie
salisb	salisb
enter	輸入
bride	新娘
nikki	nikki
mutcd	mutcd
survival	存活
survival	求生
survival	生存
mio	mio
mio	美央
reptilia	reptilia
sept	九月
bernardino	bernardino
berks	berks
harmonica	口琴
emb	emb
peck	peck
trend	趨勢
trend	趨向
murina	murina
sos	sos
spiegel	spiegel
dane	dane
gpcm	gpcm
shepherd	shepherd
shepherd	牧羊人
bunko	文庫
rowland	rowland
moo	茂
mica	雲母
mica	mica
sale	銷售
sale	出售
sale	買賣
sale	馬鞍
sale	鞍
storia	storia
khay	托盤
anceps	anceps
lantan	鑭
abdel	abdel
oracle	oracle
oracle	先知
pieridae	pieridae
parnassius	parnassius
scan	掃描
scan	掃瞄
muỗng	匙
muỗng	勺
muỗng	勺子
muỗng	湯匙
fulvus	fulvus
skull	骷髏
skull	頭顱
skull	頭骨
clk	clk
sokolov	sokolov
macrantha	macrantha
hirsutus	hirsutus
odas	odas
comments	評論
comments	意見
dracaena	dracaena
annulata	annulata
bowie	bowie
karim	karim
hipposideros	hipposideros
boku	boku
canaan	迦南
alam	alam
lanata	lanata
vote	表決
vote	投票
boot	靴
boot	靴子
felis	felis
perciformes	perciformes
moor	荒原
chakri	chakri
phasianidae	phasianidae
salins	salins
oka	岡
jill	吉爾
rowan	rowan
espinosa	espinosa
trụy	強姦犯
courtney	courtney
maynard	maynard
deborah	deborah
lauraceae	lauraceae
bering	bering
dominican	多明尼加
graves	墳墓
graves	墓穴
texana	texana
nghêu	蛤蜊
nghêu	蛤
comet	彗星
underwood	underwood
loud	大聲
sage	sage
bilineata	bilineata
anpơ	阿爾卑斯山
wcw	wcw
mải	永遠
mải	永恆
menken	menken
closer	更近
crassa	crassa
hói	禿頭
hói	禿
trim	修剪
rebounds	籃板球
rebounds	籃板
sopwith	sopwith
cellpadding	cellpadding
heron	鷺
rữa	腐爛
rữa	腐
passeriformes	passeriformes
felicia	felicia
globalsecurity	globalsecurity
berryz	berryz
latifrons	latifrons
ramon	ramon
nhóc	小孩
lib	lib
sunny	晴
foch	foch
vái	dua
enigma	謎
vase	花瓶
corvus	烏鴉
carbine	卡賓槍
lit	點燃
lit	數
lit	計數
hormon	激素
hormon	荷爾蒙
hormon	激素
hormon	荷爾蒙
celsius	攝氏
patterns	格局
patterns	模式
rough	毛坯
rough	粗
rough	粗糙
cecilia	cecilia
mah	mah
boo	boo
pursh	pursh
stamp	蓋章
stamp	郵票
stamp	印章
malo	malo
persona	人格
viterbo	viterbo
coleoptera	coleoptera
cindy	cindy
barrier	屏障
poison	poisson
poison	毒藥
poison	毒
poison	毒物
scorpion	蠍子
hazard	危害
township	鄉
quây	周邊
pong	邦
grau	grau
atrata	atrata
panel	pavel
bagdad	巴格達
joplin	joplin
horizon	地平線
veron	veron
blast	爆炸
blast	爆
kedah	kedah
dekalb	dekalb
phết	逗號
eur	歐元
eur	eur
darkness	黑暗
mans	芒
sprint	衝刺
methyl	甲基
verne	verne
hou	侯
headerstyle	headerstyle
aol	aol
thrash	敲擊
domino	骨牌
bitcoin	bitcoin
ursus	ursus
parabellum	parabellum
dir	dir
cdo	cdo
rms	rms
hiragana	hiragana
poe	坡
gunn	gunn
villosus	villosus
lbs	磅
aquarium	水族
aquarium	水族館
okita	沖田
wifi	wifi
compacta	compacta
gregor	gregor
geh	geh
siem	siem
telecom	電訊
telecom	電信
silvestris	silvestris
yusuf	yusuf
quad	四方
plexippus	plexippus
aaa	aaa
supplement	補充
supplement	輔助
hijikata	土方
ruficeps	ruficeps
armando	armando
alexa	alexa
freddy	freddy
vivaldi	vivaldi
emanuel	emanuel
gonzalez	gonzalez
kemal	kemal
fix	修復
fix	修
dexter	dexter
nigricollis	nigricollis
theresa	theresa
rubescens	rubescens
mut	mut
sericeus	sericeus
insulin	胰島素
qubit	qubit
gesellschaft	gesellschaft
magnum	magnum
georgi	georgi
patch	修補
patch	補丁
tcp	tcp
khiêng	攜帶
cui	崔
barros	barros
astro	astro
nobelprize	nobelprize
inchikey	inchikey
airline	航空公司
airline	航空
pilosus	pilosus
sasha	沙沙
alison	alison
riva	riva
tite	tite
wilder	wilder
incisa	incisa
couple	夫妻
couple	情侶
couple	夫婦
hertz	赫茲
kimono	和服
bovidae	bovidae
tibet	西藏
ferrugineus	ferrugineus
vodka	伏特加
mie	mie
revival	復興
revival	復蘇
revival	振興
goo	goo
goo	咕
gượng	洪水
gượng	水災
gượng	尷尬
whisky	威士忌
gorilla	猩猩
pontarlier	pontarlier
christa	christa
twins	雙胞胎
ferrer	ferrer
anion	陰離子
marginalis	marginalis
