szkła	glas
larwy	larv
larwy	larva
larwy	yngel
larwy	larver
larwy	larver
larwy	maskar
hamburgu	hamburg
motor	cykel
motor	motorcyklar
motor	motorcykel
motor	motor
motor	motorcykel
wirtualny	virtuella
wirtualny	virtuell
wirtualny	virtuellt
mnich	munken
mnich	munk
wolna	gratis
wolna	fri
wolna	free
wolna	ledig
wolna	fritt
wolna	fria
rick	rick
hitler	hitlers
hitler	hitler
instrument	instrument
instrument	instrumentet
chrześcijaństwa	kristendomen
chrześcijaństwa	kristendom
oskarżony	anklagades
oskarżony	anklagad
oskarżony	anklagas
oskarżony	anklagade
oskarżony	åtalad
oskarżony	svaranden
oskarżony	svarande
got	fick
got	got
harold	harold
mur	logg
mur	väggen
mur	vägg
mur	mur
katalonii	katalonien
kadłub	hull
kadłub	skrov
kadłub	skrovet
zawierał	innehöll
zawierał	inneslutna
zawierał	innesluten
cyclingarchives	cyclingarchives
ustanowiony	fastställd
ustanowiony	etablerade
ustanowiony	inrättad
ustanowiony	etablerad
ustanowiony	etablerat
rozporządzenie	stadga
rozporządzenie	förordning
rozporządzenie	föreskrift
rozporządzenie	reglering
rozporządzenie	förordningen
rozporządzenie	förordning
but	boot
but	stövel
but	uppstart
but	sko
marion	marion
niemożliwe	omöjliga
niemożliwe	omöjligt
niemożliwe	omöjlig
emma	emma
ręcznie	manuellt
gniazda	näste
gniazda	uttag
gniazda	uttaget
gniazda	häckande
lyon	lyon
lyon	lyons
robinson	robinson
funkcjonariusz	polisman
funkcjonariusz	officer
louise	louise
budżetu	budgeten
budżetu	budget
dot	punkt
dot	pricken
dot	prick
dot	dot
heleny	helena
know	vet
know	know
know	veta
gloria	gloria
hubert	hubert
iihf	iihf
porażka	misslyckad
porażka	underlåtenhet
porażka	misslyckande
porażka	nederlag
porażka	besegra
uczniowie	studenter
uczniowie	studerande
uczniowie	elever
uczniowie	pupiller
uczniowie	elever
curie	curie
włączone	ingår
włączone	inkluderade
włączone	inkluderat
włączone	inkluderad
włączone	aktiverade
włączone	aktiverat
włączone	aktiverad
równowagi	balansera
równowagi	jämvikt
równowagi	balans
równowagi	behållning
równowagi	jämvikt
rolach	rollerna
rolach	roller
short	kort
short	korta
short	short
jules	jules
napoleon	napoleon
zlokalizowane	ligger
zlokalizowane	lokaliserad
zlokalizowane	belägen
zlokalizowane	lokaliserat
zlokalizowane	lokaliserade
zlokalizowane	lokaliserad
zlokalizowane	lokaliserat
zlokalizowane	lokaliserat
zlokalizowane	lokaliserad
zlokalizowane	lokaliserade
craig	craig
poznać	träffas
poznać	mötas
poznać	möt
poznać	möts
poznać	träffa
rozpocząć	börja
rozpocząć	påbörja
rozpocząć	påbörja
oświecenia	upplysning
komunistów	kommunisterna
komunistów	kommunister
konferencja	konferensen
konferencja	konferens
lloyd	lloyd
produktu	produkten
produktu	produkt
judy	judy
amy	amy
romans	romans
romans	romantik
romans	affär
współpracownicy	kompanjoner
współpracownicy	kollegor
współpracownicy	kolleger
współpracownicy	arbetskamrater
współpracownicy	medarbetare
stwierdza	sluter
ofiara	vic
ofiara	uppoffring
ofiara	offra
ofiara	uppoffringar
ofiara	offrar
ofiara	offer
ofiara	offret
ofiara	brottsoffer
ofiara	offer
leonardo	leonardo
harrison	harrison
ice	is
ice	ice
sánchez	sánchez
naturalny	naturlig
naturalny	naturliga
naturalny	natural
naturalny	naturligt
podobno	påstådd
złożona	sammansatt
złożona	sammansatta
złożona	sammansatt
złożona	består
złożona	komplext
złożona	komplicerad
złożona	komplex
złożona	komplexa
złożona	komplicerat
niski	låga
niski	lågt
niski	low
niski	låg
umowa	erbjudande
umowa	deal
umowa	avtal
umowa	överenskommelse
umowa	kontraktet
umowa	kontrakt
zwraca	returnerar
zwraca	återvänder
zwraca	returneras
maksymalny	maximal
maksymalny	maximalt
maksymalny	maximum
maksymalny	högsta
jewgienij	jevgenij
deportivo	deportivo
rzesza	riket
rzesza	rikets
przetrwał	överlevt
przetrwał	överlevde
nakład	ansträngning
nakład	insats
nakład	omsättning
nakład	cirkulation
nakład	omlopp
wcześniejsze	tidigare
wcześniejsze	föregående
wcześniejsze	tidigare
kanclerz	kanslern
kanclerz	förbundskansler
kanclerz	kansler
summer	sommaren
summer	sommar
niedziela	söndag
niedziela	söndags
gorzów	gorzów
sporadycznie	sporadisk
sporadycznie	emellanåt
sporadycznie	ibland
after	efteråt
after	after
after	efter
skrzyżowaniu	korsning
skrzyżowaniu	korsningen
skrzyżowaniu	vägskäl
budapeszt	budapest
obozach	lägren
obozach	läger
wady	brister
wady	tillkortakommanden
wady	brister
wady	svagheter
wady	brister
wady	defekter
wady	nackdelar
małopolska	upland
administracja	admin
administracja	administratör
administracja	förvaltning
administracja	administration
oryginalne	ursprungliga
oryginalne	ursprungligt
oryginalne	originellt
oryginalne	original
oryginalne	ursprunglig
owadów	insekter
owadów	insekt
human	mänskliga
human	mänsklig
human	mänskligt
human	människa
przepływu	flöde
przepływu	flödet
starożytnych	uråldrig
starożytnych	forntida
starożytnych	antikens
podręcznik	handboken
podręcznik	handbok
podręcznik	manuell
podręcznik	manual
podręcznik	handbok
podręcznik	manuellt
podręcznik	lärobok
mayer	mayer
liter	brev
liter	skrivelser
liter	bokstäver
możliwa	möjligt
możliwa	möjlig
możliwa	möjliga
alonso	alonso
podoficerów	underofficerare
collins	collins
turecki	turkiska
turecki	turkisk
turecki	turkiskt
juliana	julian
juliana	juliana
dodatkowa	ytterligare
dodatkowa	extra
prosta	enkla
prosta	enkelt
prosta	enkel
western	västra
western	västlig
helen	helen
strój	dräkt
strój	kostym
strój	klädsel
strój	outfit
klientów	kunderna
klientów	kunder
klientów	klienterna
klientów	klienter
klientów	kunder
norfolk	norfolk
win	win
win	vinst
win	vinna
win	vinn
win	viner
nadzór	övervakning
nadzór	tillsyn
nadzór	övervakning
nadzór	bevakning
mas	mas
klasyczne	klassiska
klasyczne	klassisk
klasyczne	klassiskt
klasyczne	klassiker
klasyczne	klassisk
klasyczne	klassiskt
klasyczne	classic
klasyczne	klassiska
połączeń	fusioner
połączeń	koncentrationer
połączeń	sammanslagning
połączeń	sammanslagningar
phoenix	fenix
phoenix	phoenix
wnętrz	invändigt
wnętrz	inre
wnętrz	interiör
wnętrz	interiörer
jelenia	stag
jelenia	hjortar
jelenia	rådjur
jelenia	hjort
konfliktów	konflikterna
konfliktów	konflikter
wikicytaty	wikiquote
piersi	kista
piersi	bröstkorg
piersi	bröst
piersi	bröstet
piersi	bröst
piersi	bröst
piersi	bröst
uderzenia	impact
uderzenia	effekter
uderzenia	inverkan
uderzenia	påverkan
rozdzielczość	resolution
rozdzielczość	upplösning
raper	rappare
osadników	nybyggare
osadników	bosättare
operacje	transaktioner
operacje	verksamhet
operacje	operationer
operacje	insats
operacje	operation
operacje	drift
symbole	symboler
symbole	symbolerna
kongresie	kongressen
kongresie	congress
kongresie	kongress
kentucky	kentucky
ważna	viktiga
ważna	viktig
ważna	viktigt
ważna	giltigt
ważna	giltiga
ważna	giltig
agata	agatha
agata	agata
badacz	forskaren
badacz	forskare
szanse	chanser
szanse	chance
szanse	slumpen
szanse	chans
szanse	odds
rezygnacji	avgång
rezygnacji	avskedsansökan
rezygnacji	avsked
niezależny	självständig
niezależny	självständiga
niezależny	oberoende
niezależny	självständigt
niezależny	fristående
niezależny	frilansande
olivier	olivier
podpisano	undertecknad
podpisano	undertecknade
podpisano	signerad
podpisano	undertecknat
podpisano	signerat
luigi	luigi
fritz	fritz
ron	ron
ncaa	ncaa
włosy	hair
włosy	hår
włosy	håret
starsze	äldre
pancerna	panzer
mieszkalnych	bostadsområde
żydowska	judinna
żydowska	judiskt
żydowska	judiska
żydowska	judisk
ball	bal
ball	ball
ball	boll
pozytywnie	positivt
pozytywnie	positiv
pozytywnie	positiva
pozytywnie	positivt
waży	väger
wątroby	lever
wątroby	levern
pasy	bälten
przedstawiony	avbildas
przedstawiony	inlämnade
przedstawiony	presenterade
przedstawiony	framlagda
przedstawiony	presenteras
przedstawiony	presenterad
przedstawiony	presenterat
girls	girls
girls	tjejer
girls	flickor
neutralności	neutralitet
bilans	balansera
bilans	jämvikt
bilans	balans
bilans	behållning
potter	potter
julien	julien
kalendarza	almanacka
kalendarza	kalendern
kalendarza	kalender
marshall	marshall
znaczący	avsevärd
znaczący	betydande
znaczący	meningsfullt
znaczący	meningsfull
znaczący	meningsfulla
znaczący	signifikanta
znaczący	betydelsefull
znaczący	avsevärd
znaczący	signifikant
znaczący	betydande
autostrady	motorvägar
autostrady	motorväg
autostrady	motorvägar
autostrady	motorvägar
autostrady	motorväg
autostrady	highway
autostrady	landsväg
morris	morris
lipsku	leipzig
spadła	föll
spadła	trillade
spadła	ramlade
spadła	tappade
spadła	släppte
zakupu	köpa
zakupu	inköp
zakupu	köp
zakupu	köpet
zakupu	köper
zakupu	inköp
znaczące	anmärkningsvärd
znaczące	anmärkningsvärt
znaczące	meningsfullt
znaczące	meningsfull
znaczące	meningsfulla
znaczące	signifikanta
znaczące	betydelsefull
znaczące	avsevärd
znaczące	signifikant
znaczące	betydande
samiec	manlig
samiec	manliga
samiec	hane
samiec	manligt
lokalizacji	platser
panna	jungfru
panna	jungfrun
panna	saknar
panna	fröken
panna	miss
geografia	geografi
naukowcy	forskare
naukowcy	vetenskapsmän
naukowcy	forskare
warren	warren
castle	castle
castle	borgen
castle	slottet
castle	slott
napisała	skrev
napisała	skrivit
uda	lår
uda	låret
