din	از
care	که
care	کدام
fost	شده
mai	mai
mai	مای
mai	دیگر
mai	بیشتر
pentru	برای
lui	او
sunt	هستند
sunt	are
sit	سایت
regiunea	منطقه
regiunea	ناحیه
regiunea	استان
regiunea	منطقۀ
mare	عالی
mare	عالیه
mare	بیگ
mare	big
mare	بزرگ
mare	بزرگی
mare	دریا
mare	دریای
mare	بحر
anul	سال
comună	رایج
comună	معمولی
comună	مشترک
are	has
are	دارد
externe	خارجی
locuitori	ساکنین
locuitori	یاران
legături	پیوندها
legături	پیوندهای
legături	اتصالات
legături	ارتباطات
vezi	see
vezi	دیدن
dar	ولی
dar	اما
cod	کد
cod	cod
populație	جمعیت
populație	جمعیتی
bucurești	بخارست
fiind	بودن
românia	رومانی
jpg	jpg
lista	فهرست
ucraina	اوکراین
nume	نام
ani	انی
ani	سالهای
ani	سالها
ani	سال
avea	had
între	میان
între	بین
până	تا
până	تا
comuna	رایج
comuna	معمولی
comuna	مشترک
poate	شایدم
poate	شاید
două	دوتا
două	دو
rege	پادشاه
rege	کینگ
rege	شاه
sub	تحت
sub	زیر
alte	دیگر
alte	غیره
când	وقتی
când	چون
regiune	منطقه
regiune	ناحیه
regiune	استان
regiune	منطقۀ
anii	سالهای
anii	سالها
anii	سال
parte	جزء
parte	قسمت
parte	پارت
județul	شهرستان
județul	کانتی
centura	کمربند
dinastia	دودمان
dinastia	سلسله
septembrie	september
septembrie	سپتامبر
timp	زمان
timp	تایم
timp	time
despre	درباره
despre	دربارۀ
unde	کجا
unde	کجای
majoritatea	اکثر
majoritatea	بیشتر
majoritatea	بیشترین
majoritatea	اکثریت
densitate	تراکم
densitate	چگالی
limbă	زبون
limbă	زبان
limbă	زبان
iunie	ژوئن
iunie	june
multe	بسیار
socorro	سوکورو
prima	اول
prima	ابتدا
prima	نخستین
octombrie	اکتبر
octombrie	october
august	آگوست
august	آگست
august	اوت
sat	روستای
sat	دهکده
sat	ویلیج
sat	روستا
sat	نشسته
sat	نشستم
sat	نشست
sat	نشستند
sat	بلندای
martie	مارس
martie	پیشروی
martie	راهپیمایی
biserica	کلیسا
biserica	چرچ
biserica	کلیسای
fișier	پرونده
decembrie	دسامبر
toate	همه
ianuarie	ژانویه
latns	latns
latd	latd
longd	longd
adresă	آدرس
adresă	نشانی
noiembrie	نوامبر
cum	چطور
imagine	عکسه
imagine	عکس
imagine	تصویر
imagine	نگاره
statul	حالت
statul	استیت
statul	دولت
statul	وضعیت
statul	ایالت
avut	had
familia	فامیل
familia	خانوادگی
familia	خانواده
numele	نام
timpul	زمان
timpul	تایم
timpul	time
nord	شمالی
nord	نورث
nord	شمال
nord	نورد
principală	main
principală	اصلی
principală	ماین
sud	ساوت
sud	جنوب
sud	جنوبی
aprilie	اپریل
aprilie	آوریل
erau	بودند
loc	محل
loc	مکانی
loc	مکان
loc	جای
loc	جایی
primul	اول
primul	ابتدا
primul	نخستین
iulie	ژوئیه
iulie	جولای
doar	تنها
doar	فقط
editura	ناشر
februarie	فوریه
recensământului	سرشماری
listă	فهرست
trei	سه
asteroizi	سیارکها
limba	زبون
limba	زبان
limba	زبان
longm	longm
latm	latm
discuție	بحثش
discuție	بحث
franța	فرانس
franța	فرانسه
partea	جزء
partea	قسمت
partea	پارت
mult	فراوان
mult	زیاد
mult	بسیار
fără	بى
fără	بدون
departamentul	وزارت
departamentul	اداره
departamentul	بخش
foarte	خیلی
foarte	بسیار
raionul	راهروی
data	تاریخ
