τιμόρ	timorin
ορυχεία	miniera
ορυχεία	minierat
ορυχεία	minierave
ορυχεία	mina
ορυχεία	miniera
ορυχεία	minat
παράθεση	kuotë
παράθεση	citoj
παράθεση	citim
εξόρυξη	nxjerrja
εξόρυξη	nxjerrjes
εξόρυξη	miniera
εξόρυξη	minierat
εξόρυξη	minierave
ράιτ	rajt
βόμβες	bombat
βόμβες	bomba
βόμβες	bombave
πόντοι	pikat
πόντοι	pikë
πράκτορας	agjenti
πράκτορας	agjent
πράκτορας	agjente
επίδειξη	demonstrimi
επίδειξη	demonstrim
επίδειξη	demonstratë
επιδημία	epidemi
πρωσία	prusisë
πρεσβευτής	ambasadore
πρεσβευτής	ambasador
πρεσβευτής	ambasadori
σέρρες	serres
φόνο	vrasja
φόνο	vrasje
συχνότητες	frekuencat
αμφιβολία	dyshimi
αμφιβολία	dyshim
αμφιβολία	dyshoj
αμφιβολία	dyshojnë
ανταγωνισμού	konkurrencës
ανταγωνισμού	konkurenca
ανταγωνισμού	konkurs
ανταγωνισμού	konkurrenca
μέλισσα	bletë
μέλισσα	bleta
μέλισσα	bi
μέλισσα	bee
πορτογαλική	portugeze
στέφαν	stefani
στέφαν	stefan
στέφαν	stephan
ινδονησίας	indoneziane
ινδονησίας	indonezi
κινηματογράφους	kinematë
αντεπίθεση	kundërsulm
γλωσσολογία	gjuhësia
χρονος	radhe
χρονος	koha
χρονος	kohe
χρονος	here
χρονος	ora
λουίζα	louisa
λουίζα	luisa
μοτίβο	motivi
κατηγοριοποίηση	categorisation
μεταφραστής	perkthyes
μεταφραστής	përkthyesi
μεταφραστής	përkthyes
σουηδικά	suedez
σουηδικά	suedeze
παν	tigan
παν	tavë
παν	pan
πες	thone
πες	thuaj
πες	cekja
πες	thoni
πες	thuaj
πες	thuaji
πες	tell
θάλασσες	dete
προγραμματισμός	planifikimi
προγραμματισμός	planifikimin
προγραμματισμός	planifikimi
προγραμματισμός	planifikimin
προγραμματισμός	planifikim
προγραμματισμός	programe
προγραμματισμός	programimi
προγραμματισμός	planifikimi
προγραμματισμός	orar
προγραμματισμός	orari
έβερτον	everton
ευτυχώς	fatmirësisht
ευτυχώς	fatmirësisht
κάρτερ	carter
κάρτερ	karter
αρένα	arena
αρένα	arenë
μπιν	bin
μπιν	bin
μπιν	bean
κίνητρα	motivimi
κίνητρα	motivim
κίνητρα	nxitjet
κίνητρα	stimuj
κίνητρα	nxitje
κίνητρα	stimul
κίνητρα	motive
κίνητρα	motivet
δεσμοί	lidhjet
δεσμοί	lidhje
δεσμοί	lidhjet
δεσμοί	bonot
δεσμοί	bono
δαχτυλίδι	unaza
δαχτυλίδι	unazë
δαχτυλίδι	unaze
δαχτυλίδι	ring
ολοκληρωμένο	integruar
νύχτες	netë
νύχτες	nete
νύχτες	netët
νύχτες	net
νύχτες	netet
ανακωχή	armëpushim
ανακωχή	armëpushimi
δέσποινα	despina
ψηφιακά	digjitale
ψηφιακά	dixhitale
ψηφιακά	dixhital
ψηφιακά	digital
νέλσον	nelson
διαλύματα	zgjidhjet
διαλύματα	zgjidhje
ανιψιός	nip
ανιψιός	nipin
ανιψιός	nipi
κλήση	thirr
κλήση	call
κλήση	thirre
κλήση	thirrje
κλήση	telefonatë
πρόνοιας	mirëqenie
πρόνοιας	mirëqënies
έπαυλη	vilë
παντρεμένη	martuar
παντρεμένη	married
ενδοχώρα	brendësinë
ενδοχώρα	brendësi
ενδοχώρα	hinterland
