valdemar	valdemar
most	most
most	mest
manuskriptet	manuskriptet
manuskriptet	manus
manuskriptet	manuskript
apollo	apollo
trompet	trumpet
hole	hål
hole	hole
følgelig	härav
følgelig	därav
følgelig	följaktligen
rumensk	rumäner
rumensk	rumänska
rumensk	rumänsk
camp	lägret
camp	camp
camp	läger
skjulte	gömt
skjulte	dold
skjulte	gömd
skjulte	dolda
skjulte	dolt
skjulte	gömde
skjulte	dold
skjulte	dolt
tell	antal
tell	greve
tell	räkna
hydro	vattenkraft
hydro	hydro
misjonær	missionär
vennskap	vänskap
vennskap	vänskap
partikler	partiklar
christina	christina
clinton	clinton
rekker	slingor
plattform	plattformen
plattform	plattform
svare	svar
svare	besvara
svare	svara
svare	svara
utvides	expanderar
utvides	utökar
riktige	korrigera
riktige	rätta
riktige	korrekt
riktige	rätt
heiberg	heiberg
opptredener	föreställningar
opptredener	uppträdanden
opptredener	framträdanden
opptredener	skenet
opptredener	framträdanden
match	matchning
match	match
match	matchar
match	matcha
hjort	hjortar
hjort	rådjur
hjort	hjort
watson	watson
teknikker	tekniker
teknikker	teknik
strenge	stränga
strenge	strikt
strenge	strikta
strenge	sträng
assisterende	biträdande
assisterende	assisterande
assisterende	assistent
lowry	lowry
planlegging	planering
planlegging	planera
planlegging	planerar
mads	mads
faktor	faktorn
faktor	faktor
rapporterte	anmälda
rapporterte	anmäld
rapporterte	rapporterade
rapporterte	anmält
rapporterte	rapporterat
uttale	uttal
uttale	uttalas
uttale	uttalar
uttale	uttala
aurivillius	aurivillius
opprørerne	rebeller
opprørerne	rebellerna
myter	myter
dialog	dialogen
dialog	dialog
fans	fläktar
fans	fans
overbevist	övertygas
overbevist	övertygade
overbevist	övertygad
overbevist	övertygat
unit	unit
unit	enhet
unit	enheten
craig	craig
omvendt	omvänd
omvendt	omvänt
omvendt	omvända
omvendt	vända
even	jämn
even	även
silva	silva
hughes	hughes
strategi	strategin
strategi	strategi
churchill	churchill
bugge	bugge
bird	fågel
bird	fågeln
tungvekt	tungvikt
koloni	koloni
