категория	loại
что	gì
для	cho
как	bao
как	như
как	thích
как	like
был	aw
был	bị
его	ngành
также	cũng
это	này
это	thế
это	rằng
это	điều
это	mà
это	vn
после	theo
после	sau
год	năm
было	aw
было	bị
время	gian
время	thời
была	aw
была	bị
место	spot
место	điểm
место	nơi
место	chỗ
район	huyện
район	loạt
район	vực
район	vùng
вид	loài
вид	xem
вид	view
под	dưới
под	under
только	chỉ
только	duy
только	chỉ
только	funny
язык	lưỡi
язык	ngữ
код	code
код	mã
более	thêm
мая	may
дата	ngày
деревня	làng
где	đâu
марта	marta
марта	martha
марта	march
все	hết
все	hết
августа	august
августа	augusta
том	tom
октября	oct
уже	đã
июня	june
сша	kỳ
сша	mỹ
сша	usa
который	mà
название	tên
название	tựa
человек	người
человек	human
человек	người
человек	man
лет	chèo
лет	năm
февраля	tháng
февраля	feb
они	quất
они	những
они	chúng
они	họ
того	togo
города	phố
города	by
она	cổ
войны	war
войны	tranh
войны	chiến
когда	khi
которые	mà
переписи	census
село	selo
село	làng
род	rod
один	độc
один	odin
один	xả
один	một
один	one
реки	sông
реки	sông
реки	rivers
между	giữa
статус	status
годы	chèo
годы	năm
через	qua
через	via
через	qua
национальный	gạt
область	tỉnh
область	loạt
область	tần
область	vùng
область	loạt
область	vực
область	vùng
список	kê
список	list
список	danh
сельское	rural
сайт	website
сайт	website
сайт	site
часть	saga
часть	part
часть	phần
против	dũng
против	chống
этот	này
будет	will
будет	sẽ
будет	muốn
несколько	nhiều
город	phố
город	phố
город	by
мира	hòa
мира	mira
первое	trước
первое	đầu
чем	hơn
части	phần
описание	tả
всего	tổng
первый	trước
первый	đầu
файл	tệp
файл	file
карты	bài
карты	thẻ
два	hai
два	two
всех	hết
там	kia
там	đó
второй	giây
очень	cực
очень	rất
главы	chương
карта	bài
карта	thẻ
карта	card
площадь	plaza
площадь	đc
площадь	square
площадь	vuông
площадь	loạt
площадь	vực
площадь	vùng
всё	hết
даже	chính
затем	rồi
группы	group
группы	nhóm
группы	nhóm
размер	cỡ
размер	size
имеет	đã
над	qua
над	hết
над	over
страны	quốc
индекс	index
улица	phố
улица	street
имена	tên
здесь	đây
истории	truyện
истории	tin
которая	mà
александр	alexandre
александр	alexandros
александр	aleksandr
александр	alexander
армии	quân
армии	army
деление	division
кроме	trừ
другие	khác
другие	khác
история	truyện
история	chuyện
фильм	phim
фильм	phim
фильм	film
рождения	sinh
пункты	mục
времени	gian
времени	thời
либо	thà
либо	chùm
страница	page
страница	trang
участие	tooltip
википедии	wikipedia
три	tre
три	ba
три	three
человека	human
внутреннее	nội
внутреннее	nội
эти	những
случае	case
центр	tâm
центр	centre
