kneževine	principados
odjednom	repentinamente
odjednom	súbitamente
utočište	santuario
utočište	refugio
izdavanje	emitiendo
prijeti	amenazante
prijeti	amenazador
prijeti	amenazar
prijeti	amenazadas
prijeti	amenazada
prijeti	amenazado
prijeti	amenazados
prijeti	amenaza
mhz	mhz
izloženi	expuesto
izloženi	expuesta
izloženi	expuestos
bicolor	bicolor
proslavio	célebre
proslavio	celebrada
proslavio	celebró
proslavio	celebrado
montevideo	montevideo
nadležnosti	jurisdicción
nadležnosti	competencia
chase	persecución
chase	persigue
chase	chase
predrag	predrag
istanbul	estambul
gledajući	mirando
gledajući	viendo
gledajući	observando
atlético	atlético
svezaka	volúmenes
ing	ing
mladež	juventud
mladež	jovenes
mladež	jóvenes
mladež	topo
mladež	mole
kinezi	chinos
kinezi	chino
simplex	simplex
ćelije	células
ćelije	celdas
tihomir	tihomir
soundtrack	soundtrack
vidljiva	visible
vidljiva	visibles
sudbine	destino
sudbine	destiny
potteru	potter
poeziju	poesía
izraelski	israelíes
izraelski	israelí
fisher	fisher
fisher	pescador
crystal	cristal
crystal	crystal
minogue	minogue
logo	logo
logo	logotipo
jeruzalemu	jerusalem
jeruzalemu	jerusalén
bull	toro
bull	bull
odvojeno	separadamente
odvojeno	separado
odvojeno	separada
odvojeno	separado
odvojeno	separados
odvojeno	separar
polufinale	semis
polufinale	semifinales
polufinale	semifinal
živ	viva
živ	vivos
živ	vivo
živ	alive
drami	drama
drami	dramática
drami	dramático
vidljivi	visible
vidljivi	visibles
završilo	terminó
sound	sonido
sound	sound
alberto	alberto
odabir	selección
odabir	selecciona
odabir	seleccione
odabir	seleccionar
odabir	selecciona
bailey	bailey
konvencija	convención
konvencija	convenio
konvencija	convenciones
napisano	escrito
napisano	escritas
napisano	escrita
napisano	escritos
cameron	cameron
liverpool	liverpool
liverpool	madrid
koncerte	conciertos
posvećuje	dedica
kraljević	principe
kraljević	prince
kraljević	príncipe
sektor	sector
sektor	sectorial
slijetanja	desembarques
slijetanja	aterrizajes
slijetanja	desembarco
slijetanja	desembarque
slijetanja	aterrizando
slijetanja	aterrizar
slijetanja	aterrizaje
karsch	karsch
čudo	milagro
čudo	milagrosa
čudo	milagros
čudo	maravilla
ontario	ontario
oksid	óxido
oksid	óxidos
leonard	leonard
carigrad	constantinopla
imanja	haciendas
imanja	fincas
gnijezdo	nido
gnijezdo	nidos
grbu	joroba
japonica	japonica
jacobi	jacobi
motore	motocicletas
motore	motos
korijene	raíces
korijene	raices
bubanj	tambor
raj	cielo
raj	heaven
raj	raj
raj	paraiso
raj	paraíso
raj	paradise
nedovoljno	insuficiente
nedovoljno	insuficientes
teologiju	teología
forel	forel
leconte	leconte
mac	mac
niska	baja
niska	bajos
niska	bajas
niska	low
niska	bajo
istraživači	exploradores
istraživači	investigadores
heckel	heckel
draconarius	draconarius
hvar	hvar
jefferson	jefferson
ibm	ibm
vježbe	ejercicios
vježbe	ejercicios
vježbe	ejercicio
podiže	plantea
podiže	aumentos
organizirati	organice
organizirati	organizan
organizirati	organizarse
organizirati	organizar
organizirati	organiza
organizirati	organizar
sjaja	resplandor
sjaja	luminosidad
sjaja	brillo
sjaja	brillantez
owen	owen
mrtav	muerta
mrtav	muertos
mrtav	dead
mrtav	muerto
prevodi	traducir
prevodi	traduzca
prevodi	traduce
prevodi	traducción
prevodi	traducciones
prevodi	traduce
napravljeno	hecha
napravljeno	made
napravljeno	hecho
autoritet	autoridad
richards	richards
jelo	platillo
jelo	plato
jelo	harinas
jelo	sémola
suđenja	juicios
suđenja	ensayos
rijetke	raros
rijetke	rara
rijetke	raras
rijetke	raro
obavljanje	realizar
obavljanje	realizando
zima	invierno
dell	dell
teolog	teólogo
dizajniran	diseñadas
dizajniran	diseñada
dizajniran	diseñado
dizajniran	diseñados
mart	mart
neutrona	neutrones
mlad	jóven
mlad	jovenes
mlad	young
mlad	joven
mlad	jóvenes
ponavlja	repeticiones
ponavlja	repite
kritički	críticamente
miro	miro
hansen	hansen
eventualno	posiblemente
hasan	hasan
hasan	hassan
vožnje	paseos
run	runa
rog	rog
rog	bocina
rog	trompa
rog	cuerno
rog	horn
straneo	straneo
antonija	antonia
antonija	antonio
prisiljeni	obligado
prisiljeni	forzado
prisiljeni	forzados
prisiljeni	forzada
prisiljeni	forzar
posude	cazuelas
posude	ollas
posude	macetas
posude	tarros
frankfurt	frankfurt
frankfurt	francfort
frankfurt	fráncfort
zabrana	ban
zabrana	prohibición
zabrana	prohibir
oblak	nube
oblak	cloud
oblak	nubes
projektil	proyectil
projektil	proyectiles
projektil	misiles
projektil	misil
herbert	herbert
vijetnamu	vietnam
uspostaviti	establecer
slatina	slatina
chang	chang
bibliografija	bibliografía
upale	inflamación
carla	carla
paolo	paolo
odgovornosti	responsabilidades
odgovornosti	responsabilidad
odgovornosti	responsabilidad
rođak	relativa
rođak	pariente
rođak	relativo
rođak	primo
rođak	prima
reformi	reformas
završi	acabar
završi	terminar
završi	finalizar
završi	acabado
operi	opera
operi	ópera
operi	lavar
operi	wash
operi	lavado
slava	elogio
slava	elogios
slava	alabanza
slava	alabanzas
slava	alabado
slava	fama
slava	fame
slava	glory
slava	gloria
odabrao	eligió
odabrao	elegí
bubrega	riñones
bubrega	riñón
doprinosa	contribuciones
doprinosa	aportaciones
doprinosa	cotizaciones
doprinosa	contribución
doprinosa	aportes
pustinja	desierto
zaklada	fundación
zaklada	cimientos
pojmovi	nociones
ustavom	constitución
ustavom	constitucional
mey	mey
trup	hull
trup	casco
lokaciju	lugar
lokaciju	ubicacion
lokaciju	ubicación
lokaciju	emplazamiento
lokaciju	localización
evanđelje	evangelio
evanđelje	gospel
sims	sims
sims	simms
zmaja	dragones
zmaja	dragón
zmaja	dragon
domaća	doméstica
domaća	domésticas
domaća	domésticos
domaća	doméstico
domaća	caseros
domaća	casero
domaća	casera
domaća	caseras
atentat	asesinato
atentat	asesinatos
single	soltero
single	soltera
single	sencillo
single	single
zločini	crímenes
zločini	delitos
zločini	crimenes
balkanu	balcanes
brunner	brunner
jupiter	júpiter
born	bourne
pomogla	ayudó
pomogla	ayudado
strategija	estrategia
balkan	balcanes
balkan	balcanes
peć	estufa
peć	caldera
peć	horno
peć	horno
peć	estanterías
ramena	hombros
pablo	pablo
regionalni	regional
regionalni	regionales
letove	vuelos
predaja	rendirse
predaja	rendición
predaja	entrego
protivnici	adversarios
protivnici	oponentes
protivnici	opositores
bizantskog	bizantina
bizantskog	bizantinos
bizantskog	bizantino
pločica	baldosas
pločica	azulejo
pločica	teja
pločica	azulejos
morgan	morgana
morgan	morgan
pretrpio	soportó
pretrpio	soportado
pretrpio	sufrido
pretrpio	sufrió
pretrpio	padecido
pretrpio	sufrieron
pretrpio	sufrida
holmes	holmes
anemone	anemone
pojavljivanje	aspecto
pojavljivanje	aparición
pojavljivanje	comparecencia
pojavljivanje	apariencia
izvoz	exporta
izvoz	exportación
izvoz	exportaciones
