और	và
से	khỏi
से	từ
है	hải
एक	xả
एक	một
एक	one
श्रेणी	loại
श्रेणी	series
भी	chính
भी	cũng
भी	quá
भी	khoáng
भी	too
यह	này
किया	lam
किया	xong
इस	này
हैं	re
हैं	đang
हैं	là
कि	thế
कि	rằng
कि	điều
कि	mà
कि	vn
जो	joe
जो	ai
जो	who
ही	hee
रूप	mẫu
रूप	nhê
कर	thuế
कर	thuế
नहीं	không
नहीं	ko
नहीं	không
नहीं	chưa
उत्तराखण्ड	uttarakhand
साथ	với
साथ	bằng
पूर्व	đông
पूर्व	cựu
होता	tòng
होता	cốt
बाद	sau
बाद	theo
बाद	sau
तक	tak
अपने	chính
अपने	của
जिले	quận
था	nan
था	xịt
था	aw
था	bị
राज्य	kỳ
राज्य	bang
बाहरी	ngoài
बाहरी	ngại
कुछ	cầy
गाँव	làng
सरकार	phủ
कड़ियाँ	xích
कड़ियाँ	xích
कड़ियाँ	links
प्रदेश	loạt
प्रदेश	tần
प्रदेश	vùng
इसके	its
दिया	tặng
अन्य	khác
अन्य	khác
जा	jaa
वर्ष	chèo
वर्ष	năm
वर्ष	năm
समय	gian
समय	thời
नाम	tên
वे	quất
वे	những
वे	chúng
वे	họ
प्रकार	kiểu
प्रकार	gõ
प्रकार	loại
प्रकार	loại
तहसील	tehsil
क्षेत्र	loạt
क्षेत्र	vực
क्षेत्र	vùng
क्षेत्र	loạt
क्षेत्र	tần
क्षेत्र	vùng
अधिक	thêm
कई	nhiều
वाले	wale
स्थित	nằm
मण्डल	zone
मण्डल	múi
मण्डल	vùng
कारण	chi
कारण	chi
जैसे	như
जैसे	thích
जैसे	like
उनके	nhị
उनके	them
उनके	cói
उनके	chúng
उनके	họ
हिन्दी	hindi
बहुत	cực
बहुत	rất
पहले	trước
पहले	trước
पहले	đầu
अपनी	chính
अपनी	carnal
दो	hai
दो	two
जिला	huyện
जब	khi
उन्होंने	quất
उन्होंने	những
उन्होंने	chúng
उन्होंने	họ
जन्म	sinh
जन्म	sinh
कोई	koi
कोई	any
इन	inn
लेकिन	nhưng
ये	này
ये	những
कम	low
कम	thấp
कम	bớt
कम	ít
कम	giảm
कहा	nói
कहा	bảo
कहा	said
लोग	người
आदि	etc
आदि	vv
आदि	thêm
आदि	adi
उसके	ngành
उसके	her
उसके	cổ
देखें	xem
देखें	pass
देखें	xem
देखें	xem
देखें	view
उत्तर	tời
उत्तर	bắc
भाषा	ngữ
लिये	cho
सभी	hết
प्राप्त	nhận
इसका	its
प्रयोग	nghiệm
शामिल	gồm
