modelleket	modelos
évforduló	aniversario
candy	candy
fülek	oídos
fülek	orellas
trent	trent
érzelem	emoción
érzelem	emocións
benzin	gas
benzin	gasolina
benzin	de
benzin	gases
benzin	gasolina
mágus	mago
kínos	incómodo
alvás	sono
alvás	durmir
alvás	durme
alvás	durmindo
alvás	durmir
alvás	somníferos
árut	mercadoría
hormon	hormona
hormon	hormonal
hormon	hormonas
korlátozás	restrición
korlátozás	límite
veszít	perde
szenvedély	paixón
adatbázisok	base
adatbázisok	de
adatbázisok	datos
élőhelyek	do
élőhelyek	hábitat
erőltetett	obrigado
erőltetett	a
erőltetett	forzado
erőltetett	todo
erőltetett	obrigoume
erőltetett	recrutado
bernstein	bernstein
bárkit	ninguén
bárkit	calquera
bárkit	alguén
bárkit	a
fogyasztanak	consumir
fogyasztanak	consumimos
organikus	orgánico
pingvin	pingüín
flow	fluxo
flow	transmisión
tetőn	tellado
tetőn	teito
rámutatott	recomendáronme
kivitelezés	execución
meglevő	existente
meglevő	existentes
meglevő	telescopios
clint	clint
vonaton	tren
vonaton	entreno
vonaton	metro
mintákat	patróns
mintákat	mostras
kemence	cociniña
kemence	forno
allah	alá
érezni	sensación
érezni	sentir
érezni	sentimento
selyem	seda
selyem	de
erkölcs	de
erkölcs	ética
erkölcs	morais
erkölcs	moral
erkölcs	a
erkölcs	vontade
tadeusz	tadeusz
közegészségügyi	saneamento
közegészségügyi	sanidade
cella	célula
cella	cela
kés	coitelo
kés	navalla
kés	mackie
hív	chama
hív	chamadas
hív	á
hív	as
hív	chamada
hív	trompetas
hív	ninguén
hív	chama
hív	a
hív	por
hív	chamando
hív	chamar
alaszkai	alaska
kölykök	nenos
kölykök	fillos
kölykök	rapaces
kölykök	os
kölykök	cativos
kölykök	mozos
tudományosan	cientificamente
tudományosan	científicamente
igazgatás	administración
erősek	forte
erősek	fortes
völgyet	val
völgyet	da
völgyet	valley
alakzat	forma
alakzat	dunha
alakzat	figura
belépő	entrada
belépő	entrada
belépő	vigor
barátom	amigo
barátom	amiga
benyújtott	a
plymouth	plymouth
fúziós	fusión
fúziós	reactor
mentő	de
mentő	apoio
mentő	ambulancia
hamupipőke	cinsenta
hamupipőke	cincenta
fákon	árbores
fákon	das
seb	ferida
tudatosság	consciencia
tudatosság	a
tudatosság	conciencia
tudatosság	da
tudatosság	conciencia
tudatosság	cognición
fények	luces
fények	as
fények	luz
fények	apaguen
húzta	o
húzta	sacou
perek	ensaios
perek	xuízos
betörő	ladrón
szintek	niveis
szabadidő	libre
szabadidő	tempo
szabadidő	ocio
fed	farto
fed	de
fed	alimentado
galileo	galileo
gyógyszert	medicinas
gyógyszert	medicina
gyógyszert	baseada
gyógyszert	na
gyógyszert	médicos
gyógyszert	menciña
istálló	granxa
bizottságok	comités
lefordított	traducido
feltüntetett	dixeron
felkészülés	para
felkészülés	a
felkészülés	preparar
peugeot	peugeot
garrett	garrett
menj	ir
zsaru	poli
zsaru	policía
swing	abaneo
swing	xuntas
arcok	rostros
arcok	caras
úszik	nadar
úszik	baño
úszik	nado
hazugság	mentiras
hazugság	mentira
hazugság	mentir
hazugság	está
hazugság	mentindo
hazugság	mentes
hazugság	páramo
hazugság	xace
hazugság	está
hazugság	reside
hazugság	mentira
hazugság	mentiras
sót	salgado
sót	sal
clifford	clifford
clifford	ei
megfigyelni	observar
pillanatok	momentos
pillanatok	momento
pillanatok	intres
nettó	rede
alapozott	baseándose
alapozott	en
alapozott	baséase
alapozott	baseándonos
alapozott	baseada
alapozott	base
alapozott	baseado
hozzávetőleg	aproximadamente
innovációs	innovación
pálinka	brandy
legfényesebb	máis
kenyeret	pan
kenyeret	cartos
elegans	elegans
ellenségek	inimigos
egyenlőtlenség	desigualdade
éjfél	noite
