die	на
van	фамилия
van	фамилно
van	от
wat	какво
wat	че
met	със
was	бе
was	бяха
vir	за
nie	не
dit	това
deur	врата
deur	вратата
ook	също
tot	тил
dat	че
hulle	ги
hulle	тях
suid	южно
suid	южен
suid	юг
suid	южна
uit	вън
uit	навън
jaar	година
jaar	годината
eerste	първи
eerste	първо
maar	но
kan	могат
kan	can
hierdie	това
ander	друго
ander	друг
ander	други
soos	като
soos	like
afrika	африка
afrika	африканска
afrika	африкански
oor	относно
oor	уши
oor	ухо
oor	ухото
oor	оставащи
oor	оставащите
een	една
een	един
een	едно
gebruik	използване
gebruik	употреба
gebruik	използване
gebruik	употреба
gebruik	използвайте
afrikaanse	африканска
afrikaanse	африкански
groot	страхотно
meer	езерото
meer	лейк
meer	езеро
meer	повече
meer	още
onder	долу
onder	отдолу
onder	дъното
onder	отдолу
onder	дъно
twee	двама
twee	две
kerk	kerk
kerk	църква
kerk	чърч
kerk	църквата
duimnael	нокът
tussen	между
gemeente	паството
gemeente	събор
gemeente	сглобяване
gemeente	събрание
baie	много
baie	mnogo
baie	много
begin	начало
begin	старт
begin	започнете
begin	стартиране
hul	тяхното
hul	тяхната
hul	техните
hul	техният
lêer	леджър
waar	къде
waar	истина
waar	верни
waar	вярно
dié	това
eeu	век
eeu	вековен
eeu	века
haar	нея
eksterne	външна
eksterne	външно
eksterne	външни
eksterne	външен
sien	виждайки
sien	видя
sien	вижте
sien	виж
nuwe	ню
nuwe	ново
nuwe	нов
nuwe	нови
nuwe	нова
leë	празно
leë	празен
leë	празни
leë	празна
leë	празно
leë	празен
leë	празна
hom	него
voor	преден
voor	предни
voor	отпред
voor	фронт
voor	предна
voor	преди
stad	град
stad	градът
stad	сити
stad	city
land	държава
land	страна
skakels	връзки
nog	повече
nog	още
net	само
net	единствено
net	просто
net	само
sou	би
naam	името
naam	наименование
naam	име
deel	сподели
deel	споделете
deel	споделяне
deel	дял
deel	част
drie	три
drie	трима
pous	папата
pous	папа
pous	поуп
sal	уил
ons	нашият
ons	наша
ons	нашия
ons	нашата
ons	нашите
mense	народ
mense	хора
mense	хората
bestaan	съществуват
bestaan	съществува
svg	svg
nasionale	национална
nasionale	национални
nasionale	национален
nasionale	национално
maak	направи
kom	ела
noord	северно
noord	север
noord	северна
jpg	jpg
gebied	територия
gebied	територии
gebied	територията
gebied	зона
gebied	площ
gebied	област
gebied	район
vanaf	от
laat	късно
laat	закъснява
saam	заедно
style	стилове
style	стайлс
terwyl	докато
veral	особено
weer	отново
weer	пак
weer	времето
werk	работа
werk	труд
werk	работи
werk	работа
werk	йов
klein	малка
klein	малки
klein	малък
klein	дребен
klein	незначителни
oos	източно
oos	изток
hier	тук
tyd	времето
tyd	време
vlag	флаг
vlag	знамето
vlag	знаме
verskeie	различни
verskeie	различни
verskeie	разнообразни
verskeie	разни
verenigde	обединени
verenigde	обединена
verenigde	обединен
verenigde	юнайтед
verenigde	обединено
mei	май
wes	запад
wes	западно
wes	западна
wes	западен
wes	уест
vorm	формата
vorm	форма
staan	стои
staan	стояща
gereformeerde	реформирана
isbn	isbn
genoem	спомената
genoem	споменато
genoem	споменат
dan	тогава
bevolking	популация
bevolking	население
gemaak	направена
gemaak	направено
gemaak	направен
gemaak	направени
gebou	изграждане
gebou	сграда
gebou	сградата
jare	години
jare	годините
januarie	януари
januarie	ръководство
januarie	ръчен
januarie	ръчна
januarie	ръчни
junie	джун
junie	юни
amerikaanse	американска
amerikaanse	американско
amerikaanse	американски
amerikaanse	американец
slegs	само
slegs	единствено
slegs	просто
slegs	само
nadat	след
april	ейприл
april	април
lank	висок
lank	висока
lank	високи
lank	дълги
lank	дълго
lank	дълъг
lank	лонг
gestig	основана
gestig	основано
gestig	основан
oktober	октомври
julie	юли
sedert	изстреляна
sedert	изстрелян
reeds	вече
kaapstad	барселона
september	септември
