נזקים	danys
בואנוס	buenos
מני	mani
מני	manny
דגלים	banderes
דגלים	indicadors
אטלס	atles
מעריצים	fans
מעריצים	admiradors
מעריצים	ventiladors
מנועים	motors
מנועים	dorsals
מיאמי	miami
מוסוליני	mussolini
קשתות	arcs
מושבות	colònies
ולס	vals
ולס	pous
יריב	rival
יריב	oponent
יריב	adversari
רצופים	consecutives
רצופים	consecutius
רצופים	consecutiva
בקביעות	regularment
בקביעות	constantment
פיה	pia
פיה	fada
ליון	lyon
ליון	lió
ספיידרמן	spiderman
טבלה	taula
טבלה	quadre
טבלה	gràfic
טבלה	diagrama
ביתא	beta
נאפולי	nàpols
נאפולי	napoli
חולי	pacients
ארגן	organitzen
ארגן	organitzi
ארגן	organitzar
ארגן	disposades
ארגן	arreglat
הולם	apropiat
הולם	correspongui
הולם	adequada
הולם	holm
המונים	masses
מעורר	estimular
מעורר	estimulant
באפט	buffett
מסת	missa
מסת	massa
אחיות	germanes
אחיות	infermeres
אחיות	infermers
הולנדי	neerlandès
הולנדי	holandès
יהונתן	jonathan
נכנסת	entrants
פין	penis
פין	aleta
פין	finn
האחיות	germanes
מאובנים	fòssils
ריאות	pulmó
ריאות	pulmons
שקר	mentida
שקר	fals
שקר	false
שקר	falses
נפשי	mental
מציינת	indica
שמקורם	originari
שמקורם	originades
מכסה	tapa
מכסה	portada
מכסה	caràtula
מכסה	abasta
מכסה	caràtules
מכסה	fundes
מכסה	cobrint
מכסה	tapant
מכסה	cobriment
התיאור	descripció
מסייע	ajudant
מסייע	útils
שוחררו	estrenat
שוחררו	estrenats
עבאס	abbas
סוללות	bateries
סוללות	piles
כיכבה	protagonitzar
לאבד	perdent
המולדת	pàtria
ליבה	core
ליבה	nucli
בטי	betty
קדומות	prejudici
פיצוי	compensació
פיצוי	indemnització
פיצוי	restitució
גשרים	ponts
רכיב	component
נוחות	conveniència
נוחות	consuelo
נוחות	comoditat
נוחות	confort
בעוצמה	intensament
אורז	arròs
השערות	pèls
פלסטין	palestina
לנון	lennon
מתקבלת	sostinguda
מתקבלת	sostingut
ברוקולי	bròquil
האדומים	rojos
האדומים	vermells
אלת	deessa
מוקדש	dedicat
מוקדש	dedicada
עוזב	deixant
לאונרדו	leonardo
מבטא	accents
מבטא	accent
בועז	boaz
הזמנה	reserva
הזמנה	convida
הזמנה	orde
הזמנה	ordre
הזמנה	invitació
מחברות	quaderns
מחברות	llibretes
כיתה	aula
כיתה	classe
תורתו	ensenyaments
הקומוניסטים	comunistes
העיקרון	principi
אקדח	pistola
אקדח	pistola
אקדח	arma
נחמיה	nehemies
פיסול	escultura
פיסול	escultor
נתפסו	capturats
נתפסו	captades
נתפסו	capturat
מבטיח	prometedor
אבירי	galant
הגבלות	restriccions
הגבלות	límits
הרייך	reich
קברים	tombs
קברים	tombes
שהו	sho
הכה	encertar
הכה	hit
דמוקרטי	democràtica
דמוקרטי	democràtic
דמוקרטי	demòcrata
מתחרים	concursants
מתחרים	competidors
מתחרים	competint
אסד	assad
אסד	àssad
אסד	àssad
ליברמן	lieberman
ספציפיים	específics
ספציפיים	específic
חוקיים	jurídic
חוקיים	legal
חוקיים	legals
האנס	hans
הזדמנויות	oportunitats
הבלקן	balcans
חובות	deutes
כומר	reverend
כומר	sacerdot
להתפטר	dimitir
להתפטר	renunciar
ערפאת	arafat
ביו	bio
