berniat	namjeravaju
yokohama	yokohama
hendap	zasjeda
menyelamat	spašavanja
menyelamat	spašavanje
minta	ask
berbakat	nadarenog
berbakat	talentovanih
berbakat	talentovani
ono	ono
noh	noh
mikro	mikro
airbus	airbus
ann	ann
sara	sara
put	stavi
put	stavila
put	staviti
put	stavio
put	stavljen
eva	eva
georges	georges
alur	groove
persiapan	pripreme
persiapan	priprema
persiapan	pripreme
lilin	svijeće
yamamoto	yamamoto
hentian	lomi
hentian	brejk
taken	odveden
taken	uzeo
taken	donesena
penjual	sellers
penjual	prodavac
trinidad	trinidad
sofia	sofija
hakikat	činjenica
jempol	palac
aida	aida
dikongsi	dijele
kombinasi	kombinacija
terapung	iznesen
kadet	kadeta
kadet	kadeta
como	como
mandat	mandati
mandat	mandat
tampak	vidljiv
tampak	vidljiva
tampak	vidljivi
tampak	vidljivo
pengawalan	kontroliše
pengawalan	kontrolisanje
ujibakat	audiciji
ujibakat	audicije
hangul	hangul
menumpaskan	uhapšen
fame	slavnih
fame	fame
pembersihan	čišćenja
pembersihan	cleanup
pembersihan	čišćenje
gendang	drums
percival	percival
menangis	cry
menangis	plače
terumbu	greben
guan	guan
hawa	hava
taktikal	taktičku
taktikal	taktičke
roll	roll
mirage	mirage
bawa	donijeti
bawa	donose
bawa	dovode
pbs	pbs
landes	landes
fact	činjenica
sbg	sbg
sarjan	narednik
hoon	hoon
matt	met
matt	matt
rintangan	preprekama
rintangan	prepreke
rintangan	prepreka
rintangan	prepreke
penindasan	represije
berkat	blagoslov
explorer	istraživač
explorer	explorer
geseran	trenje
intelektual	intelektualno
intelektual	intelektualno
intelektual	intelektualac
intelektual	intelektualnu
pertolongan	pomoći
pertolongan	pomogne
pertolongan	pomoć
chow	čau
scaleminor	scaleminor
perspektif	perspektiva
perspektif	perspektive
disunting	sare
borang	forme
borang	formama
borang	oblici
borang	oblike
borang	oblik
borang	formirati
borang	forma
borang	formi
borang	formiraju
ingat	pamti
ingat	se
balak	balak
mosque	džamija
penaltyscore	penaltyscore
berdaulat	suverena
abe	abe
pementasan	izvođenja
nora	nora
hisham	ajša
sulfur	sumpor
niaga	trgovina
edison	edison
vegas	vegas
una	una
pemaju	adriatic
melompat	skakanje
ragbi	ragbi
ragbi	rugby
atasan	nadređenih
roussillon	roussillon
xxx	xxx
suk	suk
guitar	gitara
rentak	pobijedio
rentak	pobedi
rentak	ritam
morgan	morgan
jorge	jorge
languedoc	languedoc
bongsu	najmlađe
bongsu	najmlađi
wallace	wallace
pemproses	procesor
penapis	filter
penapis	filtera
seville	sevilla
győr	győr
specific	specifične
specific	konkretne
specific	specifična
kyrgyzstan	kirgistan
penawar	lijek
penawar	lek
penawar	lijeku
rantaian	lanaca
rantaian	lancima
natrium	natrijum
