ब्रह्मचर्य	純潔
ग्लेन	グレン
ग्लेन	グレン
विरल	レア
पोर्टफोलियो	ポートフォリオ
नवाचार	革新
नवाचार	イノベーション
डायमंड	ダイヤモンド
डायमंड	ダイアモンド
महंगी	高い
महंगी	高額
तर्कसंगत	rational
पीना	飲む
पीना	飲み物
पीना	ドリンク
पीना	飲む
स्ट्रिप	ストリップ
संलयन	フュージョン
अब्दुल्ला	アブドゥッラー
वर्जिन	処女
वर्जिन	ヴァージン
चक्रों	チャクラ
प्रोसेसिंग	処理
प्रोसेसिंग	加工
अवस्थिति	配置
अवस्थिति	所在地
अवस्थिति	ロケーション
अवस्थिति	場所
अवस्थिति	所在地
मार्गदर्शक	ガイド
विभिन्नता	バリエーション
ढोल	ドラム
ढोल	太鼓
क्वार्क	クォーク
अवकल	差動
अवकल	微分
राजसी	マジェスティック
जबरदस्त	凄まじい
क्रोमियम	クロム
कूप	クーペ
कीन	キーン
लेखनी	pen
लेखनी	ペン
अखबारों	新聞紙
अखबारों	新聞
मध्यस्थता	仲裁
मध्यस्थता	あっせん
मध्यस्थता	調停
सोल	sol
सोल	ソル
किक	キック
धड़कन	beat
धड़कन	ビート
धड़कन	鼓動
छल्ले	リング
छल्ले	指輪
क्रेन	クレーン
क्रेन	ツル
आखरी	最終
आखरी	ラスト
आखरी	最後
क्षेत्ररक्षण	隊長
क्षेत्ररक्षण	キャプテン
क्षेत्ररक्षण	フィールディング
लिली	ユリ
लिली	リリー
मॉनिटर	モニター
मॉनिटर	モニタ
कोक	コーク
कोक	コーラ
मेलबोर्न	メルボルン
करुणा	親切
मुठभेड़	遭遇
मुठभेड़	出会い
जप	japa
अकसर	頻繁
अकसर	しばしば
मशरूम	キノコ
मशरूम	きのこ
मशरूम	マッシュルーム
मशरूम	キノコ
मशरूम	マッシュルーム
शांतिपूर्ण	平和
गरुड़	ガルダ
फ्लू	インフルエンザ
नरक	ヘル
नरक	地獄
ट्री	ツリー
बेलन	円柱
बेलन	シリンダー
आत्मविश्वास	自信
आत्मविश्वास	自信
आत्मविश्वास	信頼
कुपोषण	栄養失調
नूर	ヌール
कंटेनर	容器
कंटेनर	コンテナ
राई	ライ
राई	rai
वाइड	ワイド
फर्नीचर	家具
वारिस	相続
परिवर्तनशील	変数
परिवर्तनशील	可変
अनजान	不明
ग्रांट	付与
ग्रांट	グラント
मैग्नीशियम	マグネシウム
सनी	晴れ
सनी	サニー
प्लेटफॉर्म	プラットフォーム
प्लेटफॉर्म	プラットホーム
घुस	貫通
भावुक	センチメンタル
कैन	カンヌ
घोटाला	スキャンダル
घोटाला	不祥事
ईर्ष्या	嫉妬
ईर्ष्या	羨望
ईर्ष्या	嫉妬
अमल	アマル
मेडल	メダル
समरूप	均質
जैज़	ジャズ
गायकों	歌う
ओक	オーク
बैच	バッチ
उड़ा	ブロウ
उड़ा	ブロー
किनारा	エッジ
किनारा	edge
किनारा	ボーダー
किनारा	国境
किनारा	両側
फ्रेड	フレッド
बुर्ज	タワー
बुर्ज	pinnacle
पियरे	ピエール
वुड	木材
वुड	木製
वुड	ウッド
बंदरगाहों	港湾
बंदरगाहों	ポート
अलेक्जेंडर	アレクサンドロス
अलेक्जेंडर	アレクサンダー
अलेक्जेंडर	アレキサンダー
परिमित	有限
क्योटो	京都
मटर	エンドウ
मटर	エンドウ
आर्किटेक्चर	アーキテクチャ
आर्किटेक्चर	建築
फैक्ट्री	工場
वॉर्स	戦争
वॉर्स	ウォーズ
ओंटारियो	オンタリオ
वायरल	バイラル
एडवेंचर	アドベンチャー
एडवेंचर	冒険
अनुग्रह	恩寵
अनुग्रह	グレース
अनुग्रह	グレイス
स्टीवर्ट	スチュワート
गिल्ड	ギルド
घंटी	ベル
कूपर	クーパー
दोहन	馬具
दोहन	ハーネス
कैरोलिना	カロライナ
प्लान	計画
प्लान	プラン
खिंचाव	ストレッチ
माफी	謝る
माफी	謝罪
माफी	許す
माफी	許し
व्लादिमीर	ウラジーミル
प्रणाम	宜しく
दंगों	暴動
कोचीन	高知
बर्गर	バーガー
बर्गर	ハンバーガー
बर्गर	ハンバーガー
बेहोश	無意識
वर्ड	ワード
वर्ड	言葉
वर्ड	単語
वर्ड	word
प्रभार	チャージ
प्रभार	課金
प्रभार	充電
म्यांमार	ミャンマー
मार्गरेट	マーガレット
जुलूस	行進
बांसुरी	フルート
दिशानिर्देश	方向
दिशानिर्देश	道順
दिशानिर्देश	指針
दिशानिर्देश	ガイドライン
बधाई	あいさつ
बधाई	挨拶
सत्तर	seventy
हॉस्पिटल	病院
प्रांगण	構内
प्रांगण	敷地
प्रांगण	中庭
त्यागपत्र	辞表
त्यागपत्र	辞任
त्यागपत्र	辞職
नीलम	サファイア
जलसन्धि	海峡
पोर्टेबल	ポータブル
स्विंग	スウィング
स्विंग	スイング
मर्फी	マーフィー
जेड	ヒスイ
टिप्पणियाँ	コメント
प्रिंटर	プリンタ
प्रिंटर	プリンター
प्रिंटर	プリンタ
सिनसिनाटी	シンシナティ
सल्फाइड	硫化物
फुल	いっぱい
फुल	フル
अस्सी	eighty
आंद्रे	アンドレ
अनोखी	ビザール
पापुआ	パプア
सीआईडी	cid
विषयवस्तु	コンテンツ
विषयवस्तु	内容
विषयवस्तु	テーマ
विषयवस्तु	内容
सूरीनाम	スリナム
फोर्ब्स	フォーブス
एजेंटों	エージェント
प्रेमियों	恋人
विलीन	溶かす
विलीन	溶ける
हथेली	手のひら
हथेली	ヤシ
हथेली	パーム
दाग	しみ
दाग	しみ
दाग	シミ
अज़ाब	ドゥーム
मंचन	演出
बटालियन	大隊
रिक	リック
बर्मिंघम	バーミンガム
गुस्से	怒り
गुस्से	pda
ढलान	スロープ
ढलान	斜面
ढलान	傾き
दीर्घकालीन	リラプス
लगन	献身
लगन	奉納
चाकू	ナイフ
परिवर्तनीय	変数
परिवर्तनीय	可変
परिवर्तनीय	変数
निर्दोष	無実
लीबिया	リビア
पिछला	最終
पिछला	ラスト
पिछला	最後
