フランチェスコ	francesco
預金	sparande
預金	besparingar
預金	insättning
預金	deposition
預金	insättningar
預金	inlåning
捕食	predation
捕食	rovdjur
ヘルメット	hjälmen
ヘルメット	hjälm
ヘルメット	hjälmar
雅彦	masahiko
スパーク	gnista
スパーク	spark
発作	anfall
発作	beslag
発作	kramper
抽象	sammanfattning
抽象	abstrakt
抽象	abstrakta
スルー	thru
スルー	igenom
スルー	genom
スルー	dräpte
フィリップス	philips
フィリップス	philips
フィリップス	phillips
ケニア	kenya
ケニア	kenyanska
寄生	parasitiska
寄生	parasit
寄生	parasiten
資本主義	kapitalismen
資本主義	kapitalismens
資本主義	kapitalism
浸水	översvämmat
浸水	översvämmade
意匠	designa
意匠	utformning
意匠	konstruktion
意匠	design
意匠	utforma
弾道	ballistiska
デフォルト	standardvärde
デフォルト	standard
ベット	satsar
ベット	satsningar
ベット	bette
ベット	satsar
ベット	satsa
ベット	satsning
ベット	bet
ドジャース	dodgers
ソープ	tvål
ソープ	såpa
火器	skjutvapen
ユネスコ	unesco
ナノ	nano
スチール	steel
スチール	stål
コスプレ	cosplay
茶色	brun
茶色	bruna
茶色	brunt
茶色	brown
解像度	resolutioner
解像度	resolution
解像度	upplösning
初舞台	debuterade
ロドリゲス	rodriguez
ロドリゲス	rodríguez
ラオス	laos
ラオス	laos
デュオ	duo
りえ	rie
リビア	libyska
リビア	libyen
ジェネレーション	generation
ジェネレーション	generationen
ジェネレーション	generering
ジェネレーション	släkte
丹羽	niwa
ランス	lance
ランス	lans
支配人	chef
支配人	föreståndare
支配人	manager
クリニック	kliniker
クリニック	klinik
クリニック	kliniken
無形	immateriella
無形	immateriell
キッチン	köket
キッチン	kök
レイプ	raps
レイプ	våldta
レイプ	våldtäkter
レイプ	våldtäkt
ベータ	beta
葛西	kasai
クイン	quinn
没収	konfiskera
没収	förverkande
没収	konfiskerade
没収	beslagtog
真珠	pärlan
真珠	pärla
真珠	pearl
真珠	pärlor
赤外線	infraröd
赤外線	infrarött
赤外線	infraröda
マカオ	macao
スカート	kjol
スカート	kjolen
スカート	kjolar
醤油	soja
アイン	anh
アイン	ein
マシュー	matthew
マシュー	matteus
チャリティー	välgörenhetsorganisation
チャリティー	välgörenhet
職場	arbetsplatsen
職場	arbetsplats
ウェルズ	brunnar
ウェルズ	wells
ノリ	nori
ジェファーソン	jefferson
ウィスコンシン	wisconsin
英二	eiji
カタカナ	katakana
貴子	takako
淳一	junichi
隕石	meteorit
岩石	rockar
岩石	klippor
岩石	stenar
買う	köper
買う	köpa
買う	köp
投げる	kast
投げる	kasta
投げる	kastar
投げる	slänga
盗賊	bandit
盗賊	banditen
盗賊	rånare
盗賊	banditerna
盗賊	banditer
シュトラウス	strauss
親戚	relativ
親戚	relativt
親戚	relativa
親戚	släkting
親戚	släktingar
親戚	anhöriga
乱れ	turbulens
乱れ	turbulensen
シモン	simon
羽根	fjädrar
羽根	fjäder
イルカ	delfin
イルカ	dolphin
イルカ	delfinerna
イルカ	delfiner
バーク	skälla
バーク	bark
バーク	barken
バーク	burke
アンサンブル	ensemble
かご	korgen
かご	korg
孤児	föräldralösa
孤児	föräldralös
孤児	föräldralösa
孤児	föräldralös
孤児	föräldralösa
孤児	övergivet
前川	maekawa
ホープ	förhoppning
ホープ	hoppas
ホープ	hoppet
ホープ	hopp
ホープ	hope
アームストロング	armstrong
皮肉	ironiska
皮肉	ironisk
皮肉	ironiskt
皮肉	sarkasm
皮肉	ironi
皮肉	ironiskt
テクニカル	teknisk
テクニカル	tekniskt
テクニカル	tekniska
書記官	kontorist
絞り	öppning
拷問	tortera
拷問	tortera
拷問	tortyr
ルル	lulu
吸血鬼	vampyr
吸血鬼	vampyrer
アクセル	axel
清掃	städning
清掃	rensning
清掃	städar
清掃	rengöring
排水	dränering
ダコタ	dakota
ヘレン	helen
立案	utarbetande
タック	tuck
プロトタイプ	prototypen
プロトタイプ	prototyp
プロトタイプ	prototyper
プロトタイプ	prototyper
ウリ	melon
ウリ	meloner
ウリ	meloner
ウリ	uli
天候	väder
天候	vädret
却下	nedgång
却下	uppsägning
却下	avvisad
却下	förkastade
却下	förkastat
却下	avvisat
却下	avvisade
シド	syd
シド	sid
スローガン	slagord
スローガン	slogan
湿地	våtmarker
湿地	våtmark
バロン	barron
負債	skulder
肯定	jakande
挑発	provokation
時刻表	tidtabell
時刻表	tidtabellen
時刻表	tidsplan
バルカン	vulcan
バルカン	balkan
承諾	samtycke
承諾	medgivande
承諾	accepterande
承諾	acceptans
添付	bifoga
添付	bilagor
添付	bilaga
添付	bilagan
添付	fästen
添付	bilagor
ポーズ	poserar
ポーズ	posera
ポーズ	pose
ポーズ	poserar
ポーズ	posera
ルック	titta
カルシウム	kalcium
迂回	avledning
克服	övervinna
克服	övervinna
波長	våglängd
荒廃	fördärv
事由	grunder
事由	skäl
和歌	waka
フランチャイズ	franchise
ジュリア	julia
調停	medling
調停	medlingen
調停	förlikning
調停	förlikningen
ボウリング	bowling
プリメーラ	primera
コソボ	kosovo
ジャッキー	jackie
マディソン	madison
サビ	rost
サビ	rosta
おもちゃ	leksak
おもちゃ	leksaker
イヴ	eva
イヴ	eve
毎時	timme
ポピュラー	populärt
ポピュラー	popular
ポピュラー	populär
ポピュラー	populära
鋼鉄	steel
鋼鉄	stål
ケイト	kajsa
ケイト	kate
パンフレット	broschyren
パンフレット	broschyr
パンフレット	broschyrer
パンフレット	broschyrer
メーター	mätare
メーター	meter
メーター	meter
リンダ	linda
体積	volym
体積	volymer
組み立て	montering
組み立て	församling
組み立て	församlingen
基底	basis
基底	grund
基底	grundval
有名人	kändis
有名人	kändisar
有名人	kändisar
ロボ	robo
消す	släcka
経費	bekostnad
経費	kostnader
経費	utgifter
経費	utlägg
ハーバー	hamn
ハーバー	hamnen
ハーバー	harbour
ホリデー	helgdag
ホリデー	semester
ホリデー	högtid
ミルウォーキー	milwaukee
超過	överflödigt
超過	överskott
ロク	rok
インテリア	invändigt
インテリア	inre
インテリア	interiör
公使	ministern
公使	minister
公使	ministrarna
公使	ministrar
ジョッキー	jockey
キリスト教徒	kristet
キリスト教徒	christian
キリスト教徒	kristna
キリスト教徒	kristen
キリスト教徒	kristna
リヴァプール	liverpool
スコープ	omfång
スコープ	omfattning
スコープ	tillämpningsområde
スコープ	räckvidd
児島	kojima
カメ	sköldpadda
カメ	sköldpaddor
制裁	påföljd
制裁	sanktion
制裁	sanktioner
制裁	påföljder
バックアップ	säkerhetskopiering
バックアップ	förstärkning
ステファン	stefan
ステファン	stephan
スーダン	sudan
スーダン	sudans
スーダン	sudanesiska
細い	tunna
細い	tunn
細い	tunt
細い	smal
エキス	utdrag
エキス	extrakt
エキス	utdraget
エキス	utdrag
エキス	extrakt
エキス	extrahera
キッズ	ungar
キッズ	kids
キッズ	barn
メッツ	mets
改宗	konverterade
改宗	konverterat
改宗	omvandlade
憲章	stadga
憲章	charter
憲章	stadgan
正雄	masao
キティ	kitty
ねじ	skruv
ねじ	skruva
ねじ	skruv
ねじ	skruvar
バースト	spricker
バースト	sprack
バースト	brista
警部補	löjtnant
柔術	jujutsu
諸侯	herrar
スキャンダル	skandal
スキャンダル	skandalen
スキャンダル	skandaler
トンプソン	thompson
トンプソン	thomson
テラス	terrass
テラス	terrassen
キプロス	cypern
キプロス	cypriotiska
ナイジェリア	nigerianska
ナイジェリア	nigeria
ターナー	turners
ターナー	turner
調和	harmoni
調和	harmony
タニア	tania
タニア	tanja
笑う	skrattar
笑う	skratta
笑う	skrattar
笑う	skratta
笑う	skratt
アゼルバイジャン	azerbajdzjan
サントス	santos
支出	utgifter
支出	utgifter
支出	utgifterna
マインド	mind
マインド	sinnet
マインド	sinne
知多	chita
ベオグラード	belgrad
ミゲル	miguel
三船	mifune
元老院	senaten
元老院	senat
銘柄	varumärket
銘柄	brand
銘柄	märke
銘柄	varumärke
表彰台	podium
見通し	utsikter
肺炎	lunginflammation
三角形	triangeln
三角形	triangel
クジラ	valar
クジラ	valen
クジラ	val
レーニン	lenin
叫び	skrikande
叫び	skrika
叫び	skrek
叫び	skriker
叫び	skrik
叫び	skrika
叫び	skriker
ヴュルテンベルク	württemberg
ゼット	zed
ハープ	harpa
ソプラノ	soprano
知人	bekanta
知人	bekant
知人	bekanta
北京市	beijing
北京市	peking
遂に	slutligen
遂に	äntligen
ムード	humöret
ムード	stämning
ムード	humör
パブリッシング	förlag
パブリッシング	publicering
パブリッシング	publicera
パブリッシング	utgivning
パブリッシング	publicerar
山岡	yamaoka
薬局	apotek
薬局	apoteket
下町	downtown
下町	centrum
ジョヴァンニ	giovanni
カラス	kråka
カラス	crow
模倣	oäkta
模倣	imitation
序曲	ouvertyr
ウォルト	walt
発酵	jäsning
発酵	fermentering
伯父	onkel
伯父	morbror
伯父	uncle
伯父	farbror
楽しい	roliga
楽しい	kul
楽しい	rolig
楽しい	skoj
楽しい	roligt
トマト	tomater
トマト	tomat
トマト	tomater
騒音	buller
騒音	oväsen
騒音	oljud
騒音	brus
英明	vist
英明	klokt
英明	vis
英明	klok
英明	kloka
基質	substrat
