ve	en
bir	one
bir	één
bir	een
bir	eén
bu	dit
bu	deze
bu	dat
de	say
de	zeg
de	zeggen
ile	met
için	voor
en	favorieten
daha	more
daha	meer
sonra	dan
sonra	daarna
sonra	na
sonra	after
sonra	later
sonra	straks
ilk	eerste
ilk	eerst
utc	utc
çok	zeer
çok	veel
çok	much
yer	plaats
yer	lokatie
yer	locatie
yer	ligging
gibi	zoals
gibi	like
dış	buitenste
dış	dis
büyük	large
büyük	groot
büyük	grote
büyük	big
büyük	groot
büyük	grote
büyük	reusachtig
büyük	enorm
büyük	enorme
büyük	gigantisch
bağlantılar	connecties
bağlantılar	aansluitingen
bağlantılar	verbindingen
bağlantılar	links
bağlantılar	contacten
bağlantılar	contactpersonen
türkiye	turkije
iki	iki
iki	twee
iki	two
ancak	echter
center	centrum
center	centreren
arasında	tussen
ayrıca	ook
ayrıca	naast
istanbul	istanboel
istanbul	istanbul
türk	turk
türk	turken
türk	turkse
türk	turks
diğer	overige
diğer	andere
diğer	ander
diğer	overig
yeni	nieuw
yeni	nieuwe
un	meel
un	bloem
her	elk
her	ieder
her	iedere
her	elke
aynı	hetzelfde
aynı	zelfde
aynı	same
kulüp	club
bağlı	bijgevoegd
bağlı	bijgevoegde
bağlı	gehecht
bağlı	gebonden
bağlı	gebonden
bağlı	vastgebonden
bağlı	verbonden
bağlı	aangesloten
bağlı	gekoppelde
bağlı	gelinkt
bağlı	verbonden
bağlı	gekoppeld
iyi	lekker
iyi	goed
iyi	prima
ne	wat
ilgili	relevant
ilgili	relevante
ilgili	geïnteresseerd
ilgili	interesse
ilgili	gerelateerd
ilgili	verwant
ilgili	verwante
ilgili	gerelateerde
son	laatste
son	einde
son	beëindigen
son	eind
alan	veld
alan	domein
alan	alan
alan	gebied
alan	oppervlakte
dünya	wereld
dünya	aarde
dünya	earth
birlikte	samen
bulunan	gelokaliseerd
eski	ouwe
eski	oude
eski	oud
eski	oudjes
and	andes
önemli	highlights
önemli	hoogtepunten
önemli	belangrijke
önemli	belangrijk
önemli	significant
madde	substantie
madde	clausule
madde	materiaal
madde	materie
madde	artikel
sağlık	welzijn
sağlık	wellness
sağlık	medische
sağlık	medisch
sağlık	gezondheid
sağlık	gezondheidszorg
genel	generieke
genel	globaal
genel	algemene
genel	generaal
genel	algemeen
mart	mart
mart	maart
mart	marcheren
adı	naam
film	films
film	filmpje
film	film
film	film
film	films
film	bioscoop
haziran	juni
haziran	june
mayıs	mogen
mayıs	may
mayıs	mei
mayıs	mag
mayıs	moge
dosya	bestanden
dosya	dossiers
dosya	dossier
dosya	bestand
ocak	jan
ocak	januari
ocak	kachel
ocak	fornuis
ocak	fornuis
yıl	jaar
dan	dan
kasım	november
kasım	qasim
kasım	nov
avrupa	europese
avrupa	europees
ama	maar
karşı	counter
karşı	teller
karşı	toonbank
karşı	tegen
toplam	looptijd
toplam	levensduur
toplam	sum
toplam	som
toplam	totaal
toplam	globaal
jpg	jpg
ikinci	tweede
eylül	september
ağustos	august
ağustos	augustus
içinde	binnen
içinde	binnenkant
içinde	binnen
temmuz	juli
önce	voordat
önce	vóór
önce	eerste
önce	eerst
tüm	hele
tüm	geheel
den	den
nisan	april
resim	foto
resim	imago
resim	beeld
resim	afbeelding
resim	schilderen
resim	verven
resim	schilderkunst
resim	schilderij
resim	tekenen
resim	tekening
üniversitesi	universiteit
ye	eet
ye	eten
ekim	oktober
ekim	october
ekim	lgo
şehir	stad
şehir	stad
şehir	urban
şehir	stedelijk
şehir	stedelijke
ptt	ptt
zaman	tijd
bazı	enkele
bazı	sommigen
bazı	sommige
aralık	december
aralık	dec
aralık	interval
köy	dorpje
köy	dorp
yüksek	high
yüksek	hoog
yüksek	hoge
yüksek	hogere
yüksek	hoger
birçok	veel
birçok	velen
birçok	vele
şubat	februari
şubat	feb
sadece	alleen
sadece	enkel
sadece	slechts
sadece	gewoon
yol	pad
yol	route
yol	manier
yol	way
yol	weg
fakat	maar
grup	band
grup	groep
grup	fractie
takım	squad
takım	team
takım	team
kendi	eigen
şekilde	manier
şekilde	way
tek	singles
tek	vrijgezellen
tek	alleenstaande
tek	single
tek	alleenstaand
tek	vrijgezel
bilgi	info
bilgi	gegevens
bilgi	informatie
bilgi	kennis
kez	tijden
kez	times
hakkında	ongeveer
hakkında	over
osmanlı	ottomaanse
osmanlı	ottomanen
devlet	staat
devlet	state
devlet	gouvernementele
devlet	regering
devlet	overheid
ankara	ankara
lats	lats
colspan	colspan
üç	drie
üç	three
tarihi	datum
tarihi	historisch
tarihi	historische
tarihi	geschiedenis
başladı	begonnen
başladı	gestart
başladı	begon
başladı	opgestart
başladı	begonnen
küçük	kleine
küçük	klein
küçük	smal
küçük	lil
küçük	kleine
küçük	weinig
küçük	little
küçük	klein
müzik	muziek
gelen	binnenkomende
gelen	inkomend
gelen	inkomende
resmi	formele
resmi	formeel
resmi	foto
resmi	ambtenaar
resmi	officiële
resmi	officieel
kabul	akkoord
kabul	afgesproken
kabul	overeengekomen
kabul	acceptatie
kabul	aanvaarding
kabul	accepteert
kabul	aanvaardt
kabul	accepteren
kabul	aanvaarden
kabul	accepteer
kabul	geaccepteerde
kabul	aanvaard
kabul	aanvaarde
kabul	geaccepteerd
kabul	akkoord
devam	doorgaan
devam	voortzetten
devam	houd
devam	houden
kupası	kopje
kupası	beker
fazla	overmaat
fazla	overdaad
fazla	overmatig
okulu	school
aldı	genomen
aldı	meegenomen
aldı	nam
aldı	ontvangen
em	zuigen
em	zuig
sahip	dominus
