historia	historia
ritardo	întârziere
ritardo	tarziu
ritardo	întârziat
ritardo	târziu
ritardo	amânată
ritardo	întârziată
ritardo	amânat
ritardo	întârziat
fauna	fauna
cancro	cancerul
cancro	cancer
louise	louise
soprannominato	supranumit
soprannominato	poreclit
lima	lima
bande	trupe
bande	bandele
bande	bande
cappelle	capele
beata	binecuvântat
beata	binecuvântată
bis	bis
werner	werner
perfetta	perfect
perfetta	perfecte
perfetta	perfecta
perfetta	perfectă
pontefice	pontif
autrice	autor
autrice	autorul
marsiglia	marseille
marsiglia	marsilia
marsiglia	marsilia
prete	popă
prete	preot
prete	preotul
marcos	marcos
cadavere	cadavru
periferia	suburbii
periferia	suburbiile
periferia	suburbie
periferia	suburbia
periferia	periferie
periferia	periferia
periferia	periferia
cranio	craniu
cranio	craniu
cranio	skull
cranio	craniul
iscritto	înscris
que	que
cosenza	cosenza
borgogna	bourgogne
borgogna	burgundia
borgogna	burgundy
orizzontale	orizontal
orizzontale	orizontale
orizzontale	orizontală
catturare	capturează
catturare	capturarea
catturare	captura
catturare	captură
catturare	capturare
catturare	captare
catturare	capturarea
assisi	assisi
strati	straturi
strati	strat
strati	stratul
campana	campana
campana	clopot
campana	clopotul
campana	bell
hart	hart
frederick	frederic
frederick	frederick
tombe	mormintele
tombe	graves
tombe	morminte
tombe	morminte
studia	studiază
studia	studii
studia	studiul
studia	studiu
ricostruita	reconstruit
ricostruita	reconstruit
gambe	picioarele
gambe	picioare
puro	pură
puro	pura
puro	pure
puro	pur
miles	miles
miles	mile
miles	kilometri
connessione	conexiunea
connessione	conexiune
connessione	conectare
connessione	conectarea
olandesi	olandeză
olandesi	olandezi
olandesi	olandez
olandesi	dutch
var	var
marcus	marcus
rappresentanza	reprezentarea
rappresentanza	reprezentare
anziani	seniori
anziani	vârstnici
predecessore	predecesorul
canne	stuf
intellettuale	intelectuale
intellettuale	intelectuali
intellettuale	intelectual
intellettuale	intelectuală
marittima	maritimă
marittima	maritime
marittima	maritim
full	plina
full	full
full	plin
full	plină
classiche	clasici
classiche	clasice
classiche	clasică
classiche	clasic
classiche	clasica
classiche	classic
efficacia	eficacitate
efficacia	eficacitatea
efficacia	eficacitate
efficacia	eficacitatea
spot	spot
batterie	baterie
batterie	bateria
batterie	bateriile
batterie	baterii
minnesota	minnesota
gigi	gigi
riservato	rezervată
riservato	rezervat
riservato	rezervate
riservato	confidențiale
riservato	confidential
riservato	confidențial
manoscritto	manuscris
manoscritto	manuscrisul
jake	jake
completamento	completarea
completamento	finalizarea
completamento	finalizare
completamento	completare
acronimo	acronim
murphy	murphy
premiato	răsplătită
premiato	recompensat
premiato	răsplătit
armatura	armură
armatura	armura
armatura	armuri
armatura	armură
armatura	armura
armatura	armuri
buio	dark
buio	întuneric
buio	intuneric
buio	întunecat
buio	întunericul
buio	întuneric
buio	intuneric
dono	cadou
dono	cadoul
allevamento	reproducție
allevamento	reproducere
statistica	statistici
statistica	statistică
statistica	statisticile
statistica	statistica
statistica	statistice
statistica	statistică
statistica	statistic
statistica	statistica
statistica	statistică
laterza	laterza
aaron	aaron
jules	jules
johannes	johannes
prestigio	prestigiu
prestigio	prestigiul
main	principala
main	main
main	principale
main	principală
main	principal
munizioni	muniție
munizioni	muniție
votato	votat
votato	votată
esisteva	existat
trionfo	triumful
trionfo	triumf
identificato	identificate
identificato	identificat
identificato	identificată
english	engleza
english	engleză
english	romanian
lettori	cititorul
lettori	cititor
lettori	cititori
lettori	cititorii
ohio	ohio
approvato	aprobat
approvato	aprobate
approvato	omologat
approvato	aprobată
organizzatore	organizator
organizzatore	organizator
glenn	glenn
industrie	industriile
industrie	industrii
gemelli	geamăn
gemelli	twin
gemelli	gemene
gemelli	gemenele
gemelli	gemenii
gemelli	gemeni
invitato	invitată
invitato	invitat
presumibilmente	presupus
presumibilmente	chipurile
treccani	treccani
pareri	opinii
pareri	avize
pareri	opiniile
pareri	păreri
pareri	pareri
riuniti	reunite
riuniti	reunit
meccanico	mecanic
meccanico	mecanice
meccanico	mecanic
meccanico	mecanică
lane	lane
trilogia	trilogia
servire	servind
servire	servire
servire	servirea
servire	servi
servire	serveste
servire	servesc
abile	adept
torres	torres
ampliato	extinse
ampliato	extins
ampliato	extinsă
incluse	inclusă
incluse	inclus
incluse	incluse
temporaneamente	temporar
temporaneamente	temporare
temporaneamente	temporara
temporaneamente	temporar
temporaneamente	temporară
dame	damă
dame	dama
dame	dame
virgilio	virgil
virgilio	virgilio
grassi	grăsimi
grassi	grassi
grassi	grasă
grassi	grasa
grassi	grăsime
grassi	gras
panzer	panzer
cecilia	cecilia
sopravvissuti	supravietuitori
sopravvissuti	supraviețuit
sopravvissuti	supravietuit
acquisizione	achiziția
acquisizione	achiziție
morris	morris
depressione	depresie
depressione	depresia
dirigenti	directori
javier	javier
spessore	grosimea
spessore	grosime
identificazione	identificarea
identificazione	identificare
operativa	operativ
