και	y
το	el
το	las
το	los
το	la
από	from
από	de
από	desde
με	con
που	cuáles
που	cuál
που	cual
για	para
κατηγορία	categoria
κατηγορία	categoría
τους	ellas
τους	ellos
ήταν	fue
ήταν	estaba
ήταν	era
ένα	una
ένα	one
ένα	uno
ότι	eso
ότι	que
μια	una
μια	one
μια	uno
έχει	tiene
έχει	ha
θα	will
θα	voluntad
θα	testamento
αλλά	sino
αλλά	pero
μετά	luego
μετά	entonces
μετά	despues
μετά	after
μετά	tras
μετά	después
επίσης	igualmente
επίσης	además
επίσης	también
επίσης	tambien
όπως	gustar
όπως	like
όπως	como
είχε	tenía
είχε	tenido
είχε	tuvo
είχε	había
ενώ	mientras
δύο	dos
δύο	two
αυτό	este
αυτό	esto
αυτό	esta
αυτό	eso
αυτό	que
αυτή	ella
όπου	dondequiera
όπου	where
όπου	donde
όπου	adonde
όπου	dónde
όταν	cuándo
όταν	when
όταν	cuando
μέχρι	hasta
μία	una
μία	one
μία	uno
μπορεί	pueden
μπορεί	puedo
μπορεί	lata
μπορεί	can
μπορεί	puede
ομάδα	pelotón
ομάδα	squad
ομάδα	escuadra
ομάδα	escuadrón
ομάδα	grupo
ομάδα	group
ομάδα	agrupar
ομάδα	equipo
ομάδα	team
θέση	posicion
θέση	posición
μεταξύ	entre
χρόνια	crónico
χρόνια	crónicas
χρόνια	crónica
χρόνια	años
χρόνια	anos
πρώτη	primera
πρώτη	primeras
πρώτη	primer
πρώτη	primeros
πρώτη	primero
πιο	más
πιο	mas
πιο	more
ένας	una
ένας	one
ένας	uno
πόλη	pueblo
πόλη	ciudad
πόλη	ciudad
σύνδεσμοι	acoplamientos
σύνδεσμοι	vínculos
σύνδεσμοι	enlaces
σύνδεσμοι	links
μόνο	únicamente
μόνο	solo
μόνο	sólo
μόνο	solamente
έγινε	hecho
πολύ	very
πολύ	muy
κάθε	cada
κάθε	cada
περιοχή	region
περιοχή	comarca
περιοχή	región
περιοχή	superficie
περιοχή	zona
περιοχή	area
περιοχή	área
αιώνα	siglo
αιώνα	century
αθήνα	atenas
περίοδο	periodo
περίοδο	período
τότε	luego
τότε	entonces
όνομα	nombre
όνομα	name
όνομα	denominación
ελλάδα	grecia
μέρος	part
μέρος	parte
μέρος	lugar
μέρος	place
σήμερα	today
σήμερα	hoy
μέσα	dentro
μέσα	adentro
μέσα	inside
πως	how
πως	cómo
πως	como
μαζί	juntos
μαζί	juntas
μαζί	together
διάρκεια	duración
ιστορία	historia
ιστορία	story
ιστορία	historia
ιστορία	historial
πρωτάθλημα	league
πρωτάθλημα	liga
πρωτάθλημα	ligas
πρωτάθλημα	campeonato
πρωτάθλημα	championship
πρωτάθλημα	campeonatos
αργότερα	posteriormente
αργότερα	después
νέα	novedad
νέα	nuevas
νέα	nuevos
νέα	nuevo
νέα	novedades
νέα	nueva
νέα	noticias
νέα	novedades
νέα	noticia
περίπου	acerca
περίπου	sobre
περίπου	aproximadamente
αυτά	éstas
αυτά	estos
αυτά	estas
αυτά	éstos
πριν	antes
χωρίς	sin
εθνική	nacionales
εθνική	national
εθνική	nacional
συζήτηση	conversación
συζήτηση	discusiones
συζήτηση	debate
συζήτηση	discusión
συζήτηση	debatir
συζήτηση	debate
αρχείο	archivar
αρχείο	archivos
αρχείο	archivado
αρχείο	archivo
αρχείο	fichero
αρχείο	expediente
αρχείο	archivo
πρέπει	deben
πρέπει	debe
πρέπει	mosto
φορά	hora
φορά	tiempo
φορά	time
πάνω	arriba
έλληνες	griegos
ομάδες	grupos
ομάδες	agrupa
ομάδες	agrupaciones
ομάδες	equipos
πρώτο	primera
πρώτο	primeras
πρώτο	primer
πρώτο	primeros
πρώτο	primero
έργο	project
έργο	proyecto
έργο	proyectar
έργο	obra
έργο	trabajos
έργο	trabaje
έργο	trabajo
έργο	trabajar
κυρίως	principalmente
κυρίως	principalmente
κυρίως	mayormente
όχι	not
όχι	no
ελληνική	griega
ελληνική	griego
ελληνική	griegos
μεγάλη	big
μεγάλη	grande
μεγάλη	gran
μεγάλη	grandes
υπό	debajo
υπό	bajo
υπό	under
έως	hasta
ποδοσφαιριστές	futbolistas
ταινία	pelicula
ταινία	cine
ταινία	movie
ταινία	película
ταινία	cinta
ταινία	pelicula
ταινία	cine
ταινία	película
ταινία	film
άλλα	otras
άλλα	otro
άλλα	otros
άλλα	otras
άλλα	otros
τμήμα	departamento
τμήμα	seccion
τμήμα	sección
σαν	gustar
σαν	like
σαν	como
εκεί	allí
εκεί	ahi
εκεί	ahí
άλλες	otras
άλλες	otro
άλλες	otros
τέλος	finalmente
τέλος	end
τέλος	fin
τέλος	final
σειρά	serie
σειρά	series
σειρά	orden
σειρά	ordenar
σειρά	encargo
σειρά	pedido
σειρά	pedidos
σειρά	remar
σειρά	hilera
σειρά	fila
σειρά	rema
στοιχεία	elementos
στοιχεία	data
στοιχεία	dato
στοιχεία	datos
εκτός	excepto
εκτός	salvo
συνέχεια	continuidad
συνέχεια	continúe
συνέχεια	continúa
συνέχεια	continuar
συνέχεια	continuo
συνέχεια	continuación
συνέχεια	continuó
συνέχεια	continuado
κάτω	down
κάτω	abajo
κάτω	bajar
κάτω	inferior
κάτω	abajo
κάτω	debajo
κάτω	abajo
πολλές	muchas
πολλές	muchos
όλα	everything
όλα	todo
όλα	todas
όλα	all
όλα	todo
όλα	todos
σύστημα	system
σύστημα	sistema
ακόμα	todavia
ακόμα	still
ακόμα	todavía
ακόμα	aún
φορές	tiempos
φορές	veces
φορές	épocas
φορές	times
ίδια	idéntica
ίδια	idénticas
ίδια	idénticos
ίδια	idéntico
ίδια	mismo
ίδια	misma
ίδια	igual
ιουλίου	julio
χώρα	pais
χώρα	país
αποτέλεσμα	desenlace
αποτέλεσμα	resultado
αποτέλεσμα	resultado
αποτέλεσμα	efecto
οκτωβρίου	octubre
ιανουαρίου	enero
