метану	hyđrat
бер	ber
немов	rusty
таємний	mật
таємний	bí
талановитий	tài
сутності	entities
кельн	cologne
кельн	köln
гондурасу	honduras
тропічний	tropical
шерсть	tóc
шерсть	len
біолог	biologist
хіросіма	hiroshima
тюрми	giam
тюрми	tù
перетворили	tráng
автомобілем	car
автомобілем	xe
канталь	cantal
прп	prp
дез	des
поверхів	sàn
жуков	zhukov
бистриця	bistrica
раїса	raisa
орієнтація	hướng
зовнішнє	mains
зовнішнє	ngoài
грем	graeme
грем	graham
лапи	paws
захищені	bịt
перекладати	dịch
енріке	enrique
енріке	henrique
крез	creuse
цирк	xiếc
цирк	circus
секретаріат	secretariat
переселенці	displaced
емір	emir
копальні	nhận
копальні	mìn
горою	doom
гілл	đồi
гілл	ngổn
гілл	hill
гілл	hoan
лібрето	libretto
рено	renaud
рено	thừa
рено	reno
знімки	snapshots
гута	huta
готувати	cook
готувати	nấu
гумор	hài
бове	beauvais
бенедикт	benedict
венето	veneto
титану	titanium
титану	titan
юріївна	sharapova
пікассо	picasso
чудова	đan
чжоу	chu
робер	robert
квиток	vé
монтгомері	montgomery
дан	dan
читач	reader
пікселів	pixel
пікселів	pixel
пес	hound
пес	chó
пес	dog
пес	canis
скандинавії	scandinavia
руді	rudy
руді	rudi
принести	mang
стріли	mỡ
зростати	mọc
прут	prut
тура	rook
тура	tura
шрифтом	typeface
адаптація	adaptation
абхазії	abkhazia
пап	pape
брест	brest
електрон	electron
зникають	disappearing
фараонів	pharaon
фараонів	pharaoh
маршалл	marshall
жермен	germaine
жермен	germain
павук	nhện
павук	spider
таран	taran
лез	lez
лез	đọc
лез	les
сиріт	côi
бджіл	ong
маккартні	mccartney
лімузен	limousin
адріано	adriano
нігерія	nigeria
галич	galić
галич	halych
пріоритет	ưu
дружин	vợ
населяють	bebo
болгарська	bun
парагвай	paraguay
звичайне	chuẩn
звичайне	thường
цзінь	jin
цзінь	kim
чудові	awesome
монах	monk
гладкий	mịn
гладкий	mượt
гладкий	ẩm
бондар	bondar
професій	nguyễn
ремесел	paristech
дроблення	tách
дроблення	chia
зальцбург	salzburg
альбедо	albedo
поділити	chia
найближчий	thiểu
боєприпаси	đạn
боєприпаси	ammo
правник	jurist
дубно	dubno
сховища	repositories
фенікс	phượng
фенікс	phoenix
гани	ghana
вейн	wayne
кулик	kulik
дивиться	tìm
металевий	co
бісау	ni
бісау	bissau
клара	clare
клара	klara
клара	clara
варта	giá
трибуна	rostrum
зрозуміли	hiểu
юрі	yuri
виноград	nho
диморфізм	dimorphism
зайнятий	bận
упередження	bias
упередження	prejudice
ренді	randy
монарх	symposiachrus
монарх	monarch
графіку	graphic
кент	kent
еріх	erick
еріх	erich
сиру	cheese
комсомольська	komsomolskaya
висловився	blunt
висловився	cùn
земній	earthly
перестали	reversal
вер	vers
вер	ver
вер	vert
листяних	deciduous
закінчено	xong
закінчено	qua
закінчено	hết
закінчено	over
посвідчення	id
посвідчення	cmnd
сотню	trăm
жиру	béo
жиру	mập
жиру	fat
большой	bolshoi
еквадор	ecuador
могил	encounters
бракує	vitamin
руссо	rousseau
парох	parson
глобус	globe
організувала	kịch
розділив	chia
сильніше	mạnh
відтворити	play
відтворити	chơi
відтворити	at
відтворити	vẽ
відтворити	replay
зсув	shift
зсув	ca
зсув	méo
мозаїка	khảm
мозаїка	mosaic
шейх	sheikh
шейх	shaykh
лисиці	cáo
лисиці	foxes
заявляє	ngợi
заявляє	khai
рівна	phẳng
мойсей	moses
мустафа	mustapha
мустафа	mustafa
стовп	col
кнопки	nút
різне	assorted
світлини	ảnh
бейкер	baker
байконур	baikonur
вовки	sói
родрігес	rodriguez
діаграми	chart
туманність	nebula
насос	bơm
дум	doom
ілліча	ilyich
гродно	grodno
здоровий	healthy
активною	brisk
ділення	division
ділення	chia
остін	austen
остін	austin
стійка	rack
стійка	stance
зрозуміла	hiểu
зрозуміла	hiểu
зрозуміла	hieu
хіміко	himiko
чечні	chechnya
тканина	vải
тканина	mô
тканина	vải
нацисти	nazis
джессі	jessie
джессі	jesse
перець	pepper
перець	tiêu
жорсткі	phũ
жорсткі	chát
клавдій	claudius
сардинія	sardinia
сардинія	sassari
згори	nắp
згори	top
згори	đỉnh
фредді	freddy
фредді	freddie
автоматичні	auto
автоматичні	động
автоматичні	tự
голландія	holland
каньйон	canyon
каньйон	hẻm
запрошує	mời
запрошує	mời
ого	chà
ого	wow
ого	oi
ріс	rhys
ріс	ries
дивний	weird
дивний	rar
дивний	lạ
дивний	lạ
алонсо	alonso
поляк	polak
карлсруе	karlsruhe
рейчел	rachael
рейчел	rachel
антонов	antonov
андалусія	andalucia
андалусія	andalusia
година	tiếng
година	giờ
губи	môi
губи	môi
губи	lip
ньютон	newton
крик	quát
крик	hét
ізабелла	isabella
меріленд	maryland
знала	tú
шарлотта	charlotte
американець	american
американець	mỹ
кун	kuhn
гастролі	tour
сінгапуру	singapore
сус	sousse
сус	sus
пагорби	đồi
пагорби	hills
сидоренко	sidorenko
сумнівів	reo
вражає	amazing
мельбурн	melbourne
труа	troyes
труа	trois
мелітополь	melitopol
салерно	salerno
морфологія	morphology
марті	marty
марті	marti
марті	martí
вправи	gỉa
гоголь	gogol
купу	đống
купу	less
гробниця	mộ
гробниця	tomb
преображенський	preobrazhensky
сказали	nói
сказали	bảo
сказали	said
вступати	nod
тягне	pulls
молодше	younger
скасувати	thôi
скасувати	hủy
скасувати	bỏ
подвійне	double
подвійне	đôi
цифрова	digital
новак	novak
новак	nowak
адлер	adler
коді	cody
боргу	nợ
назар	nazar
писар	scribe
клен	acer
виразно	pull
виразно	rút
виразно	kéo
трава	herb
трава	cỏ
фіністер	finistère
корнелій	cornelius
стрибок	nhảy
стрибок	leap
стрибок	warp
природознавства	naturhistorisches
гавань	cảng
гавань	haven
гавань	cảng
гаррісон	harrison
львівське	lwów
дельти	deltas
арени	arenas
убити	giết
розбити	break
розбити	phá
пророк	tri
чжан	trương
молекулярна	knudsen
демонстрація	demo
материка	liền
рама	rama
монтана	montana
макет	dummy
макет	nộm
персі	percy
початкове	gốc
початкове	tác
толстой	tolstoy
крос	chinh
крос	chon
гість	khách
гість	khách
вчинки	ooh
юліана	juliana
юліана	juliane
мінас	minas
світле	châm
світле	đèn
світле	nhạt
пекін	kinh
йорданії	jordan
сімейний	đình
стать	sex
самостійні	isolated
раса	đua
раса	nhung
раса	rasa
сава	homare
сава	saba
сава	sava
абд	abd
бурунді	burundi
чола	chola
ніколь	nicole
макдональд	macdonald
макдональд	mcdonald
макдональд	mcdonalds
беррі	berry
беррі	barrie
рут	ruth
болонья	bologna
кузьма	kuzma
джордан	jordan
привид	ghost
привид	ma
шмідт	schmidt
шмідт	schmitt
арабський	arab
арабський	arabian
халіфа	khalifa
розвідувальний	reconnaissance
призи	premier
мавп	khỉ
біорізноманіття	biodiversity
безперечно	kĩ
стела	stella
карен	karen
мріяв	mị
бела	bela
макарова	makarova
елеонора	eleanor
елеонора	eleonora
жуан	joão
гени	gien
нічні	mộng
сідні	sidney
сідні	sydney
поодинці	độc
уран	uranus
галерею	gallery
брук	brooke
брук	brook
савчук	savchuk
закріплені	hưu
болеслав	bolesław
александров	aleksandrov
александров	alexandrov
вольфганг	wolfgang
стен	stan
барабан	drum
барабан	trống
луна	luna
головами	đầu
головами	vát
бенуа	benoist
бенуа	benoit
лесото	lesotho
цигани	romani
цигани	gypsies
скала	scala
скала	skala
бургос	burgos
ромео	romeo
товстий	thick
товстий	dầy
товстий	dày
слідів	tơ
ніші	nishi
крон	crowns
бока	boca
штучне	cellulose
тобаго	tobago
кеті	kathy
кеті	cathy
кеті	katie
матвія	matthew
мюзикл	nhạc
мюзикл	musical
швидка	mau
швидка	nhanh
швидка	mau
швидка	nhanh
пальма	palma
орландо	orlando
верба	willow
верба	salix
вчителька	thầy
переносити	wrap
переносити	bọc
переносити	quấn
какао	cocoa
какао	cacao
індо	indo
взаємно	chung
танго	tango
еліс	alice
еліс	elis
світлий	châm
світлий	đèn
світлий	nhạt
світлий	nhẹ
тец	tec
гарі	gary
гарі	harry
гарі	gari
строю	rear
емілі	emily
зчеплення	grip
зчеплення	grep
зчеплення	giựt
копенгаген	copenhagen
гинуть	stunt
записувати	album
родовий	genitive
педагогіка	pedagogy
спільними	chung
виселення	cottages
втрачений	mất
втрачений	thua
чайка	mòng
десяток	chục
десяток	tá
передбачення	foresight
ессонн	essonne
буда	buda
рауль	raoul
рауль	raul
ящірки	lizards
ящірки	lằn
вісконсин	wisconsin
заборонений	cấm
комісаром	commissioners
ірландська	irish
земних	earthly
саламанка	salamanca
марченко	marchenko
бунт	loạn
бунт	riot
бунт	loạn
відчувається	giác
едмунд	edmund
підлога	tầng
підлога	sàn
цитата	quote
реагування	reactivity
виводу	xuất
дотримуються	lòi
дотримуються	stick
михайлов	mikhailov
михайлов	mikhaylov
блакитні	xanh
сарагоса	zaragoza
малому	cub
віденський	viennese
правильний	đúng
кюрі	curie
сірка	sulfur
сірка	sulphur
вішну	vishnu
перетворилися	tráng
еліптична	elliptic
тяга	traction
