עשורים	десетилетия
צפייה	гледане
צפייה	изглед
צפייה	гледка
צפייה	оглед
צפייה	преглед
צפייה	гледане
צפייה	гледам
זכרים	мъжки
מלאים	пълна
מלאים	пълни
מלאים	пълен
מלאים	пълно
אדריכלים	архитекти
מחכה	чакаме
מחכה	изчакване
מחכה	чакане
מחכה	чакам
שלחו	изпращане
שלחו	изпрати
שלחו	изпратете
אשם	виновни
אשם	виновна
אשם	виновен
מיתרים	струните
מיתרים	струни
הצלה	спасяване
מדויקים	точен
מדויקים	точна
מדויקים	точни
עלילות	заговори
עלילות	парцели
המכילים	съдържащ
המכילים	съдържащи
המכילים	съдържащо
המכילים	съдържаща
מנדטים	мандатите
גישות	нагласи
גישות	отношението
תאונות	инциденти
תאונות	злополуки
תאונות	аварии
תאונות	произшествия
ארמסטרונג	армстронг
ספרטה	спарта
מבוגר	възрастни
מבוגר	възрастна
מבוגר	възрастен
עבה	дебела
עבה	плътна
עבה	дебело
עבה	дебел
ביצה	блато
ביצה	блатото
ביצה	яйцето
ביצה	яйца
ביצה	яйце
קולורדו	колорадо
אתמול	вчера
התנגשות	сблъсък
התנגשות	сблъсък
נצר	потомък
מסרים	послания
מסרים	съобщения
הלחם	хляб
הלחם	хляба
איסלנד	исландия
בובי	боби
סליחה	съжалявам
סליחה	сори
אריסטו	аристотел
המשלוח	пратка
פורמלי	официален
פורמלי	формално
פורמלי	официално
פורמלי	официална
הערכת	преценка
הערכת	оценяване
הערכת	оценка
סיפון	палубата
סיפון	палуба
סיפון	тесте
בכר	бехар
בכר	бакр
הגיל	възраст
טק	тис
טק	тех
בצמוד	съседни
בצמוד	съседни
תומפסון	томсън
תומפסון	томпсън
הש	хеш
שלד	скелет
שלד	скелетни
שלד	скелета
שלד	скелет
כותבת	пише
כותבת	пиша
כותבת	писане
פרננדו	фернандо
חיתוך	рязане
פסוקים	знамения
פסוקים	стихове
גויס	вербува
הנאה	наслада
הנאה	удоволствие
קודמת	предишна
קודמת	предишни
קודמת	предишен
קודמת	предишно
נורמן	норман
מוקשים	мините
מוקשים	мини
חסד	мърси
חסד	милосърдие
חסד	милост
חסד	любезност
חסד	доброта
חסד	добрина
חסד	грейс
הולמס	холмс
גולדשטיין	голдщайн
קיצוניים	екстремисти
מליון	милион
אתגר	предизвикателство
אתגר	предизвикателството
נערים	момчета
נערים	тийнейджъри
נערים	тинейджъри
נערים	момци
נערים	юнаци
החשבון	сметка
החשבון	акаунт
הדוק	стегнат
הדוק	стегнато
הדוק	здраво
הדוק	стегната
צריכת	прием
צריכת	потребление
צריכת	консумация
לותר	лотар
לותר	лутер
לותר	лутър
לותר	лутър
פרוטוקול	протокол
פרוטוקול	протоколът
לחזית	преден
לחזית	предни
לחזית	отпред
לחזית	фронт
לחזית	предна
ליף	лейф
אוסטרי	austrian
אוסטרי	австрия
אוסטרי	австрийски
המחיר	цена
פרסומת	търговско
פרסומת	търговска
פרסומת	реклама
פרסומת	търговски
פרסומת	обява
פרסומת	реклама
בהרחבה	екстензивно
חלשה	слабо
חלשה	слаби
