पेंशन	pensioen
गरिमा	waardigheid
गरिमा	oorkom
गरिमा	menswaardigheid
बताना	vertel
सिलेंडर	silinders
मैक्सिकन	meksikaanse
मैक्सिकन	mexican
देशो	lande
खोपड़ी	skedel
खोपड़ी	skull
कोलम्बिया	colombia
विद्रोहियों	rebels
विद्रोहियों	rebelle
कैसा	hoe
स्टीवन	steven
टेल	stert
कबीले	tribe
सूर्योदय	sonsopkoms
रणनीतिक	taktiese
रीड	riet
रीड	reed
पर्यवेक्षण	toesig
एमी	amy
प्लेटो	plato
मीन	pisces
मीन	visse
कनाडाई	kanadese
कनाडाई	kanadees
रिसाव	lekkasies
निषिद्ध	verbode
सेम	boontjie
सेम	bean
सेम	sem
रॉन	ron
बरसात	stort
बरसात	reën
इंटेल	intel
फास्ट	vinnig
फास्ट	vinnige
यथार्थवाद	realisme
बाह	bah
तालिबान	taliban
दर्शनशास्त्र	filosofie
स्वादिष्ट	daai
स्वादिष्ट	delicious
ज्वाला	vlam
ईंटों	baksteen
कर्ज	skuld
सलाद	blaarslaai
सलाद	slaai
जलन	jaloers
जलन	irritasie
शौकिया	amateur
अनूठा	unieke
अनूठा	uniek
कैरी	carrie
कैरी	carey
पेशावर	pesjawar
पहेली	puzzles
पहेली	raaisels
पहेली	raaisel
पहेली	legkaart
पहेली	enigma
चादर	staat
जामा	jama
नासिक	nashik
फ्रैंकलिन	franklin
सेकेंड	sekondes
सेकेंड	sekonde
सेकेंड	sekondes
सेकेंड	sekonde
आयुध	ordnance
मानविकी	geesteswetenskappe
प्रवीण	pravin
महापौर	burgemeester
आयताकार	reghoek
प्रस्तावना	bekendstelling
प्रस्तावना	inleiding
मैनहटन	manhattan
मॉरीशस	mauritius
लावा	lawa
बाधाओं	versperrings
बाधाओं	hindernisse
परिधान	rok
परिधान	kostuums
गोलीबारी	skiet
गोलीबारी	verskietende
हब	spil
जग	wêreld
पम्प	pomp
बायर	bayer
नाल	horseshoe
पवित्रता	reinheid
रोचेस्टर	rochester
श्रेष्ठता	superioriteit
डोनाल्ड	donald
प्रतिकृति	patroon
घराने	genres
ताड़	palm
सीटी	fluitjie
सीटी	fluit
कार्टर	carter
सिरदर्द	hoofpyn
उपनिवेशवाद	colonialism
उपनिवेशवाद	colony
उपनिवेशवाद	kolonie
सैंडविच	sandwich
सैंडविच	toebroodjies
चिप्स	chips
चिप्स	tjips
विधियां	metodes
बिखरे	verstrooide
दार्जिलिंग	darjeeling
वेस्टमिंस्टर	westminster
शैतान	duiwel
शैतान	satan
शीट	staat
शीट	lakens
शीट	velle
उद्धार	redding
उद्धार	red
पैकेजिंग	verpakking
म्यूनिख	münchen
म्यूनिख	munich
शरीफ	sharif
बिस्तर	bed
दोहराया	herhaalde
बोल्ट	bout
बोल्ट	bolt
गुम्बद	dome
सेवानिवृत्ति	aftrede
जश्न	vieringe
जश्न	viering
नोबल	noble
नोबल	edel
इंडीज	indies
टायसन	tyson
लहरों	golwe
अस्थिरता	onstabiele
संग्रहीत	geargiveerde
संग्रहीत	geargiveer
सीसा	lei
सीसा	lood
सीसा	aanvoer
तना	agterstewe
सदाबहार	immergroen
कंकाल	geraamte
कंकाल	skelet
ऑर	orr
तांबे	copper
तांबे	koper
समतुल्य	ekwivalente
समतुल्य	ekwivalent
जिन्ना	jinnah
फेरारी	ferrari
माईस्पेस	myspace
एमआईटी	mit
भ्रामक	misleidende
भ्रामक	misleidend
भ्रामक	wanvoorstelling
भ्रामक	verwarrend
संभावनाओं	moontlikhede
नगण्य	onbeduidend
केक	koek
साख	goodwill
जिज्ञासा	nuuskierigheid
