terra	테라
dokumentere	문서로
dokumentere	문서
stan	스탄
stan	스탠리
stan	스텐
stan	스탠
beleiring	포위전
flyselskap	항공
flyselskap	항공사
indianerne	인디언스
indianerne	인디언
ram	ram
morning	아침
morning	모닝
geistlige	사무직
geistlige	사무
patent	특허
doktoren	닥터
katedral	성당
katedral	대성당
brunt	갈색
brunt	브라운
kaldt	춥다
kaldt	감기
kaldt	추위
kaldt	차가운
foreslå	제안
edge	엣지
edge	모서리
edge	edge
seere	시청자
leilighet	아파트
jeremy	제레미
marino	마리노
madame	부인
madame	사모님
synd	sin
skjermen	화면
skjermen	스크린
kritiker	평론
kritiker	크리틱스
kritiker	비평가
burgund	부르고뉴
split	스플리트
split	스플릿
split	분할
split	나누기
verde	베르데
namibia	나미비아
kjøkken	부엌
kjøkken	부엌
kjøkken	주방
dokumentarfilm	다큐멘터리
respons	대응
respons	반응
respons	응답
respons	응답
respons	답변
qatar	카타르
nyttige	유용하다
nyttige	유용합니다
nyttige	유용
sida	페이지
sida	측면
sida	사이드
målinger	지표
målinger	측정
samtale	대화하기
samtale	대화
trykte	인쇄물
trykte	인쇄
fragmenter	단편
reading	독서
reading	읽고
reading	읽기
foretrakk	선호
charter	헌장
charter	전세
sorg	슬픔
sorg	슬픔
sorg	슬픔
sorg	애도
forskrift	법령
gerald	제럴드
flo	flo
guillaume	기욤
virgin	버진
virgin	처녀
bukt	베이
forventes	예상
rart	이상한
rart	이상한
rart	이상하다
diplom	디플로마
diplom	수료
philips	필립스
jevn	꾸준히
ira	ira
future	미래
future	퓨처
tenkning	생각
parallell	평행
parallell	병렬
chester	체스터
innvendig	인사이드
innvendig	내부
body	시체
body	몸매
body	몸매가
akutt	급성
give	give
furu	소나무
furu	파인
sletter	삭제
giles	자일스
symbolsk	심볼릭
gregory	그레고리
gregory	그레고리우스
zambia	잠비아
bom	bom
kunstverk	아트워크
kunstverk	삽화
kunstverk	예술작품
burke	버크
bibelske	성경
blake	블레이크
hjemland	조국
guttene	소년
guttene	소년들
guttene	boys
guttene	보이즈
guttene	보이스
rockefeller	록펠러
slave	노예
slave	노예제
productions	프로덕션
productions	프로덕션스
thai	태국
thai	태국어
thai	타이
martha	마사
michelle	미셸
granitt	화강암
building	건물
building	건축
building	빌딩
bradley	브래들리
brooks	브룩스
carol	캐럴
