پِنڈلی	shin
پُنر	altul
پنساری	condimente
پنساری	mirodenii
پنساری	băcan
پنسال	nivelul
پنسال	nivel
پنک	slough
پنک	noroi
پنک	nămol
پنک	quagmire
پنک	argilă
پنک	lut
پنک	clay
پنکھ	pinion
پنکھ	pană
پنکھ	aripă
پنکھ	wing
پنکھ	aripa
پنکھا	ventilator
پنکھا	fana
پنکھا	fană
پنکھا	fan
پنکھا	ventilator
پنکھا	fana
پنکھا	fană
پنکھا	fan
پنکھی	molie
پنکھی	pasare
پنکھی	pasăre
پنکھی	pasărea
پنکھی	bird
پنگ	sarpe
پنگ	șarpe
پنگ	reptile
پنگ	reptilă
پنگا	confruntare
پنگا	confruntarea
پنگا	neîndemânatic
پنگا	stângace
پنگا	ceartă
پِنگا	slaba
پِنگا	slăbit
پِنگا	slab
پِنگا	slabă
پِنگا	subtire
پِنگا	subțire
پِنگا	licitație
پِنگا	tandru
پنگت	tribul
پنگت	trib
پنگت	societatea
پنگت	societate
پنگت	casta
پنگت	companie
پنگت	compania
پنگت	bursă
پِنگل	focul
پِنگل	incendiu
پِنگل	foc
پُنگل	cercel
پنگو	deformat
پنگو	jalnic
پنگو	penibil
پنگو	lame
پنگو	infirm
پُنم	bine
پُنم	buna
پُنم	bun
پُنم	virtuos
پُنم	sfânt
پُنم	sfântă
پُنم	sfinte
پِننا	curat
پِننا	curata
پِننا	curată
پِننا	curate
پِننا	clean
پُننا	abuzuri
پُننا	abuz
پُننا	abuzul
پنوَت	indexul
پنوَت	index
پنوَت	indice
پنوَت	indicele
پنہا	larg
پنہا	largă
پِنہاں	secretă
پِنہاں	secret
پِنہاں	secreta
پِنہاں	secrete
پِنہاں	secretul
پِنہاں	ascunsa
پِنہاں	ascuns
پِنہاں	ascunsă
پِنہاں	ascunse
پنہی	papuc
پنہی	papucul
پنہی	pantof
پُنّی	virtuos
پنیا	acvatic
پنیا	acvatice
پنیا	apă
پنیا	apa
پنیاسوت	primavara
پنیاسوت	primăvară
