referenciado	hivatkozott
java	java
controlo	kontroll
controlo	irányítás
controlo	vezérlő
controlo	ellenőrzési
controlo	ellenőrzés
eficiência	hatékonyság
eficiência	hatékonysága
eficiência	hatékonyságát
eficiência	hatékonyság
rebelde	felkelő
rebelde	lázadók
rebelde	lázadó
rebelde	lázadó
proibido	tilos
proibido	tiltott
proibido	tilos
proibido	tiltott
proibido	tiltott
voivodia	vajdaság
auge	pinnacle
marine	tengerész
marine	tengeri
marine	tengerészgyalogos
grace	kegyelem
grace	grace
culinária	konyha
culinária	főz
culinária	főzés
culinária	kulináris
arizona	arizona
arizona	arizonai
arizona	arizonában
charlotte	charlotte
mito	mito
mito	mítosz
químicos	kémiai
químicos	vegyészek
químicos	vegyszerek
uhf	uhf
avó	nagymama
avó	nagyi
avó	nagyi
avó	nagymama
ênfase	hangsúly
ênfase	hangsúlyt
usava	hordott
usava	viselte
usava	viselt
consulta	lekérdezés
consulta	konzultációk
consulta	konzultáció
consulta	egyeztetés
análises	elemzések
análises	elemzés
análises	elemzések
análises	analízis
reverter	fordítva
reverter	fordított
aula	óra
aula	osztály
verlag	verlag
dramática	drámai
matando	gyilkol
matando	gyilkolás
giro	cuki
giro	aranyos
giro	giro
padres	papok
ferrovia	vasútvonal
ferrovia	vasút
ferrovia	vasúti
ferrovia	vasút
fique	maradj
segmentos	szegmensek
aplica	vonatkozik
elias	elijah
elias	elias
arábia	arábia
arábia	arab
traços	jellemvonások
traços	traces
traços	nyomokban
soberano	szuverén
colocadas	helyezett
colocadas	elhelyezett
judeu	zsidó
judeu	zsidók
judeu	zsidó
bruxelas	brüsszelben
bruxelas	brüsszeli
bruxelas	brüsszel
bank	bank
vegetais	zöldség
vegetais	növényi
vegetais	zöldség
vegetais	zöldségfélék
vegetais	zöldségek
alimento	étel
alimento	élelem
alimento	élelmiszerek
alimento	táplálék
alimento	élelmiszer
elétrons	elektron
elétrons	elektronok
observatório	obszervatórium
esboços	rajzok
esboços	vázlatok
regresso	visszatérés
regresso	visszatérés
regresso	vissza
regresso	visszatér
automóvel	autóval
automóvel	kocsi
automóvel	autó
automóvel	kocsival
cana	reed
cana	cane
cana	bot
cana	rúd
cana	rod
cana	cana
emma	emmával
emma	emma
asiático	ázsiai
cinquenta	ötven
cinquenta	fifty
profundamente	mélységesen
profundamente	mélyen
estética	esztétika
estética	esztétikai
gradualmente	fokozatosan
dores	fáj
dores	fájdalmat
dores	fájdalom
dores	fájdalmak
centre	középre
centre	központ
centre	centrum
augusta	augusta
multi	multi
massas	tésztát
massas	tészta
massas	tömegek
massas	tésztát
massas	tészta
marta	marta
marta	martha
reduzido	csökkent
reduzido	csökkentett
gospel	evangélium
lorenzo	lorenzo
assegurar	biztosítja
provocou	provokálta
legais	jogi
legais	legális
legais	törvényes
mineira	bányászati
mineira	bányász
lúcia	lucy
lúcia	lucia
naturalmente	természetesen
gustav	gustav
horta	kert
horta	kertje
horta	garden
horta	kertben
horta	horta
madrugada	hajnal
madrugada	dawn
madrugada	hajnalban
amostra	mintavétel
amostra	minta
cbs	cbs
vegetal	zöldség
vegetal	növényi
estabelecimentos	létesítmények
exibidos	megjelenített
conteúdos	tartalma
conteúdos	tartalom
conteúdos	tartalma
conteúdos	tartalmát
conteúdos	tartalom
correr	futás
georges	georges
empregado	alkalmazott
empregado	alkalmazottak
empregado	munkavállaló
empregado	munkatárs
empregado	pincér
empregado	foglalkoztatott
empregado	alkalmazott
sexuais	szexualitás
sexuais	szexuális
reduzida	csökkent
reduzida	csökkentett
keith	keith
funk	funk
entrando	belép
entrando	belépni
costume	szokásos
costume	egyedi
costume	egyéni
ronald	ronald
estabilidade	stabilitás
estabilidade	stabilitása
estabilidade	stabilitási
escultor	szobrász
horizontal	vízszintesen
horizontal	horizontális
horizontal	vízszintes
magic	varázs
magic	magic
magic	varázslat
magic	mágia
sensação	érzés
sensação	érzem
sensação	érezni
sensação	érzéssel
sensação	szenzáció
convidada	meghívott
convidada	meghívva
convidada	vendég
permanecendo	marad
permanecendo	maradni
permanecendo	megmaradt
permanecendo	megmaradó
permanecendo	fennmaradó
poetas	költők
efetivamente	hatékonyan
efetivamente	eredményesen
ludwig	ludwig
samurai	szamurájok
samurai	szamuráj
pretendia	tervezett
pretendia	szándékolt
sertão	outback
ron	ron
ron	ront
espectro	kísértet
espectro	spektrum
anunciada	bejelentette
anunciada	bejelentett
anunciada	meghirdetett
fósseis	kövületek
fósseis	fosszilis
catalunha	katalónia
puro	tisztán
puro	tisztán
puro	tiszta
iugoslávia	jugoszlávia
lloyd	lloyd
currículo	tanterv
currículo	folytatás
visuais	vizuális
warren	warren
cuidados	gondoskodás
cuidados	érdekel
barras	bárok
barras	rácsok
barras	rúd
barras	rács
premio	díj
premio	jutalom
premio	nyeremény
slam	slam
tive	volt
núcleos	nuclei
mudando	változik
arsenal	arsenal
turcos	törökök
turcos	török
colina	dombon
colina	domb
colina	hegy
colina	dombra
colina	hegyen
colina	hill
colina	kolin
farol	világítótorony
farol	fényszórók
farol	fényszóró
farol	beacon
farol	jeladó
conselhos	tanácsadás
conselhos	tanácsok
conselhos	tanács
conselhos	tanácsot
marítima	tengeri
marítima	tengerészeti
parou	leállt
parou	megállt
bombas	szivattyú
bombas	szivattyúk
