leslie	leslijs
keiserlik	imperial
lineaarne	lineāro
lineaarne	lineārās
lineaarne	lineāri
lineaarne	lineārā
lineaarne	lineāra
lineaarne	lineārs
illustratsioonid	ilustrācijas
traadita	bezvadu
muda	dūņas
muda	dubļi
mõõtmine	mērīšana
mõõtmine	mērīšanas
mõõtmine	mērījumi
mõõtmine	mērīšana
mõõtmine	mērījumu
mõõtmine	mērījumi
mõõtmine	mērījums
lõhna	smarža
lõhna	smaržas
lõhna	smaržvielu
lõhna	aromāts
lõhna	smarža
lõhna	aromāta
õnnetus	negadījums
õnnetus	avārija
suurused	izmēri
kommunismi	komunisms
babüloonia	babiloniešu
semper	semper
tragöödia	traģēdija
meeli	sajūtām
meeli	sajūtas
eeldused	priekšnoteikumi
eeldused	priekšnosacījumi
eeldused	pieņēmumi
václav	václav
valdkond	sfēra
valdkond	domēna
valdkond	joma
valdkond	teritorija
valdkond	platība
valdkond	apgabals
valdkond	laukums
konkurentsi	konkurence
vulgaris	vulgaris
vicente	visente
liu	liu
johansson	johansson
jälgib	novērotāji
jälgib	monitori
marge	mārdža
stein	šteins
pen	pen
arendab	attīstās
arendab	attīsta
ungarlased	ungāri
ungarlased	ungāru
germain	germain
kommentaar	komentārs
kommentaar	komentēt
shanghai	šanhajas
armastaja	mīļākais
orange	oranžas
orange	oranža
orange	apelsīnu
orange	oranžā
sõnaraamat	vārdnīca
sõnaraamat	vārdnīcu
tuld	ugunsgrēks
tuld	uguns
tuld	uguni
viimasena	pēdējo
viimasena	pēdējais
viimasena	pēdējā
viimasena	pēdējās
viimasena	pēdējoreiz
ilmaliku	laicīgo
odavam	lētāko
odavam	lētāk
odavam	lētāka
odavam	lētāks
odavam	lētāki
odavam	lētākas
edge	malas
edge	malu
edge	mala
kiili	spāre
individuaalne	individuāla
individuaalne	individuālā
individuaalne	individuāli
robot	robotu
robot	robots
geneetiliselt	ģenētiski
pilv	mākoņi
pilv	mākoņu
pilv	mākonis
autosid	automašīnas
autosid	cars
autosid	automobiļi
autosid	automašīnām
litsents	licences
litsents	licence
litsents	apliecība
litsents	licence
kristlus	kristietība
java	java
opel	opel
esinemise	sastopamība
esinemise	sastopamību
nero	nero
pakkumise	piedāvājums
pakkumise	konkurss
säilitab	konservi
thorpe	torps
mir	mir
konsul	konsuls
allavoolu	lejpus
allavoolu	pakārtots
allavoolu	lejup
rõõm	baudu
rõõm	prieks
rõõm	prieks
rõõm	prieka
olümpia	olympic
olümpia	olimpiskā
olümpia	olimpiskajā
olümpia	olimpiskais
dünaamiline	dinamiskais
dünaamiline	dinamiskā
dünaamiline	dinamika
dünaamiline	dinamiska
dünaamiline	dinamisks
dünaamiline	dinamiski
owen	ouens
seen	sēnītes
agentuuri	aģentūra
sang	dziedāja
terav	ass
terav	asas
terav	krasas
terav	asu
foorum	forums
foorum	forumā
foorum	forum
luuletus	dzejolis
õpetab	māca
väidetud	apgalvoja
väidetud	apgalvots
orto	orto
traditsioonilised	tradicionāls
traditsioonilised	tradicionālie
traditsioonilised	tradicionālais
traditsioonilised	tradicionālā
traditsioonilised	tradicionālo
traditsioonilised	tradicionāli
sõnumid	vēstules
sõnumid	ziņojumi
timothy	timotijs
cat	kaķi
cat	kaķis
kajastab	ataino
kajastab	atspoguļo
gnu	gnu
faktid	fakti
faktid	faktus
täpsed	precīzi
täpsed	precīza
täpsed	precīzs
diameeter	diametrs
gloria	glorija
kursused	kursos
kursused	kursiem
kursused	kursus
kursused	kursi
suomen	suomen
constantin	constantin
horisontaalselt	horizontāli
suurenemine	pieaugums
suurenemine	palielināt
suurenemine	palielināšana
suurenemine	palielinājums
triinu	ella
léon	leons
strauss	strauss
institutsioonid	institūcijas
institutsioonid	iestādes
romantiline	romantiski
uhke	lepni
uhke	lepna
kirjutades	rakstīšanas
haruldased	reti
haruldased	retas
vista	vista
kohvi	kafiju
kohvi	kafija
marianne	marianne
jeemeni	jemena
jeemeni	jemenas
omar	omar
pinnas	augsne
pinnas	augsnes
kodakondsus	pilsonība
kodakondsus	pilsonību
kodakondsus	pilsonība
ajavahemik	laikposms
ajavahemik	periods
giulio	džūlio
standardid	standartos
standardid	standartus
standardid	standarti
allveelaev	zemūdens
albumid	albumus
pühendunud	veltīta
pühendunud	veltīts
pühendunud	apņēmusies
tselluloosi	celuloze
tselluloosi	celulozes
liigitada	klasificē
liigitada	klasificēt
tasapisi	lēnām
tasapisi	lēni
romano	romano
resolutsioon	rezolūcija
resolutsioon	izšķirtspēja
andrzej	andrzej
philadelphia	filadelfijas
oulu	oulu
mürgine	toksiskas
mürgine	toksisks
mürgine	toksiska
mürgine	indīgi
mürgine	indīgs
väärt	vērta
väärt	vērts
tapmine	nonāvēšana
tapmine	nogalināšana
tapmine	nonāvēšanas
tapmine	nogalināšanas
esa	eks
esa	eka
esa	esa
read	rindas
read	līnijas
read	rindas
michele	michele
korsika	korsikas
korsika	korsikas
korsika	korsiku
korsika	korsikā
kaksteist	divpadsmit
histoloogia	histoloģijas
ekspert	eksperts
ekspert	eksperte
ökoloogiline	ekoloģisko
ökoloogiline	ekoloģiski
ökoloogiline	ekoloģiskā
sool	sāls
jung	jungs
müük	noiets
müük	pārdošana
müük	izpārdošana
müük	pārdošana
vähendamine	samazinājums
vähendamine	samazināšanas
vähendamine	samazināšana
vähendamine	samazināšana
smithi	smith
smithi	smits
smart	smart
smart	gudrs
smart	gudri
smart	gudra
loobunud	izstājās
loobunud	atteikušās
viljakas	auglīgu
viljakas	auglīga
viljakas	auglīgas
viljakas	auglīgu
viljakas	auglīga
viljakas	auglīgas
hell	maigs
hell	maiga
kokkupõrge	trieciens
kokkupõrge	ietekme
kokkupõrge	sadursme
kokkupõrge	sadursmes
paber	papīrs
paber	papīra
alasti	kaila
alasti	kails
alasti	neapbruņotu
sammas	sleja
sammas	kolonna
sammas	slejā
sammas	kolonnu
sammas	pīlāra
sammas	pīlāru
sammas	pīlārs
mitt	mitt
maatriks	matricas
maatriks	matricu
maatriks	matrices
maatriks	matrica
neljandaks	ceturtkārt
neljandaks	ceturtais
neljandaks	ceturtajā
neljandaks	ceturtā
parameeter	parametru
parameeter	parametrs
parameeter	parametri
parameeter	raksturlielums
žanr	žanrs
stella	stella
oskuste	iemaņas
oskuste	prasmes
oskuste	prasme
oskuste	prasmju
edutult	nesekmīgi
otsustanud	izlēma
otsustanud	nolēma
otsustanud	nolēmusi
otsustanud	izlemts
otsustanud	nolemts
sinised	zilais
sinised	zils
sinised	zila
sinised	zilā
schultz	šulcs
lapselaps	mazmeita
lapselaps	mazdēls
wales	velsā
wales	velsa
elbe	elbas
kogemata	nejauši
kogemata	netīšām
uuem	jaunāks
uuem	jaunākas
hani	zosu
hani	gūs
hani	hani
hani	han
rex	rex
territoriaalne	teritoriālā
territoriaalne	teritoriālie
territoriaalne	teritoriālais
territoriaalne	teritoriālo
jeffersoni	džefersons
bengali	bengālijas
harrison	harisons
mehaanilise	mehāniski
ümbritsev	apkārtējo
chicagos	čikāgas
turba	kūdras
hävitatud	iznīcināta
hävitatud	iznīcināts
hävitatud	iznīcināti
hävitatud	iznīcina
karistuse	sods
liigitus	klasifikācija
hävitamine	iznīcināt
hävitamine	iznīcināšana
korrus	stāvs
korrus	grīdas
korrus	grīda
beach	pludmale
beach	pludmales
beach	beach
õiglane	taisnais
õiglane	godīgi
õiglane	taisnīgs
õiglane	taisnīgi
õiglane	taisnīga
õiglane	godīgu
õiglane	godīgs
pööre	kārta
sõitja	pasažieru
sõitja	pasažiera
sõitja	pasažieri
sõitja	pasažieris
kuru	padod
kliendi	klients
kliendi	klientu
kliendi	klienti
