yang	yang
dan	și
dan	si
dan	şi
dan	dan
dengan	cu
untuk	pentru
terletak	situata
terletak	situate
terletak	situată
terletak	situat
terletak	minciunile
terletak	minciuni
indonesia	indonezia
dari	dari
dari	din
daerah	districtul
daerah	district
tahun	ani
tahun	anii
tahun	anul
tahun	an
adalah	sunt
telah	are
wilayah	provincie
wilayah	provincia
wilayah	regiunea
wilayah	regiune
wilayah	teritoriile
wilayah	teritorii
wilayah	teritoriu
wilayah	teritoriul
lihat	vezi
kawasan	zonă
kawasan	zona
kawasan	suprafață
kawasan	regiunea
kawasan	regiune
kawasan	regiuni
kawasan	regiunilor
kawasan	regiunile
luar	afara
luar	afară
sekolah	scoli
sekolah	școli
sekolah	scoala
sekolah	școala
sekolah	şcoala
sekolah	școală
sekolah	şcoală
tidak	nu
bahasa	limbi
bahasa	limbile
bahasa	limba
bahasa	limbă
bahasa	limbaj
bahasa	limbajul
orang	persoană
orang	persoana
orang	oamenii
orang	oameni
orang	persoane
pautan	legătura
pautan	legătură
pautan	link
pautan	linkul
pautan	linkuri
pautan	legaturi
pautan	linkurile
pautan	legături
malaysia	malaezia
malaysia	malaysia
daripada	din
daripada	decat
daripada	decât
kampung	satul
kampung	village
kampung	satului
kampung	sat
jabatan	departamentul
jabatan	departament
satu	satu
satu	una
satu	unul
satu	unu
negara	țară
negara	tara
negara	țara
negara	ţara
negara	ţară
negara	stare
negara	stat
negara	state
negara	statul
negara	țări
negara	ţările
negara	țările
negara	ţări
mereka	ei
mereka	au
mereka	ei
mereka	ele
kebangsaan	cetățenie
kebangsaan	cetățenia
kebangsaan	națională
kebangsaan	national
kebangsaan	naţional
kebangsaan	nationala
kebangsaan	național
bandar	oraș
bandar	oras
bandar	oraşul
bandar	oraş
bandar	city
bandar	oras
bandar	oraș
bandar	oraş
bandar	oraşul
bandar	orașul
bandar	oraşe
bandar	oraşele
bandar	orase
bandar	orasele
bandar	orașe
bandar	bandar
imperial	imperiale
imperial	imperială
imperial	imperial
lelaki	bărbat
lelaki	om
lelaki	omul
lelaki	barbat
lelaki	man
negeri	stare
negeri	stat
negeri	state
negeri	statul
menjadi	fiind
barat	west
barat	vest
barat	occident
barat	vestul
barat	barat
barat	occidental
barat	vest
barat	western
lain	altele
lain	alte
lain	alți
lain	altele
lain	altii
lain	alții
lebih	mai
etnik	etnică
etnik	etnic
etnik	etnice
etnik	etnie
mempunyai	are
mempunyai	au
perancis	franceză
perancis	franceza
perancis	francezi
perancis	francez
perancis	franţa
perancis	franța
perancis	franta
perancis	france
akan	will
akan	va
nama	nume
nama	numele
nama	denumire
nama	name
perbandaran	comuna
perbandaran	municipale
perbandaran	municipal
perbandaran	municipală
boleh	pot
boleh	can
filem	pelicule
filem	filme
filem	film
filem	peliculă
filem	film
filem	filme
filem	filmele
timur	east
timur	est
timur	estul
timur	timur
digunakan	folosit
digunakan	utilizate
digunakan	folosite
digunakan	folosită
digunakan	utilizată
digunakan	utilizat
dua	dua
dua	doua
dua	doi
dua	două
pertama	primii
pertama	prima
pertama	primul
perempuan	femeie
perempuan	femele
perempuan	femelele
perempuan	femeile
perempuan	femei
perempuan	femeilor
svg	svg
svg	wmf
india	indiană
india	indian
india	indianul
india	indiei
india	india
senarai	lista
senarai	listă
dia	dia
presiden	președintele
presiden	preşedinte
presiden	preşedintele
presiden	președinte
presiden	presedinte
terbang	fly
terbang	zboara
terbang	musca
terbang	zboară
terbang	zbor
terbang	zburând
terbang	zbor
dunia	lumea
dunia	lume
dunia	world
kerana	deoarece
bahawa	că
bahawa	asta
bahawa	aia
laut	mare
laut	marea
selepas	dupa
selepas	după
selatan	southern
selatan	sudic
selatan	sudul
selatan	sud
selatan	south
selatan	sudul
stadium	stadioane
stadium	stadion
stadium	stadium
stadium	stadionul
tempat	locul
tempat	loc
tempat	localuri
tempat	locuri
besar	mare
besar	mari
besar	big
besar	besar
tetapi	dar
antara	antara
antara	intre
antara	între
pelajar	studenti
pelajar	elevi
pelajar	studenți
pelajar	elevii
pelajar	studentă
pelajar	elevă
pelajar	elev
pelajar	student
utara	north
utara	nordul
utara	nord
utara	northern
utara	nordul
syarikat	corporation
syarikat	companie
syarikat	compania
syarikat	societăți
syarikat	companii
syarikat	companiile
raya	raya
jumlah	sumele
jumlah	sume
jumlah	sumă
jumlah	cantitate
jumlah	suma
jumlah	total
jumlah	totalul
jumlah	totală
republik	republicani
republik	republican
republik	republicane
republik	republicană
republik	republica
republik	republică
kumpulan	grupa
kumpulan	grup
kumpulan	grupul
kumpulan	grupă
kumpulan	grupe
kumpulan	grupuri
kumpulan	grupurile
kumpulan	grupări
tentera	militari
tentera	armată
tentera	militară
tentera	militar
tentera	soldaţi
tentera	soldați
tentera	soldaţii
tentera	soldati
tentera	armata
tentera	armată
tentera	army
amerika	american
amerika	americană
amerika	americancă
amerika	america
amerika	americii
amerika	amerika
amerika	americi
turki	turcia
turki	curcan
turki	turcii
turki	turci
turki	turcilor
turki	turcesc
turki	turc
turki	turci
turki	turcă
baru	nou
baru	noua
baru	noi
baru	nouă
baru	baru
buah	boabe
buah	fructul
buah	fructe
buah	fructele
buah	fruct
buah	fructe
buah	fructele
jawa	java
jawa	javaneză
bawah	sub
hari	zi
hari	ziua
hari	zilele
hari	zile
google	google
pemain	jucători
pemain	jucatori
pemain	jucătorii
pemain	player
pemain	jucator
pemain	jucătorul
pemain	jucător
melayu	malay
melayu	melayu
kerajaan	regat
kerajaan	kingdom
kerajaan	regatul
kerajaan	empire
kerajaan	imperiul
kerajaan	imperiu
kerajaan	imperiului
kerajaan	tărâm
kerajaan	guvernul
kerajaan	guvernare
kerajaan	guvern
sama	sama
sama	egali
sama	egal
sama	egală
sama	egale
sama	egala
sama	același
iran	iranieni
iran	iran
iran	iranul
iran	iraniene
iran	iraniană
iran	iranian
ahli	membru
ahli	membră
ahli	membrul
ahli	membrii
ahli	membri
pasukan	trupele
pasukan	trupe
pasukan	echipele
pasukan	echipe
pasukan	trupă
pasukan	echipă
pasukan	echipa
pasukan	team
islam	islamic
islam	islamice
islam	islamică
islam	islamul
islam	islamului
islam	islam
mana	mana
mana	unde
ketua	sef
ketua	șef
ketua	preşedinte
ketua	președinte
masa	timp
masa	ora
masa	timpul
lagu	cantec
lagu	song
lagu	melodie
lagu	cântec
lagu	cantece
lagu	cântece
lagu	melodii
style	stil
style	stilul
tengah	tengah
tengah	mijloc
jerman	german
jerman	germana
jerman	germană
jerman	germania
jerman	germanii
jerman	nemti
jerman	germani
jalan	drum
jalan	drumul
jalan	road
gmt	gmt
cet	cet
utama	principala
utama	main
utama	principale
utama	principală
utama	principal
utama	primare
utama	primară
utama	primar
banyak	multi
banyak	mulți
banyak	multe
salah	incorect
salah	incorecte
salah	incorectă
salah	gresit
salah	greșit
apabila	cand
apabila	când
bahagian	divizia
bahagian	divizare
bahagian	diviziunea
bahagian	diviziune
bahagian	divizie
bahagian	sectiune
bahagian	secţiunea
bahagian	secțiune
bahagian	secţiune
bahagian	secțiunea
bahagian	părți
bahagian	piese
bahagian	părţi
bahagian	secțiunile
bahagian	secțiuni
bahagian	parte
bahagian	partea
menggunakan	folosind
menggunakan	folosirea
menggunakan	utilizarea
menggunakan	utilizând
lagi	mai
jenis	tipul
jenis	tastează
jenis	tip
jenis	tipuri
jenis	tipurile
sungai	râurilor
sungai	rivers
sungai	râurile
sungai	râuri
sungai	râu
sungai	râul
sungai	river
kota	city
kota	oras
kota	oraș
kota	oraş
kota	oraşul
kota	orașul
kota	kota
jepun	japonia
jepun	japonez
jepun	japonezi
jepun	japoneze
jepun	japoneza
jepun	japoneză
anak	anak
anak	copile
anak	copila
anak	copil
anak	copilă
ada	acolo
ada	ada
tanah	teren
tanah	terenuri
tanah	land
tanah	pământ
tanah	solul
tanah	sol
tanah	terenuri
tanah	pământurile
tanah	meleaguri
tanah	pământuri
tanah	tanah
tanah	sol
national	națională
national	national
national	naţional
national	nationala
national	național
bersama	mutual
bersama	reciproc
bersama	reciprocă
bersama	reciproce
bersama	împreuna
bersama	impreuna
bersama	împreună
dikenali	recunoscute
dikenali	recunoscut
dikenali	recunoscută
dikenali	cunoscut
dikenali	cunoscută
dikenali	cunoscute
hanya	doar
sebelum	inainte
sebelum	înainte
air	apă
air	apa
air	apele
air	apelor
air	waters
air	ape
air	aer
air	aerul
air	air
sepanyol	spania
sepanyol	spaniola
sepanyol	spanioli
sepanyol	spaniolă
sepanyol	spaniol
raja	raja
raja	regele
raja	king
raja	rege
perang	razboi
perang	războiul
perang	război
perang	războaiele
perang	razboaie
perang	războaie
wanita	doamnelor
wanita	doamnele
wanita	femeie
wanita	femeile
wanita	femei
wanita	femeilor
kuala	confluența
kuala	kuala
sistem	sistemul
sistem	sistem
sistem	sisteme
pulau	insulă
pulau	insula
team	echipă
team	echipa
team	team
provinsi	provincie
provinsi	provincia
provinsi	provincii
provinsi	provinciile
kanak	copile
kanak	copila
kanak	copil
kanak	copilă
termasuk	inclusă
termasuk	inclus
termasuk	incluse
termasuk	inclusiv
termasuk	incluzând
termasuk	incluzand
termasuk	include
pendidikan	educativ
pendidikan	educație
pendidikan	educația
pendidikan	educatie
musim	anotimpul
musim	sezonul
musim	sezon
musim	anotimp
musim	anotimpurile
musim	sezoane
musim	anotimpuri
penduduk	locuitori
penduduk	locuitorii
penduduk	rezidenți
penduduk	populaţia
penduduk	populație
penduduk	populația
kini	acum
semasa	curentul
semasa	curent
semasa	actual
semasa	curentului
semasa	actuală
carian	căutări
carian	căutare
carian	cautare
carian	cauta
carian	caută
kemudian	atunci
kemudian	apoi
serbia	serbia
serbia	sârbilor
serbia	sârbi
serbia	sârbii
serbia	sârb
serbia	sârbi
serbia	sârbă
tiga	trei
tiga	three
keseluruhan	întreg
keseluruhan	intreg
tinggi	high
tinggi	înaltă
tinggi	inalta
tinggi	inaltime
tinggi	înălţime
tinggi	înălțimea
tinggi	înălțime
guru	profesor
guru	profesoară
guru	profesorilor
guru	profesorii
guru	profesori
czech	cehi
czech	cehă
czech	cehia
czech	ceh
wikipedia	wikipedia
melalui	via
melalui	prin
setiap	fiecare
setiap	fiecare
menteri	ministru
menteri	ministrul
menteri	miniștri
menteri	miniștrii
semua	toti
semua	toți
semua	toate
semua	tot
bulan	lună
bulan	luna
bulan	moon
bulan	lunile
bulan	luni
bulan	lună
bulan	luna
kapal	vas
kapal	navă
kapal	recipient
kapal	nava
kapal	navă
kapal	vapor
kapal	corabie
kapal	navele
kapal	nave
kapal	vapoare
kapal	corăbii
kecil	mic
kecil	mică
kecil	micii
kecil	mici
kecil	tiny
taman	park
taman	parc
taman	parcul
taman	grădină
taman	grădina
taman	gradina
taman	parcuri
taman	parks
taman	parcurile
album	album
album	albumul
album	albumele
album	albume
azerbaijan	azerbaidjan
azerbaijan	azer
new	nou
new	noua
new	noi
new	nouă
club	club
club	clubul
mukim	parohia
mukim	parohie
eropah	europe
eropah	europei
eropah	europa
eropah	europă
eropah	europene
eropah	europeană
eropah	europeni
eropah	european
inggeris	anglia
inggeris	england
inggeris	engleza
inggeris	engleză
inggeris	romanian
gambar	poza
gambar	poză
gambar	imagine
gambar	imagini
gambar	poze
gambar	poze
gambar	fotografiile
gambar	fotografii
batu	pietre
batu	pietrele
batu	piatră
batu	stone
batu	piatra
batu	batu
batu	piatră
batu	piatra
batu	stânca
batu	stâncă
batu	rock
buku	cărţi
buku	carti
buku	cărți
rumah	acasa
rumah	casă
rumah	acasă
rumah	home
rumah	case
rumah	casele
rumah	house
rumah	casa
rumah	casă
bola	bola
bola	ball
bola	minge
bola	mingea
bola	bilă
bola	bila
kedudukan	pozitie
kedudukan	poziția
kedudukan	poziţia
kedudukan	poziţie
kedudukan	poziție
kedudukan	clasament
kedudukan	clasamentul
kedudukan	poziționare
huruf	scrisori
huruf	litere
huruf	scrisoare
huruf	scrisoarea
huruf	literă
itali	italia
itali	italiana
itali	italiană
itali	italian
laporan	raport
laporan	raportul
laporan	raportează
laporan	raportare
laporan	raportarea
laporan	raportez
laporan	rapoarte
laporan	rapoartele
data	date
data	datele
data	data
flag	steaguri
flag	steagurile
china	china
china	chineza
china	chineză
china	chinezesc
china	chinez
china	chinezi
pusat	centrele
pusat	centrelor
pusat	centre
pusat	centre
pusat	centrala
pusat	centrale
pusat	centrală
pusat	central
pusat	centrul
pusat	centru
pusat	centrul
pusat	centru
sultan	sultanul
sultan	sultan
country	țară
country	tara
country	țara
country	ţara
country	ţară
paling	majoritatea
rasmi	oficial
rasmi	oficiale
rasmi	oficiala
rasmi	oficială
murid	discipolii
murid	discipoli
murid	studenti
murid	elevi
murid	studenți
murid	elevii
murid	discipol
kali	kali
bersatu	unificat
bersatu	unită
bersatu	united
bersatu	unite
bersatu	unit
bersatu	uni
masih	inca
masih	încă
masih	tot
naib	vicii
naib	viciul
naib	moravuri
naib	viciu
naib	vice
anjing	câine
anjing	dog
anjing	caine
anjing	caini
anjing	câinii
anjing	câini
mula	start
mula	începe
mula	pornire
awal	early
awal	timpuriu
awal	devreme
pelakon	actorilor
pelakon	actorii
pelakon	actori
pelakon	actrita
pelakon	actriță
pelakon	actor
pelakon	actorul
terhadap	contra
terhadap	împotriva
terhadap	impotriva
terhadap	împotrivă
peta	harta
peta	hartă
peta	harti
peta	hărți
bentuk	formă
bentuk	forma
pernah	vreodată
bin	bin
waktu	timp
waktu	ora
waktu	timpul
kereta	maşină
kereta	mașină
kereta	maşina
kereta	mașina
kereta	masina
kereta	maşini
kereta	mașini
kereta	masini
kereta	train
kereta	trenul
kereta	tren
kuasa	puterile
kuasa	powers
kuasa	puteri
kuasa	competențe
kuasa	putere
kuasa	puterea
kuasa	power
clubnat	clubnat
sejarah	istorice
sejarah	istorică
sejarah	istoric
sejarah	istoricul
sejarah	istorie
sejarah	istoric
sejarah	istoria
walaupun	deşi
walaupun	deși
walaupun	desi
walaupun	deşi
walaupun	deși
walaupun	desi
report	raport
report	raportul
report	raportează
masjid	masjid
masjid	moschei
masjid	moscheea
masjid	moschee
sendiri	singură
sendiri	singur
sendiri	singuri
sendiri	proprie
sendiri	proprii
piala	trofeu
piala	trofeul
piala	cupa
piala	cupă
piala	ceașcă
pecahan	detaliere
pecahan	fracțiunile
kira	kira
kira	calcula
kira	calculează
pilihan	alegerea
pilihan	alegere
pilihan	opțional
pilihan	alegeri
agama	religie
agama	religia
agama	religioasa
agama	religioase
agama	religioasă
agama	religios
agama	religiile
agama	religii
pos	pos
pos	postează
pos	post
pos	postare
pos	postarea
pos	poștale
jakarta	jakarta
universiti	facultate
universiti	university
universiti	universitate
universiti	universitatea
antarabangsa	internațional
antarabangsa	international
antarabangsa	internaţională
antarabangsa	internațională
antarabangsa	internaţional
kuno	străvechi
kuno	antică
kuno	antice
kuno	antic
tiada	niciuna
parti	party
parti	petrecere
parti	partid
parti	părți
parti	partide
parti	petreceri
parti	partidele
bermula	început
bermula	pornirea
bermula	începând
bermula	pornire
bermula	incepand
para	para
pula	pula
pula	oricum
saya	saya
pelbagai	multiplu
pelbagai	multiplă
pelbagai	multiple
pelbagai	multi
pelbagai	diverse
kadar	rată
kadar	rata
kadar	ratele
kadar	rate
kadar	tarife
bukan	nu
perak	perak
perak	argint
perak	silver
perak	argintiu
meter	metru
meter	metri
meter	contoare
meter	contor
meter	metru
meter	metri
abdul	abdul
asia	asiatic
asia	asiatice
asia	asiatici
asia	asiatică
asia	asia
burung	pasare
burung	pasăre
burung	pasărea
burung	bird
burung	păsări
burung	pasarile
burung	pasari
burung	păsările
september	septembrie
