molecolare	分子
sepoltura	喪葬
sepoltura	葬
sepoltura	埋葬
cohen	cohen
tumore	瘤
tumore	腫瘤
tumore	瘤
tumore	腫瘤
tumore	癌症
tumore	癌
cliente	客戶
cliente	顧客
cliente	客戶
incisa	刻
incisa	刻字
break	中斷
break	休息
break	打破
scade	到期
scade	過期
scade	到期
scade	過期
harvard	哈佛
incoronazione	加冕典禮
incoronazione	加冕
affermare	斷言
mantello	角
mantello	地幔
angoli	角落
angoli	角度
angoli	盎格魯
edge	邊緣
duchi	公爵
sospetti	嫌犯
sospetti	嫌疑犯
sospetti	疑犯
sospetti	嫌犯
sospetti	嫌疑犯
sospetti	疑犯
sospetti	可疑
sospetti	懷疑
sanità	健康
tributo	悼念
approfondimento	加深
approfondimento	深化
imposta	設
imposta	集
imposta	設定
imposta	納稅
imposta	稅務
imposta	稅收
imposta	稅
imposta	稅金
zhang	張
split	分裂
split	分割
control	控制權
control	控制
miti	神話
tigre	虎
tigre	老虎
portico	門廊
spiegazioni	解釋
spiegazioni	解釋
granata	手雷
granata	榴彈
biblioteche	圖書館
biblioteche	圖書館
amiche	朋友
amiche	好友
corolla	花冠
mercurio	水星
mercurio	水銀
mercurio	汞
martirio	殉難
piattaforme	平台
piattaforme	站台
piattaforme	平台
fascio	梁
fascio	束
fascio	光束
fascio	叢
uci	uci
montenegro	黑山
aiuti	援助
missionario	傳教士
missionario	傳教
damiano	damian
disturbo	失調
burton	burton
determinazione	決心
cfr	cfr
berlina	轎車
cold	冷冷
cold	寒冷
cold	冷
creek	溪
suprema	最高
marchesi	marchesi
metallica	metallica
metallica	金屬
tradotta	翻譯
ruth	ruth
scartamento	儀表
tip	提示
tip	小費
occasionalmente	偶而
occasionalmente	偶而
occasionalmente	偶爾
complessità	複雜
complessità	複雜性
complessità	複雜
cliff	懸崖
cliff	崖
adventure	探險
adventure	冒險
cum	精液
celebrazione	慶典
celebrazione	慶祝
voluta	通緝
resistere	抵制
resistere	抗拒
koch	koch
cox	cox
repubblicana	共和
numerazione	編號
viterbo	viterbo
cantieri	碼
ass	屁股
ginocchio	膝
ginocchio	膝蓋
guadagnare	掙
guadagnare	賺取
guadagnare	賺
wind	風
jackie	成龍
turisti	觀光客
turisti	遊客
