お菓子	maiustusi
未完成	lõpetamata
未完成	puudulik
未完成	mittetäielik
オシ	töötervishoiu
ブレーメン	bremen
チューブ	toru
林業	metsanduse
林業	metsandus
変装	maskeeritud
軍需	relvastuse
シグナル	signaale
シグナル	signaalid
シグナル	signaal
シグナル	signaali
シグナル	märguanne
オリーブ	olive
オリーブ	oliivid
面接	intervjuu
面接	intervjuud
ダイエット	dieeti
ダイエット	dieet
ダイエット	toitumine
ダブリン	dublini
ダブリン	dublinis
信念	faith
信念	usk
信念	usku
信念	uskumused
スチュアート	stuart
ワイヤー	traat
ワイヤー	juhe
ワイヤー	juhtmed
アルブレヒト	albrecht
バレル	tünn
サンティアゴ	santiago
ブルターニュ	brittany
審判員	kohtunik
スレッド	vestlus
スレッド	niit
スレッド	lõime
スレッド	vestlused
ドラキュラ	dracula
ルネ	rené
ルネ	rene
ルネ	rené
ルネ	rene
桟橋	kai
亜鉛	tsink
グラハム	graham
デューク	vürst
デューク	duke
デューク	hertsog
語彙	sõnavara
コーディネーター	koordinaator
ソナー	sonar
充電	süüdistus
充電	laeng
充電	laadimine
グラブ	haara
バーミンガム	birminghami
マイヤー	meyer
リリー	lily
大工	puusepp
隠岐	oki
チャイ	chai
ワクチン	vaktsiinid
ワクチン	vaktsiini
ワクチン	vaktsiin
監獄	vangla
監獄	vanglaid
監獄	vanglates
デラウェア	delaware
売る	müüa
破片	praht
破片	rususid
ペーター	peter
ペーター	peeter
買い物	poodi
既婚	abielus
既婚	abiellusid
既婚	abiellus
陽性	positiivsed
陽性	positiivse
陽性	positiivne
チョーク	kriit
チョーク	kägistada
四十	nelikümmend
エコー	kaja
同調	vastavus
スイング	hoos
クランク	hero
コミュニティー	ühendus
コミュニティー	kogukond
施策	poliitikad
施策	poliitika
トラクター	traktorid
トラクター	traktor
カリスマ	karisma
吹く	puhub
下着	aluspüksid
下着	aluspesu
淡水	magevee
分泌	sekretsiooni
ドキドキ	põnev
ドキドキ	põnevad
驚き	üllatus
ジェフリー	jeffrey
廃墟	häving
廃墟	varemed
深度	sügavus
配当	dividendid
配当	jaotamine
配当	jaotus
配当	jaotumine
配当	dividendid
故意	tahtlik
故意	tahtlik
故意	tahtlikult
ニコ	nico
ニコ	niko
クロム	kroomi
クロム	kroom
クロム	kroomi
クロム	kroom
生き方	elustiil
預言	ettekuulutus
預言	ennustus
掲示	bülletään
パスポート	passid
パスポート	passi
パスポート	pass
カロリー	kaloreid
消化	seedimine
ヘビ	madu
ヘビ	snake
ヘビ	mao
ヘビ	maod
膨張	laiendamine
膨張	laienemine
残酷	julm
ペナルティ	karistus
フェンス	tara
船員	madrus
船員	meremees
フォレスト	forrest
フォレスト	mets
フォレスト	metsa
クラッチ	sidur
見習い	õpipoiss
見習い	praktikant
黙示録	apokalüpsis
枢機卿	kardinal
メソッド	meetod
メソッド	meetodid
スチュワート	stewart
スギ	cedar
賭博	hasartmängud
賭博	hasartmängude
コップ	karikavõistlused
コップ	cup
コップ	tops
コップ	tass
コップ	karikas
母国	kodumaa
母国	isamaa
視界	nähtavus
ニッケル	nikli
反響	kaja
プラットホーム	platvorm
スーザン	susan
ハイチ	haiti
ハイチ	haiti
洗浄	pesemine
洗浄	puhastus
洗浄	puhastamine
洗浄	koristamine
不祥事	skandaal
不祥事	skandaali
委任	delegatsioon
委任	volitused
委任	mandaat
委任	volitus
祭壇	altari
シエラ	sierra
ボローニャ	bologna
ヤギ	kits
ヤギ	kitse
ヤギ	kitsed
ワークショップ	seminaride
ワークショップ	seminarid
ワークショップ	töökoda
ワークショップ	seminar
ワーグナー	wagner
金庫	turvaline
金庫	ohutu
被告人	süüdistatud
被告人	süüdistatav
被告人	kostja
バトン	baton
睡眠	uni
睡眠	maga
睡眠	magamine
睡眠	magama
睡眠	magada
モノクロ	mustvalge
洗濯	pesemine
洗濯	pesu
ツル	kraana
ツル	kurg
ツル	crane
リヒャルト	richard
裏側	tagasi
レズビアン	lesbi
芸者	geiša
チャップリン	chaplin
吸気	sissehingamisel
祝福	õnnistus
祝福	õnnistust
祝福	õnnistus
祝福	õnnistust
祝福	õnnistatud
林檎	õun
林檎	apple
林檎	õuna
星空	tähise
ロナルド	ronald
ランニング	jookseb
ランニング	jooksmine
ランニング	joostes
ランニング	jooksmas
届出	teatamine
届出	teade
届出	teavitamine
レスキュー	päästmine
レスキュー	päästa
レスキュー	pääste
土居	doi
委嘱	delegatsioon
委嘱	komisjon
委嘱	komisjoni
アンドレア	andrea
パンダ	panda
ハク	haq
冗談	nali
冗談	nalja
お気に入り	lemmik
お気に入り	lemmikud
お気に入り	lemmik
お気に入り	lemmikud
トゥルー	tõene
トゥルー	tõsi
ヨット	jaht
ヨット	jahid
シェーン	shane
ダイナミック	dünaamiline
ダイナミック	dünaamika
飛行船	õhulaeva
陶芸	keraamika
エリオット	elliott
エリオット	elliot
真木	maki
ハンプシャー	hampshire
テント	telgid
テント	telk
テント	telgi
リソース	ressurss
リソース	vahendid
リソース	ressursid
粛清	puhastus
崇拝	kummardavad
崇拝	kummardavad
ワトソン	watson
値段	price
値段	hind
快適	mugav
快適	mugavad
快適	mugav
足跡	jalajälg
足跡	jalajäljed
ロベール	robert
バスケ	korvpall
獣医	loomaarst
獣医	loomaarst
獣医	veterinaararst
獣医	veterinaar
ヴァージン	neitsi
帝政	impeerium
帝政	impeeriumi
動揺	ärritunud
タブレット	tablett
タブレット	tahvel
神学校	seminari
麻酔	narkoosi
人魚	merineitsi
ジュエル	kalliskivi
ジュエル	juveel
サンチェス	sanchez
サンチェス	sánchez
目的地	sihtkoht
マルチメディア	multimeedia
オーラ	aura
ディープ	sügav
ディープ	deep
ディープ	sügavale
マリアナ	mariana
アマゾン	amazon
年数	aastad
不自然	ebaloomulik
コロナ	corona
切符	piletid
切符	pilet
教義	dogma
教義	creed
教義	doktriin
オメガ	omega
両面	duplex
地雷	kaevandused
地雷	miinid
ホッケー	hoki
かもめ	kajakas
マダガスカル	madagaskari
事績	saavutused
事績	saavutamine
事績	saavutus
カートリッジ	padrunid
トレイル	jälg
トレイル	rada
臓器	organid
臓器	organi
臓器	elundite
臓器	organ
コロンボ	colombo
水銀	elavhõbeda
水銀	elavhõbe
ニース	mõnus
ニース	kena
ニース	nice
ホモ	homo
ユニーク	kordumatu
ユニーク	ainulaadne
ユニーク	unikaalne
アドリア	adria
浄化	puhastamine
音節	silp
シダ	fern
炎症	põletikulise
炎症	põletik
ダンカン	duncan
カッパ	kappa
長江	jangtse
摩擦	hõõrdumine
ドーン	dawn
ドーン	koidik
ドーン	koidu
芝生	muru
悪役	kurikael
実効	tõhusus
実効	efektiivsus
実効	efektiivne
実効	tulemuslik
実効	tõhus
実効	tõhusad
セナ	senna
アルマ	alma
ルナ	luna
オリオン	orion
ルーシー	lucy
ウィリー	willy
ステータス	staatus
ステータス	seisund
ステータス	oleku
ステータス	olek
アロン	aaron
アロン	aron
四川省	sichuani
柔軟	paindlikkus
イングリッシュ	inglise
浮気	truudusetus
浮気	petmine
浮気	afäär
マッサージ	massaaži
マッサージ	massaaž
捕鯨	vaalapüügi
劣化	halvenemine
劣化	lagunemine
劣化	lagunemise
工具	tööriist
上海市	shanghai
オナニー	masturbeerimine
クイック	ruttu
クイック	kiire
リニア	lineaarne
ラーマ	laama
ラーマ	rama
接着	adhesiooni
サンプリング	proovi
サンプリング	valim
