ribeiro	рибейро
hahn	хан
johannes	йоханес
statut	статут
statut	устав
platforma	перон
platforma	платформата
platforma	платформа
wallace	уолас
wallace	уолъс
cipar	кипър
georges	жорж
misa	масов
misa	меса
misa	маса
misa	литургия
misa	масово
kat	кат
kat	кът
kat	подът
kat	пода
kat	етаж
tamno	тъмна
tamno	тъмно
tamno	тъмен
miris	мирис
miris	миризма
miris	аромат
miris	ухание
miris	миризма
miris	мирис
miris	аромат
miris	ухание
potrošnje	харчене
potrošnje	потребление
potrošnje	консумация
sadržavati	съдържат
zhao	джао
zhao	зао
dejan	деян
bilje	растения
bilje	заводи
bilje	растенията
bilje	инсталации
bilje	билки
marino	марино
kombinacije	комбинации
kombinacije	облекла
ricardo	рикардо
trake	касети
trake	ленти
dizel	дизел
dizel	дизелов
bryant	браянт
stražnji	задна
stražnji	заден
stražnji	отзад
stražnji	задни
stražnji	задно
tiskana	печатни
tiskana	отпечатани
tiskana	отпечатано
fan	фан
fan	вентилатор
fan	фен
fan	почитател
fan	фенка
očeve	бащи
očeve	бащите
rich	рич
rich	богато
rich	богат
rich	богата
rich	богати
dopuštenje	позволение
dopuštenje	разрешение
simfonija	симфония
doseljenici	заселници
doseljenici	заселниците
osudio	осъди
osudio	осъдена
osudio	осъден
osudio	осъдени
generatora	генераторите
generatora	генератори
fang	фанг
fang	фенг
fang	зъб
specifične	конкретни
specifične	специфично
specifične	специфичен
specifične	специфична
specifične	специфични
zanimanja	професии
zanimanja	професии
molitva	молитва
cohen	коен
faktora	фактори
faktora	коефициенти
pink	розово
pink	розов
pink	розова
pink	розови
doseljenika	заселници
doseljenika	заселниците
amazonas	amazonas
wagner	уагнър
wagner	вагнер
kontinuirano	непрекъснато
kontinuirano	непрекъсната
kontinuirano	непрекъснати
kontinuirano	непрекъснат
molu	пиер
molu	кея
vještica	вещер
vještica	вещица
ham	хам
ham	шунка
pirati	пиратите
pirati	пирати
pretvoriti	превръщане
pretvoriti	преобразуване
pojedinci	индивиди
trst	триест
jorge	хорхе
stope	ставки
stope	стъпките
stope	стъпки
biografski	биографичен
izjava	твърдение
izjava	изявление
izjava	показания
suprotnosti	противоположностите
sandra	сандра
jonathan	джонатан
hrabrost	смелост
hrabrost	кураж
menadžer	управител
menadžer	мениджър
piramida	пирамида
piramida	пирамиди
piramida	пирамидите
piramida	пирамиди
podjeli	дял
podjeli	разделяне
kapitala	столица
kapitala	капитал
kapitala	капитали
kapitala	столицата
garcia	гарсия
čvor	възел
čvor	възел
bek	бек
musa	муса
eduard	едуард
odgovarajući	съвпадение
udovica	вдовицата
udovica	вдовица
tumačenje	тълкуване
tumačenje	интерпретация
podgorica	подгорица
harmonika	хармоника
harmonika	акордеон
spora	спорите
spora	спори
spora	спори
spora	спор
spora	спорът
trgovac	търговец
trgovac	търговец
trgovac	дилър
trgovac	дилъра
trgovac	търговец
legendarni	легендарно
legendarni	легендарен
želeći	пожелание
želeći	желаещи
obveza	задължение
obveza	задължения
obveza	ангажимент
obveza	отдаденост
obveza	ангажираност
obveza	обвързване
obveza	задължение
hooper	хупър
radovan	радован
nebeska	небесен
nebeska	небесна
nebeska	небесно
nebeska	небесен
nebeska	небесно
rukopis	почерка
rukopis	почерк
rukopis	ръкопис
postignut	постигнато
postignut	достигнат
postignut	достигната
dostupne	наличен
dostupne	налично
dostupne	налични
dostupne	налична
ulaganja	инвестиране
ulaganja	инвестиции
ulaganja	инвестиция
ulaganja	инвестиции
sahranjen	погребан
sahranjen	погребана
sahranjen	заровени
sahranjen	погребани
sahranjen	заровено
pregovori	договаряне
pregovori	преговори
pregovori	преговорите
pregovori	преговорите
pregovori	преговори
novčanice	банкноти
novčanice	сметки
šteta	съжаление
šteta	жалост
šteta	жалко
šteta	жал
hlađenja	охлаждане
lisica	фокс
lisica	лисица
lisica	fox
napetosti	напрежение
lazar	лазар
lazar	лазар
litara	литра
litara	литра
litara	галона
prepoznati	разпознае
whitley	уитли
milorad	милорад
nezadovoljstvo	недоволство
nezadovoljstvo	недоволство
cestom	пътят
cestom	път
cestom	road
cestom	пътя
definirana	определени
definirana	дефинирани
nebeski	небесен
nebeski	небесна
nebeski	небесно
okrunjen	коронован
udaljeno	далечно
udaljeno	далечен
udaljeno	далечни
udaljeno	далечна
udaljeno	отдалечен
udaljeno	отдалечено
udaljeno	дистанционно
udaljeno	отдалечена
izborni	изборна
izborni	избирателна
islanda	исландия
smanjen	намалени
smanjen	намалено
smanjen	намален
smanjen	намалена
evolucija	еволюция
evolucija	еволюцията
prijateljstvo	приятелството
prijateljstvo	дружба
prijateljstvo	приятелство
poletio	летял
ulmus	ulmus
francuza	французина
francuza	французин
redovni	редовните
redovni	редовни
jose	жозе
jose	хосе
jose	жозе
jose	хосе
tehnološki	технологично
tehnološki	технологичен
tehnološki	технологично
tehnološki	технологична
blake	блейк
neuspjeh	неизправност
neuspjeh	провал
neuspjeh	неуспех
neuspjeh	повреда
savršeno	перфектна
savršeno	перфектно
savršeno	перфектен
savršeno	съвършен
elvis	елвис
carska	имперски
vena	вена
vena	вената
skoplje	скопие
ram	овен
ram	рам
cao	цао
cao	као
rukopisa	почерка
rukopisa	почерк
rukopisa	ръкописи
rukopisa	ръкопис
nedjelja	неделно
nedjelja	неделя
željka	желко
doktorat	докторат
churchill	чърчил
psa	куче
psa	кучето
psa	дог
vaše	вашият
vaše	твоят
vaše	твоя
vaše	твоята
felix	феликс
koeficijent	коефициент
proslave	празненства
proslave	тържества
ubijena	убита
ubijena	убити
ubijena	убит
mlijeka	мляко
motiva	мотив
motiva	мотивите
motiva	мотиви
porta	порта
snijeg	сняг
snijeg	снежна
ravna	плоски
ravna	апартамент
ravna	плоско
ravna	плоска
ravna	плосък
domovina	родино
domovina	родината
domovina	родина
domovina	държава
domovina	страна
domovina	родина
objavljivanje	публикация
objavljivanje	публикуване
objavljivanje	публикуване
objavljivanje	издателство
nadvojvoda	ерцхерцог
atomi	атомите
atomi	атоми
bratstva	братствата
bratstva	братство
bratstva	братство
bratstva	братството
diktature	диктатура
poštovanje	зачитане
poštovanje	респект
poštovanje	уважение
nude	предлагане
jar	буркан
jar	джар
obična	обикновен
obična	обикновена
obična	обикновени
reich	райх
