med	עם
som	כמו
som	אוהב
som	כאילו
som	אשר
som	איזה
runt	סביב
runt	בסביבה
runt	מסביב
runt	עגולה
runt	עגול
runt	סיבוב
runt	עגולים
månaden	חודשי
månaden	חודשיים
månaden	חודשית
månaden	חודש
nederbörd	משקעים
nederbörd	משקע
ligger	שקרים
ligger	אותרה
ligger	ממוקמת
ligger	ממוקם
ingår	כולל
ingår	כלולים
ingår	כלול
ingår	כולל
ingår	כוללת
att	זה
ett	אחת
ett	אחד
över	נגמר
över	מעל
familjen	משפחה
för	בשביל
inga	אין
inga	אינגה
delen	חלק
life	life
life	החיים
life	חיים
listade	רשום
listade	רשומה
landet	מדינה
landet	ארץ
landet	ארצי
meter	מטר
meter	מטרים
meter	מטר
meter	מטרים
meter	מטר
meter	מטר
meter	יארדים
meter	יארד
huvudstaden	הקפיטול
huvudstaden	הון
havet	הים
havet	ים
havet	האוקיינוס
havet	אוקיינוס
invånare	תושבים
invånare	מתמחים
invånare	תושבים
invånare	אזרחים
invånare	אזרחי
januari	ינואר
januari	בינואר
millimeter	מילימטר
millimeter	מילימטר
millimeter	מילימטרים
genomsnitt	ממוצע
genomsnitt	הממוצע
genomsnittlig	ממוצע
genomsnittlig	הממוצע
var	היה
var	הייתה
var	היתה
var	היו
var	לאן
var	איפה
var	היכן
juli	ביולי
juli	יולי
han	האן
per	פר
vattendrag	נהרות
vattendrag	ריברס
kanada	קנדה
provinsen	נפה
provinsen	מחוז
närheten	קרבה
närheten	קירבה
men	אך
men	אבל
högsta	עליון
högsta	העליון
högsta	מרבי
högsta	מירבי
högsta	מקסימום
högsta	מקסימלי
högsta	המקסימום
augusti	אוגוסט
kan	יכולת
kan	יכול
kan	יכולה
kan	יכול
länkar	קישורים
externa	חיצוניים
externa	חיצוניות
externa	חיצונית
externa	חיצוני
läge	המיקום
läge	מיקום
läge	מוד
läge	מצב
även	אפילו
även	גם
även	וגם
februari	בפברואר
februari	פברואר
under	במהלך
under	תחת
under	מתחת
