inspelningar	nagrania
theridion	theridion
praktisk	praktyczne
praktisk	praktyczna
praktisk	praktyczny
begränsade	ograniczony
begränsade	ograniczona
begränsade	zastrzeżone
begränsade	ograniczone
begränsade	ograniczona
begränsade	ograniczony
begränsade	ograniczone
begränsade	limited
lindqvist	lindqvist
shaanxi	shaanxi
hancock	hancock
motorvägen	autostrada
motorvägen	autostradzie
uppfyller	spotyka
uppfyller	spełnia
uppfyller	spełnia
uppfyller	spełniające
uppfyller	spełnianie
avsedda	zamierzone
avsedda	przeznaczona
avsedda	przeznaczony
avsedda	przeznaczone
staterna	stany
staterna	stanów
riga	rydze
styrkorna	mocne
möten	zebrania
möten	spotkania
möten	spotkań
möten	posiedzenia
möten	spotkania
rymden	przestrzeni
rymden	kosmos
rymden	przestrzeń
sidney	sidney
universal	uniwersalne
universal	universal
universal	uniwersalny
universal	powszechnej
universal	powszechne
fånga	połów
fånga	złap
fånga	złapać
fånga	łap
fånga	schwytać
fånga	uchwycić
fånga	złapanie
fånga	łapanie
fånga	złapanie
normala	normalne
normala	normalnie
normala	normalny
normala	normalna
zacatecas	zacatecas
samlas	zbieranie
samlas	zgromadzenie
samlas	zebranie
samlas	gromadzenie
her	jej
her	ją
medaljen	medal
etniska	etnicznych
etniska	etniczne
assistent	asystenta
assistent	asystent
assistent	pomocnik
assistent	asystentka
framställning	petycję
framställning	petycji
ambassad	ambasady
ambassad	ambasadzie
ambassad	ambasada
stannar	zostaje
oruro	oruro
byter	przełączniki
byter	przełączania
stånd	boner
stånd	erekcji
samlades	zebrane
visor	daszek
örgryte	örgryte
möjlig	możliwy
möjlig	mozliwe
möjlig	możliwa
möjlig	możliwe
bokstäver	pisma
bokstäver	liter
bokstäver	listy
bokstäver	litery
joan	joan
joan	joanna
council	council
council	rady
council	rada
council	radzie
somme	somme
etta	etta
shakespeare	szekspira
shakespeare	shakespeare
shakespeare	szekspir
sonson	wnuka
sonson	wnuk
sonson	wnukiem
effekten	efekt
effekten	skutek
representera	reprezentować
representera	reprezentują
representera	reprezentuje
representera	reprezentujący
representera	reprezentujących
representera	reprezentujące
representera	reprezentuje
röstade	zagłosowała
röstade	głosowałem
röstade	zagłosował
existerande	istniejące
existerande	istniejąca
existerande	istniejących
existerande	istniejący
ddr	nrd
jennifer	jennifer
skär	cięcie
skär	cięcia
skär	cięcie
brasiliansk	brazylii
tvingade	zmuszony
tvingade	zmuszeni
aston	aston
monticola	monticola
återvänder	zwraca
återvänder	powraca
återvänder	zwroty
återvänder	powrocie
tage	tage
tigre	tigre
lin	lin
lin	lnu
lin	len
pizzo	pizzo
rösträtt	sufrażystek
chelsea	chelsea
ten	dziesiątki
ten	dziesięć
ten	dziesiątka
parlament	parlament
parlament	parlamentowi
parlament	parlamentu
parlament	parlamenty
parlament	parlamentów
staty	rzeźby
staty	rzeźba
staty	rzeźbę
staty	figura
staty	pomnik
staty	posąg
videon	video
videon	wideo
videon	film
unika	unikalne
unika	unikatowe
unika	unikalny
unika	wyjątkowy
unika	niepowtarzalny
singapore	singapuru
fästning	twierdza
fästning	fortecy
fästning	forteca
cayenne	cayenne
wellington	wellington
gregory	grzegorz
erbjöd	oferowane
erbjöd	oferowana
petite	drobna
petite	petite
reformer	reformę
reformer	reform
reformer	reforma
reformer	reformy
reformer	reformy
reformer	reform
nba	nba
engagerade	zaręczony
engagerade	zaręczona
engagerade	zaręczyny
engagerade	popełnił
engagerade	zaangażowana
engagerade	zaangażowany
parry	parry
battle	bitwa
battle	battle
battle	bitwie
battle	bitwy
battle	walka
fängelset	więzieniu
fängelset	więzienie
långsamt	powoli
långsamt	wolno
långsamt	powoli
dylan	dylan
dylan	dylana
beta	beta
tore	tore
inspirerade	inspiracja
inspirerade	zainspirowany
inspirerade	inspirujące
gillar	jak
gillar	like
gillar	lubi
christensen	christensen
pojke	boy
pojke	chłopak
pojke	chłopiec
eklund	eklund
kväll	wieczór
kväll	wieczorem
kväll	wieczorny
kväll	nocy
kväll	nocny
kväll	night
kväll	noc
karaktärer	znaków
karaktärer	postacie
karaktärer	znaki
karaktärer	postaci
karaktärer	bohaterowie
karaktärer	postać
liter	litra
liter	litr
liter	litry
liter	litrów
liter	litra
liter	litr
liter	litry
liter	litrów
värdefulla	cenne
värdefulla	wartościowy
värdefulla	cenna
värdefulla	wartościowe
värdefulla	cenny
antyder	sugeruje
antyder	sugeruje
kött	mięsa
kött	mięso
kött	mięsa
kött	mięso
magister	magister
fullständig	pełna
fullständig	full
fullständig	pełen
fullständig	pełne
fullständig	pełny
fullständig	kompletny
fullständig	kompletna
fullständig	kompletne
francesco	francesco
värme	upał
värme	heat
värme	ciepło
värme	gorąco
värme	ciepła
värme	ogrzewanie
värme	ciepła
värme	ciepło
kontraktet	umowa
kontraktet	zlecenie
kontraktet	kontrakt
kontraktet	umowy
miljöer	środowisk
personligt	osobiste
personligt	osobista
personligt	osobisty
personligt	osobiscie
personligt	osobiście
kate	kasia
kate	kate
mcdonald	mcdonald
nato	nato
genève	genewie
caribou	karibu
jorge	jorge
befolkade	zaludnionych
chase	gonić
chase	pogoń
chase	pościg
chase	chase
soldat	żołnierz
soldat	żołnierzu
snäckor	ślimaki
snäckor	ślimaków
snäckor	ślimaków
snäckor	skorupy
snäckor	muszle
walk	spacer
walk	chodzić
walk	walk
inledande	wprowadzające
inledande	wstępne
inledande	początkowy
inledande	wstępne
inledande	początkowe
inledande	początkowa
inledande	wszczęcie
inledande	wszczęciu
fusca	fusca
svarar	odpowiedzi
utomhus	odkrytym
utomhus	odkryty
bredare	szersze
bredare	szerzej
bredare	szerszy
bredare	szersze
bredare	szerzej
bredare	szerszy
förkortat	skrócony
förkortat	skrócenie
förkortat	skrócone
förkortat	skrócone
förkortat	skróty
förkortat	skrót
mal	ćma
mal	mal
secret	sekret
secret	secret
secret	tajne
secret	tajemnica
kaj	kaj
svårigheter	trudności
svårigheter	trudność
svårigheter	trudności
seco	seco
mirabilis	mirabilis
vicente	vicente
borealis	borealis
ledaren	dowódca
ledaren	lider
ledaren	przywódca
ledaren	leader
bakre	tylny
bakre	tyły
bakre	tylne
bakre	tył
bakre	tylna
reed	reed
partner	partner
partner	partnerka
partner	partnerem
partner	partnera
partner	wspólnik
partner	partnerzy
partner	partnerami
partner	partnerów
partner	wspólnicy
fina	fina
fina	ładnie
fina	fajny
fina	fajna
fina	fajne
fina	ładne
tydligen	najwidoczniej
tydligen	najwyraźniej
tydligen	widocznie
alkohol	alkoholu
alkohol	alkohol
wan	wan
nicosia	nikozji
kartan	mapa
kartan	mapy
kartan	mapę
kartan	mapie
ingemar	ingemar
diana	diana
tenor	tenor
okända	nieznany
okända	nieznana
okända	nieznane
utförs	wykonywana
utförs	przeprowadzone
utförs	wykonywanych
utförs	wykonywane
utförs	wykonane
annie	annie
trumpet	trąbce
evenemang	zdarzenia
evenemang	wydarzenia
evenemang	imprezy
evenemang	wydarzeń
evenemang	imprez
evenemang	wydarzenie
evenemang	wydarzenia
evenemang	zdarzenie
flytt	uciekł
flytt	przenoszenie
flytt	przeprowadzka
flytt	przeprowadzki
ingeborg	ingeborg
flava	flava
kodra	kodra
skandinaviska	skandynawskie
malcolm	marcin
malcolm	malcolm
malcolm	malcolma
heinz	heinz
barnes	barnes
påverkas	dotknięty
påverkas	dotknięte
lina	lina
helgon	świętych
helgon	święci
helgon	święty
helgon	święta
helgon	saint
hieracium	jastrzębiec
acuminata	acuminata
sats	partia
sats	partii
sats	twierdzenie
glenn	glenn
timme	godz
timme	godzina
timme	godzinę
timme	godziny
grotta	jaskinia
grotta	jaskini
birmingham	birmingham
todd	todda
todd	todd
yngsta	najmłodszych
yngsta	najmłodsza
yngsta	najmłodszy
varberg	varberg
motsvarighet	odpowiednik
jacobus	jacobus
paradise	raju
paradise	raj
paradise	paradise
sena	późna
sena	późny
sena	późno
någonstans	gdzieś
akter	pliki
akter	plików
akter	aktów
akter	akty
utlopp	wylocie
negativ	negatywne
negativ	negatywny
negativ	negatywy
elin	elin
canterbury	canterbury
ove	ove
upplever	doświadcza
typisk	typowe
typisk	typowa
typisk	typowo
typisk	typowy
child	dziecko
child	child
sicilien	sicilia
sicilien	sycylii
sollentuna	sollentuna
liggande	kłamie
liggande	kłamstwo
liggande	krajobraz
liggande	krajobrazy
lópez	lópez
lópez	lópez
lópez	lopez
överlevde	przeżył
överlevde	przetrwał
överlevde	przetrwały
republikanska	republikanów
republikanska	republikanie
ssr	ssr
jarl	jarl
enheten	urządzenia
enheten	wyrób
enheten	urządzenie
enheten	jednostka
enheten	jednostki
enheten	unit
edinburgh	edynburgu
pilot	pilocie
pilot	pilot
singer	singer
singer	piosenkarz
singer	wokalista
singer	piosenkarka
angrepp	ataki
angrepp	ataków
angrepp	atakuje
angrepp	atak
angrepp	napaści
angrepp	atak
angrepp	napaść
angrepp	napad
summering	streszczenie
summering	zestawienie
summering	podsumowanie
strindberg	strindberg
filosofiska	filozoficzne
iihf	iihf
stammar	szczepów
stammar	szczepy
stammar	jąkanie
stammar	plemion
stammar	plemiona
stammar	szczepy
ein	en
ein	ein
kategorierna	kategorii
kategorierna	kategorie
ersättare	uzupełnień
ersättare	wymiana
ersättare	zastąpienia
ersättare	zastępstwo
ersättare	zastąpienie
wikidata	wikidane
helige	święty
helige	święte
dalmatien	dalmacja
chan	chana
chan	chan
undrar	wonder
eragrostis	miłka
omröstning	głosujemy
omröstning	głosowanie
omröstning	głosuj
omröstning	głosy
omröstning	głosów
omröstning	głosowania
omröstning	głosowanie
omröstning	głosuje
omröstning	głosujemy
omröstning	głosowania
omröstning	ankieta
omröstning	ankiety
omröstning	ankietę
wallin	wallin
cleveland	cleveland
familjebok	familjebok
taube	taube
fin	fin
idrottare	lekkoatleta
idrottare	sportowiec
idrottare	sportowcy
idrottare	sportowców
gravar	groby
gravar	grobowce
gravar	groby
gravar	grobów
gravar	graves
frivilliga	chętnych
frivilliga	ochotnicy
frivilliga	wolontariuszy
frivilliga	ochotników
frivilliga	dobrowolne
frivilliga	wolontariat
frivilliga	dobrowolnie
frivilliga	dobrowolny
frivilliga	dobrowolnego
runda	okrągła
runda	okrągły
runda	okrągłe
runda	runda
leconte	leconte
petersen	petersen
stått	stał
carroll	carroll
hannover	hanover
hannover	hannover
palace	pałac
palace	pałacu
palace	palace
värt	warto
värt	warte
värt	worth
värt	warta
hemmet	domu
hemmet	dom
specifikt	szczególne
specifikt	konkretne
specifikt	specyficzne
specifikt	konkretnie
specifikt	specjalnie
étienne	étienne
shorts	spodenki
shorts	szorty
astronom	astronom
anka	kaczka
anka	duck
anka	kaczor
anka	kaczki
patienter	pacjenci
patienter	pacjentów
palme	palme
erfarenheter	doświadczenia
erfarenheter	przeżycia
erfarenheter	doświadczeń
erfarenheter	doznania
erfarenheter	doświadczenia
erfarenheter	doświadczenie
administratörer	administratorów
administratörer	administratorzy
administratörer	administratorów
administratörer	administratorzy
rat	rat
rat	szczur
renovering	renowacji
renovering	remont
renovering	remont
renovering	renowacji
federation	federacji
federation	federacja
hörnet	zakręt
hörnet	kącik
hörnet	róg
hörnet	rogu
granada	granada
banor	ścieżki
banor	ścieżek
banor	linii
banor	linijki
banor	linie
banor	orbity
banor	kursy
haag	hadze
tyngre	cięższe
tyngre	cięższy
blogg	blog
blogg	bloga
blogg	blogu
salta	słone
salta	sól
salta	soli
olga	olga
willy	willy
amiral	admirał
fasaden	fasadą
smala	chude
smala	chuda
smala	chudy
smala	wąski
smala	wąskie
march	marzec
march	marca
march	marsz
demo	demo
demo	demonstracja
mathias	mathias
bristol	bristol
nedanför	niżej
nedanför	poniżej
lägg	umieść
lägg	umieścić
reticulata	reticulata
vagnar	wózki
vagnar	wozy
vagnar	wagony
vagnar	wagonów
vagnar	wózki
svante	svante
produkt	produkt
produkt	wyrób
produkt	produktu
produkt	produkty
riktade	ukierunkowana
riktade	ukierunkowane
riktade	kierunkowy
riktade	kierunkowych
principen	zasada
flyter	platformie
flyter	pływa
monroe	monroe
macdonald	macdonald
sinensis	sinensis
clements	clements
ansluter	podłączenie
ansluter	łączące
ansluter	łączenie
ansluter	łączy
besegra	porażki
besegra	klęska
besegra	przegrana
besegra	pokonać
besegra	porażka
reaktion	reakcja
reaktion	reakcji
reaktion	reakcje
journalisten	dziennikarstwo
journalisten	dziennikarz
journalisten	dziennikarka
hellre	raczej
butte	butte
morrison	morrison
sällsynta	rzadka
sällsynta	rzadkość
sällsynta	rzadkie
sällsynta	rzadki
sällsynta	rzadko
tabell	tabeli
tabell	tabela
tabell	stół
tabell	stolik
tabell	tablica
utbyte	giełda
utbyte	wymiany
utbyte	wymiana
fleming	fleming
stationer	stacje
stationer	stacji
stationer	stanowiska
malin	malin
arkitekter	architektów
java	java
definitivt	zdecydowanie
mördad	zamordowany
mördad	zamordowana
mördad	zabici
mördad	zabił
mördad	zabita
mördad	zabity
ovanliga	niezwykła
ovanliga	niespotykane
ovanliga	nietypowe
ovanliga	niezwykłe
trädgården	ogrodu
trädgården	ogród
trädgården	ogródek
trädgården	ogrodzie
stycke	akapitu
stycke	ustęp
stycke	paragraf
stycke	akapit
stycke	kawałek
stycke	kawałku
bass	bass
bass	bas
grönt	zieleń
grönt	zielony
grönt	zielono
grönt	zielona
grönt	zielone
nyköping	nyköping
holländska	dutch
holländska	holenderskie
holländska	holenderski
präster	kapłani
präster	księży
präster	księża
präster	kler
smal	chude
smal	chuda
smal	chudy
smal	wąski
smal	wąskie
smal	szczupła
smal	szczupły
smal	slim
smal	chudy
smal	szczupła
smal	cienkie
smal	cienka
smal	chudy
smal	cienki
columbus	columbus
matsumura	matsumura
juris	juris
brandt	brandt
caesar	caesar
caesar	cezara
caesar	cezar
pommern	pomorza
barbro	barbro
jessica	jessica
hjärnan	mózg
hjärnan	rozum
hjärnan	umysł
hjärnan	mózgu
grupperna	grup
grupperna	grupy
grupperna	grupach
skansen	skansen
bränsle	paliwo
bränsle	paliwa
bränsle	paliw
bränsle	paliwa
sänder	wysyłanie
sänder	wysłanie
sänder	nadawanie
sänder	przesyła
sänder	wysyła
sänder	nadawanie
sänder	nadawania
sålt	sprzedane
sålt	sprzedano
sålt	sprzedany
sålt	sprzedana
fiktiv	fikcyjne
fiktiv	referencyjna
fiktiv	fikcyjna
kris	kryzys
kris	kryzysu
kris	kris
kritisk	krytyczne
kritisk	krytyczna
kritisk	krytyczny
kritisk	krytycznych
avslutad	zrealizowane
avslutad	zakończone
avslutad	zakończona
avslutad	zaliczone
avslutad	ukończone
trøndelag	trøndelag
jerevan	erywań
mata	mata
existens	istnienia
existens	występowanie
existens	istnienie
emilio	emilio
low	niska
low	niskie
low	niski
low	low
low	nisko
cordillera	cordillera
presenteras	przedstawiona
presenteras	przedstawiony
presenteras	prezentowane
presenteras	przedstawione
presenteras	przedstawiono
schumann	schumann
stund	moment
stund	chwili
stund	chwila
namibia	mołdawia
namibia	namibii
chefen	szef
chefen	szef
chefen	szefie
fara	zagrożenia
fara	zagrożenie
fara	ryzyko
fara	niebezpieczeństwie
fara	zagrożenie
fara	niebezpieczeństwo
ríos	ríos
romarna	rzymianie
romarna	rzymian
glabra	glabra
varning	ostrzeżenia
varning	ostrzeżenie
varning	ostrożność
varning	alarm
varning	czujny
varning	wpis
passa	fit
flög	leciał
flög	przyleciał
flög	poleciał
medio	medio
förbindelse	złącze
förbindelse	łącznik
mia	mia
mia	mii
ljusare	jaśniejsze
ljusare	jaśniej
