در	vrata
رده	razred
رده	pouk
از	iz
از	od
که	ki
که	kdo
که	to
که	tisto
این	to
این	ta
این	tole
این	tega
را	naredi
میلادی	desetletju
میلادی	desetletje
یک	enga
یک	ena
یک	en
یک	eden
یک	eno
سال	leta
سال	letih
سال	let
سال	sala
سال	sal
سال	leto
سال	letnica
آن	anne
آن	ana
ایران	iranu
ایران	irana
ایران	iran
برای	za
شهرستان	okrožni
شهرستان	okrožje
شهرستان	okraj
شهرستان	okrožju
آمریکا	ameriki
آمریکا	amerika
آمریکا	ameriko
آمریکا	america
شده	bil
شده	bila
فهرست	katalog
فهرست	kataloga
فهرست	spisek
فهرست	seznam
فهرست	katalog
بود	bil
بود	bila
دارد	ima
او	ona
او	njegovo
او	njegove
او	njegov
او	njegova
او	njega
او	ga
او	njej
او	njo
او	njen
او	her
او	njena
تا	maj
تا	maja
تا	do
تا	dokler
وابسته	pridevnik
وابسته	odvisni
فوتبال	nogomet
فوتبال	football
فوتبال	nogomet
فوتبال	fuzbal
ساعت	urami
ساعت	ure
ساعت	urah
ساعت	ur
ساعت	uro
ساعت	ura
ساعت	urice
ساعت	ura
پایه	osnova
پایه	podlaga
پایه	fundacija
پایه	temelj
پایه	sklad
پایه	temelje
پایه	baza
پایه	osnova
پایه	oporišče
پایه	fundacije
پایه	temelje
پایه	temelji
پایه	osnovno
پایه	osnovni
نام	ime
استان	pokrajina
استان	provinca
استان	regiji
استان	regija
شهر	mestu
شهر	mesto
شهر	city
شهر	mesto
شهر	mestu
ملی	nacionalna
ملی	nacionalno
ملی	nacionalni
کشور	dežela
کشور	država
کشور	državo
تاریخ	zmenek
تاریخ	datum
تاریخ	zgodovina
تاریخ	zgodovino
فیلم	film
فیلم	film
فیلم	kino
فیلم	filmi
فیلم	filme
بخش	oddelek
بخش	sektor
بخش	odsek
بخش	poglavje
بخش	razdelek
بخش	oddelek
بخش	okrožje
جمعیت	množice
جمعیت	množica
جمعیت	množice
جمعیت	množica
جمعیت	prebivalstvo
جمعیت	populacija
دو	dve
دو	dva
اثر	učinka
اثر	učinek
اثر	efekt
پس	potem
یکی	nekdo
یکی	enga
یکی	ena
یکی	en
یکی	eden
یکی	eno
بازیکنان	igralci
بازیکنان	igralca
بازیکنان	igralce
بازیکنان	akterji
آثار	artefakte
آثار	učinki
آثار	vplivi
وی	wei
وی	wii
روستاهای	vasi
دیگر	več
دیگر	bolj
دیگر	drugi
دیگر	drugo
دیگر	druga
دیگر	druge
دیگر	drugi
دیگر	drugih
دیگر	druge
می	maj
می	maja
می	mei
عنوان	napis
پیوند	link
پیوند	poveži
پیوند	povezava
پیوند	povezana
پیوند	povezano
پیوند	povezani
پیوند	vez
پیوند	bond
پیش	pred
پیش	preden
پیش	prej
بحث	prepir
بحث	debata
بحث	razpravo
بحث	razprava
بحث	razprave
بحث	pogovor
بیرون	ven
بیرون	zunaj
افراد	ljudje
افراد	ljudstvo
افراد	osebe
افراد	ljudi
دوره	potek
دوره	epoch
دوره	obdobje
دهه	desetletji
دهه	desetletjih
دهه	desetletij
دهه	desetletja
دهه	desetletju
دهه	desetletje
متر	metrov
متر	meter
متر	metrov
متر	meter
متر	merilnik
کاربر	uporabnika
کاربر	uporabnik
مناطق	okrožij
مناطق	okrožja
مناطق	območja
مناطق	področja
مناطق	površine
هر	vsak
هر	vsaka
هر	vsako
هر	katerekoli
هر	katerokoli
هر	katerikoli
باشگاه	klub
باشگاه	club
باشگاه	fitnes
باشگاه	telovadnica
باشگاه	telovadnici
شهرهای	občin
شهرهای	občine
دانشگاه	univerza
دانشگاه	fakulteta
دانشگاه	kolidž
مورد	case
مورد	zaboj
