και	và
το	the
από	khỏi
από	từ
με	với
με	bằng
που	mà
για	cho
κατηγορία	loại
τους	them
τους	cói
τους	chúng
τους	họ
ήταν	aw
ήταν	bị
ένα	xả
ένα	một
ένα	one
ότι	thế
ότι	rằng
ότι	điều
ότι	mà
ότι	vn
μια	xả
μια	một
μια	one
έχει	đã
θα	will
θα	sẽ
θα	muốn
αλλά	nhưng
μετά	rồi
μετά	theo
μετά	sau
επίσης	cũng
όπως	như
όπως	thích
όπως	like
είχε	nan
είχε	xịt
ενώ	phiêu
ενώ	mens
δύο	hai
δύο	two
αυτό	này
αυτό	thế
αυτό	rằng
αυτό	điều
αυτό	mà
αυτό	vn
αυτή	cổ
όπου	đâu
όταν	khi
μία	xả
μία	một
μία	one
ομάδα	squad
ομάδα	đội
ομάδα	group
ομάδα	nhóm
ομάδα	tạo
ομάδα	đội
ομάδα	lớp
ομάδα	team
μεταξύ	giữa
χρόνια	chèo
χρόνια	năm
πρώτη	trước
πρώτη	đầu
πιο	thêm
ένας	xả
ένας	một
ένας	one
πόλη	phố
πόλη	phố
πόλη	by
σύνδεσμοι	xích
σύνδεσμοι	links
μόνο	chỉ
μόνο	duy
έγινε	lam
έγινε	xong
πολύ	cực
πολύ	rất
κάθε	mỗi
κάθε	hằng
κάθε	mỗi
περιοχή	loạt
περιοχή	tần
περιοχή	vùng
περιοχή	loạt
περιοχή	vực
περιοχή	vùng
αθήνα	athens
τότε	rồi
όνομα	tên
ελλάδα	greece
μέρος	saga
μέρος	part
μέρος	phần
μέρος	nơi
μέρος	chỗ
σήμερα	nay
πως	bao
ιστορία	truyện
ιστορία	chuyện
πρωτάθλημα	league
αργότερα	sau
νέα	new
νέα	mới
νέα	sâm
νέα	tin
περίπου	khoảng
περίπου	về
περίπου	ban
αυτά	những
πριν	trước
εθνική	gạt
αρχείο	tệp
αρχείο	file
πρέπει	phải
φορά	gian
φορά	thời
πάνω	lầu
έλληνες	greeks
ομάδες	nhóm
πρώτο	trước
πρώτο	đầu
όχι	không
όχι	ko
μεγάλη	lớn
μεγάλη	to
μεγάλη	đúc
μεγάλη	đại
μεγάλη	big
υπό	dưới
υπό	under
ποδοσφαιριστές	footballers
ταινία	phim
ταινία	băng
ταινία	phim
ταινία	film
άλλα	khác
