eternidade	amžinybę
mineiro	kasyba
mineiro	kasybos
preñada	nėščia
transmisión	srauto
transmisión	srautas
incra	būtų
kilómetros	kilometrai
kilómetros	kilometrų
kilómetros	km
enxeñeiros	inžinieriai
éstas	šių
polgar	nykščiu
pesares	nors
separada	atskirtas
separada	atskirta
lembre	prisiminti
homosexuais	gėjai
homosexuais	gėjų
homosexuais	gėjus
homosexuais	homoseksualus
fachenda	pasididžiavimas
ficción	fantastika
derramamentos	išsiliejimo
derramamentos	naftos
derramamentos	alyva
derramamentos	aliejus
vodas	vestuvės
vodas	vestuves
visitantes	lankytojai
visitantes	lankytojų
vinde	ateik
sálvate	vykdyti
amei	mylimas
amei	mylėjo
prometer	tu
acampamento	stovyklos
acampamento	stovykla
campesiño	valstiečių
fariña	miltus
fariña	miltų
fariña	miltai
matareite	nužudyti
matareite	tu
divertirse	smagu
divertirse	smagiai
divertirse	linksma
divertirse	linksmai
trama	kreivės
deixaremos	laimėjo
empregado	darbuotojui
empregado	darbuotojas
esqueciches	tu
esqueciches	pamiršti
clemencia	pasigailėjimo
tranquilidade	ramu
tranquilidade	tyliai
reformatorio	reformos
reformatorio	mokykla
reformatorio	mokyklos
beba	gėrimas
beba	gerti
precise	reikia
gustas	tu
gustas	lyg
gustas	kaip
pasaches	tu
carcereiro	ei
carcereiro	labas
carcereiro	sveikas
traian	įtraukti
deixarte	tu
banquete	šventė
mosca	skristi
divertir	smagu
divertir	smagiai
divertir	linksma
divertir	linksmai
falará	kalbėti
falará	bus
castelos	pilys
granxeiro	ūkininkas
pensabas	tu
combatentes	kovotojai
berra	verkti
berra	don
sucia	purvinas
conseguiron	jie
rancho	rančą
miolos	smegenys
miolos	smegenis
ruínas	griuvėsiai
vendeu	parduota
vendeu	parduodami
vendeu	parduotas
vendeu	parduodama
lóstrego	žaibas
lóstrego	žaibo
escoitalo	išgirsti
puros	grynas
puros	aiški
foxen	šalin
soubeses	tu
soubeses	žinojo
tardarei	laimėjo
tardarei	ilgai
tardarei	ilga
tardarei	ilgas
luís	louis
luís	luís
estoupar	sprogti
mickey	mikis
mickey	miki
quérete	dievina
quérete	mėgsta
quérete	myli
quérete	tu
sangrando	kraujavimas
deberon	jie
deberon	turi
queimados	sudegino
queimados	patys
quédache	tinka
durmiches	tu
durmiches	miegas
durmiches	miego
conducía	vykdymo
jordan	jordan
jordan	jordanija
jordan	jordanijos
tardar	ilgai
tardar	ilga
tardar	ilgas
ann	ann
horríbeis	siaubinga
horríbeis	siaubingas
custe	savikaina
confesou	prisipažinti
dicías	tu
monxas	vienuolės
monxas	sesės
monxas	seserys
michele	michele
levades	tu
