angus	angus
konvensjonelle	convencional
brutale	brutal
avtalt	en
avtalt	acordo
cave	das
cave	cavernas
cave	cova
sokrates	sócrates
solide	sólida
anonymt	anónimos
bekken	río
bekken	regato
flytta	mudeime
flytta	a
flytta	mudouse
flytta	se
poteter	patacas
uskyldig	inocente
uskyldig	inocentes
vinge	nunha
vinge	á
rochester	rochester
hamburger	hamburguesa
pedagogiske	educativo
pedagogiske	educativas
demonstrasjon	manifestación
demonstrasjon	demostración
ørken	deserto
ørken	sobremesa
done	fixen
done	feito
done	fixemos
done	facer
done	fixeches
ruby	ruby
diabetes	diabetes
lothar	lothar
kniv	coitelo
kniv	navalla
kniv	mackie
beauty	beleza
beauty	a
infeksjon	infección
taper	perdendo
taper	a
taper	perder
taper	perdeu
taper	perde
taper	perder
taper	perdemos
dødt	mortos
dødt	morto
dødt	morta
dødt	morreu
gjeng	forzados
gjeng	morea
gjeng	uns
gjeng	de
gjeng	chea
gjeng	grupo
gjeng	fato
gjennomfører	a
gjennomfører	dirixir
spiste	comemos
spiste	comín
spiste	comeu
spiste	comiches
spiste	hoxe
innkjøp	compras
innkjøp	mercar
låst	pechada
låst	con
låst	empechar
marker	mark
marker	marca
marker	a
marker	marcos
route	ruta
korteste	curta
daniels	daniels
pekte	recomendáronme
nine	nove
nine	9
lucky	afortunada
lucky	sorte
lucky	afortunado
lucky	con
lucky	de
amazing	incrible
amazing	incribles
amazing	sorprendente
amazing	abraiante
amazing	o
amazing	marabilloso
amazing	asombroso
sikter	obxectivo
valutaen	moeda
jager	de
jager	perseguen
stamp	filatelia
stamp	selo
wake	levanta
wake	esperta
wake	espertar
wake	arriba
hour	hora
grepet	realidade
ankomsten	chegada
forsikring	seguro
forsikring	seguros
seriøs	serio
seriøs	seria
seriøs	en
seriøs	grave
kvadratisk	cadrado
kvadratisk	square
kvadratisk	cadradas
kvadratisk	praza
kvadratisk	limpo
morsomt	gracioso
morsomt	divertido
morsomt	raro
fåtall	poucos
fåtall	poucas
fåtall	uns
fåtall	algunhas
fåtall	algúns
fåtall	unhas
fleet	negro
fleet	frota
hjerter	corazóns
hjerter	corazón
hjerne	cerebrais
hjerne	cerebro
hjerne	cerebral
hjerne	cerebro
hjerne	cerebros
hjerne	os
him	el
him	o
him	lle
clifford	clifford
clifford	ei
respektert	respectado
plukke	recoller
nitrogen	nitróxeno
polar	polar
polar	polares
vertikal	verticais
vertikal	vertical
wish	gustaríame
wish	desexo
wish	desexaría
wish	oxalá
blodig	maldito
blodig	idiota
blodig	malditos
etterspørsel	demanda
etterspørsel	pido
etterspørsel	custar
epoke	era
tenk	imaxinar
tenk	imaxinade
tenk	imaxina
tenk	imaxinen
extra	de
extra	máis
extra	extra
extra	un
rating	cualificación
misfornøyd	infeliz
spion	espía
sove	sono
sove	durmir
sove	durme
edel	nobre
overflødig	exceso
overflødig	de
underskrevet	asinado
strike	folga
strike	ataque
strike	¡
strike	que
strike	empece
large	grande
large	gran
large	grandes
bring	trae
hai	hai
fløyen	nunha
fløyen	á
begå	suicidarse
dørene	as
dørene	portas
dørene	porta
kulde	frío
kulde	fría
kulde	arrefriado
trodd	que
ideelt	ideal
ideelt	ideais
intelligent	intelixente
intelligent	intelixentes
biologien	bioloxía
møkk	merda
mobbing	acoso
gjerde	perista
forurensning	contaminación
sabbath	domingo
brakk	a
brakk	rompeu
brakk	crebou
brakk	entraron
brakk	rompín
kommunismen	comunismo
kommunismen	o
presis	exacto
presis	preciso
presis	precisa
presis	exactamente
presis	mesmo
presis	o
permisjon	deixar
harmoni	harmonía
mandela	mandela
varsel	conta
varsel	que
varsel	vin
varsel	aviso
berørte	afectados
berørte	tocan
berørte	están
berørte	tocar
berørte	a
berørte	tocáronme
indikere	indicar
hardere	máis
hardere	difícil
care	importa
care	igual
care	me
lojal	leal
perfekte	perfecto
perfekte	perfecta
perfekte	perfectos
ledig	dispoñibles
ledig	dispoñible
ledig	dispor
ledig	dispoñíbel
ledig	haxa
ledig	dispoñíbeis
ledig	libre
ledig	libres
ledig	balde
utviklede	evolucionou
verdifull	valioso
missiler	mísiles
vilkårene	termos
vilkårene	funcionamento
vilkårene	a
overlegen	superior
overlegen	superiores
datamaskinen	ordenador
datamaskinen	computador
datamaskinen	ordenadores
odyssevs	ulises
mote	moda
mote	a
pisa	pisa
flokk	rabaño
flokk	manada
flokk	rabaño
sikkerheten	de
sikkerheten	seguridade
bibel	biblia
bibel	biblias
vice	vicepresidente
vice	vicio
vice	iwabuchi
vice	antivicio
pub	bar
forutsatt	asumindo
trygge	salvo
trygge	segura
trygge	seguro
trygge	seguros
trygge	a
shirley	shirley
blåser	golpes
blåser	o
gener	xenes
gener	os
myte	mito
ringe	chamada
ringe	chamamos
ringe	chamar
fagfolk	profesionais
uenigheter	diferenzas
evolusjon	evolución
onkelen	tío
onkelen	tonton
marsj	marzo
marsj	de
marsj	marcha
fellesskapet	comunidade
exchange	intercambio
cent	centavos
cent	cincuenta
cent	patacóns
cent	céntimos
cent	cento
overraskelse	sorpresa
overraskelse	sorprenda
overraskelse	unha
sheriff	alguacil
sheriff	shérif
sheriff	gobernador
ubuntu	ubuntu
orkanen	furacán
gay	homosexuais
gay	homosexual
seerne	espectadores
seerne	audiencia
palm	palma
palm	da
palm	palm
kirurgi	cirurxía
highland	altas
saklig	preciso
saklig	precisa
rocks	rochas
rocks	xeo
rocks	pedras
systemene	sistemas
systemene	dos
snegler	caracois
affære	asunto
boss	xefe
boss	patrón
twitter	twitter
welt	welt
reagere	reaccionar
reagere	reaccionaredes
reagere	reacciona
reagere	reaccionan
reagere	aos
reagere	ante
reagere	reaccionei
raid	redadas
romantikken	romance
underviser	ensinar
underviser	ensino
underviser	ensinanza
because	porque
because	por
helium	helio
silence	silencio
silence	o
idealer	ideais
billige	barato
univers	universo
univers	do
omstendighetene	circunstancias
mrd	millóns
mrd	mil
mrd	de
